####################################################################################################
# Month: 08Aug                                                                                     #
# Station: ALMA                                                                                    #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,0.73950679,136.6984125
2009,08,2,0.78415005,142.8343
2009,08,3,0.43152868,92.90755
2009,08,4,0.392717,88.73506625
2009,08,5,0.61279611,124.3066375
2009,08,6,0.53444955,113.22640875
2009,08,7,0.65361104,126.992825
2009,08,8,0.91103382,154.444975
2009,08,9,0.4226584,88.6093375
2009,08,10,0.29817669,72.10316375
2009,08,11,0.41214371,91.37683
2009,08,12,0.66562941,130.54745
2009,08,13,0.70727511,134.7142125
2009,08,14,0.64924717,128.3530625
2009,08,15,0.6113864,122.0195
2009,08,16,0.66411342,128.22965
2009,08,17,1.07418064,165.1869875
2009,08,18,0.71836186,133.2242125
2009,08,19,0.4906643,104.48852375
2009,08,20,0.32776269,79.00437875
2009,08,21,0.36293128,85.4205325
2009,08,22,0.21735806,59.12996625
2009,08,23,0.511443,107.9258025
2009,08,24,0.25324344,65.71148625
2009,08,25,0.26527368,67.7169825
2009,08,26,0.65402041,127.59535375
2009,08,27,0.4702255,103.30427125
2009,08,28,0.63745826,124.97864125
2009,08,29,0.61555759,118.10358875
2009,08,30,0.36680627,87.16346125
2009,08,31,0.62074312,123.5916375
2010,08,1,0.28211442,70.80034625
2010,08,2,0.3117062,75.881245
2010,08,3,0.4755435,101.90695
2010,08,4,0.47512874,102.42319625
2010,08,5,0.56200699,115.5345975
2010,08,6,0.6156768,121.060115
2010,08,7,0.61765766,123.0238375
2010,08,8,0.77674038,141.6473375
2010,08,9,0.62492252,122.9524375
2010,08,10,0.972532,161.85915
2010,08,11,1.68994868,200.6022
2010,08,12,0.30214154,74.58745
2010,08,13,0.39013968,89.27828375
2010,08,14,0.64415225,127.8885875
2010,08,15,0.64397335,127.6107875
2010,08,16,1.03580524,166.8565
2010,08,17,0.46185825,100.60650375
2010,08,18,0.2713916,68.27094875
2010,08,19,0.34886348,83.684765
2010,08,20,0.39272122,89.4777175
2010,08,21,0.43877888,98.23284875
2010,08,22,0.33950249,81.068705
2010,08,23,0.3822011,89.03253875
2010,08,24,0.4416775,98.65790375
2010,08,25,0.61751499,126.055175
2010,08,26,0.58591009,121.875525
2010,08,27,0.37407441,88.46045875
2010,08,28,0.33412626,80.6793125
2010,08,29,0.37192226,86.85229875
2010,08,30,0.48769038,104.05870875
2010,08,31,1.04589514,167.529125
2011,08,1,0.39465188,88.64068875
2011,08,2,0.89564329,152.79495
2011,08,3,0.38006898,89.05386125
2011,08,4,0.4536134,99.57666375
2011,08,5,0.56000881,114.7841
2011,08,6,0.50937806,108.71927
2011,08,7,0.39565021,91.5262225
2011,08,8,0.7254159,132.98799125
2011,08,9,0.6322871,123.8706725
2011,08,10,0.5444938,114.38670125
2011,08,11,0.46300472,102.2728425
2011,08,12,0.5970163,122.0761375
2011,08,13,0.92510862,156.8441875
2011,08,14,1.24116468,184.1083125
2011,08,15,1.46376558,195.1098375
2011,08,16,0.76166628,121.32341625
2011,08,17,0.17429264,50.17497625
2011,08,18,0.48361065,101.18565875
2011,08,19,0.69676791,131.1608375
2011,08,20,0.63317772,122.445175
2011,08,21,0.56412129,114.5429625
2011,08,22,0.41521289,91.380275
2011,08,23,0.21709161,59.3565225
2011,08,24,0.57323822,114.9740275
2011,08,25,0.42870972,94.47196875
2011,08,26,0.4405776,97.6013175
2011,08,27,0.79766153,145.5482625
2011,08,28,0.40378975,93.6192775
2011,08,29,0.38867759,91.168045
2011,08,30,0.36241361,85.94748875
2011,08,31,0.30981842,76.37724625
2012,08,1,0.72727879,133.1594625
2012,08,2,0.80358932,143.96465
2012,08,3,1.231677,184.3330375
2012,08,4,1.15735005,174.3114875
2012,08,5,1.25470325,187.406775
2012,08,6,1.45909038,199.9373125
2012,08,7,1.11677405,173.148825
2012,08,8,0.38336526,86.34157375
2012,08,9,1.18558048,177.1032875
2012,08,10,0.9622995,156.3120875
2012,08,11,0.57966308,117.35642875
2012,08,12,0.25790186,65.55903625
2012,08,13,0.26840761,67.54790375
2012,08,14,0.80540254,137.7799675
2012,08,15,0.88058912,149.489575
2012,08,16,0.88114996,152.0981375
2012,08,17,0.61608338,117.2518125
2012,08,18,0.62769038,120.88062375
2012,08,19,0.53289656,111.3125875
2012,08,20,0.54160215,112.34453125
2012,08,21,0.41276704,93.11653625
2012,08,22,0.3732681,87.17961125
2012,08,23,0.44458514,97.11905
2012,08,24,0.48562105,104.7101175
2012,08,25,0.58116518,118.696975
2012,08,26,2.43633412,231.5281125
2012,08,27,0.83297259,126.365165
2012,08,28,0.45864449,100.6995375
2012,08,29,0.43729104,97.51658375
2012,08,30,1.1215152,176.60975
2012,08,31,1.02512501,167.38235
2013,08,1,1.99765888,220.0756625
2013,08,2,0.37284018,84.358945
2013,08,3,0.41291255,92.12141375
2013,08,4,0.38046718,88.968425
2013,08,5,0.32619775,78.94872875
2013,08,6,0.47095555,100.02434875
2013,08,7,0.50778266,106.48036875
2013,08,8,0.43136722,96.403775
2013,08,9,0.51173308,109.026205
2013,08,10,0.30038656,74.40611375
2013,08,11,0.54814681,114.28827875
2013,08,12,0.59922096,121.46453625
2013,08,13,0.55821232,114.7353225
2013,08,14,0.2990714,74.677695
2013,08,15,0.24449073,65.04307625
2013,08,16,0.25586686,67.4956125
2013,08,17,0.31263212,77.68483
2013,08,18,0.23848339,63.7239875
2013,08,19,0.46635244,100.06739125
2013,08,20,0.9384821,161.70565
2013,08,21,0.91614622,156.9459125
2013,08,22,1.30282762,186.0158125
2013,08,23,1.60393212,203.1934125
2013,08,24,3.214961,244.098875
2013,08,25,0.78088711,120.61111875
2013,08,26,0.30000956,72.9339075
2013,08,27,0.27373658,69.6932025
2013,08,28,0.49834735,97.35565875
2013,08,29,1.68396438,206.1102875
2013,08,30,1.20794471,174.210025
2013,08,31,0.49511292,104.916355
2014,08,1,0.68842746,127.3980475
2014,08,2,0.40957725,92.90220125
2014,08,3,0.34542506,83.26128625
2014,08,4,0.32353104,79.679905
2014,08,5,0.37774074,89.28117125
2014,08,6,0.52944641,110.8163675
2014,08,7,1.35739206,184.6106125
2014,08,8,3.59593488,249.4385
2014,08,9,2.989901,238.9859
2014,08,10,0.41383594,95.416645
2014,08,11,0.31081105,77.20826875
2014,08,12,0.35047935,82.87291125
2014,08,13,0.3489428,82.28199875
2014,08,14,1.85916741,204.30845
2014,08,15,0.9743199,155.5031625
2014,08,16,0.72338234,136.5675875
2014,08,17,0.72718312,123.77572625
2014,08,18,0.852411,144.5626075
2014,08,19,0.5726923,112.63993125
2014,08,20,0.74576796,141.5232875
2014,08,21,0.4359982,97.48001625
2014,08,22,0.31527751,78.7579275
2014,08,23,0.34612036,82.9535725
2014,08,24,0.3238683,78.99938875
2014,08,25,0.36751159,85.982875
2014,08,26,0.47241245,101.53556625
2014,08,27,1.07323698,171.4146875
2014,08,28,1.06023364,170.791775
2014,08,29,0.88882594,150.206325
2014,08,30,2.37041737,231.6948
2014,08,31,1.06284589,162.9048375
2015,08,1,0.42027225,95.722965
2015,08,2,0.41588119,93.5098225
2015,08,3,0.73891971,136.4522475
2015,08,4,0.76366698,136.8886225
2015,08,5,2.52635763,228.052475
2015,08,6,2.00733812,221.3927125
2015,08,7,1.00180816,163.79545
2015,08,8,0.97469426,157.5967625
2015,08,9,1.67615756,195.3884
2015,08,10,0.54800352,111.14366875
2015,08,11,0.6451664,126.5174125
2015,08,12,0.54525915,109.850195
2015,08,13,0.28891476,70.51759625
2015,08,14,0.33145475,77.8006925
2015,08,15,0.68714272,126.65073
2015,08,16,0.81774574,140.8726375
2015,08,17,0.63615579,112.5543875
2015,08,18,0.8324211,132.56130125
2015,08,19,2.33484012,224.954375
2015,08,20,1.0722103,166.5405375
2015,08,21,1.30109117,169.7964875
2015,08,22,1.89995312,198.9823875
2015,08,23,0.37461876,87.63803125
2015,08,24,0.30430598,75.4662625
2015,08,25,0.38080147,88.9800825
2015,08,26,0.39504082,92.1115275
2015,08,27,0.34788814,82.61877
2015,08,28,0.98437811,162.64155
2015,08,29,1.2803265,188.9123625
2015,08,30,0.87275147,152.6762
2015,08,31,0.4233387,94.18274875
2016,08,1,0.77826426,141.2553375
2016,08,2,0.63981961,127.8838625
2016,08,3,0.5520389,114.67163625
2016,08,4,0.70286242,131.9569625
2016,08,5,1.3080961,191.5963625
2016,08,6,2.5028135,236.5822125
2016,08,7,0.87029336,139.63794
2016,08,8,0.27943585,72.827315
2016,08,9,0.23203205,63.2431475
2016,08,10,0.21346494,59.17818375
2016,08,11,0.37702891,86.96127125
2016,08,12,0.54520976,113.8124725
2016,08,13,0.61056506,123.1151125
2016,08,14,0.64895236,128.106175
2016,08,15,0.49201199,107.39034875
2016,08,16,0.29838237,75.5755275
2016,08,17,0.22220627,61.3584275
2016,08,18,0.28812615,73.35641625
2016,08,19,0.36713398,86.19774375
2016,08,20,0.3165529,78.42032
2016,08,21,0.18748571,54.13500875
2016,08,22,0.32333365,78.042235
2016,08,23,1.37226575,188.8378125
2016,08,24,0.76370231,137.06070125
2016,08,25,0.33031116,80.46366625
2016,08,26,0.7203415,131.561295
2016,08,27,1.80201538,208.3521
2016,08,28,1.20338645,170.8317875
