####################################################################################################
# Month: 10Oct                                                                                     #
# Station: APEX                                                                                    #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,10,1,0.65861792,128.6811
2009,10,2,0.52161593,110.0808725
2009,10,3,0.82245887,146.4515375
2009,10,4,0.75296667,139.0128125
2009,10,5,0.49749971,105.98837625
2009,10,6,0.66831832,126.3823625
2009,10,7,0.5162058,106.2154525
2009,10,8,0.583787,117.0074875
2009,10,9,0.48768035,103.16502125
2009,10,10,0.99697786,160.271825
2009,10,11,1.27973175,187.8782375
2009,10,12,0.8044656,142.5391625
2009,10,13,0.91176322,154.450575
2009,10,14,1.28671794,185.4928375
2009,10,15,0.68253976,129.2897975
2009,10,16,0.50062619,107.28642125
2009,10,17,0.46508652,102.25110875
2009,10,18,0.75525905,137.72185
2009,10,19,0.44703554,98.91930875
2009,10,20,0.41822525,94.929525
2009,10,21,0.4464936,99.7513625
2009,10,22,0.32935334,80.053735
2009,10,23,0.47640596,100.5212725
2009,10,24,2.15940863,218.613525
2009,10,25,1.95477986,203.7247375
2009,10,26,0.29209866,73.949525
2009,10,27,0.38977805,91.070765
2009,10,28,0.55398126,115.1576575
2009,10,29,1.78191216,195.9882125
2009,10,30,2.542915,228.4129125
2009,10,31,2.80617688,242.8252875
2010,10,1,0.58056879,116.91348375
2010,10,2,0.76765481,139.433925
2010,10,3,0.31333283,75.6549525
2010,10,4,0.4914927,100.86913375
2010,10,5,0.58663424,119.08435
2010,10,6,0.43914862,98.84491125
2010,10,7,0.17770778,51.91391875
2010,10,8,0.2629833,67.95404875
2010,10,9,0.24404541,64.4949825
2010,10,10,0.38688672,88.6259275
2010,10,11,1.03132331,159.401775
2010,10,12,2.26195088,227.35195
2010,10,13,0.45057104,97.62597125
2010,10,14,0.59153292,120.7311125
2010,10,15,0.45639489,101.03326625
2010,10,16,0.40931104,93.20873125
2010,10,17,0.28683781,72.4773825
2010,10,18,0.29906577,73.8150775
2010,10,19,0.2788333,70.3192825
2010,10,20,0.29096399,72.870375
2010,10,21,0.36701352,85.673885
2010,10,22,0.37788334,87.53844
2010,10,23,0.44033892,99.21155875
2010,10,24,0.42563376,96.3701525
2010,10,25,0.31087502,77.0239675
2010,10,26,0.31294925,77.24940375
2010,10,27,0.74599614,139.2286
2010,10,28,0.28791093,72.71651375
2010,10,29,0.34140608,82.8466425
2010,10,30,0.24456078,65.29784625
2010,10,31,0.26362926,68.14749375
2011,10,1,0.4003812,92.520535
2011,10,2,0.71483364,132.23351125
2011,10,3,2.4696855,233.4320125
2011,10,4,0.42446235,94.26701375
2011,10,5,0.27766644,71.61208625
2011,10,6,0.47944679,105.025475
2011,10,7,0.3077054,76.6189275
2011,10,8,0.41668489,93.9921525
2011,10,9,0.39447215,90.2549625
2011,10,10,0.38522124,89.3562425
2011,10,11,0.7737966,141.643375
2011,10,12,0.39624894,91.29790125
2011,10,13,0.24244171,63.57193375
2011,10,14,0.19357122,53.95614375
2011,10,15,0.17621654,50.9818975
2011,10,16,0.15336192,46.323185
2011,10,17,0.28296569,71.21073375
2011,10,18,0.36757476,85.97582625
2011,10,19,0.17867581,51.74458
2011,10,20,0.20397002,56.6713525
2011,10,21,0.61557645,121.1550125
2011,10,22,0.65541136,127.865575
2011,10,23,0.59011592,119.40895
2011,10,24,0.46606939,102.3250575
2011,10,25,0.36016439,85.31923125
2011,10,26,0.45984014,100.84218125
2011,10,27,0.44805293,99.05732875
2011,10,28,0.7491342,131.33601625
2011,10,29,2.2618685,230.269175
2011,10,30,2.21976225,232.5884375
2011,10,31,1.255329,187.9094375
2012,10,1,0.44429489,97.48757
2012,10,2,0.7051854,132.847405
2012,10,3,0.26714765,69.80616375
2012,10,4,0.38679185,90.60777625
2012,10,5,0.31023575,77.03408125
2012,10,6,0.28783239,72.44286
2012,10,7,0.31533324,77.585185
2012,10,8,0.66499291,111.08807125
2012,10,9,0.94664905,136.50666625
2012,10,10,0.45846398,98.87780875
2012,10,11,0.32998052,79.509615
2012,10,12,0.38437879,89.05550375
2012,10,13,0.73884384,135.971025
2012,10,14,2.141012,225.731025
2012,10,15,0.46353361,101.98905125
2012,10,16,0.52909256,112.4267125
2012,10,17,0.41335939,94.66262875
2012,10,18,0.51892366,109.81096375
2012,10,19,0.4208575,94.74934875
2012,10,20,0.35840822,84.24165875
2012,10,21,0.37685225,87.500245
2012,10,22,0.46894095,103.23792875
2012,10,23,0.42889071,97.09782375
2012,10,24,0.63016688,125.2343375
2012,10,25,0.58624725,120.3902425
2012,10,26,1.79975316,210.6297625
2012,10,27,4.08587162,257.1816875
2012,10,28,4.09564825,259.1207375
2012,10,29,3.84862775,258.2181375
2012,10,30,3.18277512,250.9117375
2012,10,31,1.73252134,204.4180625
2013,10,1,1.07317808,167.420425
2013,10,2,0.64153438,124.5032125
2013,10,3,0.61860424,123.60425
2013,10,4,0.43166649,98.1778925
2013,10,5,0.55901551,116.39405
2013,10,6,0.82473911,143.9494375
2013,10,7,0.24337568,64.24543875
2013,10,8,0.3618435,84.35509375
2013,10,9,0.44770881,97.08020875
2013,10,10,0.6631516,126.77355
2013,10,11,0.59349894,120.1332625
2013,10,12,0.45766239,100.35124625
2013,10,13,0.71985885,134.7108875
2013,10,14,2.08386049,215.85025
2013,10,15,1.69441912,195.738925
2013,10,16,0.51051342,107.78071125
2013,10,17,0.6281268,122.5492625
2013,10,18,0.47378315,101.97293375
2013,10,19,0.41832491,95.37001125
2013,10,20,0.37010742,86.833325
2013,10,21,0.7676191,137.46286375
2013,10,22,1.04106455,168.676425
2013,10,23,1.4444255,198.2007375
2013,10,24,2.159432,216.785525
2013,10,25,3.10875338,238.841675
2013,10,26,0.61428341,123.648275
2013,10,27,1.69228456,185.6953625
2013,10,28,2.57716975,238.8876875
2013,10,29,0.72561022,131.674975
2013,10,30,0.68364468,133.014525
2013,10,31,0.79255536,145.81715
2014,10,1,0.50579151,107.41400375
2014,10,2,3.794398,245.9414
2014,10,3,4.167343,256.1437125
2014,10,4,1.33070835,147.9539525
2014,10,5,0.2394452,62.86362125
2014,10,6,1.38280294,191.745775
2014,10,7,0.90563762,146.39551375
2014,10,8,0.29947819,75.63632875
2014,10,9,0.3852964,91.073685
2014,10,10,0.48799756,106.687145
2014,10,11,0.70414989,129.28448875
2014,10,12,0.82301316,149.693675
2014,10,13,0.63891232,125.5825375
2014,10,14,1.23134421,162.0599625
2014,10,15,3.49052288,252.1376875
2014,10,16,2.43712888,235.255275
2014,10,17,2.65807462,241.403175
2014,10,18,2.32632025,232.39525
2014,10,19,0.97526211,158.957675
2014,10,20,1.38768062,195.219
2014,10,21,2.76938938,234.97625
2014,10,22,4.03760275,256.4043375
2014,10,23,0.54250756,108.805745
2014,10,24,0.90378744,129.484345
2014,10,25,1.67871196,192.127
2014,10,26,1.42799218,193.00955
2014,10,27,1.6908268,201.5411
2014,10,28,2.72497088,242.2910125
2014,10,29,0.48269115,102.66323875
2014,10,30,0.47712231,103.43268625
2014,10,31,0.43275834,96.46403625
2015,10,1,0.57987836,116.43763
2015,10,2,1.44239645,185.574275
2015,10,3,1.65531926,194.1088625
2015,10,4,0.57779899,119.7471625
2015,10,5,0.38750969,90.05576625
2015,10,6,0.49112775,105.135605
2015,10,7,1.00236715,165.919625
2015,10,8,1.10127328,171.5905125
2015,10,9,1.40784069,190.8145625
2015,10,10,2.2937465,229.664575
2015,10,11,0.82454035,140.6186125
2015,10,12,0.60101374,115.12759875
2015,10,13,0.32368835,79.50688125
2015,10,14,0.36874896,86.2260725
2015,10,15,0.38068272,89.03105
2015,10,16,2.3990037,214.6565
2015,10,17,4.13931375,257.3787
2015,10,18,5.19188688,262.1067875
2015,10,19,3.98208688,248.0233875
2015,10,20,1.4377851,194.7682125
2015,10,21,1.31080115,189.06305
2015,10,22,0.6526986,127.21395
2015,10,23,1.14055666,153.7601875
2015,10,24,4.1264835,255.6479875
2015,10,25,2.006892,221.8538875
2015,10,26,1.87904862,216.8555875
2015,10,27,0.73182691,136.9339875
2015,10,28,0.98053431,150.3958375
2015,10,29,1.33648931,188.500125
2015,10,30,0.37793184,87.0932825
2015,10,31,0.49512135,106.9022475
2016,10,1,0.72768605,132.03134
2016,10,2,1.33244492,190.19055
2016,10,3,0.51755642,110.6049075
2016,10,4,0.32993304,79.436415
2016,10,5,0.37792724,88.56594875
2016,10,6,0.62673016,125.0430875
2016,10,7,0.86945684,154.5492125
2016,10,8,0.64162636,128.15165
2016,10,9,0.51787906,111.6140225
2016,10,10,0.43993084,97.3972075
2016,10,11,0.48395951,103.571955
2016,10,12,0.46624934,101.14281125
2016,10,13,0.64557065,125.6605625
2016,10,14,0.54035154,112.8530125
2016,10,15,0.48095016,102.51759375
2016,10,16,0.52242285,109.58782375
2016,10,17,0.95378476,155.845275
2016,10,18,0.47365351,102.32400625
2016,10,19,0.27240494,69.13936125
2016,10,20,0.32488781,79.7977525
2016,10,21,1.49819186,182.5049275
2016,10,22,0.98210389,162.01725
2016,10,23,0.45706726,101.0393925
2016,10,24,0.38887257,90.07404125
2016,10,25,0.37367766,87.85541
2016,10,26,0.29047978,73.54515375
2016,10,27,0.59340098,112.711275
2016,10,28,0.88896451,139.45691125
2016,10,29,1.61358175,206.9031125
2016,10,30,0.44164006,94.88299125
2016,10,31,0.44607519,99.5707375
2017,10,1,0.83209574,144.999575
2017,10,2,0.53782738,108.93022875
2017,10,3,1.00540828,165.277475
2017,10,4,0.67714289,129.0104125
2017,10,5,0.38318382,89.016105
2017,10,6,0.46164272,100.9988125
2017,10,7,0.34961818,83.62511125
2017,10,8,0.51001181,107.14902
2017,10,9,0.47136009,102.70600625
2017,10,10,0.4222904,95.55706125
2017,10,11,1.28089549,187.0833125
2017,10,12,1.888009,216.3668375
2017,10,13,1.95861775,215.8941625
2017,10,14,1.38759085,193.3460375
2017,10,15,2.16973025,219.834375
2017,10,16,1.5618315,204.223825
2017,10,17,0.91991809,153.240775
2017,10,18,1.09958664,174.0745625
2017,10,19,1.36392112,194.315625
2017,10,20,0.8301613,146.6671625
2017,10,21,0.88902684,156.2023125
2017,10,22,0.5479219,114.95072125
2017,10,23,0.65078115,128.03335
2017,10,24,0.6342718,125.1349625
2017,10,25,0.56040355,115.9043
2017,10,26,0.43988671,98.23935875
2017,10,27,0.39794296,91.9991175
2017,10,28,0.49592531,104.3209475
2017,10,29,1.10651237,173.965225
2017,10,30,0.82958816,149.5194
2017,10,31,0.46358524,100.98786875
2018,10,1,0.38698501,89.213795
2018,10,2,0.37052679,86.798845
2018,10,3,1.44834857,193.261
2018,10,4,2.93442038,242.6627
2018,10,5,4.27884725,257.4337875
2018,10,6,4.304878,257.402525
2018,10,7,3.33330612,246.5416125
2018,10,8,0.87341859,150.976075
2018,10,9,0.79740374,146.36555
2018,10,10,0.52326682,111.03214125
2018,10,11,0.51687949,110.3139825
2018,10,12,0.64380636,127.28175
2018,10,13,0.63943475,125.6027625
2018,10,14,0.63906351,125.5313875
2018,10,15,0.61514158,122.3895
2018,10,16,1.85103186,210.0973
2018,10,17,0.48498101,105.7315725
2018,10,18,0.40749364,93.37422875
2018,10,19,0.72904514,138.987475
2018,10,20,0.83679099,150.2483125
2018,10,21,0.9726419,160.937675
2018,10,22,1.09789956,172.252075
2018,10,23,2.5825075,240.9048875
2018,10,24,1.31472634,174.2879625
2018,10,25,0.69253808,131.5859125
2018,10,26,0.64121889,124.2722525
2018,10,27,0.75470745,139.80091875
2018,10,28,0.93967112,162.925175
