####################################################################################################
# Month: 04Apr                                                                                     #
# Station: ATCA                                                                                    #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,04,1,12.396739,292.09885
2009,04,2,14.6896,290.85035
2009,04,3,15.05406125,292.165
2009,04,4,14.31072375,290.8747
2009,04,5,10.33711925,290.4939
2009,04,6,9.421633,290.1681
2009,04,7,9.81877962,288.5445
2009,04,8,8.378175,287.62055
2009,04,9,9.23975788,287.500625
2009,04,10,12.55779125,287.0820375
2009,04,11,14.22799875,286.3159875
2009,04,12,15.95587125,288.1712375
2009,04,13,14.1936825,288.2856
2009,04,14,11.70138775,289.8321375
2009,04,15,5.77586762,287.2653125
2009,04,16,7.80733612,289.16445
2009,04,17,7.1194865,287.9245375
2009,04,18,8.50417638,286.0105375
2009,04,19,9.63116013,285.678075
2009,04,20,10.412564,285.4933
2009,04,21,9.45454638,285.9997625
2009,04,22,7.76162888,285.902175
2009,04,23,7.21564,287.7164125
2009,04,24,9.98233688,288.650925
2009,04,25,7.81748212,286.364
2009,04,26,7.12603738,281.92555
2009,04,27,5.65206662,280.4778375
2009,04,28,7.34199088,283.396625
2009,04,29,7.14595338,282.0948
2009,04,30,5.65030288,280.9649375
2010,04,1,9.58146975,289.019225
2010,04,2,9.07266837,289.699375
2010,04,3,10.44939013,289.3906
2010,04,4,10.70912662,287.827775
2010,04,5,12.4717525,287.802775
2010,04,6,14.75582875,287.65485
2010,04,7,17.28051,290.268275
2010,04,8,11.517929,289.1225625
2010,04,9,10.00013575,288.9395
2010,04,10,12.54548875,290.8317375
2010,04,11,12.55766362,288.447875
2010,04,12,5.28454738,278.84325
2010,04,13,4.61412125,279.9226
2010,04,14,6.8037025,287.0512
2010,04,15,7.75608938,287.2380125
2010,04,16,7.5069565,286.4954875
2010,04,17,8.376242,287.6075625
2010,04,18,9.0000155,288.771375
2010,04,19,9.82914962,288.012975
2010,04,20,10.14951325,287.98795
2010,04,21,9.93423162,289.099675
2010,04,22,10.30146675,289.5854875
2010,04,23,9.90067263,289.718025
2010,04,24,11.17269125,289.6069125
2010,04,25,9.36548675,282.8083875
2010,04,26,4.46252588,280.5129625
2010,04,27,8.86612412,284.4066125
2010,04,28,5.77962362,284.131175
2010,04,29,6.987804,284.5664125
2010,04,30,6.40978275,284.6909625
2011,04,1,11.9196675,289.5467125
2011,04,2,10.0400805,289.6588125
2011,04,3,8.17532538,288.9945
2011,04,4,8.02427638,286.7930625
2011,04,5,8.82134913,286.46065
2011,04,6,8.03179175,286.7002375
2011,04,7,8.85059025,286.720125
2011,04,8,8.0225315,286.805775
2011,04,9,7.210468,287.6111
2011,04,10,11.5020585,286.0664875
2011,04,11,6.11641925,280.046925
2011,04,12,5.83030112,282.2142875
2011,04,13,6.34233887,284.9449375
2011,04,14,6.66395362,285.944375
2011,04,15,10.52921575,285.335275
2011,04,16,10.65187375,284.8275625
2011,04,17,10.51137475,285.6311125
2011,04,18,10.0208945,286.956625
2011,04,19,9.87783762,288.843225
2011,04,20,11.6255475,288.8143875
2011,04,21,10.870258,288.5982125
2011,04,22,7.48996975,286.5843125
2011,04,23,6.81178712,286.8717125
2011,04,24,7.48781375,287.4012125
2011,04,25,9.98053475,287.6886875
2011,04,26,9.2839465,284.8374
2011,04,27,7.73593213,283.2064625
