####################################################################################################
# Month: 11Nov                                                                                     #
# Station: BAJA                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,0.23714279,62.717125
2009,11,2,0.26572628,67.9287875
2009,11,3,0.29352996,73.3129425
2009,11,4,0.54223511,112.91115
2009,11,5,0.57341021,118.8862475
2009,11,6,0.91594789,162.750025
2009,11,7,0.89651408,159.868175
2009,11,8,0.57684508,121.5037875
2009,11,9,0.33425114,80.72224625
2009,11,10,0.44519331,98.67016875
2009,11,11,0.5539154,117.2291075
2009,11,12,0.32265312,77.36693
2009,11,13,0.65563748,125.506935
2009,11,14,0.37288514,86.38988875
2009,11,15,0.32655736,78.38919375
2009,11,16,0.2640421,66.8869275
2009,11,17,0.17905008,49.4166925
2009,11,18,0.25747981,64.60639
2009,11,19,0.17996311,49.26086125
2009,11,20,0.16567039,46.413175
2009,11,21,0.24372048,62.26102125
2009,11,22,0.41694448,95.43948375
2009,11,23,0.32321539,78.58163375
2009,11,24,0.49590436,109.4224125
2009,11,25,0.45817132,102.7779625
2009,11,26,0.41565554,95.0247025
2009,11,27,0.2454014,63.03651875
2009,11,28,0.25430689,62.6048825
2009,11,29,0.6995421,131.06552375
2009,11,30,0.6214442,122.29082875
2010,11,1,0.35926984,86.7224925
2010,11,2,0.72222642,143.64215625
2010,11,3,0.58790165,126.401125
2010,11,4,0.35819134,86.22770625
2010,11,5,0.17934789,49.666195
2010,11,6,0.20757516,55.61713375
2010,11,7,0.34181754,83.12087
2010,11,8,0.66399666,134.226525
2010,11,9,0.40968938,93.55447875
2010,11,10,0.506056,110.90740125
2010,11,11,0.26617079,67.11995625
2010,11,12,0.15390933,42.61825875
2010,11,13,0.41932024,94.880595
2010,11,14,0.38866271,89.12608875
2010,11,15,0.61462762,126.414375
2010,11,16,0.45421732,102.91952125
2010,11,17,0.34257678,82.27016875
2010,11,18,0.30845224,75.82276875
2010,11,19,0.25011575,63.82933
2010,11,20,0.40469816,91.58233
2010,11,21,0.20507851,52.18310125
2010,11,22,0.1391658,39.26799625
2010,11,23,0.46445094,97.01873
2010,11,24,0.59683546,114.7554225
2010,11,25,0.25915995,61.6847875
2010,11,26,0.13172294,38.802365
2010,11,27,0.16410619,45.043705
2010,11,28,0.20603319,54.31864375
2010,11,29,0.2133409,55.4824375
2010,11,30,0.25662312,64.72292625
2011,11,1,0.64063441,130.6840875
2011,11,2,0.46395709,100.79473625
2011,11,3,0.75883799,139.33254875
2011,11,4,0.92844451,160.75947875
2011,11,5,0.44733409,95.495565
2011,11,6,0.50930749,101.42612875
2011,11,7,0.27110561,67.0413875
2011,11,8,0.22233711,56.1489025
2011,11,9,0.35466514,79.555025
2011,11,10,0.17310371,45.7807875
2011,11,11,1.07520024,161.3433225
2011,11,12,0.83421856,151.5722875
2011,11,13,0.83419891,146.05030375
2011,11,14,0.73463014,139.290875
2011,11,15,0.63549004,128.3158675
