####################################################################################################
# Month: 03Mar                                                                                     #
# Station: BAN                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,03,1,0.21755785,52.24958375
2009,03,2,0.25939499,63.4370275
2009,03,3,0.27562606,64.75808125
2009,03,4,0.20749016,51.31360375
2009,03,5,0.11022841,29.45514625
2009,03,6,0.15540347,39.8488125
2009,03,7,0.27888755,66.03028125
2009,03,8,0.12986506,33.87856
2009,03,9,0.04812455,15.699235
2009,03,10,0.04290726,14.58599875
2009,03,11,0.06561848,20.1528275
2009,03,12,0.19693145,48.78491125
2009,03,13,0.33463151,75.1812275
2009,03,14,0.20169158,49.98576
2009,03,15,0.17995221,45.4387225
2009,03,16,0.16186109,40.9274075
2009,03,17,0.11155977,30.71788125
2009,03,18,0.13177307,34.5727225
2009,03,19,0.24831096,59.1562775
2009,03,20,0.2531463,60.4237075
2009,03,21,0.20718131,49.575785
2009,03,22,0.21166416,51.8038025
2009,03,23,0.14932589,39.46539875
2009,03,24,0.33286521,75.314875
2009,03,25,0.28910794,67.36325
2009,03,26,0.11985481,33.0291975
2009,03,27,0.22073212,53.38698625
2009,03,28,0.16112701,41.47169
2009,03,29,0.18591214,46.30879125
2009,03,30,0.15879053,40.88614875
2009,03,31,0.13754369,36.48345125
2010,03,1,0.28988812,69.0058625
2010,03,2,0.37970242,86.06200875
2010,03,3,0.34902586,78.671315
2010,03,4,0.11350399,31.99722125
2010,03,5,0.18683315,47.38593875
2010,03,6,0.19003574,48.949675
2010,03,7,0.14830314,39.90102125
2010,03,8,0.24470634,57.5435175
2010,03,9,0.05295893,17.43515125
2010,03,10,0.11221617,30.83255125
2010,03,11,0.21488799,53.1303975
2010,03,12,0.11590751,31.7587775
2010,03,13,0.09751646,27.41496375
2010,03,14,0.15372192,40.2309625
2010,03,15,0.27400356,65.22344375
2010,03,16,0.35102429,78.2923525
2010,03,17,0.4045583,87.54535625
2010,03,18,0.25538398,60.4955375
2010,03,19,0.11331957,31.42560875
2010,03,20,0.28742099,67.4290675
2010,03,21,0.23459636,56.442615
2010,03,22,0.29725718,68.98766375
2010,03,23,0.3051741,70.20239875
2010,03,24,0.36267321,80.90992125
2010,03,25,0.36217522,81.67943
2010,03,26,0.31627498,73.44099375
2010,03,27,0.2369888,57.8084125
2010,03,28,0.3032156,71.05069625
