####################################################################################################
# Month: 06Jun                                                                                     #
# Station: BAN                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,06,1,0,9.031371,266.4989
2009,06,1,1,7.651086,265.8599
2009,06,1,2,7.021691,265.7372
2009,06,1,3,6.495749,265.7085
2009,06,1,4,5.773722,264.9842
2009,06,1,5,4.641009,263.7468
2009,06,1,6,3.894507,261.9821
2009,06,1,7,4.466432,268.4665
2009,06,2,0,3.990764,264.1286
2009,06,2,1,2.869272,254.6635
2009,06,2,2,2.419819,244.3374
2009,06,2,3,3.035179,255.0882
2009,06,2,4,4.388534,265.9017
2009,06,2,5,5.04974,267.7042
2009,06,2,6,6.210549,269.1787
2009,06,2,7,8.056936,270.3439
2009,06,3,0,8.772565,271.6017
2009,06,3,1,8.439942,272.9052
2009,06,3,2,8.698088,273.411
2009,06,3,3,8.860563,273.943
2009,06,3,4,10.13872,274.0194
2009,06,3,5,11.11766,274.0544
2009,06,3,6,10.40233,274.3226
2009,06,3,7,10.66339,274.2484
2009,06,4,0,14.73654,274.8741
2009,06,4,1,17.58906,275.5522
2009,06,4,2,14.12879,275.6696
2009,06,4,3,12.97474,275.1854
2009,06,4,4,13.62955,273.5819
2009,06,4,5,12.50325,272.6646
2009,06,4,6,11.54689,271.9477
2009,06,4,7,13.49807,271.7486
2009,06,5,0,17.58212,274.9744
2009,06,5,1,14.33752,269.1779
2009,06,5,2,9.116636,269.5831
2009,06,5,3,8.776234,268.5861
2009,06,5,4,9.104715,266.5812
2009,06,5,5,9.721241,266.7563
2009,06,5,6,8.059268,264.7945
2009,06,5,7,6.095666,262.9245
2009,06,6,0,5.211616,261.9799
2009,06,6,1,3.702975,256.6881
2009,06,6,2,2.505849,240.605
2009,06,6,3,2.404277,236.1105
2009,06,6,4,2.953654,246.2562
2009,06,6,5,3.456727,253.8015
2009,06,6,6,4.718504,260.9987
2009,06,6,7,5.907786,265.5133
2009,06,7,0,6.815735,267.2847
2009,06,7,1,6.704421,264.7266
2009,06,7,2,5.835621,264.0044
2009,06,7,3,5.232141,265.6632
2009,06,7,4,5.001453,266.0108
2009,06,7,5,5.194134,265.6256
2009,06,7,6,5.166554,265.2004
2009,06,7,7,5.0448,262.8366
2009,06,8,0,5.742726,264.4391
2009,06,8,1,5.153485,265.1802
2009,06,8,2,4.033336,261.2532
2009,06,8,3,3.470285,258.7425
2009,06,8,4,3.042419,255.496
2009,06,8,5,2.875504,252.9252
2009,06,8,6,2.835298,252.0349
2009,06,8,7,4.373086,266.0691
2009,06,9,0,5.301984,268.2192
2009,06,9,1,5.125406,268.4215
2009,06,9,2,3.879713,262.1702
2009,06,9,3,3.138328,255.3065
2009,06,9,4,2.608623,247.0271
2009,06,9,5,2.689405,248.2306
2009,06,9,6,4.019374,261.1888
2009,06,9,7,6.918459,267.7951
2009,06,10,0,7.457769,269.3454
2009,06,10,1,6.739781,269.9905
2009,06,10,2,7.379889,270.3444
2009,06,10,3,8.426636,270.9874
2009,06,10,4,9.408845,270.9522
2009,06,10,5,8.91396,270.4056
2009,06,10,6,8.671176,270.4316
2009,06,10,7,10.0199,271.1329
2009,06,11,0,10.90502,272.311
2009,06,11,1,12.14046,272.8073
2009,06,11,2,14.78107,273.0493
2009,06,11,3,15.35991,273.2638
2009,06,11,4,14.29871,273.5144
2009,06,11,5,15.64781,273.7004
2009,06,11,6,17.03719,274.1741
2009,06,11,7,16.49614,274.0092
2009,06,12,0,13.83101,274.0299
2009,06,12,1,13.41341,274.0735
2009,06,12,2,14.10524,273.7875
2009,06,12,3,12.23661,274.1134
2009,06,12,4,11.78874,274.4954
2009,06,12,5,11.99286,274.8161
2009,06,12,6,11.73068,275.3081
2009,06,12,7,11.2294,275.895
2009,06,13,0,10.32343,276.2986
2009,06,13,1,11.29664,276.9433
2009,06,13,2,12.34071,277.2828
2009,06,13,3,12.97751,277.167
2009,06,13,4,10.73437,276.8439
2009,06,13,5,7.392528,275.7241
2009,06,13,6,7.036278,275.1493
2009,06,13,7,7.166888,274.7365
2009,06,14,0,8.775491,275.2836
2009,06,14,1,8.312809,275.4156
2009,06,14,2,7.581393,274.9979
2009,06,14,3,6.787874,274.4851
2009,06,14,4,8.132173,274.4395
2009,06,14,5,9.820548,275.1847
2009,06,14,6,9.946881,275.6546
2009,06,14,7,9.311937,275.9646
2009,06,15,0,11.85626,276.6476
2009,06,15,1,12.69407,276.9405
2009,06,15,2,13.41574,276.6054
2009,06,15,3,14.23451,276.1208
2009,06,15,4,12.77562,276.3503
2009,06,15,5,12.86644,276.7614
2009,06,15,6,13.18584,276.6633
2009,06,15,7,13.46472,275.837
2009,06,16,0,13.28467,276.2592
2009,06,16,1,16.22621,277.0576
2009,06,16,2,17.86996,277.2326
2009,06,16,3,16.52516,276.5397
2009,06,16,4,12.40031,276.0843
2009,06,16,5,6.871106,274.1727
2009,06,16,6,5.979823,271.1096
2009,06,16,7,9.009424,273.7814
2009,06,17,0,9.754712,273.0982
2009,06,17,1,10.6035,273.8643
2009,06,17,2,10.97866,273.6503
