####################################################################################################
# Month: 12Dec                                                                                     #
# Station: BAR                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,0.05773071,18.94665
2009,12,1,1,0.08657425,25.84335
2009,12,1,2,0.09779469,28.51304
2009,12,1,3,0.09884691,28.70177
2009,12,1,4,0.08773998,26.10038
2009,12,1,5,0.07404724,22.82853
2009,12,1,6,0.07545905,23.10187
2009,12,1,7,0.06719409,21.04648
2009,12,2,0,0.05734952,18.55232
2009,12,2,1,0.05942806,19.00836
2009,12,2,2,0.0677414,21.00512
2009,12,2,3,0.07108483,21.8951
2009,12,2,4,0.06683238,21.09778
2009,12,2,5,0.05371014,17.9915
2009,12,2,6,0.04541636,15.85005
2009,12,2,7,0.0578022,18.92554
2009,12,3,0,0.04854515,16.66611
2009,12,3,1,0.03293491,12.77603
2009,12,3,2,0.03586298,13.50531
2009,12,3,3,0.03630565,13.60697
2009,12,3,4,0.03121498,12.27047
2009,12,3,5,0.0358658,13.49122
2009,12,3,6,0.04188349,15.01787
2009,12,3,7,0.04156833,14.90932
2009,12,4,0,0.04953564,16.8288
2009,12,4,1,0.06661713,20.91715
2009,12,4,2,0.06890846,21.63806
2009,12,4,3,0.05973444,19.58438
2009,12,4,4,0.04525904,15.93714
2009,12,4,5,0.04406353,15.34785
2009,12,4,6,0.06060202,19.367
2009,12,4,7,0.07342983,22.41606
2009,12,5,0,0.08563973,25.26481
2009,12,5,1,0.1164477,32.24463
2009,12,5,2,0.2107664,52.09181
2009,12,5,3,0.2195372,54.20056
2009,12,5,4,0.1791286,45.94227
2009,12,5,5,0.06614901,20.82133
2009,12,5,6,0.0307333,12.14523
2009,12,5,7,0.04129351,14.85224
2009,12,6,0,0.04476827,15.65836
2009,12,6,1,0.0295952,11.78492
2009,12,6,2,0.03170601,12.33151
2009,12,6,3,0.02585148,10.83058
2009,12,6,4,0.02565837,10.74636
2009,12,6,5,0.02510992,10.62412
2009,12,6,6,0.02463937,10.534
