####################################################################################################
# Month: 06Jun                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/BGA                                   #
# Columns are: year    month   day     segment         Pbase (mbar)                                #
####################################################################################################
year,month,day,segment,Pbase
2009,06,1,0,675.02768
2009,06,1,1,674.19127
2009,06,1,2,672.77602
2009,06,1,3,671.06285
2009,06,1,4,670.52031
2009,06,1,5,670.34159
2009,06,1,6,670.00751
2009,06,1,7,669.69641
2009,06,2,0,670.00942
2009,06,2,1,670.69891
2009,06,2,2,671.00297
2009,06,2,3,671.34057
2009,06,2,4,671.42811
2009,06,2,5,671.27239
2009,06,2,6,671.16441
2009,06,2,7,671.26023
2009,06,3,0,671.95812
2009,06,3,1,672.36982
2009,06,3,2,672.43631
2009,06,3,3,672.93168
2009,06,3,4,673.66205
2009,06,3,5,673.7137
2009,06,3,6,674.18924
2009,06,3,7,674.99154
2009,06,4,0,675.49824
2009,06,4,1,675.40832
2009,06,4,2,675.09146
2009,06,4,3,674.80972
2009,06,4,4,674.53657
2009,06,4,5,673.64791
2009,06,4,6,672.87555
2009,06,4,7,672.65825
2009,06,5,0,672.3239
2009,06,5,1,671.92076
2009,06,5,2,672.08121
2009,06,5,3,672.41255
2009,06,5,4,672.89736
2009,06,5,5,673.42459
2009,06,5,6,674.20997
2009,06,5,7,674.80878
2009,06,6,0,675.32107
2009,06,6,1,675.51335
2009,06,6,2,675.8813
2009,06,6,3,676.26803
2009,06,6,4,676.59942
2009,06,6,5,676.73596
2009,06,6,6,676.95673
2009,06,6,7,677.15077
2009,06,7,0,677.43658
2009,06,7,1,677.53495
2009,06,7,2,677.27692
2009,06,7,3,676.89633
2009,06,7,4,676.73599
2009,06,7,5,676.44452
2009,06,7,6,676.31915
2009,06,7,7,675.94416
2009,06,8,0,675.1428
2009,06,8,1,674.02812
2009,06,8,2,673.31622
2009,06,8,3,672.68248
2009,06,8,4,671.92993
2009,06,8,5,671.24097
2009,06,8,6,670.793
2009,06,8,7,670.08725
2009,06,9,0,669.39233
2009,06,9,1,668.72117
2009,06,9,2,668.71768
2009,06,9,3,668.82842
2009,06,9,4,668.90647
2009,06,9,5,669.14388
2009,06,9,6,669.81962
2009,06,9,7,670.38534
2009,06,10,0,670.79646
2009,06,10,1,670.56142
2009,06,10,2,671.02548
2009,06,10,3,671.40093
2009,06,10,4,671.55484
2009,06,10,5,671.27958
2009,06,10,6,670.79781
2009,06,10,7,670.58706
2009,06,11,0,670.11284
2009,06,11,1,668.88559
2009,06,11,2,668.32348
2009,06,11,3,667.90952
2009,06,11,4,667.09565
2009,06,11,5,666.14927
2009,06,11,6,665.75192
2009,06,11,7,665.56945
2009,06,12,0,665.26454
2009,06,12,1,664.96643
2009,06,12,2,664.9477
2009,06,12,3,665.15787
2009,06,12,4,665.19941
2009,06,12,5,665.1847
2009,06,12,6,665.47297
2009,06,12,7,665.80928
2009,06,13,0,666.471
2009,06,13,1,666.97248
2009,06,13,2,667.59816
2009,06,13,3,667.97242
2009,06,13,4,667.93905
2009,06,13,5,667.38277
2009,06,13,6,667.30583
2009,06,13,7,667.4017
2009,06,14,0,667.35262
2009,06,14,1,666.92012
2009,06,14,2,666.78219
2009,06,14,3,666.69427
2009,06,14,4,666.44047
2009,06,14,5,666.15111
2009,06,14,6,667.09287
2009,06,14,7,667.76106
2009,06,15,0,667.46429
2009,06,15,1,666.90939
2009,06,15,2,667.18182
2009,06,15,3,667.37448
2009,06,15,4,667.14142
2009,06,15,5,667.17701
2009,06,15,6,667.64967
2009,06,15,7,667.8025
2009,06,16,0,668.33851
2009,06,16,1,668.39559
2009,06,16,2,668.32055
2009,06,16,3,668.2994
2009,06,16,4,668.23857
2009,06,16,5,667.82247
2009,06,16,6,667.55036
2009,06,16,7,667.33766
2009,06,17,0,667.01772
2009,06,17,1,666.29966
2009,06,17,2,665.63073
2009,06,17,3,664.90657
2009,06,17,4,664.24496
2009,06,17,5,663.42711
2009,06,17,6,662.51959
2009,06,17,7,661.66867
2009,06,18,0,660.89635
2009,06,18,1,660.30023
2009,06,18,2,660.20224
2009,06,18,3,660.24551
2009,06,18,4,660.45087
2009,06,18,5,660.0929
2009,06,18,6,660.05874
2009,06,18,7,660.29997
2009,06,19,0,660.60574
2009,06,19,1,660.91106
2009,06,19,2,661.14011
2009,06,19,3,661.86636
2009,06,19,4,662.56074
2009,06,19,5,662.86875
2009,06,19,6,664.02949
2009,06,19,7,665.28722
2009,06,20,0,666.03523
2009,06,20,1,666.38743
2009,06,20,2,667.30263
2009,06,20,3,668.16545
2009,06,20,4,669.12329
2009,06,20,5,669.33885
2009,06,20,6,669.83481
2009,06,20,7,670.21737
2009,06,21,0,670.39573
2009,06,21,1,670.11437
2009,06,21,2,669.22593
2009,06,21,3,668.17652
2009,06,21,4,667.12349
2009,06,21,5,666.15338
2009,06,21,6,665.30204
2009,06,21,7,664.72418
2009,06,22,0,664.16898
2009,06,22,1,663.48589
2009,06,22,2,663.94501
2009,06,22,3,665.04947
2009,06,22,4,665.6617
2009,06,22,5,666.00631
2009,06,22,6,667.18175
2009,06,22,7,668.77238
2009,06,23,0,669.98406
2009,06,23,1,670.55545
2009,06,23,2,671.08642
2009,06,23,3,671.62177
2009,06,23,4,671.40959
2009,06,23,5,670.83625
2009,06,23,6,670.51104
2009,06,23,7,670.19409
2009,06,24,0,669.08062
2009,06,24,1,667.44844
2009,06,24,2,666.53153
2009,06,24,3,665.8827
2009,06,24,4,665.06151
2009,06,24,5,664.59411
2009,06,24,6,664.48536
2009,06,24,7,664.62132
2009,06,25,0,664.21784
2009,06,25,1,663.88797
2009,06,25,2,664.0884
2009,06,25,3,664.20631
2009,06,25,4,664.39414
2009,06,25,5,664.82966
2009,06,25,6,664.71137
2009,06,25,7,664.61062
2009,06,26,0,664.82254
2009,06,26,1,664.98061
2009,06,26,2,665.25453
2009,06,26,3,665.72563
2009,06,26,4,666.25357
2009,06,26,5,666.7633
2009,06,26,6,667.37578
2009,06,26,7,667.90295
2009,06,27,0,667.97708
2009,06,27,1,667.73698
2009,06,27,2,667.8927
2009,06,27,3,668.14058
2009,06,27,4,668.19564
2009,06,27,5,667.64733
2009,06,27,6,667.25055
2009,06,27,7,667.20387
2009,06,28,0,666.50298
2009,06,28,1,665.48854
2009,06,28,2,664.99615
2009,06,28,3,664.71604
2009,06,28,4,664.5868
2009,06,28,5,664.79004
2009,06,28,6,664.69153
