####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BGA                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,0.97557319,167.772525
2009,07,2,0.80833206,149.4509875
2009,07,3,0.95362412,166.4124125
2009,07,4,0.84244509,152.9275875
2009,07,5,0.61905815,125.3953825
2009,07,6,0.78587714,144.9017625
2009,07,7,0.65075919,128.31075125
2009,07,8,0.28073699,69.63644625
2009,07,9,0.60147909,121.5970525
2009,07,10,0.5461672,110.81287375
2009,07,11,0.53214361,110.5292025
2009,07,12,0.46399,100.5279675
2009,07,13,0.12887025,36.50868
2009,07,14,0.17727904,48.1809775
2009,07,15,0.22974661,59.792475
2009,07,16,0.28709276,71.00692375
2009,07,17,0.54855088,114.61905875
2009,07,18,0.33066579,79.4269675
2009,07,19,0.39903214,87.67636625
2009,07,20,0.12500502,36.1680125
2009,07,21,0.12116539,35.09822
2009,07,22,0.17592106,47.66101
2009,07,23,0.1978342,52.3792675
2009,07,24,0.29413138,73.0473625
2009,07,25,0.24561448,62.78228125
2009,07,26,0.20293912,53.64451625
2009,07,27,0.11820326,33.72284125
2009,07,28,0.27233605,68.37817875
2009,07,29,0.3344082,79.37078125
2009,07,30,0.33776804,80.16083875
2009,07,31,0.28039134,69.39511375
2010,07,1,0.82778036,152.24945
2010,07,2,0.81572835,151.1843875
2010,07,3,0.67495124,132.6621525
2010,07,4,0.49491149,104.9729825
2010,07,5,0.18687249,49.392575
2010,07,6,0.31376596,75.21649625
2010,07,7,0.46789655,100.854555
2010,07,8,0.4154203,91.33194
2010,07,9,0.52779262,109.88711125
2010,07,10,0.66154018,131.888
2010,07,11,0.59452741,121.90476125
2010,07,12,0.60814369,124.45618125
2010,07,13,0.43487914,97.5673275
2010,07,14,0.47287312,104.65271625
2010,07,15,0.49548081,107.13230125
2010,07,16,0.31138942,75.69172
2010,07,17,0.18137171,48.39564625
2010,07,18,0.29072882,70.0097825
2010,07,19,0.42639442,93.90010375
2010,07,20,0.66469377,129.93967
2010,07,21,0.67694809,131.91377
2010,07,22,0.6512079,130.169975
2010,07,23,0.32479965,77.9115325
2010,07,24,0.31824695,74.52062375
2010,07,25,0.8352656,151.1968875
2010,07,26,0.66222324,130.86015
2010,07,27,0.5893835,119.71007375
2010,07,28,0.34271334,79.17544875
2010,07,29,0.14605091,40.83321
2010,07,30,0.11160775,33.08705
2010,07,31,0.13135968,37.69440875
2011,07,1,0.57255294,113.35964875
2011,07,2,0.39357131,87.57612875
2011,07,3,0.4741877,99.2109325
2011,07,4,0.24479726,61.761705
2011,07,5,0.5570777,113.8690725
2011,07,6,0.63248145,122.35566875
2011,07,7,0.22738799,58.47767125
2011,07,8,0.18411097,49.13764
2011,07,9,0.15024915,42.3072225
2011,07,10,0.23942866,61.79739625
2011,07,11,0.32802305,78.3360675
2011,07,12,0.41847869,93.51621625
2011,07,13,0.22493796,58.6253725
2011,07,14,0.15714175,43.6073225
2011,07,15,0.23051448,59.6365075
2011,07,16,0.42372638,96.450875
2011,07,17,0.5221587,109.95692
2011,07,18,0.25133109,63.76350625
2011,07,19,0.31429038,77.0093575
2011,07,20,0.58175961,117.38779625
2011,07,21,0.21442454,55.5115425
2011,07,22,0.30636035,73.64277375
2011,07,23,0.41202192,89.95338
2011,07,24,0.56037042,116.40169
2011,07,25,0.55929745,114.63819
2011,07,26,0.54450292,113.48678375
2011,07,27,0.39752062,91.67889875
2011,07,28,0.4517206,99.57867375
2011,07,29,0.70157744,137.290365
2011,07,30,0.56930385,118.7537825
2011,07,31,0.37829581,86.46212625
2012,07,1,0.21701279,57.088675
2012,07,2,0.1374528,38.8858775
2012,07,3,0.08890633,27.36046875
2012,07,4,0.22788355,58.54938875
2012,07,5,0.34558024,81.93747
2012,07,6,0.36311972,83.6704475
2012,07,7,0.51206185,108.5243425
2012,07,8,0.43573313,96.49299125
2012,07,9,0.37135912,86.68993625
2012,07,10,0.49394869,104.61088125
2012,07,11,0.31868289,77.36682125
2012,07,12,0.22840488,58.151475
2012,07,13,0.48944215,106.05423625
2012,07,14,0.26762369,67.77760125
2012,07,15,0.30945048,76.13489125
2012,07,16,0.35360961,82.998015
2012,07,17,0.2515946,61.92966125
2012,07,18,0.13057208,37.2816925
2012,07,19,0.10202972,30.71295375
2012,07,20,0.09368483,28.77574625
2012,07,21,0.13569559,38.58433625
2012,07,22,0.31389991,75.86330625
2012,07,23,0.39669252,86.39198375
2012,07,24,0.42176595,93.35394375
2012,07,25,0.26058614,65.66860375
2012,07,26,0.65186916,115.84750125
2012,07,27,0.9632721,163.434145
2012,07,28,0.57817939,120.06473625
2012,07,29,0.30729162,75.09147125
2012,07,30,0.41464102,94.31997125
2012,07,31,0.48687055,103.35423875
2013,07,1,0.25218464,62.42798875
2013,07,2,0.10941465,32.17787
2013,07,3,0.13237186,37.26044875
2013,07,4,0.18949736,49.41995625
2013,07,5,0.67689989,128.03654125
2013,07,6,0.84542062,152.7562125
2013,07,7,0.7646529,143.7228
2013,07,8,0.74711266,141.600375
2013,07,9,0.79499564,146.3108625
2013,07,10,0.87448129,155.9048125
2013,07,11,0.73166981,140.964875
2013,07,12,0.66904729,130.51192375
2013,07,13,0.2077357,54.21776
2013,07,14,0.19787038,51.69686375
2013,07,15,0.38221811,87.453265
2013,07,16,0.59047048,118.92945375
2013,07,17,0.34909116,80.18383375
2013,07,18,0.16773009,45.7243325
2013,07,19,0.24424526,61.83082625
2013,07,20,0.34517516,80.4701075
2013,07,21,0.58578522,118.32524125
2013,07,22,0.34775849,79.70279125
2013,07,23,0.1267181,36.3912275
2013,07,24,0.13961812,38.90623
2013,07,25,0.3015164,71.10212
2013,07,26,0.38633286,89.1689325
2013,07,27,0.22466328,58.210495
2013,07,28,0.22567747,58.6067075
2013,07,29,0.18950261,50.908485
2013,07,30,0.50534815,103.11055625
2013,07,31,0.42357884,92.402025
2014,07,1,0.18463803,48.51727
2014,07,2,0.21478321,56.22942875
2014,07,3,0.33269258,76.6495025
2014,07,4,0.16953446,45.499355
2014,07,5,0.22176355,57.21402375
2014,07,6,0.40862909,92.2448975
2014,07,7,0.48493935,104.3561325
2014,07,8,0.44769002,98.216215
2014,07,9,0.25933486,65.32043875
2014,07,10,0.14592697,40.34556625
2014,07,11,0.41817856,92.84829125
2014,07,12,0.47731405,101.01946125
2014,07,13,0.42796994,95.036625
2014,07,14,0.5899242,119.3940925
2014,07,15,0.69214784,134.0665375
2014,07,16,0.68715168,132.32973875
2014,07,17,0.6376917,126.4870575
2014,07,18,0.80595115,148.5312875
2014,07,19,0.86075485,155.6168125
2014,07,20,0.5814682,118.00867875
2014,07,21,0.16827895,45.941095
2014,07,22,0.577526,118.7917
2014,07,23,0.73095035,139.7630125
2014,07,24,0.54222605,114.984885
2014,07,25,0.36606816,85.4260125
2014,07,26,0.49680824,106.4410525
2014,07,27,0.43891538,98.01673
2014,07,28,0.45770526,99.22249375
2014,07,29,0.5179453,110.1308125
2014,07,30,0.57402225,119.50865875
2014,07,31,0.49417216,107.4930425
2015,07,1,0.66535401,130.04994375
2015,07,2,0.33064031,78.46138375
2015,07,3,0.32247635,77.40847375
2015,07,4,0.41791718,93.5959775
2015,07,5,0.36314121,83.71043
2015,07,6,0.14344758,40.09493375
2015,07,7,0.13129334,37.34355
2015,07,8,0.13003049,37.45932
2015,07,9,0.21071246,54.9308
2015,07,10,0.3569206,82.3170525
2015,07,11,0.14586956,40.83651375
2015,07,12,0.225427,57.83986625
2015,07,13,0.24726645,62.42433375
2015,07,14,0.41336378,92.65524625
2015,07,15,0.24653925,63.16296875
2015,07,16,0.11037156,32.733175
2015,07,17,0.13711892,38.88419125
2015,07,18,0.16754404,45.95742
2015,07,19,0.27147282,68.11830375
2015,07,20,0.34354958,82.37068
2015,07,21,0.28932074,71.98060375
2015,07,22,0.17844684,48.6370325
2015,07,23,0.10169738,30.78174
2015,07,24,0.16250251,44.5372125
2015,07,25,0.4916544,104.8357975
2015,07,26,0.37682939,85.98105625
2015,07,27,0.51005955,110.6369125
2015,07,28,0.54007472,113.51898625
2015,07,29,0.42053149,95.44649375
2015,07,30,0.51769939,108.86316625
2015,07,31,0.67522957,133.951825
2016,07,1,0.59978835,115.9871875
2016,07,2,0.68125094,132.8327875
2016,07,3,0.47668248,102.35496375
2016,07,4,0.47501039,103.82537625
2016,07,5,0.32922096,78.09857625
2016,07,6,0.47686092,104.37602125
2016,07,7,0.37754116,85.57947125
2016,07,8,0.20159232,52.9396275
2016,07,9,0.26333218,65.22964
2016,07,10,0.20196579,53.19620625
2016,07,11,0.24716132,63.45887125
2016,07,12,0.1839019,49.93082375
2016,07,13,0.2018973,53.5151375
2016,07,14,0.40872005,93.79582125
2016,07,15,0.54935349,110.98713
2016,07,16,0.36424419,86.13146125
2016,07,17,0.4548256,97.09202625
2016,07,18,0.21603076,56.51819875
2016,07,19,0.32014271,77.4962075
2016,07,20,0.3757935,86.55974125
2016,07,21,0.15274558,42.40245125
2016,07,22,0.21827228,57.12197875
2016,07,23,0.28883883,71.8107375
2016,07,24,0.32721461,79.213205
2016,07,25,0.2906518,71.48518625
2016,07,26,0.46373669,100.92077125
2016,07,27,0.50851804,109.55198
2016,07,28,0.39605431,91.44158
2016,07,29,0.6029463,122.88958375
2016,07,30,0.46625824,103.1400075
2016,07,31,0.39376378,90.47388875
2017,07,1,0.33785921,81.1063075
2017,07,2,0.4789606,104.55684375
2017,07,3,0.61051754,122.93231
2017,07,4,0.16523458,43.73550125
2017,07,5,0.14247465,40.064665
2017,07,6,0.16260828,44.52856125
2017,07,7,0.20969229,54.20760875
2017,07,8,0.36701671,85.90854375
2017,07,9,0.36461555,85.5589325
2017,07,10,0.53584681,111.686445
2017,07,11,0.34678895,82.76417625
2017,07,12,0.2250825,58.19679
2017,07,13,0.46340745,102.837165
2017,07,14,0.46768022,100.60140625
2017,07,15,0.69560552,134.337285
2017,07,16,0.74732102,142.4055375
2017,07,17,0.55125785,115.0542725
2017,07,18,0.44487864,98.37597
2017,07,19,0.19091689,50.92156125
2017,07,20,0.25644378,64.55257875
2017,07,21,0.16011988,44.29579875
2017,07,22,0.31378675,75.89783625
2017,07,23,0.53703649,114.66448625
2017,07,24,0.52643221,112.3797675
2017,07,25,0.48887664,106.57395625
2017,07,26,0.45643422,101.20616875
2017,07,27,0.57937152,118.913745
2017,07,28,0.22075024,56.6422275
2017,07,29,0.26881468,67.0733175
2017,07,30,0.23334335,60.209345
2017,07,31,0.17255239,46.70983375
2018,07,1,0.29177346,69.08827125
2018,07,2,0.53775754,113.17012625
2018,07,3,0.43637844,98.10583875
2018,07,4,0.58207454,116.86493875
2018,07,5,0.43729689,93.2278325
