####################################################################################################
# Month: 01Jan                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/BGK                          #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,01,1,867.7863775
2009,01,2,867.01195
2009,01,3,869.9811325
2009,01,4,871.92342375
2009,01,5,869.41311125
2009,01,6,869.5614375
2009,01,7,869.91892875
2009,01,8,866.04359125
2009,01,9,865.70017375
2009,01,10,870.7670075
2009,01,11,866.9643525
2009,01,12,863.29216375
2009,01,13,865.09476
2009,01,14,864.99996625
2009,01,15,867.41910375
2009,01,16,868.18919875
2009,01,17,863.368735
2009,01,18,860.06381625
2009,01,19,861.3148325
2009,01,20,866.77321375
2009,01,21,864.95841
2009,01,22,863.23844625
2009,01,23,868.63746625
2009,01,24,863.2184725
2009,01,25,862.76074375
2009,01,26,864.9925125
2009,01,27,865.228585
2009,01,28,861.22788625
2009,01,29,860.49211625
2009,01,30,866.57122875
2009,01,31,867.69168625
2010,01,1,873.79753375
2010,01,2,879.20519875
2010,01,3,876.97985375
2010,01,4,878.03281125
2010,01,5,877.31196625
2010,01,6,874.76902
2010,01,7,875.1007125
2010,01,8,877.3337875
2010,01,9,877.74679875
2010,01,10,872.1036025
2010,01,11,870.64223375
2010,01,12,869.34817
2010,01,13,867.47900875
2010,01,14,870.31285875
2010,01,15,870.1677975
2010,01,16,867.731185
2010,01,17,866.69438625
2010,01,18,872.77959375
2010,01,19,872.4945
2010,01,20,869.60912875
2010,01,21,872.9646125
2010,01,22,875.91325875
2010,01,23,872.34262
2010,01,24,868.93732625
2010,01,25,872.78895125
2010,01,26,870.13340125
2010,01,27,872.0713475
2010,01,28,874.148215
2010,01,29,871.53057375
2010,01,30,868.8957075
2010,01,31,867.98444
2011,01,1,868.75487875
2011,01,2,867.87315125
2011,01,3,871.2665875
2011,01,4,869.4047925
2011,01,5,863.43983625
2011,01,6,865.8730225
2011,01,7,866.53994875
2011,01,8,869.50531875
2011,01,9,871.8139475
2011,01,10,872.362535
2011,01,11,874.46362
2011,01,12,870.27188375
2011,01,13,870.48096875
2011,01,14,876.144495
2011,01,15,876.76574125
2011,01,16,875.28779625
2011,01,17,876.91699125
2011,01,18,875.5712475
2011,01,19,874.82162625
2011,01,20,870.59750875
2011,01,21,867.57496375
2011,01,22,865.7985025
2011,01,23,866.03844625
2011,01,24,863.87088875
2011,01,25,865.53618
2011,01,26,868.3754275
2011,01,27,866.656065
2011,01,28,864.63130625
2011,01,29,867.031075
2011,01,30,867.390365
2011,01,31,867.01871125
2012,01,1,869.032535
2012,01,2,873.9412075
2012,01,3,866.97529375
2012,01,4,864.95684625
2012,01,5,863.08193625
2012,01,6,860.1341025
2012,01,7,861.64576625
2012,01,8,863.04988375
2012,01,9,860.46576
2012,01,10,862.411905
2012,01,11,865.9405675
2012,01,12,864.29300875
2012,01,13,864.34956125
2012,01,14,863.94846
2012,01,15,863.6474575
2012,01,16,860.74538625
2012,01,17,860.27066125
2012,01,18,864.1781775
2012,01,19,865.71395625
2012,01,20,863.44922375
2012,01,21,860.91485
2012,01,22,860.31488125
2012,01,23,856.99136625
2012,01,24,861.91420625
2012,01,25,864.5470225
2012,01,26,864.3283025
2012,01,27,862.22459125
2012,01,28,860.9659525
2012,01,29,857.4919275
2012,01,30,857.92434375
2012,01,31,857.26283875
2013,01,1,872.73849625
2013,01,2,875.8712025
2013,01,3,873.62127875
2013,01,4,874.45349375
2013,01,5,871.1479575
2013,01,6,870.71238625
2013,01,7,872.29416875
2013,01,8,871.8030725
2013,01,9,872.29980375
2013,01,10,867.55871875
2013,01,11,865.295165
2013,01,12,866.68303375
2013,01,13,868.6217275
2013,01,14,872.405725
2013,01,15,868.91854125
2013,01,16,864.47254625
2013,01,17,866.03328875
2013,01,18,868.34443375
2013,01,19,866.23280875
2013,01,20,867.79871875
2013,01,21,870.4648925
2013,01,22,870.16171625
2013,01,23,864.07817375
2013,01,24,865.86132125
2013,01,25,867.31248875
2013,01,26,866.07075125
2013,01,27,864.1526175
2013,01,28,864.01229625
2013,01,29,863.346965
2013,01,30,867.4027125
2013,01,31,865.10709125
2014,01,1,874.09507125
2014,01,2,872.0583025
2014,01,3,867.4324075
2014,01,4,871.42483625
2014,01,5,872.8037025
2014,01,6,872.41193375
2014,01,7,872.65491625
2014,01,8,870.9053875
2014,01,9,874.44610625
2014,01,10,872.81172125
2014,01,11,868.6493325
2014,01,12,871.01272875
2014,01,13,871.60442125
2014,01,14,872.93724125
2014,01,15,872.88459875
2014,01,16,873.31885625
2014,01,17,876.30457875
2014,01,18,869.387145
2014,01,19,865.6864675
2014,01,20,871.85743625
2014,01,21,872.99185875
2014,01,22,867.4973
2014,01,23,870.16489375
2014,01,24,873.93073875
2014,01,25,874.00286875
2014,01,26,868.9412975
2014,01,27,866.6588925
2014,01,28,864.65162875
2014,01,29,866.4964475
2014,01,30,868.14725625
2014,01,31,868.93916375
2015,01,1,870.4890975
2015,01,2,870.14262
2015,01,3,869.30034
2015,01,4,870.19300625
2015,01,5,872.50337375
2015,01,6,870.66937875
2015,01,7,868.80751125
2015,01,8,867.65932875
2015,01,9,865.72530625
2015,01,10,866.60206875
2015,01,11,867.79148625
2015,01,12,870.59682375
2015,01,13,873.0027375
2015,01,14,871.40830625
2015,01,15,868.640085
2015,01,16,870.75624125
2015,01,17,869.80060625
2015,01,18,857.33497375
2015,01,19,867.16996375
2015,01,20,867.934255
2015,01,21,863.779835
2015,01,22,867.429135
2015,01,23,866.719825
2015,01,24,863.53856375
2015,01,25,864.3375325
2015,01,26,865.55505375
2015,01,27,865.19479125
2015,01,28,868.26318625
2015,01,29,867.01909125
2015,01,30,871.30024
2015,01,31,868.0245425
2016,01,1,863.227905
2016,01,2,870.0055925
2016,01,3,867.70507125
