####################################################################################################
# Month: 12Dec                                                                                     #
# Station: BGK                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,12,1,15.36935162
2009,12,2,23.04879262
2009,12,3,22.66123212
2009,12,4,19.08845725
2009,12,5,22.86855125
2009,12,6,14.2707575
2009,12,7,20.78699925
2009,12,8,18.482186
2009,12,9,13.81650462
2009,12,10,10.73815288
2009,12,11,23.31253412
2009,12,12,10.38034187
2009,12,13,11.5790905
2009,12,14,8.64494375
2009,12,15,6.11250275
2009,12,16,8.88995375
2009,12,17,12.4501745
2009,12,18,11.10896912
2009,12,19,14.39159825
2009,12,20,15.79890075
2009,12,21,13.0099425
2009,12,22,12.14584788
2009,12,23,15.08939988
2009,12,24,26.83752062
2009,12,25,25.72906962
2009,12,26,16.12820887
2009,12,27,7.438872
2009,12,28,3.93476437
2009,12,29,11.88290238
2009,12,30,6.12859637
2009,12,31,8.14511475
2010,12,1,15.75957312
2010,12,2,5.07765912
2010,12,3,3.76174938
2010,12,4,9.64605675
2010,12,5,6.198054
2010,12,6,6.25535938
2010,12,7,6.507311
2010,12,8,7.3477045
2010,12,9,17.76845925
2010,12,10,17.15420913
2010,12,11,15.79476662
2010,12,12,13.418846
2010,12,13,14.55587438
2010,12,14,21.24471162
2010,12,15,14.86087112
2010,12,16,12.19565488
2010,12,17,22.721826
2010,12,18,29.35862938
2010,12,19,17.13560775
2010,12,20,16.70790575
2010,12,21,14.54334412
2010,12,22,14.965568
2010,12,23,12.6463945
2010,12,24,9.31592525
2010,12,25,9.28316688
2010,12,26,22.79627712
2010,12,27,18.01632912
2010,12,28,11.452089
2010,12,29,14.09210438
2010,12,30,18.81351462
2010,12,31,12.82203738
2011,12,1,7.56835525
2011,12,2,8.19465975
2011,12,3,12.70792975
2011,12,4,16.64984362
2011,12,5,8.09588562
2011,12,6,14.102824
2011,12,7,5.0127515
2011,12,8,14.674412
2011,12,9,10.5546545
2011,12,10,11.15919475
2011,12,11,16.82039325
2011,12,12,17.306783
2011,12,13,22.15685925
2011,12,14,19.93365912
2011,12,15,15.70680025
2011,12,16,8.99451125
2011,12,17,7.37352862
2011,12,18,13.38303788
2011,12,19,11.27911662
2011,12,20,18.23188575
2011,12,21,11.83911125
2011,12,22,11.033445
2011,12,23,13.5192915
2011,12,24,14.86059562
2011,12,25,13.479597
2011,12,26,14.16140912
2011,12,27,10.99720588
2011,12,28,9.63160538
2011,12,29,11.99175812
2011,12,30,10.47809525
2011,12,31,11.1172555
2012,12,1,13.56366075
2012,12,2,15.9106115
2012,12,3,6.14208138
2012,12,4,7.822812
2012,12,5,18.78595075
2012,12,6,9.70495225
2012,12,7,17.35196562
2012,12,8,14.45539275
2012,12,9,5.97172925
2012,12,10,10.01808275
2012,12,11,10.22925325
2012,12,12,5.36419175
2012,12,13,4.73479025
2012,12,14,9.59064562
2012,12,15,15.94931262
2012,12,16,14.06171437
2012,12,17,12.08429125
2012,12,18,7.09728962
2012,12,19,11.120257
2012,12,20,11.1487285
2012,12,21,7.53303438
2012,12,22,8.35445113
2012,12,23,18.10581738
2012,12,24,14.913687
2012,12,25,18.30930538
2012,12,26,14.926893
2012,12,27,12.20018838
2012,12,28,24.30257588
2012,12,29,42.25162438
2012,12,30,26.88540438
2012,12,31,21.96356488
2013,12,1,19.71890162
2013,12,2,17.04894912
2013,12,3,17.39522825
2013,12,4,9.24767888
2013,12,5,5.2320335
2013,12,6,6.04284338
2013,12,7,13.0459685
2013,12,8,15.3073005
2013,12,9,14.82616375
2013,12,10,10.99021075
2013,12,11,11.68197925
2013,12,12,11.80127475
2013,12,13,18.756905
2013,12,14,11.8403785
2013,12,15,4.680982
2013,12,16,5.52676612
2013,12,17,13.457321
2013,12,18,16.02099025
2013,12,19,13.269918
2013,12,20,14.09709175
2013,12,21,21.65294788
2013,12,22,20.6708875
2013,12,23,23.99907488
2013,12,24,27.291543
2013,12,25,25.16699275
2013,12,26,20.93587588
2013,12,27,22.56424025
2013,12,28,17.43359338
2013,12,29,17.47816613
2013,12,30,23.97167375
2013,12,31,20.06360675
2014,12,1,25.0293005
2014,12,2,22.07974888
2014,12,3,17.08772775
2014,12,4,5.21089212
2014,12,5,13.54965213
2014,12,6,9.7070025
2014,12,7,8.06912475
2014,12,8,11.87353675
2014,12,9,19.49361312
2014,12,10,27.78212638
2014,12,11,17.4361
2014,12,12,6.97945612
2014,12,13,10.16255525
2014,12,14,18.396953
2014,12,15,8.60594288
2014,12,16,15.7909045
2014,12,17,8.38577688
2014,12,18,11.20352375
2014,12,19,17.80828275
2014,12,20,15.24612175
2014,12,21,9.59448688
2014,12,22,26.35489125
2014,12,23,18.95319388
2014,12,24,4.9091255
2014,12,25,8.699501
2014,12,26,11.53726088
2014,12,27,9.1416395
2014,12,28,22.99268988
2014,12,29,27.790688
2014,12,30,15.72922862
2014,12,31,14.10528862
2015,12,1,16.41729538
2015,12,2,9.07402788
2015,12,3,7.35374675
2015,12,4,14.807285
2015,12,5,24.10654538
2015,12,6,7.01072013
2015,12,7,18.598369
2015,12,8,29.62669688
2015,12,9,10.84758512
2015,12,10,16.62357688
2015,12,11,5.82514075
2015,12,12,3.85560662
2015,12,13,6.60398025
2015,12,14,13.90602338
2015,12,15,16.33326425
2015,12,16,6.526854
2015,12,17,25.37973675
2015,12,18,14.36851838
2015,12,19,14.316628
2015,12,20,20.07766388
2015,12,21,15.56509038
2015,12,22,8.90435638
2015,12,23,18.20104825
2015,12,24,18.6766395
2015,12,25,4.96663012
2015,12,26,10.6581915
2015,12,27,17.43065738
2015,12,28,15.17555012
2015,12,29,14.23249938
2015,12,30,18.83991438
2015,12,31,18.01056512
2016,12,1,14.250889
2016,12,2,20.31466512
2016,12,3,15.742053
2016,12,4,10.8508185
2016,12,5,14.91889788
2016,12,6,9.10721812
2016,12,7,11.80117875
2016,12,8,20.82350325
2016,12,9,21.0738745
2016,12,10,19.30664825
2016,12,11,13.80443412
2016,12,12,8.81130825
2016,12,13,19.768072
2016,12,14,14.43494862
2016,12,15,15.58286325
2016,12,16,17.94859938
2016,12,17,13.43350125
2016,12,18,18.70485712
2016,12,19,19.01509588
2016,12,20,13.3281055
2016,12,21,11.52505725
2016,12,22,9.90067537
2016,12,23,7.822371
2016,12,24,10.6236275
2016,12,25,18.14950525
2016,12,26,18.149157
2016,12,27,30.11212737
2016,12,28,27.37842188
2016,12,29,22.99606588
2016,12,30,12.15952813
