####################################################################################################
# Month: 08Aug                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/BLDR                         #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,08,1,697.02827625
2009,08,2,698.4187525
2009,08,3,694.82292625
2009,08,4,696.94263625
2009,08,5,691.4960575
2009,08,6,685.8841975
2009,08,7,678.88665
2009,08,8,677.8543125
2009,08,9,677.53628625
2009,08,10,675.46904875
2009,08,11,684.5924575
2009,08,12,695.17197625
2009,08,13,700.2244675
2009,08,14,698.01142375
2009,08,15,698.3471475
2009,08,16,694.72985375
2009,08,17,693.23065625
2009,08,18,687.43300375
2009,08,19,676.24569625
2009,08,20,675.4258125
2009,08,21,682.05587
2009,08,22,682.8659875
2009,08,23,682.67365875
2009,08,24,683.95129
2009,08,25,690.6197375
2009,08,26,694.51407
2009,08,27,690.90914125
2009,08,28,686.44602875
2009,08,29,684.09592125
2009,08,30,687.29646
2009,08,31,687.8539675
2010,08,1,681.891185
2010,08,2,677.61664875
2010,08,3,680.87633375
2010,08,4,688.889525
2010,08,5,692.25710875
2010,08,6,690.15017625
2010,08,7,685.72670625
2010,08,8,681.0649525
2010,08,9,680.49140375
2010,08,10,680.54635125
2010,08,11,680.33587625
2010,08,12,680.78336
2010,08,13,685.661945
2010,08,14,687.69019625
2010,08,15,687.49732
2010,08,16,685.81859875
2010,08,17,677.99860625
2010,08,18,672.5795075
2010,08,19,675.31693375
2010,08,20,675.87247875
2010,08,21,682.2058125
2010,08,22,686.91773625
2010,08,23,689.4729025
2010,08,24,691.42543
2010,08,25,691.62250625
2010,08,26,690.3649925
2010,08,27,690.14633125
2010,08,28,683.34654
2010,08,29,675.95568375
2010,08,30,677.84609
2010,08,31,679.4275375
2011,08,1,722.07575125
2011,08,2,720.817275
2011,08,3,712.01023
2011,08,4,697.64821875
2011,08,5,691.607775
2011,08,6,686.88315875
2011,08,7,687.0622075
2011,08,8,693.9892525
2011,08,9,700.4526575
2011,08,10,700.60683375
2011,08,11,689.74463
2011,08,12,691.60738375
2011,08,13,701.0422925
2011,08,14,697.36201125
2011,08,15,690.546245
2011,08,16,686.90627875
2011,08,17,680.97536
2011,08,18,681.503475
2011,08,19,684.29528625
2011,08,20,685.71368375
2011,08,21,690.2444975
2011,08,22,692.27016875
2011,08,23,692.0537875
2011,08,24,694.1468
2011,08,25,693.85668
2011,08,26,695.74668125
2011,08,27,700.574925
2011,08,28,704.29195
2011,08,29,698.31734625
2011,08,30,696.45670625
2011,08,31,698.06634375
2012,08,1,689.53992125
2012,08,2,688.68976
2012,08,3,683.14143625
2012,08,4,678.16677375
2012,08,5,680.66666375
2012,08,6,687.84462625
2012,08,7,687.9685075
2012,08,8,682.02647375
2012,08,9,687.40140375
2012,08,10,687.19714375
2012,08,11,682.2347525
2012,08,12,676.82338875
2012,08,13,679.02527
2012,08,14,676.76789875
2012,08,15,677.89232
2012,08,16,685.7682775
2012,08,17,686.238035
2012,08,18,681.5435675
2012,08,19,682.9856925
2012,08,20,686.51467125
2012,08,21,686.19159625
2012,08,22,684.07271625
2012,08,23,685.51641875
2012,08,24,687.78784
2012,08,25,687.1956075
2012,08,26,688.61151625
2012,08,27,691.734415
2012,08,28,693.2076225
2012,08,29,692.46928125
2012,08,30,693.32856
2012,08,31,694.77508625
2013,08,1,685.26572125
2013,08,2,684.58778625
2013,08,3,685.91545625
2013,08,4,680.88562625
2013,08,5,683.30379875
2013,08,6,688.1804525
2013,08,7,695.91091625
2013,08,8,698.94631625
2013,08,9,698.68266125
2013,08,10,702.654075
2013,08,11,712.0624225
2013,08,12,712.81053625
2013,08,13,722.65106375
2013,08,14,722.174385
2013,08,15,708.569925
2013,08,16,707.2079775
2013,08,17,703.9368275
2013,08,18,696.21485875
2013,08,19,695.76507375
2013,08,20,694.54603
2013,08,21,696.3779475
2013,08,22,692.1100775
2013,08,23,687.5264475
2013,08,24,685.0291225
2013,08,25,681.15992625
2013,08,26,680.61475125
2013,08,27,678.80482625
2013,08,28,679.96563625
2013,08,29,683.3295725
2013,08,30,689.8322425
2013,08,31,693.1769975
2014,08,1,686.7210175
2014,08,2,682.21368875
2014,08,3,685.2798725
2014,08,4,685.88472375
2014,08,5,683.37649375
2014,08,6,685.24839625
2014,08,7,687.19671875
2014,08,8,688.6678
2014,08,9,688.16046375
2014,08,10,684.187035
2014,08,11,680.757835
2014,08,12,681.43492375
2014,08,13,684.5970075
2014,08,14,685.289925
2014,08,15,685.2251125
2014,08,16,681.375015
2014,08,17,676.40033875
2014,08,18,672.748285
2014,08,19,678.81797875
2014,08,20,685.41714875
2014,08,21,688.092405
2014,08,22,688.3668
2014,08,23,683.66825
2014,08,24,694.19211375
2014,08,25,694.80194875
2014,08,26,698.14755875
2014,08,27,706.01010375
2014,08,28,706.16935875
2014,08,29,703.79578125
2014,08,30,701.54628
2014,08,31,697.7107425
2015,08,1,692.81719
2015,08,2,696.393115
2015,08,3,698.66281625
2015,08,4,691.32981
2015,08,5,690.76828125
2015,08,6,692.589065
2015,08,7,686.03298375
2015,08,8,677.95591
2015,08,9,683.0216775
2015,08,10,682.4071525
2015,08,11,682.14770875
2015,08,12,682.21017375
2015,08,13,680.2469975
2015,08,14,678.50752625
2015,08,15,676.07967875
2015,08,16,673.19911125
2015,08,17,676.74857625
2015,08,18,677.0910675
2015,08,19,676.92566
2015,08,20,682.27965125
2015,08,21,677.92038125
2015,08,22,674.68809125
2015,08,23,672.2372575
2015,08,24,671.2138625
2015,08,25,674.375945
2015,08,26,679.41250625
2015,08,27,682.77076625
2015,08,28,686.5995775
2015,08,29,690.02380375
2015,08,30,686.616215
2015,08,31,677.14806
2016,08,1,683.77736125
2016,08,2,689.48731
2016,08,3,699.4562075
2016,08,4,697.46532625
2016,08,5,692.715495
2016,08,6,694.9776225
2016,08,7,699.400175
2016,08,8,697.00626375
2016,08,9,696.3370575
2016,08,10,695.0884375
2016,08,11,697.2802
2016,08,12,707.5226775
2016,08,13,711.44569125
2016,08,14,708.6422125
2016,08,15,705.11621
2016,08,16,693.19233375
2016,08,17,686.2335375
2016,08,18,694.7069075
2016,08,19,696.01782
2016,08,20,692.621685
2016,08,21,691.42637
2016,08,22,690.56080875
2016,08,23,691.05597375
2016,08,24,688.0164525
2016,08,25,685.1532025
2016,08,26,682.1036875
2016,08,27,680.20476875
2016,08,28,679.625715
2016,08,29,683.01173
2016,08,30,687.35659125
2016,08,31,680.11604375
2017,08,1,681.89083875
2017,08,2,681.8549975
2017,08,3,686.26798
2017,08,4,690.57764125
2017,08,5,691.88608
2017,08,6,689.11763625
2017,08,7,687.40548875
2017,08,8,680.88495625
2017,08,9,679.03595875
2017,08,10,680.7131925
2017,08,11,679.318945
2017,08,12,680.63997125
2017,08,13,681.97269625
2017,08,14,685.86502375
2017,08,15,692.47638375
2017,08,16,694.97408
2017,08,17,695.52842
2017,08,18,695.817965
2017,08,19,694.90621
2017,08,20,693.81114875
2017,08,21,689.71816625
2017,08,22,689.04502625
2017,08,23,687.63036875
2017,08,24,685.11303375
2017,08,25,678.519045
2017,08,26,672.70185625
2017,08,27,668.49110875
2017,08,28,672.0654425
2017,08,29,673.83610875
2017,08,30,676.919555
2017,08,31,678.88072
2018,08,1,694.19536625
2018,08,2,693.07569
2018,08,3,697.53486875
2018,08,4,696.339645
2018,08,5,687.37036375
2018,08,6,693.9076
2018,08,7,699.37566
2018,08,8,707.44947625
2018,08,9,707.4209975
2018,08,10,703.39489625
2018,08,11,697.70245875
2018,08,12,694.54514125
2018,08,13,700.9517725
2018,08,14,704.80127875
2018,08,15,703.49263
2018,08,16,699.95462125
2018,08,17,695.16961625
2018,08,18,693.09653375
2018,08,19,687.443905
2018,08,20,685.290915
2018,08,21,685.40787875
2018,08,22,689.4627375
2018,08,23,691.4439325
2018,08,24,692.68603125
2018,08,25,692.51609375
2018,08,26,691.466615
2018,08,27,682.7663425
2018,08,28,674.209295
2018,08,29,680.58082375
2018,08,30,684.40344
2018,08,31,677.595975
2019,08,1,675.93526125
2019,08,2,679.1251325
2019,08,3,681.7123875
2019,08,4,689.645335
2019,08,5,691.6073925
2019,08,6,688.80126875
2019,08,7,688.88188
2019,08,8,694.68513
2019,08,9,694.23879125
2019,08,10,687.91854
2019,08,11,688.77636375
2019,08,12,683.8529575
2019,08,13,677.3009075
2019,08,14,676.8959525
2019,08,15,683.75066375
2019,08,16,688.41922375
2019,08,17,686.214295
2019,08,18,687.50885875
2019,08,19,690.47763875
2019,08,20,693.81576625
2019,08,21,695.1153875
2019,08,22,692.77653125
2019,08,23,690.5829325
2019,08,24,689.09945625
2019,08,25,683.934955
2019,08,26,686.208475
2019,08,27,687.73801
2019,08,28,686.8721425
2019,08,29,686.63953875
2019,08,30,687.83323625
2019,08,31,691.19822375
