####################################################################################################
# Month: 08Aug                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/BLDR                         #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,08,1,282.0625
2009,08,2,287.8625
2009,08,3,289.675
2009,08,4,289.7375
2009,08,5,289.575
2009,08,6,287.3375
2009,08,7,286.575
2009,08,8,285.5625
2009,08,9,282.175
2009,08,10,282.1125
2009,08,11,284.8625
2009,08,12,288.625
2009,08,13,288.9
2009,08,14,286.7125
2009,08,15,285.05
2009,08,16,283.1
2009,08,17,280.775
2009,08,18,280.85
2009,08,19,282.3625
2009,08,20,280.9875
2009,08,21,283.9375
2009,08,22,288.4875
2009,08,23,290.075
2009,08,24,286.625
2009,08,25,282.3125
2009,08,26,282.7875
2009,08,27,283.9
2009,08,28,284.0875
2009,08,29,283.5875
2009,08,30,282.4
2009,08,31,285.5125
2010,08,1,286.9625
2010,08,2,285.175
2010,08,3,284.2375
2010,08,4,285.15
2010,08,5,284.425
2010,08,6,284.925
2010,08,7,287.0125
2010,08,8,284.8
2010,08,9,283.9875
2010,08,10,284.425
2010,08,11,286.45
2010,08,12,287.1125
2010,08,13,286.1875
2010,08,14,286.6875
2010,08,15,283.375
2010,08,16,285.7
2010,08,17,283.3875
2010,08,18,286.7875
2010,08,19,286.2
2010,08,20,282.75
2010,08,21,286.3375
2010,08,22,289.1875
2010,08,23,287.9875
2010,08,24,279.9875
2010,08,25,284.525
2010,08,26,287.675
2010,08,27,289.775
2010,08,28,288.2375
2010,08,29,285.85
2010,08,30,285.45
2010,08,31,282.4375
2011,08,1,292.8375
2011,08,2,288.85
2011,08,3,286.1625
2011,08,4,286.9625
2011,08,5,286.8625
2011,08,6,287.9375
2011,08,7,289.05
2011,08,8,289.175
2011,08,9,289.2875
2011,08,10,288.5875
2011,08,11,288.9375
2011,08,12,288.275
2011,08,13,288.725
2011,08,14,289.15
2011,08,15,286.2625
2011,08,16,287.1875
2011,08,17,285.875
2011,08,18,288.85
2011,08,19,289.3
2011,08,20,284.95
2011,08,21,287.35
2011,08,22,288.3875
2011,08,23,289.65
2011,08,24,291.1625
2011,08,25,290.2375
2011,08,26,287.7875
2011,08,27,287.6625
2011,08,28,291.1375
2011,08,29,286.1125
2011,08,30,288.2
2011,08,31,289.6125
2012,08,1,288.5875
2012,08,2,286.3125
2012,08,3,288.375
2012,08,4,285.4625
2012,08,5,284.8625
2012,08,6,289.925
2012,08,7,287.2875
2012,08,8,287.1125
2012,08,9,289.1625
2012,08,10,288.3625
2012,08,11,287.0625
2012,08,12,283.45
2012,08,13,284.1875
2012,08,14,284.8375
2012,08,15,287.625
2012,08,16,285.8
2012,08,17,286.3625
2012,08,18,283.2625
2012,08,19,282.2
2012,08,20,285.525
2012,08,21,284.0375
2012,08,22,287.1125
2012,08,23,283.7625
2012,08,24,285.525
2012,08,25,286.4375
2012,08,26,286.9625
2012,08,27,288.9
2012,08,28,288.9625
2012,08,29,289.325
2012,08,30,289.4375
2012,08,31,287.65
2013,08,1,287.25
2013,08,2,286.7375
2013,08,3,287.2875
2013,08,4,285.375
2013,08,5,286.25
2013,08,6,286.0375
2013,08,7,284.525
2013,08,8,284.0
2013,08,9,282.0125
2013,08,10,284.825
2013,08,11,286.05
2013,08,12,285.775
2013,08,13,284.7625
2013,08,14,285.7875
2013,08,15,287.7125
2013,08,16,288.4375
2013,08,17,290.35
2013,08,18,290.9875
2013,08,19,288.625
2013,08,20,290.45
2013,08,21,289.075
2013,08,22,286.15
2013,08,23,285.9125
2013,08,24,286.9
2013,08,25,285.7625
2013,08,26,286.525
2013,08,27,285.6375
2013,08,28,287.0875
2013,08,29,288.1125
2013,08,30,288.3125
2013,08,31,287.975
2014,08,1,280.7
2014,08,2,281.7
2014,08,3,284.15
2014,08,4,286.0875
2014,08,5,284.2625
2014,08,6,284.7375
2014,08,7,284.9
2014,08,8,284.525
2014,08,9,285.7375
2014,08,10,281.825
2014,08,11,281.2875
2014,08,12,284.6
2014,08,13,287.075
2014,08,14,286.825
2014,08,15,285.525
2014,08,16,286.0875
2014,08,17,286.7125
2014,08,18,286.1375
2014,08,19,285.9375
2014,08,20,285.025
2014,08,21,284.325
2014,08,22,282.5125
2014,08,23,282.1
2014,08,24,281.9
2014,08,25,284.175
2014,08,26,283.6625
2014,08,27,283.4125
2014,08,28,281.8125
2014,08,29,284.0
2014,08,30,285.875
2014,08,31,286.2375
2015,08,1,287.7625
2015,08,2,289.325
2015,08,3,287.6375
2015,08,4,286.3
2015,08,5,287.825
2015,08,6,289.7625
2015,08,7,288.25
2015,08,8,284.3875
2015,08,9,284.7625
2015,08,10,283.4875
2015,08,11,284.9875
2015,08,12,285.4375
2015,08,13,286.05
2015,08,14,285.8625
2015,08,15,288.15
2015,08,16,286.5375
2015,08,17,285.025
2015,08,18,281.625
2015,08,19,274.75
2015,08,20,282.5
2015,08,21,285.775
2015,08,22,287.525
2015,08,23,282.8375
2015,08,24,285.5
2015,08,25,286.5375
2015,08,26,288.3625
2015,08,27,285.45
2015,08,28,283.075
2015,08,29,285.4
2015,08,30,288.525
2015,08,31,285.85
2016,08,1,286.7125
2016,08,2,288.4375
2016,08,3,288.775
2016,08,4,287.325
2016,08,5,280.9
2016,08,6,283.725
2016,08,7,286.1
2016,08,8,287.225
2016,08,9,289.575
2016,08,10,289.0
2016,08,11,287.05
2016,08,12,283.725
2016,08,13,286.5125
2016,08,14,287.025
2016,08,15,289.35
2016,08,16,285.8125
2016,08,17,285.4125
2016,08,18,286.8
2016,08,19,282.3625
2016,08,20,279.4625
2016,08,21,283.45
2016,08,22,288.2
2016,08,23,286.3
2016,08,24,280.1375
2016,08,25,279.2375
2016,08,26,278.675
2016,08,27,281.3375
2016,08,28,283.475
2016,08,29,282.9375
2016,08,30,280.8375
2016,08,31,280.725
2017,08,1,283.475
2017,08,2,285.7375
2017,08,3,282.15
2017,08,4,286.225
2017,08,5,287.375
2017,08,6,283.125
2017,08,7,280.5
2017,08,8,280.225
2017,08,9,280.475
2017,08,10,281.5625
2017,08,11,281.625
2017,08,12,284.025
2017,08,13,284.1625
2017,08,14,285.2625
2017,08,15,286.675
2017,08,16,280.5875
2017,08,17,283.7375
2017,08,18,286.725
2017,08,19,288.9875
2017,08,20,288.8
2017,08,21,286.775
2017,08,22,285.175
2017,08,23,286.45
2017,08,24,284.925
2017,08,25,284.4125
2017,08,26,285.2375
2017,08,27,284.175
2017,08,28,283.325
2017,08,29,285.475
2017,08,30,285.8875
2017,08,31,285.8
2018,08,1,286.2875
2018,08,2,287.0125
2018,08,3,287.75
2018,08,4,289.2125
2018,08,5,288.0875
2018,08,6,287.025
2018,08,7,284.775
2018,08,8,286.75
2018,08,9,286.85
2018,08,10,287.5375
2018,08,11,287.225
2018,08,12,288.45
2018,08,13,289.0875
2018,08,14,286.75
2018,08,15,287.5375
2018,08,16,288.4625
2018,08,17,287.2125
2018,08,18,285.8625
2018,08,19,280.9
2018,08,20,280.8
2018,08,21,283.9875
2018,08,22,282.725
2018,08,23,285.25
2018,08,24,286.0375
2018,08,25,287.85
2018,08,26,288.0
2018,08,27,286.6625
2018,08,28,284.1125
2018,08,29,284.25
2018,08,30,287.425
2018,08,31,286.4125
2019,08,1,285.525
2019,08,2,284.95
2019,08,3,286.3375
2019,08,4,289.3875
2019,08,5,287.6375
2019,08,6,288.4
2019,08,7,289.7875
2019,08,8,286.2
2019,08,9,287.4125
2019,08,10,287.3125
2019,08,11,287.1
2019,08,12,286.125
2019,08,13,286.0625
2019,08,14,284.725
2019,08,15,287.9375
2019,08,16,288.5875
2019,08,17,287.525
2019,08,18,287.3875
2019,08,19,290.6875
2019,08,20,291.1625
2019,08,21,288.6625
2019,08,22,287.85
2019,08,23,286.8
2019,08,24,286.55
2019,08,25,288.45
2019,08,26,286.75
2019,08,27,282.25
2019,08,28,284.825
2019,08,29,289.0125
2019,08,30,286.9625
2019,08,31,287.6625
