####################################################################################################
# Month: 01Jan                                                                                     #
# Station: BMAC                                                                                    #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,01,1,0.62283938
2009,01,2,0.47290975
2009,01,3,0.49173012
2009,01,4,0.51126125
2009,01,5,0.363159
2009,01,6,0.18932862
2009,01,7,0.28140663
2009,01,8,0.468673
2009,01,9,0.83481362
2009,01,10,0.94917962
2009,01,11,0.87221612
2009,01,12,0.9359615
2009,01,13,0.83950338
2009,01,14,0.67094475
2009,01,15,0.8080655
2009,01,16,0.56852325
2009,01,17,0.39008388
2009,01,18,0.40521388
2009,01,19,0.40143325
2009,01,20,0.228769
2009,01,21,0.47110512
2009,01,22,0.60661012
2009,01,23,0.48608888
2009,01,24,0.49978525
2009,01,25,0.31064938
2009,01,26,0.65435088
2009,01,27,0.85200425
2009,01,28,0.85626838
2009,01,29,0.72419162
2009,01,30,0.70870638
2009,01,31,0.65551975
2010,01,1,0.6891605
2010,01,2,0.66343712
2010,01,3,0.80674275
2010,01,4,0.72461
2010,01,5,0.23719112
2010,01,6,0.47145025
2010,01,7,0.80921925
2010,01,8,0.75172725
2010,01,9,0.74721575
2010,01,10,0.8436365
2010,01,11,0.9461165
2010,01,12,0.81929662
2010,01,13,0.78649738
2010,01,14,0.69523288
2010,01,15,0.858341
2010,01,16,0.51585075
2010,01,17,0.30539812
2010,01,18,0.45993988
2010,01,19,0.83743925
2010,01,20,0.93892475
2010,01,21,0.69350512
2010,01,22,0.87647662
2010,01,23,0.97571862
2010,01,24,0.83687862
2010,01,25,0.86418438
2010,01,26,0.9790265
2010,01,27,0.85177188
2010,01,28,0.72314175
2010,01,29,0.76316938
2010,01,30,0.603798
2010,01,31,0.59486162
2011,01,1,0.9036525
2011,01,2,0.75869862
2011,01,3,0.88312575
2011,01,4,0.8781065
2011,01,5,0.71367375
2011,01,6,0.47763725
2011,01,7,0.375002
2011,01,8,0.5277935
2011,01,9,0.25607712
2011,01,10,0.76403487
2011,01,11,0.88571788
2011,01,12,0.83114612
2011,01,13,0.88476
2011,01,14,0.7766705
2011,01,15,0.72600775
2011,01,16,0.7258895
2011,01,17,0.83192275
2011,01,18,0.85269925
2011,01,19,0.77515225
2011,01,20,0.883923
2011,01,21,0.90218825
2011,01,22,0.85891225
2011,01,23,0.95208025
2011,01,24,0.921915
2011,01,25,0.9576935
2011,01,26,0.59428238
2011,01,27,0.33690688
2011,01,28,0.21379762
2011,01,29,0.47995462
2011,01,30,0.84070512
2011,01,31,0.74402138
2012,01,1,0.47660088
2012,01,2,0.3710385
2012,01,3,0.30919637
2012,01,4,0.26351638
2012,01,5,0.49969462
2012,01,6,0.40602062
2012,01,7,0.624264
2012,01,8,0.78052587
2012,01,9,0.801164
2012,01,10,0.78634312
2012,01,11,0.50533288
2012,01,12,0.479275
2012,01,13,0.8183625
