####################################################################################################
# Month: 11Nov                                                                                     #
# Station: BOL                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,0.0478098,16.24382512
2009,11,2,0.15947631,41.45267625
2009,11,3,0.22028694,53.81492125
2009,11,4,0.31120015,72.1107325
2009,11,5,0.27434123,65.69462625
2009,11,6,0.25811141,62.39505
2009,11,7,0.15341495,41.16077625
2009,11,8,0.19149159,49.19367
2009,11,9,0.24492657,59.98635
2009,11,10,0.13533253,36.78914625
2009,11,11,0.14275152,38.88428375
2009,11,12,0.1669333,43.90057625
2009,11,13,0.2635083,63.51942625
2009,11,14,0.28855212,68.71891125
2009,11,15,0.33022368,75.72852
2009,11,16,0.36378544,81.969355
2009,11,17,0.29241252,69.5891325
2009,11,18,0.27835646,65.94955875
2009,11,19,0.23032262,57.2675625
2009,11,20,0.23795536,58.37402
2009,11,21,0.2946457,69.842105
2009,11,22,0.25426302,61.41527375
2009,11,23,0.19502299,49.34806
2009,11,24,0.23775511,58.99966625
2009,11,25,0.21592331,53.96287125
2009,11,26,0.20068492,50.98223625
2009,11,27,0.31579235,73.19076375
2009,11,28,0.32007445,74.2157775
2009,11,29,0.36982879,82.59598
2009,11,30,0.32850661,75.76924375
2010,11,1,0.10897553,30.65123125
2010,11,2,0.07462964,23.24493625
2010,11,3,0.09167921,27.02744875
2010,11,4,0.04774193,16.58386375
2010,11,5,0.05188241,17.08847775
2010,11,6,0.18053461,45.75009375
2010,11,7,0.07514692,23.10561
2010,11,8,0.11153718,31.48672625
2010,11,9,0.20461578,51.28538375
2010,11,10,0.19781816,50.01213
2010,11,11,0.12212714,33.54462625
2010,11,12,0.0757236,23.00854625
2010,11,13,0.08634214,25.645305
2010,11,14,0.12645928,34.7758675
2010,11,15,0.07986974,24.0542875
2010,11,16,0.22827908,56.26256125
2010,11,17,0.10867609,30.9358425
2010,11,18,0.10980628,30.98630625
2010,11,19,0.12886084,34.80490875
2010,11,20,0.19688575,49.333945
2010,11,21,0.17741328,45.524085
2010,11,22,0.27654331,64.8637075
2010,11,23,0.23060062,56.67015
2010,11,24,0.2571873,61.59687625
2010,11,25,0.20492945,51.34526
2010,11,26,0.08131242,24.4980025
2010,11,27,0.10061323,28.8533075
2010,11,28,0.10086262,28.90937625
2010,11,29,0.23714708,57.17995125
2010,11,30,0.18201608,46.89366
2011,11,1,0.19832601,50.63293625
2011,11,2,0.17818439,46.414035
2011,11,3,0.18647341,48.4484725
2011,11,4,0.19696961,50.68301875
2011,11,5,0.25298756,62.1737325
2011,11,6,0.31215284,73.54458125
2011,11,7,0.09380538,27.744455
2011,11,8,0.09287035,27.65051
2011,11,9,0.10196342,29.74952125
2011,11,10,0.13119579,35.857325
2011,11,11,0.11154742,31.4719
2011,11,12,0.10570168,30.17764375
2011,11,13,0.08040079,24.633635
2011,11,14,0.13328225,36.56909375
2011,11,15,0.17211364,43.91268875
2011,11,16,0.18049625,46.77419875
2011,11,17,0.07113294,22.0242475
2011,11,18,0.15972844,41.43062
2011,11,19,0.26928419,64.57876125
2011,11,20,0.25250349,61.9895875
2011,11,21,0.26333741,64.11991125
2011,11,22,0.31313661,72.927265
2011,11,23,0.18850089,48.890715
2011,11,24,0.11438037,32.42384
2011,11,25,0.2243937,56.36842875
2011,11,26,0.20350478,51.63324625
2011,11,27,0.1648584,43.70061375
2011,11,28,0.06036902,19.61524375
2011,11,29,0.1701523,43.90125625
2011,11,30,0.07394803,22.75325375
2012,11,1,0.16329482,43.090355
2012,11,2,0.29899446,70.4633375
2012,11,3,0.1469045,39.4129475
2012,11,4,0.16143462,42.64032
2012,11,5,0.24416754,59.6823875
2012,11,6,0.31087149,72.54241375
2012,11,7,0.35079988,80.15709
2012,11,8,0.16002165,42.6232725
2012,11,9,0.05565432,18.550275
2012,11,10,0.05602471,18.2310775
2012,11,11,0.14636792,38.80710625
2012,11,12,0.09372918,27.220065
2012,11,13,0.12360485,34.1931175
2012,11,14,0.10005638,28.68649125
2012,11,15,0.13357115,35.88610625
2012,11,16,0.26892416,64.4546475
2012,11,17,0.26111974,62.28434
2012,11,18,0.23410349,57.58944875
2012,11,19,0.19074448,49.03810875
2012,11,20,0.26859598,64.70054125
2012,11,21,0.24901188,60.44036625
2012,11,22,0.26001682,63.1634975
2012,11,23,0.17057018,44.69912
2012,11,24,0.23982065,58.4653875
2012,11,25,0.32126261,74.97862
2012,11,26,0.16289652,42.94220375
2012,11,27,0.17403502,44.86026375
2012,11,28,0.07050248,21.76909875
2012,11,29,0.22231046,54.57316875
2012,11,30,0.27472285,65.83558625
2013,11,1,0.35968101,81.3455125
2013,11,2,0.18691941,47.85923375
2013,11,3,0.3200248,74.41111375
2013,11,4,0.2144563,53.985565
2013,11,5,0.18867816,48.22152375
2013,11,6,0.0862207,25.09008238
2013,11,7,0.02531679,10.83681738
2013,11,8,0.03723384,13.9065575
2013,11,9,0.02187425,9.89450175
2013,11,10,0.09055952,26.35758
2013,11,11,0.14137383,38.095285
2013,11,12,0.28427232,67.15846
2013,11,13,0.19117591,48.99493875
2013,11,14,0.10973225,31.23385375
2013,11,15,0.11885462,33.26056625
2013,11,16,0.23295408,57.053185
2013,11,17,0.22284548,55.016555
2013,11,18,0.08126808,24.5113425
2013,11,19,0.12926288,34.77570375
2013,11,20,0.31140459,73.00232375
2013,11,21,0.33478139,77.372325
2013,11,22,0.34626306,79.61374125
2013,11,23,0.15099309,40.2646425
2013,11,24,0.09656716,28.58304875
2013,11,25,0.10501637,30.2347075
2013,11,26,0.22543394,55.74229125
2013,11,27,0.1200344,33.81301375
2013,11,28,0.12340308,33.617505
2013,11,29,0.17348129,45.18076875
2013,11,30,0.09474324,27.67722125
2014,11,1,0.18873451,47.4597175
2014,11,2,0.34725454,79.190965
2014,11,3,0.21887092,54.38592875
2014,11,4,0.08719763,25.39172
2014,11,5,0.18074711,46.17924375
2014,11,6,0.07858197,23.73694375
2014,11,7,0.03648003,13.6755825
2014,11,8,0.05406054,18.1311325
2014,11,9,0.17505713,44.8417175
2014,11,10,0.27059662,64.56294625
2014,11,11,0.17284498,44.97723625
2014,11,12,0.1571515,41.87693875
2014,11,13,0.19587781,50.07855125
2014,11,14,0.12038717,33.48446375
2014,11,15,0.12806054,35.58215125
2014,11,16,0.1362284,37.34368
2014,11,17,0.14504454,39.40631
2014,11,18,0.18225094,47.096365
2014,11,19,0.05824363,18.87266375
2014,11,20,0.12095086,33.0661175
2014,11,21,0.2125488,53.02329
2014,11,22,0.25804059,62.00695625
2014,11,23,0.3657324,82.15195
2014,11,24,0.25999519,62.747525
2014,11,25,0.17837996,46.14007875
2014,11,26,0.18740762,47.44080625
2014,11,27,0.30197219,70.3425425
2014,11,28,0.19710116,50.29250125
2014,11,29,0.12614966,34.91778375
2014,11,30,0.16875952,43.793225
2015,11,1,0.27859939,66.36525125
2015,11,2,0.2402221,58.69386
2015,11,3,0.25421998,61.7552075
2015,11,4,0.18176789,45.9743825
2015,11,5,0.11958846,33.27423125
2015,11,6,0.1927329,49.65382375
2015,11,7,0.15039877,40.53262875
2015,11,8,0.2163887,54.59331125
2015,11,9,0.21357834,53.97067375
2015,11,10,0.1707077,44.82535375
2015,11,11,0.29452634,68.8078125
2015,11,12,0.2709471,65.05081125
2015,11,13,0.2028367,51.21634625
2015,11,14,0.11091638,31.3989125
2015,11,15,0.32969422,76.07461625
2015,11,16,0.27039764,64.9787975
2015,11,17,0.16483767,43.289395
2015,11,18,0.16798347,43.288285
2015,11,19,0.07189772,22.183055
2015,11,20,0.13866413,36.41066875
2015,11,21,0.13110236,36.06413125
2015,11,22,0.05909612,19.1612125
2015,11,23,0.05699128,18.77692125
2015,11,24,0.06554578,20.7069725
2015,11,25,0.10345671,29.5584875
2015,11,26,0.0969772,28.02861375
2015,11,27,0.14808198,39.64414875
2015,11,28,0.18708621,48.06302
2015,11,29,0.28355424,67.52663375
2015,11,30,0.26159901,63.031805
2016,11,1,0.1429944,38.0906825
2016,11,2,0.2402696,58.7654975
2016,11,3,0.14302193,37.76766375
2016,11,4,0.10491099,30.13116125
2016,11,5,0.09165094,26.884515
2016,11,6,0.08969358,26.50982875
2016,11,7,0.13402839,36.24707625
2016,11,8,0.19784075,49.7792525
2016,11,9,0.28053998,66.06584
2016,11,10,0.23686029,57.6543475
2016,11,11,0.15016372,39.20713375
2016,11,12,0.19654759,49.7527025
2016,11,13,0.10086389,29.12704875
2016,11,14,0.0916641,26.9282325
2016,11,15,0.07706062,23.54222375
2016,11,16,0.14599372,39.16154125
2016,11,17,0.20104776,50.26191
2016,11,18,0.2296806,56.52689875
2016,11,19,0.18026796,46.81401125
2016,11,20,0.2517475,61.37546625
2016,11,21,0.17440524,45.24714625
2016,11,22,0.23082128,57.0448025
2016,11,23,0.10561238,30.30693625
