####################################################################################################
# Month: 04Apr                                                                                     #
# Station: CAS                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,04,27,0.88606262
2014,04,28,0.82003
2014,04,29,0.8262585
2014,04,30,0.84688775
2015,04,1,0.9230215
2015,04,2,0.85226112
2015,04,3,0.95717625
2015,04,4,0.97684625
2015,04,5,0.8350515
2015,04,6,0.84177588
2015,04,7,0.564422
2015,04,8,0.56541788
2015,04,9,0.921407
2015,04,10,0.6822715
2015,04,11,0.87565738
2015,04,12,0.76610262
2015,04,13,0.859503
2015,04,14,0.93905712
2015,04,15,0.50927475
2015,04,16,0.541302
2015,04,17,0.75356688
2015,04,18,0.93669613
2015,04,19,0.920096
2015,04,20,0.96464012
2015,04,21,0.941338
2015,04,22,0.95628025
2015,04,23,0.896716
2015,04,24,0.76758075
2015,04,25,0.95498425
2015,04,26,0.79598
2015,04,27,0.1246075
2015,04,28,0.68466
2015,04,29,0.72824225
2015,04,30,0.57521687
2016,04,1,0.90126038
2016,04,2,0.97120137
2016,04,3,0.95947588
2016,04,4,0.8914235
2016,04,5,0.795191
2016,04,6,0.80434588
2016,04,7,0.98838638
2016,04,8,0.9467305
2016,04,9,0.94273112
2016,04,10,0.93812462
2016,04,11,0.96681537
2016,04,12,0.80227475
2016,04,13,0.81067025
2016,04,14,0.97453075
2016,04,15,0.9198365
2016,04,16,0.93033262
2016,04,17,0.9840445
2016,04,18,0.88552062
2016,04,19,0.9763575
2016,04,20,0.97165237
2016,04,21,0.96676688
2016,04,22,0.98353175
2016,04,23,0.97525038
2016,04,24,0.9676555
2016,04,25,0.86611038
2016,04,26,0.49546612
2016,04,27,1.024339
2016,04,28,0.45709962
2016,04,29,0.32987575
2016,04,30,0.60764488
2017,04,1,0.27181362
2017,04,2,0.71200388
2017,04,3,0.64732188
2017,04,4,0.99150575
2017,04,5,0.97972438
2017,04,6,0.97345012
2017,04,7,0.21308888
2017,04,8,0.50123975
2017,04,9,0.83526412
2017,04,10,0.85808088
2017,04,11,0.975265
2017,04,12,0.87876388
2017,04,13,0.942633
2017,04,14,0.96198488
2017,04,15,0.81097038
2017,04,16,0.607018
2017,04,17,0.3032505
2017,04,18,0.80456762
2017,04,19,0.86123075
2017,04,20,0.82243662
2017,04,21,0.97467325
2017,04,22,0.96119625
2017,04,23,0.83643238
2017,04,24,0.86537638
2017,04,25,0.9736455
2017,04,26,0.91639812
2017,04,27,0.94697762
2017,04,28,0.89451938
2017,04,29,0.69001938
2017,04,30,0.7434305
2018,04,1,0.95904462
2018,04,2,0.95414637
2018,04,3,0.759799
2018,04,4,0.76868288
2018,04,5,0.87091737
2018,04,6,0.89427638
2018,04,7,0.875374
2018,04,8,0.915983
2018,04,9,1.12139662
2018,04,10,0.75742775
2018,04,11,0.93675062
2018,04,12,0.9760435
2018,04,13,0.5327105
2018,04,14,0.6954705
2018,04,15,0.72385325
2018,04,16,0.84323912
2018,04,17,0.81609987
2018,04,18,0.84157838
2018,04,19,0.77490938
2018,04,20,0.67948538
2018,04,21,0.82352362
2018,04,22,0.85522912
2018,04,23,0.89484462
2018,04,24,0.8653215
2018,04,25,0.8363705
2018,04,26,0.91726688
2018,04,27,0.94241675
2018,04,28,0.88912338
2018,04,29,0.89963375
2018,04,30,0.7940685
2019,04,1,0.98423262
2019,04,2,0.923921
2019,04,3,0.8970775
2019,04,4,0.94280612
2019,04,5,0.9215985
2019,04,6,0.90772688
2019,04,7,0.908176
2019,04,8,0.749443
2019,04,9,0.89728725
2019,04,10,0.71553212
2019,04,11,0.6540365
2019,04,12,0.62795338
2019,04,13,0.91634562
2019,04,14,0.869124
2019,04,15,0.90043662
2019,04,16,0.85874062
2019,04,17,0.93186688
2019,04,18,0.98294638
2019,04,19,0.93887538
2019,04,20,0.92577175
2019,04,21,0.9954595
2019,04,22,0.844674
2019,04,23,0.92466562
2019,04,24,0.46492512
2019,04,25,0.46503575
2019,04,26,0.76469538
2019,04,27,0.83238638
2019,04,28,0.89232512
2019,04,29,0.89502062
2019,04,30,0.9276545
