####################################################################################################
# Month: 08Aug                                                                                     #
# Station: CAS                                                                                     #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,3.88666112,257.024325
2009,08,2,5.803763,271.7709
2009,08,3,4.39313688,266.404075
2009,08,4,3.65348988,258.415375
2009,08,5,3.12154487,252.6811875
2009,08,6,3.51375012,256.6317625
2009,08,7,3.25996212,254.5613375
2009,08,8,3.13814812,251.2843
2009,08,9,4.45306388,263.0639875
2009,08,10,3.23265212,250.9541375
2009,08,11,2.80693925,244.179875
2009,08,12,4.38124712,261.229575
2009,08,13,4.33569663,263.36885
2009,08,14,3.21719162,254.416275
2009,08,15,4.90574625,263.9378375
2009,08,16,5.0930775,265.0449875
2009,08,17,3.88125175,257.4393
2009,08,18,2.47946463,235.1521625
2009,08,19,1.400091,194.8905
2009,08,20,1.14894542,179.5529625
2009,08,21,3.42908112,252.3403375
2009,08,22,3.09126762,250.6535
2009,08,23,3.21084712,253.8094125
2009,08,24,3.0760765,251.2045875
2009,08,25,2.2588585,236.790675
2009,08,26,3.48816188,253.8678125
2009,08,27,3.5593445,255.6223
2009,08,28,2.77388938,244.1121
2009,08,29,2.83411162,245.43625
2009,08,30,3.13785525,250.73125
2009,08,31,3.08376462,248.557625
2010,08,1,2.31297812,232.214975
2010,08,2,2.73008575,241.00535
2010,08,3,4.21579613,263.9631875
2010,08,4,3.40446988,256.4005375
2010,08,5,1.54420365,165.86514375
2010,08,6,3.26314,255.1052375
2010,08,7,3.73585038,259.031725
2010,08,8,3.31482512,253.916125
2010,08,9,2.83512662,242.443625
2010,08,10,3.92158088,257.5332
2010,08,11,2.99366012,241.8224
2010,08,12,3.0946905,246.6776875
2010,08,13,2.901567,241.0826625
2010,08,14,4.28640925,261.237975
2010,08,15,1.12239862,176.912575
2010,08,16,2.35378638,231.5062125
2010,08,17,3.261726,254.3404125
2010,08,18,2.89644275,246.874675
2010,08,19,3.40503238,259.7043625
2010,08,20,3.7393225,255.933625
2010,08,21,3.04217925,250.283025
2010,08,22,3.43827,256.7619625
2010,08,23,2.90302675,248.5168125
2010,08,24,2.4240475,229.1397625
