####################################################################################################
# Month: 10Oct                                                                                     #
# Station: CAS                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,10,1,0.80362238
2014,10,2,0.31972762
2014,10,3,0.42214462
2014,10,4,0.55164388
2014,10,5,0.74632762
2014,10,6,0.59801163
2014,10,7,0.90801925
2014,10,8,0.9601175
2014,10,9,0.91146488
2014,10,10,0.94977925
2014,10,11,0.94366875
2014,10,12,0.98049912
2014,10,13,0.985446
2014,10,14,0.97123075
2014,10,15,0.92896912
2014,10,16,0.914386
2014,10,17,0.91654362
2014,10,18,0.587745
2014,10,19,0.77276612
2014,10,20,0.74449038
2014,10,21,0.924178
2014,10,22,0.93528362
2014,10,23,0.95003975
2014,10,24,0.91849025
2014,10,25,0.94480788
2014,10,26,0.85132062
2014,10,27,0.79228375
2014,10,28,0.76577538
2014,10,29,0.79331925
2014,10,30,0.92877875
2014,10,31,0.97177112
2015,10,1,0.84994888
2015,10,2,0.16307588
2015,10,3,0.695894
2015,10,4,0.76085975
2015,10,5,0.84912362
2015,10,6,0.94591712
2015,10,7,0.94199725
2015,10,8,0.73538938
2015,10,9,0.78790988
2015,10,10,0.636175
2015,10,11,0.22841413
2015,10,12,0.51402725
2015,10,13,0.9316995
2015,10,14,0.97775262
2015,10,15,0.85457788
2015,10,16,0.83452938
2015,10,17,0.906521
2015,10,18,0.90153475
2015,10,19,0.91270662
2015,10,20,0.96352325
2015,10,21,0.97971712
2015,10,22,0.650615
2015,10,23,0.69151688
2015,10,24,0.28357275
2015,10,25,0.38178275
2015,10,26,0.8023695
2015,10,27,0.82118112
2015,10,28,0.84136425
2015,10,29,0.918686
2015,10,30,0.86871263
2015,10,31,0.95853612
2016,10,1,0.593219
2016,10,2,0.85225075
2016,10,3,0.68931038
2016,10,4,0.833952
2016,10,5,0.846125
2016,10,6,0.74654875
2016,10,7,0.77254787
2016,10,8,0.66003962
2016,10,9,0.85598762
2016,10,10,0.81216075
2016,10,11,0.78476175
2016,10,12,0.81463525
2016,10,13,0.83480562
2016,10,14,0.91057875
2016,10,15,0.95326225
2016,10,16,0.97754812
2016,10,17,0.761763
2016,10,18,0.726772
2016,10,19,0.6232455
2016,10,20,0.9548475
2016,10,21,0.9506875
2016,10,22,0.97019425
2016,10,23,0.61538925
2016,10,24,0.50492
2016,10,25,0.93094138
2016,10,26,0.84820012
2016,10,27,0.86678788
2016,10,28,0.74487662
2016,10,29,0.81914125
2016,10,30,0.78487388
2016,10,31,0.822849
2017,10,1,0.1857175
2017,10,2,0.89735725
2017,10,3,0.8966565
2017,10,4,0.801488
2017,10,5,0.789711
2017,10,6,0.86657538
2017,10,7,0.89595162
2017,10,8,0.83688775
2017,10,9,0.87203488
2017,10,10,0.983441
2017,10,11,0.89070937
2017,10,12,0.93760313
2017,10,13,0.79777262
2017,10,14,0.96051038
2017,10,15,0.9176565
2017,10,16,0.80517688
2017,10,17,0.797644
2017,10,18,0.93491525
2017,10,19,0.96937938
2017,10,20,0.9523495
2017,10,21,0.87961625
2017,10,22,0.8762875
2017,10,23,0.85383138
2017,10,24,0.88377662
2017,10,25,0.90329875
2017,10,26,0.95358212
2017,10,27,0.92172312
2017,10,28,0.94042162
2017,10,29,0.957365
2017,10,30,0.80426038
2017,10,31,0.50080675
2018,10,1,0.921627
2018,10,2,0.96249925
2018,10,3,0.98147362
2018,10,4,0.89409988
2018,10,5,0.97264987
2018,10,6,0.91891412
2018,10,7,0.81698138
2018,10,8,0.8017205
2018,10,9,0.93428688
2018,10,10,0.9666275
2018,10,11,0.923503
2018,10,12,0.90773475
2018,10,13,1.0739215
2018,10,14,0.92372388
2018,10,15,0.94541175
2018,10,16,0.97793025
2018,10,17,0.54407475
2018,10,18,0.1581925
2018,10,19,0.07216088
2018,10,20,0.19350625
2018,10,21,0.81053963
2018,10,22,0.93485288
2018,10,23,0.85752562
2018,10,24,0.93048612
2018,10,25,0.88066925
2018,10,26,0.85906025
2018,10,27,0.83383888
2018,10,28,0.78713438
2018,10,29,0.808703
2018,10,30,0.80614225
2018,10,31,0.856747
2019,10,1,0.98713275
2019,10,2,0.965086
2019,10,3,0.67995538
2019,10,4,0.95100988
2019,10,5,0.98108238
2019,10,6,0.91108725
2019,10,7,0.87613475
2019,10,8,0.97069625
2019,10,9,0.93452862
2019,10,10,0.92344612
2019,10,11,0.91777475
2019,10,12,0.94690475
2019,10,13,0.9675635
2019,10,14,0.85837538
2019,10,15,0.72781725
2019,10,16,0.36449475
2019,10,17,0.79653375
2019,10,18,0.79940975
2019,10,19,0.92526988
2019,10,20,0.94469688
2019,10,21,0.74685775
2019,10,22,0.89965062
2019,10,23,0.83905712
2019,10,24,0.72924375
2019,10,25,0.75351338
2019,10,26,0.8386325
2019,10,27,0.798762
2019,10,28,0.84947438
2019,10,29,0.67161438
2019,10,30,0.66866075
2019,10,31,0.63556962
