####################################################################################################
# Month: 04Apr                                                                                     #
# Station: CNI                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,04,1,0,0.184338
2009,04,1,1,0.135076
2009,04,1,2,0.052593
2009,04,1,3,0.010945
2009,04,1,4,0.033653
2009,04,1,5,0.067457
2009,04,1,6,0.078816
2009,04,1,7,0.079158
2009,04,2,0,0.067556
2009,04,2,1,0.062623
2009,04,2,2,0.059138
2009,04,2,3,0.041223
2009,04,2,4,0.036916
2009,04,2,5,0.065685
2009,04,2,6,0.154719
2009,04,2,7,0.246283
2009,04,3,0,0.303113
2009,04,3,1,0.373305
2009,04,3,2,0.409187
2009,04,3,3,0.351141
2009,04,3,4,0.285971
2009,04,3,5,0.248446
2009,04,3,6,0.190514
2009,04,3,7,0.144968
2009,04,4,0,0.124536
2009,04,4,1,0.114891
2009,04,4,2,0.102975
2009,04,4,3,0.094852
2009,04,4,4,0.10147
2009,04,4,5,0.102077
2009,04,4,6,0.101548
2009,04,4,7,0.094364
2009,04,5,0,0.10927
2009,04,5,1,0.127098
2009,04,5,2,0.12139
2009,04,5,3,0.089981
2009,04,5,4,0.06615
2009,04,5,5,0.077887
2009,04,5,6,0.059071
2009,04,5,7,0.031546
2009,04,6,0,0.031258
2009,04,6,1,0.036411
2009,04,6,2,0.033134
2009,04,6,3,0.023267
2009,04,6,4,0.019268
2009,04,6,5,0.01855
2009,04,6,6,0.016393
2009,04,6,7,0.016838
2009,04,7,0,0.017283
2009,04,7,1,0.019066
2009,04,7,2,0.062215
2009,04,7,3,0.12253
2009,04,7,4,0.158598
2009,04,7,5,0.210905
2009,04,7,6,0.254156
2009,04,7,7,0.263088
2009,04,8,0,0.302856
2009,04,8,1,0.379426
2009,04,8,2,0.409609
2009,04,8,3,0.4093
2009,04,8,4,0.393654
2009,04,8,5,0.371087
2009,04,8,6,0.311269
2009,04,8,7,0.246223
2009,04,9,0,0.210437
2009,04,9,1,0.173125
2009,04,9,2,0.103442
2009,04,9,3,0.192523
2009,04,9,4,0.190404
2009,04,9,5,0.126319
2009,04,9,6,0.136368
2009,04,9,7,0.225073
2009,04,10,0,0.126413
2009,04,10,1,0.182612
2009,04,10,2,0.070464
2009,04,10,3,0.252936
2009,04,10,4,0.379603
2009,04,10,5,0.381542
2009,04,10,6,0.279568
2009,04,10,7,0.250245
2009,04,11,0,0.32464
2009,04,11,1,0.262197
2009,04,11,2,0.208872
2009,04,11,3,0.230914
2009,04,11,4,0.277458
2009,04,11,5,0.208375
2009,04,11,6,0.085157
2009,04,11,7,0.039143
2009,04,12,0,0.056804
2009,04,12,1,0.110872
2009,04,12,2,0.083133
2009,04,12,3,0.059787
2009,04,12,4,0.069153
2009,04,12,5,0.089826
2009,04,12,6,0.092899
2009,04,12,7,0.082506
2009,04,13,0,0.099759
2009,04,13,1,0.126862
2009,04,13,2,0.121933
2009,04,13,3,0.120463
2009,04,13,4,0.151098
2009,04,13,5,0.219461
2009,04,13,6,0.307381
2009,04,13,7,0.413892
2009,04,14,0,0.417213
2009,04,14,1,0.368152
2009,04,14,2,0.287257
2009,04,14,3,0.211705
2009,04,14,4,0.127506
2009,04,14,5,0.102044
2009,04,14,6,0.129138
2009,04,14,7,0.152288
2009,04,15,0,0.147855
2009,04,15,1,0.125919
2009,04,15,2,0.094484
2009,04,15,3,0.085581
2009,04,15,4,0.112689
2009,04,15,5,0.161588
2009,04,15,6,0.221229
2009,04,15,7,0.282022
2009,04,16,0,0.330115
2009,04,16,1,0.33631
2009,04,16,2,0.227374
2009,04,16,3,0.147995
2009,04,16,4,0.123482
2009,04,16,5,0.105791
2009,04,16,6,0.089955
2009,04,16,7,0.093105
2009,04,17,0,0.111261
2009,04,17,1,0.123351
2009,04,17,2,0.180696
2009,04,17,3,0.218941
2009,04,17,4,0.448169
2009,04,17,5,0.377506
2009,04,17,6,0.33974
2009,04,17,7,0.307781
2009,04,18,0,0.336923
2009,04,18,1,0.375594
2009,04,18,2,0.370602
2009,04,18,3,0.260089
2009,04,18,4,0.259864
2009,04,18,5,0.309179
2009,04,18,6,0.329872
2009,04,18,7,0.266448
2009,04,19,0,0.247878
2009,04,19,1,0.304465
2009,04,19,2,0.281559
2009,04,19,3,0.165461
2009,04,19,4,0.120606
2009,04,19,5,0.198735
2009,04,19,6,0.247529
2009,04,19,7,0.227537
2009,04,20,0,0.254909
2009,04,20,1,0.295548
2009,04,20,2,0.217739
2009,04,20,3,0.117897
2009,04,20,4,0.109325
2009,04,20,5,0.10861
2009,04,20,6,0.105186
2009,04,20,7,0.085016
2009,04,21,0,0.054522
2009,04,21,1,0.03965
2009,04,21,2,0.046178
2009,04,21,3,0.064202
2009,04,21,4,0.083477
2009,04,21,5,0.101324
2009,04,21,6,0.148319
2009,04,21,7,0.169808
2009,04,22,0,0.145241
2009,04,22,1,0.140797
2009,04,22,2,0.148278
2009,04,22,3,0.150051
2009,04,22,4,0.162065
2009,04,22,5,0.17245
2009,04,22,6,0.197197
2009,04,22,7,0.192863
2009,04,23,0,0.163591
2009,04,23,1,0.138123
2009,04,23,2,0.130227
2009,04,23,3,0.089069
2009,04,23,4,0.061971
2009,04,23,5,0.061164
2009,04,23,6,0.057029
2009,04,23,7,0.045611
2009,04,24,0,0.027238
2009,04,24,1,0.024303
2009,04,24,2,0.033957
2009,04,24,3,0.043843
2009,04,24,4,0.061665
2009,04,24,5,0.075548
2009,04,24,6,0.121847
2009,04,24,7,0.133983
2009,04,25,0,0.144719
2009,04,25,1,0.151129
2009,04,25,2,0.161041
2009,04,25,3,0.145896
2009,04,25,4,0.147646
2009,04,25,5,0.165987
2009,04,25,6,0.196061
2009,04,25,7,0.195615
2009,04,26,0,0.198604
2009,04,26,1,0.206928
2009,04,26,2,0.218315
2009,04,26,3,0.229689
2009,04,26,4,0.272108
2009,04,26,5,0.32266
2009,04,26,6,0.319011
2009,04,26,7,0.252992
2009,04,27,0,0.212957
2009,04,27,1,0.185863
2009,04,27,2,0.232446
2009,04,27,3,0.254144
2009,04,27,4,0.34131
2009,04,27,5,0.313903
2009,04,27,6,0.261688
2009,04,27,7,0.144129
2009,04,28,0,0.137743
2009,04,28,1,0.216822
2009,04,28,2,0.192684
2009,04,28,3,0.177897
2009,04,28,4,0.200041
2009,04,28,5,0.235515
2009,04,28,6,0.25717
2009,04,28,7,0.244047
2009,04,29,0,0.24899
2009,04,29,1,0.257228
2009,04,29,2,0.229371
2009,04,29,3,0.187976
2009,04,29,4,0.127216
2009,04,29,5,0.088635
2009,04,29,6,0.056404
2009,04,29,7,0.038425
2009,04,30,0,0.033812
2009,04,30,1,0.02793
2009,04,30,2,0.028098
2009,04,30,3,0.033341
2009,04,30,4,0.03865
2009,04,30,5,0.042354
2009,04,30,6,0.043235
2009,04,30,7,0.042798
2010,04,1,0,0.149085
2010,04,1,1,0.127944
2010,04,1,2,0.129838
2010,04,1,3,0.132046
2010,04,1,4,0.126023
2010,04,1,5,0.152722
2010,04,1,6,0.151977
2010,04,1,7,0.133927
2010,04,2,0,0.149147
2010,04,2,1,0.181996
2010,04,2,2,0.193844
2010,04,2,3,0.222578
2010,04,2,4,0.348141
2010,04,2,5,0.4992
2010,04,2,6,0.504924
2010,04,2,7,0.435448
2010,04,3,0,0.448493
2010,04,3,1,0.531942
2010,04,3,2,0.604699
2010,04,3,3,0.614856
2010,04,3,4,0.55713
2010,04,3,5,0.521178
2010,04,3,6,0.481725
2010,04,3,7,0.468302
2010,04,4,0,0.430034
2010,04,4,1,0.395401
2010,04,4,2,0.342148
2010,04,4,3,0.270576
2010,04,4,4,0.19579
2010,04,4,5,0.155805
2010,04,4,6,0.127349
2010,04,4,7,0.120934
2010,04,5,0,0.130457
2010,04,5,1,0.144833
2010,04,5,2,0.134044
2010,04,5,3,0.124422
2010,04,5,4,0.116968
2010,04,5,5,0.115986
2010,04,5,6,0.126434
2010,04,5,7,0.144856
2010,04,6,0,0.172368
2010,04,6,1,0.194624
2010,04,6,2,0.203328
2010,04,6,3,0.21062
2010,04,6,4,0.112318
