####################################################################################################
# Month: 05May                                                                                     #
# Station: CNI                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,05,1,0.19822375
2014,05,2,0.163162
2014,05,3,0.13824925
2014,05,4,0.0754885
2014,05,5,0.13053263
2014,05,6,0.203295
2014,05,7,0.43850375
2014,05,8,0.39284025
2014,05,9,0.20297125
2014,05,10,0.09289538
2014,05,11,0.074483
2014,05,12,0.32324637
2014,05,13,0.122242
2014,05,14,0.20609175
2014,05,15,0.14303588
2014,05,16,0.07740563
2014,05,17,0.05713588
2014,05,18,0.04184588
2014,05,19,0.08536912
2014,05,20,0.10144388
2014,05,21,0.13104112
2014,05,22,0.13675812
2014,05,23,0.0906815
2014,05,24,0.10388588
2014,05,25,0.16417488
2014,05,26,0.12525175
2014,05,27,0.15257237
2014,05,28,0.25151938
2014,05,29,0.164314
2014,05,30,0.1130465
2014,05,31,0.100721
2015,05,1,0.13221025
2015,05,2,0.21697262
2015,05,3,0.26521788
2015,05,4,0.30381862
2015,05,5,0.28304213
2015,05,6,0.27626537
2015,05,7,0.0475585
2015,05,8,0.02713162
2015,05,9,0.02638963
2015,05,10,0.089459
2015,05,11,0.13823188
2015,05,12,0.15403725
2015,05,13,0.194826
2015,05,14,0.18518225
2015,05,15,0.153971
2015,05,16,0.31708262
2015,05,17,0.29831775
2015,05,18,0.210133
2015,05,19,0.23213288
2015,05,20,0.3043775
2015,05,21,0.32179588
2015,05,22,0.12269012
2015,05,23,0.22278238
2015,05,24,0.18614425
2015,05,25,0.10579662
2015,05,26,0.11714587
2015,05,27,0.2864975
2015,05,28,0.24000812
2015,05,29,0.15581413
2015,05,30,0.08809788
2015,05,31,0.05716875
2016,05,1,0.08811775
2016,05,2,0.11553025
2016,05,3,0.16578063
2016,05,4,0.44391575
2016,05,5,0.35446188
2016,05,6,0.26870788
2016,05,7,0.33403863
2016,05,8,0.69746238
2016,05,9,0.1641165
2016,05,10,0.21467025
2016,05,11,0.09399475
2016,05,12,0.0857445
2016,05,13,0.27999175
2016,05,14,0.272917
2016,05,15,0.15581575
2016,05,16,0.36106512
2016,05,17,0.20029837
2016,05,18,0.06285163
2016,05,19,0.07941387
2016,05,20,0.08363338
2016,05,21,0.07778275
2016,05,22,0.09472238
2016,05,23,0.1156895
2016,05,24,0.13518
2016,05,25,0.216847
2016,05,26,0.216041
2016,05,27,0.22446025
2016,05,28,0.038829
2016,05,29,0.10327663
2016,05,30,0.1158505
2016,05,31,0.052188
2017,05,1,0.24767062
2017,05,2,0.15298988
2017,05,3,0.09171
2017,05,4,0.23166938
2017,05,5,0.11604338
2017,05,6,0.14064188
2017,05,7,0.1321665
2017,05,8,0.44766925
2017,05,9,0.20652475
2017,05,10,0.08240888
2017,05,11,0.16840512
2017,05,12,0.03701638
2017,05,13,0.17808388
2017,05,14,0.23777487
2017,05,15,0.15514075
2017,05,16,0.09351325
2017,05,17,0.10545762
2017,05,18,0.129958
2017,05,19,0.19263888
2017,05,20,0.167809
2017,05,21,0.18494212
2017,05,22,0.297974
2017,05,23,0.17220962
2017,05,24,0.08770788
2017,05,25,0.30861412
2017,05,26,0.10670887
2017,05,27,0.18969338
2017,05,28,0.29007775
2017,05,29,0.21710712
2017,05,30,0.23238788
2017,05,31,0.0855495
2018,05,1,0.08488425
2018,05,2,0.153018
2018,05,3,0.24739225
2018,05,4,0.07470887
2018,05,5,0.11778462
2018,05,6,0.25911537
2018,05,7,0.2116015
2018,05,8,0.09667375
2018,05,9,0.101389
2018,05,10,0.24544275
2018,05,11,0.21211325
2018,05,12,0.3169065
2018,05,13,0.17713275
2018,05,14,0.14604488
2018,05,15,0.09635938
2018,05,16,0.11937812
2018,05,17,0.19382275
2018,05,18,0.18656888
2018,05,19,0.1082355
2018,05,20,0.07936238
2018,05,21,0.07807125
2018,05,22,0.25297538
2018,05,23,0.13816375
2018,05,24,0.2110505
2018,05,25,0.19271088
2018,05,26,0.08603575
2018,05,27,0.11609062
2018,05,28,0.0592605
2018,05,29,0.20853562
2018,05,30,0.19730175
2018,05,31,0.089735
2019,05,1,0.290579
2019,05,2,0.24312838
2019,05,3,0.17654525
2019,05,4,0.08057025
2019,05,5,0.05994638
2019,05,6,0.10647538
2019,05,7,0.05072825
2019,05,8,0.041412
2019,05,9,0.04146913
2019,05,10,0.0504595
2019,05,11,0.05243488
2019,05,12,0.105512
2019,05,13,0.24096175
2019,05,14,0.22622025
2019,05,15,0.231783
2019,05,16,0.12816613
2019,05,17,0.08449175
2019,05,18,0.26941025
2019,05,19,0.22067562
2019,05,20,0.10971075
2019,05,21,0.033924
2019,05,22,0.10885
2019,05,23,0.08688537
2019,05,24,0.12439438
2019,05,25,0.15564238
2019,05,26,0.30246225
2019,05,27,0.28937887
2019,05,28,0.111167
2019,05,29,0.11315538
2019,05,30,0.13823862
2019,05,31,0.12756125
