####################################################################################################
# Month: 11Nov                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/CNI                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,11,1,280.35
2009,11,2,279.725
2009,11,3,279.5
2009,11,4,280.0875
2009,11,5,279.05
2009,11,6,281.7875
2009,11,7,281.95
2009,11,8,281.5875
2009,11,9,281.075
2009,11,10,279.725
2009,11,11,279.5625
2009,11,12,279.325
2009,11,13,280.7875
2009,11,14,281.3
2009,11,15,280.825
2009,11,16,277.1
2009,11,17,273.35
2009,11,18,276.0625
2009,11,19,279.65
2009,11,20,280.7125
2009,11,21,280.1375
2009,11,22,278.075
2009,11,23,277.125
2009,11,24,277.0125
2009,11,25,278.4375
2009,11,26,278.7375
2009,11,27,276.7
2009,11,28,275.025
2009,11,29,276.625
2009,11,30,277.45
2010,11,1,281.8625
2010,11,2,283.2
2010,11,3,283.6625
2010,11,4,283.85
2010,11,5,280.1375
2010,11,6,279.35
2010,11,7,279.5875
2010,11,8,279.5125
2010,11,9,280.5625
2010,11,10,279.8625
2010,11,11,279.3875
2010,11,12,279.8875
2010,11,13,279.2
2010,11,14,278.0375
2010,11,15,277.05
2010,11,16,280.375
2010,11,17,280.85
2010,11,18,279.375
2010,11,19,278.9625
2010,11,20,278.95
2010,11,21,277.9875
2010,11,22,277.825
2010,11,23,277.7125
2010,11,24,279.4625
2010,11,25,277.5375
2010,11,26,275.575
2010,11,27,278.0
2010,11,28,277.2
2010,11,29,276.1875
2010,11,30,277.2375
2011,11,1,280.4625
2011,11,2,281.325
2011,11,3,282.05
2011,11,4,281.25
2011,11,5,280.575
2011,11,6,279.4125
2011,11,7,279.6625
2011,11,8,280.3
2011,11,9,279.975
2011,11,10,280.075
2011,11,11,276.6875
2011,11,12,279.0375
2011,11,13,279.15
2011,11,14,281.0125
2011,11,15,280.3875
2011,11,16,278.9125
2011,11,17,276.725
2011,11,18,279.1125
2011,11,19,278.9375
2011,11,20,280.4125
2011,11,21,279.0125
2011,11,22,276.9875
2011,11,23,276.4125
2011,11,24,276.95
2011,11,25,278.775
2011,11,26,278.45
2011,11,27,278.6375
2011,11,28,277.05
2011,11,29,276.9625
2011,11,30,276.7875
2012,11,1,279.525
2012,11,2,280.0375
2012,11,3,280.9875
2012,11,4,279.5625
2012,11,5,278.4625
2012,11,6,277.1375
2012,11,7,273.6875
2012,11,8,273.3375
2012,11,9,275.2625
2012,11,10,279.475
2012,11,11,281.1
2012,11,12,282.525
2012,11,13,280.7375
2012,11,14,278.475
2012,11,15,278.4625
2012,11,16,277.1
2012,11,17,276.7375
2012,11,18,280.1625
2012,11,19,280.0625
2012,11,20,278.75
2012,11,21,275.25
2012,11,22,279.8
2012,11,23,280.0625
2012,11,24,277.9125
2012,11,25,275.2875
2012,11,26,276.325
2012,11,27,279.0125
2012,11,28,277.25
2012,11,29,275.925
2012,11,30,277.2125
2013,11,1,283.25
2013,11,2,278.7
2013,11,3,274.95
2013,11,4,277.4125
2013,11,5,282.1
2013,11,6,280.725
2013,11,7,280.5875
2013,11,8,280.5625
2013,11,9,279.475
2013,11,10,281.1125
2013,11,11,280.125
2013,11,12,279.35
2013,11,13,279.2125
2013,11,14,278.525
2013,11,15,277.5
2013,11,16,277.9875
2013,11,17,276.725
2013,11,18,276.5375
2013,11,19,277.9375
2013,11,20,278.2
2013,11,21,279.5125
2013,11,22,280.5375
2013,11,23,281.325
2013,11,24,281.1
2013,11,25,280.2125
2013,11,26,278.6125
2013,11,27,276.525
2013,11,28,276.5
2013,11,29,279.5
2013,11,30,276.6
2014,11,1,278.0625
2014,11,2,278.2125
2014,11,3,280.5625
2014,11,4,280.9125
2014,11,5,281.6125
2014,11,6,282.875
2014,11,7,282.525
2014,11,8,280.9875
2014,11,9,280.0
2014,11,10,282.225
2014,11,11,281.6875
2014,11,12,283.2
2014,11,13,282.95
2014,11,14,280.6625
2014,11,15,278.075
2014,11,16,276.525
2014,11,17,277.95
2014,11,18,277.425
2014,11,19,273.7125
2014,11,20,270.15
2014,11,21,272.75
2014,11,22,277.375
2014,11,23,275.25
2014,11,24,280.275
2014,11,25,278.9875
2014,11,26,277.3125
2014,11,27,277.575
2014,11,28,279.8125
2014,11,29,278.5625
2014,11,30,280.6125
2015,11,1,279.3125
2015,11,2,277.9875
2015,11,3,279.6
2015,11,4,279.85
2015,11,5,280.125
2015,11,6,282.1125
2015,11,7,281.525
2015,11,8,279.325
2015,11,9,278.5875
2015,11,10,276.775
2015,11,11,276.2125
2015,11,12,275.575
2015,11,13,276.2125
2015,11,14,277.4375
2015,11,15,277.275
2015,11,16,276.3125
2015,11,17,279.275
2015,11,18,280.675
2015,11,19,279.4
2015,11,20,280.75
2015,11,21,282.625
2015,11,22,281.1375
2015,11,23,281.2375
2015,11,24,279.225
2015,11,25,278.3
2015,11,26,277.55
2015,11,27,278.675
2015,11,28,278.5625
2015,11,29,277.3125
2015,11,30,275.15
2016,11,1,281.2125
2016,11,2,281.15
2016,11,3,277.4375
2016,11,4,274.4625
2016,11,5,274.65
2016,11,6,275.725
2016,11,7,277.4125
2016,11,8,280.0875
2016,11,9,280.975
2016,11,10,281.025
2016,11,11,282.05
2016,11,12,281.05
2016,11,13,278.225
2016,11,14,274.8375
2016,11,15,274.1625
2016,11,16,275.825
2016,11,17,278.375
2016,11,18,277.9875
2016,11,19,277.4125
2016,11,20,278.625
2016,11,21,278.05
2016,11,22,278.375
2016,11,23,276.4875
2016,11,24,274.7
2016,11,25,274.9125
2016,11,26,276.6
2016,11,27,277.7375
2016,11,28,277.35
2016,11,29,276.075
2016,11,30,275.4125
2017,11,1,281.8125
2017,11,2,280.4125
2017,11,3,278.0
2017,11,4,277.8375
2017,11,5,278.8625
2017,11,6,279.1875
2017,11,7,276.75
2017,11,8,275.95
2017,11,9,277.9
2017,11,10,279.325
2017,11,11,278.975
2017,11,12,278.7125
2017,11,13,278.1375
2017,11,14,277.2625
2017,11,15,276.7375
2017,11,16,275.5875
2017,11,17,274.875
2017,11,18,274.9
2017,11,19,274.6625
2017,11,20,274.5375
2017,11,21,274.0625
2017,11,22,276.9875
2017,11,23,280.35
2017,11,24,278.7625
2017,11,25,277.25
2017,11,26,277.3125
2017,11,27,278.3625
2017,11,28,278.8
2017,11,29,277.5125
2017,11,30,277.7875
2018,11,1,282.0
2018,11,2,284.15
2018,11,3,283.2
2018,11,4,282.75
2018,11,5,280.725
2018,11,6,281.3375
2018,11,7,281.575
2018,11,8,280.85
2018,11,9,281.3
2018,11,10,280.9125
2018,11,11,280.225
2018,11,12,279.7625
2018,11,13,280.0125
2018,11,14,278.975
2018,11,15,276.7
2018,11,16,278.775
2018,11,17,279.75
2018,11,18,280.65
2018,11,19,276.5875
2018,11,20,276.6875
2018,11,21,274.85
2018,11,22,270.8875
2018,11,23,272.55
2018,11,24,277.9875
2018,11,25,279.3625
2018,11,26,277.875
2018,11,27,277.8625
2018,11,28,279.4875
2018,11,29,279.8
2018,11,30,280.25
2019,11,1,282.1375
2019,11,2,280.3875
2019,11,3,280.5125
2019,11,4,279.9625
2019,11,5,279.5375
2019,11,6,281.0375
2019,11,7,280.6625
2019,11,8,280.275
2019,11,9,280.7625
2019,11,10,281.2375
2019,11,11,280.8375
2019,11,12,281.7625
2019,11,13,279.5625
2019,11,14,279.4
