####################################################################################################
# Month: 01Jan                                                                                     #
# Station: DomeF                                                                                   #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,01,1,0.37117555,81.235215
2009,01,2,0.29587806,67.8635725
2009,01,3,0.3022702,68.6278
2009,01,4,0.34462195,75.82048375
2009,01,5,0.32658639,72.5514075
2009,01,6,0.3596246,78.20146
2009,01,7,0.3502866,76.56063875
2009,01,8,0.3303571,73.29285
2009,01,9,0.30208355,68.51027625
2009,01,10,0.29707054,67.50350625
2009,01,11,0.28629022,65.59086625
2009,01,12,0.32604624,72.53664625
2009,01,13,0.30144936,68.4447825
2009,01,14,0.2743926,64.01553375
2009,01,15,0.26239375,62.05776125
2009,01,16,0.25165949,60.0295375
2009,01,17,0.26445712,61.93032
2009,01,18,0.27495571,63.79813375
2009,01,19,0.38683966,82.90099875
2009,01,20,0.32282341,72.182535
2009,01,21,0.25928174,61.0064
2009,01,22,0.26307404,61.50305875
2009,01,23,0.24653469,58.36747
2009,01,24,0.25665221,59.95270625
2009,01,25,0.24726026,58.24014625
2009,01,26,0.23880909,57.01853
2009,01,27,0.33607894,74.15471375
2009,01,28,0.36980521,79.56994875
2009,01,29,0.5364654,105.73986
2009,01,30,0.66326909,122.9479625
2009,01,31,0.46680395,95.76225375
2010,01,1,0.42720135,89.7067575
2010,01,2,0.37294161,81.42709625
2010,01,3,0.38272282,82.8520425
2010,01,4,0.35801722,78.675805
2010,01,5,0.25955265,61.37521625
2010,01,6,0.26755459,62.3432325
2010,01,7,0.48674855,98.5840275
2010,01,8,0.53223478,105.9121375
2010,01,9,0.46073666,94.9560225
2010,01,10,0.39624671,84.47141375
2010,01,11,0.34709862,76.36976125
2010,01,12,0.30919221,69.8569325
2010,01,13,0.27402796,63.46436625
2010,01,14,0.33347622,73.73922625
2010,01,15,0.37008993,80.11972125
2010,01,16,0.48724348,98.41339875
2010,01,17,0.43546769,90.67494375
2010,01,18,0.42345838,88.85166625
2010,01,19,0.37600639,81.43372125
2010,01,20,0.33398051,74.75092125
2010,01,21,0.31970965,72.415995
2010,01,22,0.29063661,67.41172375
2010,01,23,0.31239295,70.62829875
2010,01,24,0.30382414,68.786315
2010,01,25,0.31661585,70.81149875
2010,01,26,0.31225348,70.0572875
2010,01,27,0.29530721,67.5832975
2010,01,28,0.33534078,74.31823375
2010,01,29,0.36253116,78.6732175
2010,01,30,0.33543616,74.23121875
2010,01,31,0.32604255,72.67109375
2011,01,1,0.23452515,55.89909375
2011,01,2,0.23727756,56.49769125
2011,01,3,0.24097678,57.17344625
2011,01,4,0.33277761,73.3896225
2011,01,5,0.29626894,67.03425125
2011,01,6,0.31596784,70.46338875
2011,01,7,0.35681746,77.68375875
2011,01,8,0.337479,74.52807625
2011,01,9,0.30188355,68.7385925
2011,01,10,0.32495899,72.83202
2011,01,11,0.32913562,73.6821925
2011,01,12,0.32951569,73.549635
2011,01,13,0.3166654,71.21520125
2011,01,14,0.32487149,72.93351375
2011,01,15,0.32541129,72.86448875
2011,01,16,0.33307291,73.78191875
2011,01,17,0.35166969,76.73110625
2011,01,18,0.32078806,72.0210725
2011,01,19,0.40820289,86.67777875
2011,01,20,0.34353942,75.6985525
2011,01,21,0.26966714,63.30755375
2011,01,22,0.29903191,68.21153875
2011,01,23,0.30631359,69.40642125
2011,01,24,0.28524008,65.60732125
2011,01,25,0.32329416,72.202795
2011,01,26,0.33037171,73.38614125
2011,01,27,0.3445682,75.838375
2011,01,28,0.40735448,86.6248325
2011,01,29,0.32356811,72.65857875
2011,01,30,0.32338415,72.52266
2011,01,31,0.2976159,67.8648425
2012,01,1,0.25798926,60.23425125
2012,01,2,0.25334331,59.2791075
2012,01,3,0.23232605,55.3800825
2012,01,4,0.26539646,61.43012
2012,01,5,0.33847888,74.49714375
2012,01,6,0.33215371,73.53396375
2012,01,7,0.31958899,71.45074125
2012,01,8,0.30511425,69.16882
2012,01,9,0.26897736,62.8653125
2012,01,10,0.27554616,63.84139875
2012,01,11,0.29258331,66.76332375
2012,01,12,0.28341001,65.18874125
2012,01,13,0.27773946,63.98883625
2012,01,14,0.24058908,57.11936
2012,01,15,0.23301692,55.721285
2012,01,16,0.24817001,58.44801
2012,01,17,0.22390256,53.85342375
2012,01,18,0.2104711,51.270525
2012,01,19,0.21512924,52.135745
2012,01,20,0.24150975,57.024505
2012,01,21,0.22076482,53.2170025
2012,01,22,0.21304126,52.07461375
2012,01,23,0.22378288,54.20574625
2012,01,24,0.24145188,57.48400875
2012,01,25,0.23836281,56.7910825
2012,01,26,0.19103584,47.71127
2012,01,27,0.17399261,44.49082375
2012,01,28,0.18720034,47.00741
2012,01,29,0.19322042,48.32586625
2012,01,30,0.2498471,58.90464375
2012,01,31,0.26814134,62.15447125
2013,01,1,0.32112571,71.8587225
2013,01,2,0.3841642,82.5388125
2013,01,3,0.32178239,72.4001975
2013,01,4,0.37387402,80.91701
2013,01,5,0.42485735,89.21810875
2013,01,6,0.4133748,87.33292
2013,01,7,0.38444629,82.60638375
2013,01,8,0.32736631,72.83788625
2013,01,9,0.38411324,82.518025
2013,01,10,0.38775796,83.2075325
2013,01,11,0.29447184,67.34327
2013,01,12,0.35824252,78.409985
2013,01,13,0.48275454,98.15283875
2013,01,14,0.42286938,88.84584
2013,01,15,0.30845828,69.405805
2013,01,16,0.24208976,57.55564625
2013,01,17,0.26932974,62.79183375
2013,01,18,0.33916491,75.0035
2013,01,19,0.36061848,78.61590375
2013,01,20,0.37186957,80.4470125
2013,01,21,0.36127224,78.95042875
2013,01,22,0.32120275,72.5598325
2013,01,23,0.3089852,70.1551275
2013,01,24,0.2979261,68.18157
2013,01,25,0.2559532,60.99233375
2013,01,26,0.28790585,66.4423025
2013,01,27,0.28353055,64.97812
2013,01,28,0.20403584,50.2358025
2013,01,29,0.22424765,53.9582775
2013,01,30,0.19884909,49.07994
2013,01,31,0.21861876,52.92058625
2014,01,1,0.28123294,64.7320675
2014,01,2,0.25104252,59.90091125
2014,01,3,0.30135649,68.28692
2014,01,4,0.29599202,67.69966125
2014,01,5,0.28764309,66.20101125
2014,01,6,0.30365266,68.97934
2014,01,7,0.29861592,68.323405
2014,01,8,0.36926062,80.66067
2014,01,9,0.2945457,68.09328375
2014,01,10,0.30011251,69.1516
2014,01,11,0.36545924,79.76523875
2014,01,12,0.42961922,89.9755925
2014,01,13,0.35581611,77.85758375
2014,01,14,0.31192061,70.3620025
2014,01,15,0.33526336,74.25129375
2014,01,16,0.32923008,73.15153375
2014,01,17,0.31910322,71.2879625
2014,01,18,0.28300883,64.939515
2014,01,19,0.26981099,62.46321625
2014,01,20,0.26143961,60.88679875
2014,01,21,0.26578724,61.70477875
2014,01,22,0.24999843,58.8244375
2014,01,23,0.23484794,55.9032025
2014,01,24,0.22451988,54.01236625
2014,01,25,0.20165024,49.72934625
2014,01,26,0.19811884,49.10257125
2014,01,27,0.19818892,49.14244875
2014,01,28,0.21636734,52.4627675
2014,01,29,0.2047209,50.21119125
2014,01,30,0.18896041,47.20007125
2014,01,31,0.17587645,44.564305
2015,01,1,0.26395975,61.2908925
2015,01,2,0.26990346,62.5481275
2015,01,3,0.26126111,60.90164375
2015,01,4,0.25677159,60.09275625
2015,01,5,0.26758632,61.98449
2015,01,6,0.25243107,59.13595875
2015,01,7,0.23200406,55.3124725
2015,01,8,0.22348416,53.79755375
2015,01,9,0.2266857,54.434345
2015,01,10,0.29209479,66.34575125
2015,01,11,0.31846565,71.06316875
2015,01,12,0.30375895,68.57190875
2015,01,13,0.3137721,70.3580325
2015,01,14,0.33110867,73.3389775
2015,01,15,0.29913796,67.810005
2015,01,16,0.29828678,67.85359375
2015,01,17,0.44080175,90.9550425
2015,01,18,0.32551518,72.7353725
2015,01,19,0.29086429,66.56096
2015,01,20,0.22186162,54.25917
2015,01,21,0.19574179,49.23623625
2015,01,22,0.21447044,52.788455
2015,01,23,0.25265144,60.0130375
2015,01,24,0.24000734,57.5112425
2015,01,25,0.23176084,55.7263225
2015,01,26,0.22823866,55.09418625
2015,01,27,0.29149991,66.53213375
2015,01,28,0.30991232,69.7352425
2015,01,29,0.31582699,70.66672625
2015,01,30,0.34046564,74.98250875
2015,01,31,0.28129487,64.68238375
2016,01,1,0.3054586,69.22519
2016,01,5,0.28835699,65.7941275
2016,01,6,0.22688618,54.5814475
2016,01,7,0.20589118,50.57282625
2016,01,8,0.23001804,55.02516875
2016,01,9,0.24257745,57.43067125
2016,01,10,0.25035506,59.0314725
2016,01,11,0.22917032,55.1517575
2016,01,12,0.23335701,55.7511125
2016,01,13,0.20362121,50.0403525
2016,01,14,0.21068875,51.38276
2016,01,15,0.20702111,50.82198
2016,01,16,0.21853069,52.97391625
2016,01,17,0.21628052,52.67593125
2016,01,18,0.25675998,60.1424375
2016,01,19,0.26167383,60.97512
2016,01,20,0.24453705,57.816575
2016,01,21,0.2342125,55.79055375
2016,01,22,0.22208289,53.4421475
2016,01,23,0.22699499,54.4586625
2016,01,24,0.23169106,55.2501075
2016,01,25,0.23512618,55.9154675
2016,01,26,0.24187714,57.172535
2016,01,27,0.22660762,54.38199
2016,01,28,0.20136609,49.52862
2016,01,29,0.24593335,57.90341625
2016,01,30,0.32795168,72.716535
2016,01,31,0.26973894,62.4703375
2017,01,1,0.25720555,60.53502375
2017,01,2,0.28818175,65.91841
2017,01,3,0.27075083,63.04629125
2017,01,4,0.29322184,67.10175875
2017,01,5,0.33541579,74.1771225
2017,01,6,0.26260292,61.11889
2017,01,7,0.25233561,59.19916875
2017,01,8,0.24477522,57.7564575
2017,01,9,0.24586009,57.9790125
2017,01,10,0.25612049,59.945115
2017,01,11,0.29578674,67.1390425
2017,01,12,0.35532941,77.52342875
2017,01,13,0.2823898,65.01485375
2017,01,14,0.29349214,67.13745
2017,01,15,0.36381436,79.342965
2017,01,16,0.24905045,59.43218125
2017,01,17,0.23447071,56.6556775
2017,01,18,0.23346254,56.28114625
2017,01,19,0.23466738,56.30315125
2017,01,20,0.23129485,55.52232125
2017,01,21,0.27130689,62.8581325
2017,01,22,0.27690461,63.99795375
2017,01,23,0.26812647,62.4640025
2017,01,24,0.3080322,69.42401125
2017,01,25,0.28190596,64.93374625
2017,01,26,0.30256989,68.46550125
2017,01,27,0.27948746,64.26388
2017,01,28,0.25717626,60.22572
2017,01,29,0.29823661,67.56315375
2017,01,30,0.31942341,71.30164625
2017,01,31,0.30099145,68.18239375
2018,01,1,0.35381082,77.28012875
2018,01,2,0.31308678,70.48070625
2018,01,3,0.38122714,80.84048375
2018,01,4,0.41363652,87.23874625
2018,01,5,0.45993755,94.30235875
2018,01,6,0.67775831,125.1677
2018,01,7,0.58699435,114.3646375
2018,01,8,0.49802925,101.7192475
2018,01,9,0.31802138,72.4813425
2018,01,10,0.29976565,68.97085
2018,01,11,0.28479121,66.0586825
2018,01,12,0.28878655,66.25474375
2018,01,13,0.29842089,68.13808
2018,01,14,0.27631519,64.26370625
2018,01,15,0.28987995,66.660905
2018,01,16,0.3045761,68.983025
2018,01,17,0.30817505,69.63056
2018,01,18,0.30813904,69.526965
2018,01,19,0.28820364,65.95549375
2018,01,20,0.29097584,66.28646375
2018,01,21,0.27251298,62.9441925
2018,01,22,0.2685278,62.21150875
2018,01,23,0.27322855,63.16357625
2018,01,24,0.27315186,63.01635
2018,01,25,0.25742919,60.1679375
2018,01,26,0.30488927,68.72888875
2018,01,27,0.29867716,67.6551125
2018,01,28,0.27728128,63.9181
2018,01,29,0.3084525,69.46152125
2018,01,30,0.3043369,68.747955
2018,01,31,0.28387876,65.10583
2019,01,1,0.36407821,79.0355625
