####################################################################################################
# Month: 03Mar                                                                                     #
# Station: DomeF                                                                                   #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,03,1,0.03518217,12.67639375
2009,03,2,0.03636535,12.984405
2009,03,3,0.04549678,15.17003375
2009,03,4,0.04209499,14.37938875
2009,03,5,0.0394806,13.758425
2009,03,6,0.03362831,12.31782125
2009,03,7,0.03417278,12.4334825
2009,03,8,0.03476816,12.59991125
2009,03,9,0.03932539,13.663565
2009,03,10,0.0330853,12.21679625
2009,03,11,0.03169196,11.88662875
2009,03,12,0.0282789,11.04044
2009,03,13,0.02836558,11.0434425
2009,03,14,0.02830694,11.04057
2009,03,15,0.03484067,12.6045875
2009,03,16,0.04065164,14.0367725
2009,03,17,0.04002312,13.85683125
2009,03,18,0.03354366,12.25833625
2009,03,19,0.03130176,11.71307625
2009,03,20,0.02888684,11.143975
2009,03,21,0.03006278,11.44957875
2009,03,22,0.03500527,12.63508125
2009,03,23,0.0350482,12.59897875
2009,03,24,0.0321302,11.897955
2009,03,25,0.0282186,10.97273125
2009,03,26,0.02542553,10.26921125
2009,03,27,0.02845352,10.99000125
2009,03,28,0.02822788,10.9405175
2009,03,29,0.0273857,10.74211125
2009,03,30,0.02803348,10.89896375
2009,03,31,0.0267219,10.5667425
2010,03,1,0.03350094,12.27047
2010,03,2,0.03162168,11.822735
2010,03,3,0.03164292,11.85029375
2010,03,4,0.03115896,11.69387125
2010,03,5,0.03054728,11.54666625
2010,03,6,0.02916769,11.2328775
2010,03,7,0.02819274,10.994085
2010,03,8,0.0299709,11.398825
2010,03,9,0.02952816,11.27694125
2010,03,10,0.03238374,11.96526375
2010,03,11,0.03297224,12.1035025
2010,03,12,0.02876069,11.0776025
2010,03,13,0.03005012,11.39173
2010,03,14,0.02984446,11.360765
2010,03,15,0.03981517,13.756515
2010,03,16,0.04080309,14.01996875
2010,03,17,0.03731788,13.177105
2010,03,18,0.02968542,11.29333125
2010,03,19,0.02869964,11.02406125
2010,03,20,0.02633551,10.48490625
2010,03,21,0.02718814,10.7161575
2010,03,22,0.02730775,10.74362875
2010,03,23,0.02750021,10.76168625
2010,03,24,0.02737799,10.700585
2010,03,25,0.02735044,10.69206875
2010,03,26,0.02792534,10.82636625
2010,03,27,0.02672781,10.54463875
2010,03,28,0.02776981,10.8322
2010,03,29,0.02613978,10.45183375
2010,03,30,0.03142533,11.735915
2010,03,31,0.03226515,11.93155
2011,03,1,0.03163771,11.7806075
2011,03,2,0.02943059,11.23343375
2011,03,3,0.02880238,11.09310875
2011,03,4,0.02807226,10.92169
2011,03,5,0.03260859,12.06114875
2011,03,6,0.03201704,11.91103125
2011,03,7,0.0309346,11.6284875
2011,03,8,0.0303252,11.48377375
2011,03,9,0.02839989,11.0157925
2011,03,10,0.0278831,10.90165
2011,03,11,0.02955491,11.3039025
2011,03,12,0.03285079,12.09273875
2011,03,13,0.03113091,11.65844125
2011,03,14,0.03050848,11.50522
2011,03,15,0.0314533,11.72603875
2011,03,16,0.03625507,12.90802875
2011,03,17,0.03732426,13.181485
2011,03,18,0.03355374,12.24923
2011,03,19,0.03115727,11.67624
2011,03,20,0.03189729,11.82679625
2011,03,21,0.03114172,11.632175
2011,03,22,0.03098359,11.58318125
2011,03,23,0.03148192,11.69421
2011,03,24,0.0322099,11.86546
2011,03,25,0.03045281,11.44431625
2011,03,26,0.02968448,11.27403
2011,03,27,0.03694268,13.04243125
2011,03,28,0.0484202,15.82207
2011,03,29,0.0497157,16.133605
2011,03,30,0.03698791,13.06547125
2011,03,31,0.03298485,12.0871
2012,03,1,0.04309763,14.60769125
2012,03,2,0.03954121,13.73565875
2012,03,3,0.03506785,12.64479125
2012,03,4,0.03157238,11.78452
2012,03,5,0.02951751,11.28873
2012,03,6,0.03275574,12.05989
2012,03,7,0.03062731,11.5334875
2012,03,8,0.02845473,11.0039075
2012,03,9,0.02793091,10.86685875
2012,03,10,0.03128909,11.68610875
2012,03,11,0.03320089,12.14993125
2012,03,12,0.03086701,11.5721825
2012,03,13,0.02932466,11.21550625
2012,03,14,0.02740882,10.79589125
2012,03,15,0.02942372,11.290625
2012,03,16,0.03137415,11.72788875
2012,03,17,0.03023833,11.43253
2012,03,18,0.02860435,11.03482875
2012,03,19,0.02425768,9.98775575
2012,03,20,0.03058812,11.55266125
2012,03,21,0.03454176,12.53785
2012,03,22,0.03039672,11.49506
2012,03,23,0.02872917,11.0540975
2012,03,24,0.02752938,10.74321
2012,03,25,0.02616727,10.40858875
2012,03,26,0.02686493,10.5722875
2012,03,27,0.02673019,10.54877
2012,03,28,0.02607961,10.4107475
2012,03,29,0.03159346,11.77225625
2012,03,30,0.03559057,12.71905
2012,03,31,0.02847884,10.96661875
2013,03,1,0.03860264,13.58560875
2013,03,2,0.03929904,13.70590375
2013,03,3,0.03429937,12.4643225
2013,03,4,0.03114275,11.68171
2013,03,5,0.03109007,11.66983125
2013,03,6,0.03083171,11.5929175
2013,03,7,0.03007814,11.40786375
2013,03,8,0.029798,11.35306125
2013,03,9,0.03251475,11.9948325
2013,03,10,0.03145002,11.73199875
2013,03,11,0.03080653,11.56666125
2013,03,12,0.02978083,11.31203625
2013,03,13,0.02931719,11.21528625
2013,03,14,0.03609846,12.8597275
2013,03,15,0.03381474,12.30077875
2013,03,16,0.03353543,12.24014
2013,03,17,0.03539081,12.69198125
2013,03,18,0.03507256,12.617585
2013,03,19,0.03079943,11.584935
2013,03,20,0.03149483,11.74754
2013,03,21,0.03014914,11.4384925
2013,03,22,0.02983009,11.3301125
2013,03,23,0.02586351,10.358126
