####################################################################################################
# Month: 12Dec                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/DomeF                        #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,12,1,602.09093625
2009,12,2,600.27252625
2009,12,3,598.723695
2009,12,4,599.8326925
2009,12,5,601.31944375
2009,12,6,604.5310575
2009,12,7,601.562415
2009,12,8,600.5054275
2009,12,9,599.1015975
2009,12,10,598.00737875
2009,12,11,596.82135
2009,12,12,600.11525125
2009,12,13,602.71380875
2009,12,14,601.68657875
2009,12,15,602.11147875
2009,12,16,603.0226625
2009,12,17,598.45066
2009,12,18,593.71902375
2009,12,19,592.52050375
2009,12,20,592.9149025
2009,12,21,594.16236375
2009,12,22,594.8876975
2009,12,23,594.4686725
2009,12,24,597.13685
2009,12,25,597.8462975
2009,12,26,598.16106
2009,12,27,597.79180125
2009,12,28,598.2051325
2009,12,29,599.31615875
2009,12,30,599.98531625
2009,12,31,601.274965
2010,12,1,587.4063125
2010,12,2,593.735675
2010,12,3,598.47699625
2010,12,4,598.6198375
2010,12,5,601.08833125
2010,12,6,606.74294875
2010,12,7,613.48078375
2010,12,8,617.9812375
2010,12,9,609.56694125
2010,12,10,607.1940375
2010,12,11,606.0487675
2010,12,12,606.10320625
2010,12,13,603.95205875
2010,12,14,604.8629375
2010,12,15,607.0681925
2010,12,16,602.55778625
2010,12,17,603.780715
2010,12,18,604.41271
2010,12,19,602.82371625
2010,12,20,602.39317625
2010,12,21,604.15161375
2010,12,22,605.57572625
2010,12,23,606.75888625
2010,12,24,606.8730225
2010,12,25,607.88329125
2010,12,26,608.96014625
2010,12,27,607.85174875
2010,12,28,604.90622375
2010,12,29,603.18215625
2010,12,30,603.81011
2010,12,31,602.79693875
2011,12,1,586.20076
2011,12,2,586.60020625
2011,12,3,591.59249
2011,12,4,595.04146625
2011,12,5,596.1095375
2011,12,6,594.02490125
2011,12,7,594.34061375
2011,12,8,592.57781
2011,12,9,585.696695
2011,12,10,584.64647625
2011,12,11,586.98913625
2011,12,12,593.1310275
2011,12,13,588.066095
2011,12,14,586.79118625
2011,12,15,594.2808675
2011,12,16,594.9848275
2011,12,17,597.05382375
2011,12,18,596.6625225
2011,12,19,599.78541375
2011,12,20,600.33548875
2011,12,21,603.10606125
2011,12,22,602.1721975
2011,12,23,605.153985
2011,12,24,607.137415
2011,12,25,604.48196
2011,12,26,601.953755
2011,12,27,601.5725175
2011,12,28,598.6759425
2011,12,29,596.02506625
2011,12,30,598.3535825
2011,12,31,598.0695275
2012,12,1,599.5991775
2012,12,2,599.6196425
2012,12,3,601.55372125
2012,12,4,604.25670875
2012,12,5,602.54634625
2012,12,6,602.05679
2012,12,7,604.47460375
2012,12,8,602.7582175
2012,12,9,601.72313375
2012,12,10,603.3163125
2012,12,11,601.41758
2012,12,12,600.49989875
2012,12,13,600.89062875
2012,12,14,600.8601325
2012,12,15,599.96474
2012,12,16,600.167005
2012,12,17,600.10491
2012,12,18,601.2980125
2012,12,19,603.8996425
2012,12,20,605.12899125
2012,12,21,605.82467375
2012,12,22,608.36448125
2012,12,23,610.66472
2012,12,24,610.17218125
2012,12,25,610.78814125
2012,12,26,612.96656875
2012,12,27,610.68046
2012,12,28,605.8588025
2012,12,29,603.9960875
2012,12,30,602.92152
2012,12,31,602.27117125
2013,12,1,597.0861975
2013,12,2,597.13501625
2013,12,3,597.08717125
