####################################################################################################
# Month: 06Jun                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/ERB                          #
# Columns are: year    month   day     PWV (mm)                                                    #
####################################################################################################
year,month,day,PWV
2009,06,1,9.3472125
2009,06,2,9.80021
2009,06,3,8.78183375
2009,06,4,9.55363625
2009,06,5,7.98995
2009,06,6,4.3765375
2009,06,7,9.84118875
2009,06,8,10.00007625
2009,06,9,7.8629625
2009,06,10,9.22632
2009,06,11,10.9983775
2009,06,12,13.6423
2009,06,13,11.12280375
2009,06,14,10.70799625
2009,06,15,9.07419375
2009,06,16,10.28485
2009,06,17,12.83797375
2009,06,18,13.4726375
2009,06,19,15.1529375
2009,06,20,13.34745
2009,06,21,11.3545375
2009,06,22,12.7286
2009,06,23,15.1929875
2009,06,24,16.1436375
2009,06,25,16.399725
2009,06,26,10.1218
2009,06,27,12.1258625
2009,06,28,7.78712375
2009,06,29,5.38222375
2009,06,30,4.232665
2010,06,1,8.39812
2010,06,2,8.571695
2010,06,3,9.67812
2010,06,4,5.61603375
2010,06,5,11.52339375
2010,06,6,11.9456875
2010,06,7,10.456775
2010,06,8,7.55923875
2010,06,9,12.16138125
2010,06,10,6.73954625
2010,06,11,6.53228
2010,06,12,5.2101075
2010,06,13,5.71513625
2010,06,14,8.979925
2010,06,15,14.3440375
2010,06,16,9.2210475
2010,06,17,14.115535
2010,06,18,17.7516
2010,06,19,13.46415
2010,06,20,11.2185175
2010,06,21,8.71907
2010,06,22,9.9739925
2010,06,23,9.1872325
2010,06,24,8.871615
2010,06,25,9.95552375
2010,06,26,8.5683725
2010,06,27,6.34802125
2010,06,28,4.7800075
2010,06,29,5.19676125
2010,06,30,3.16456125
2011,06,1,12.5295625
2011,06,2,8.33964375
2011,06,3,7.59589125
2011,06,4,9.62389875
2011,06,5,10.589195
2011,06,6,13.01485
2011,06,7,7.82557875
2011,06,8,10.90619875
2011,06,9,12.2425
2011,06,10,12.6387875
2011,06,11,9.53397125
2011,06,12,8.41349875
2011,06,13,10.74147375
2011,06,14,10.72125875
2011,06,15,8.74488125
2011,06,16,7.7115975
2011,06,17,4.81333625
