####################################################################################################
# Month: 07Jul                                                                                     #
# Station: ERB                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,07,1,0.21959488
2014,07,2,0.36073112
2014,07,3,0.37622412
2014,07,4,0.44328738
2014,07,5,0.3267535
2014,07,6,0.30830075
2014,07,7,0.32462625
2014,07,8,0.31583
2014,07,9,0.32911362
2014,07,10,0.272022
2014,07,11,0.24984438
2014,07,12,0.27362925
2014,07,13,0.24807812
2014,07,14,0.22938538
2014,07,15,0.26725738
2014,07,16,0.216381
2014,07,17,0.14910175
2014,07,18,0.09553038
2014,07,19,0.12607137
2014,07,20,0.25689
2014,07,21,0.54885962
2014,07,22,0.533298
2014,07,23,0.35183363
2014,07,24,0.28493212
2014,07,25,0.27052937
2014,07,26,0.33429738
2014,07,27,0.32788462
2014,07,28,0.34776788
2014,07,29,0.36657588
2014,07,30,0.3105805
2014,07,31,0.26775012
2015,07,1,0.10593238
2015,07,2,0.19437863
2015,07,3,0.12932338
2015,07,4,0.17420612
2015,07,5,0.288655
2015,07,6,0.23963488
2015,07,7,0.20758438
2015,07,8,0.27523988
2015,07,9,0.2339785
2015,07,10,0.09400563
2015,07,11,0.10282425
2015,07,12,0.20996375
2015,07,13,0.28675238
2015,07,14,0.25028525
2015,07,15,0.21229525
2015,07,16,0.22973375
2015,07,17,0.310905
2015,07,18,0.44411638
2015,07,19,0.45961812
2015,07,20,0.324913
2015,07,21,0.25652425
2015,07,22,0.272617
2015,07,23,0.352643
2015,07,24,0.36412275
2015,07,25,0.25291975
2015,07,26,0.21974362
2015,07,27,0.23539
2015,07,28,0.24652588
2015,07,29,0.23990412
2015,07,30,0.2434125
2015,07,31,0.22264275
2016,07,1,0.27930338
2016,07,2,0.26923312
2016,07,3,0.37975162
2016,07,4,0.395759
2016,07,5,0.42094562
2016,07,6,0.52058462
2016,07,7,0.504282
2016,07,8,0.43005088
2016,07,9,0.42738475
2016,07,10,0.31814438
2016,07,11,0.22115512
2016,07,12,0.35155488
2016,07,13,0.34185412
2016,07,14,0.36663725
2016,07,15,0.27893013
2016,07,16,0.26161687
2016,07,17,0.30231087
2016,07,18,0.307352
2016,07,19,0.30676962
2016,07,20,0.25304375
2016,07,21,0.236935
2016,07,22,0.32029175
2016,07,23,0.290932
2016,07,24,0.34727562
2016,07,25,0.33224538
2016,07,26,0.29269312
2016,07,27,0.21883038
2016,07,28,0.25575187
2016,07,29,0.34656425
2016,07,30,0.29088513
2016,07,31,0.3256245
2017,07,1,0.27787862
2017,07,2,0.31247462
2017,07,3,0.24249812
2017,07,4,0.20634838
2017,07,5,0.17263975
2017,07,6,0.15863775
2017,07,7,0.281014
2017,07,8,0.35667638
2017,07,9,0.20968025
2017,07,10,0.173896
2017,07,11,0.19503875
2017,07,12,0.42059425
2017,07,13,0.41318662
2017,07,14,0.3258205
2017,07,15,0.25383438
2017,07,16,0.17637
2017,07,17,0.19235212
2017,07,18,0.20711887
2017,07,19,0.18292362
2017,07,20,0.1710595
2017,07,21,0.12725938
2017,07,22,0.15115975
2017,07,23,0.1798485
2017,07,24,0.20992938
2017,07,25,0.22486975
2017,07,26,0.20728375
2017,07,27,0.21345762
2017,07,28,0.17749362
2017,07,29,0.28422625
2017,07,30,0.20187675
2017,07,31,0.33069
2018,07,1,0.08340412
2018,07,2,0.175048
2018,07,3,0.17869738
2018,07,4,0.21522975
2018,07,5,0.23713712
2018,07,6,0.37033938
2018,07,7,0.392541
2018,07,8,0.31939325
2018,07,9,0.25978763
2018,07,10,0.2156925
2018,07,11,0.2239395
2018,07,12,0.2233335
2018,07,13,0.24448512
2018,07,14,0.34136675
2018,07,15,0.4800345
2018,07,16,0.51861813
2018,07,17,0.36304762
2018,07,18,0.30375913
2018,07,19,0.175176
2018,07,20,0.18029575
2018,07,21,0.17629412
2018,07,22,0.33712162
2018,07,23,0.40627238
2018,07,24,0.36286725
2018,07,25,0.24594438
2018,07,26,0.14172562
2018,07,27,0.15452088
2018,07,28,0.15442963
2018,07,29,0.17191288
2018,07,30,0.2071985
2018,07,31,0.29497425
2019,07,1,0.258514
2019,07,2,0.29466713
2019,07,3,0.29868063
2019,07,4,0.24715725
2019,07,5,0.24977362
2019,07,6,0.2827345
2019,07,7,0.320762
2019,07,8,0.370946
2019,07,9,0.37179888
2019,07,10,0.3727915
2019,07,11,0.26941675
2019,07,12,0.32180575
2019,07,13,0.36015987
2019,07,14,0.35297225
2019,07,15,0.28370862
2019,07,16,0.26143138
2019,07,17,0.29172
2019,07,18,0.33498925
2019,07,19,0.15395612
2019,07,20,0.18012162
2019,07,21,0.17851875
2019,07,22,0.200084
2019,07,23,0.27038662
2019,07,24,0.26223775
2019,07,25,0.260557
2019,07,26,0.19237438
2019,07,27,0.26100512
2019,07,28,0.29880662
2019,07,29,0.29021138
2019,07,30,0.26643488
2019,07,31,0.191241
