####################################################################################################
# Month: 07Jul                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/ERB                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,07,1,293.175
2009,07,2,291.35
2009,07,3,291.05
2009,07,4,289.45
2009,07,5,288.05
2009,07,6,286.675
2009,07,7,288.4875
2009,07,8,289.375
2009,07,9,290.6375
2009,07,10,291.3625
2009,07,11,291.8375
2009,07,12,293.35
2009,07,13,293.3875
2009,07,14,290.8625
2009,07,15,286.6125
2009,07,16,286.4875
2009,07,17,288.4875
2009,07,18,288.95
2009,07,19,288.7
2009,07,20,290.2625
2009,07,21,292.2
2009,07,22,292.475
2009,07,23,291.8
2009,07,24,290.95
2009,07,25,289.0125
2009,07,26,289.0
2009,07,27,290.7
2009,07,28,291.9875
2009,07,29,291.125
2009,07,30,291.95
2009,07,31,289.8875
2010,07,1,287.9375
2010,07,2,289.5875
2010,07,3,292.0625
2010,07,4,292.8375
2010,07,5,291.725
2010,07,6,289.975
2010,07,7,291.725
2010,07,8,292.325
2010,07,9,291.5
2010,07,10,293.0
2010,07,11,295.6875
2010,07,12,296.85
2010,07,13,295.125
2010,07,14,292.4375
2010,07,15,288.2
2010,07,16,286.0625
2010,07,17,286.5
2010,07,18,288.55
2010,07,19,290.1625
2010,07,20,291.725
2010,07,21,293.0375
2010,07,22,291.5375
2010,07,23,289.5625
2010,07,24,287.95
2010,07,25,288.1125
2010,07,26,291.25
2010,07,27,293.025
2010,07,28,291.9875
2010,07,29,291.9125
2010,07,30,291.6375
2010,07,31,290.9625
2011,07,1,289.8875
2011,07,2,288.65
2011,07,3,289.0875
2011,07,4,290.3
2011,07,5,290.9125
2011,07,6,291.825
2011,07,7,294.75
2011,07,8,295.425
2011,07,9,295.9375
2011,07,10,294.4875
2011,07,11,291.1
2011,07,12,290.6125
2011,07,13,291.625
2011,07,14,293.2
2011,07,15,293.2625
2011,07,16,291.8625
2011,07,17,290.8
2011,07,18,291.2375
2011,07,19,290.6875
2011,07,20,290.25
2011,07,21,290.875
2011,07,22,290.9625
2011,07,23,291.4
2011,07,24,291.35
2011,07,25,292.275
2011,07,26,294.85
2011,07,27,298.1125
2011,07,28,297.5125
2011,07,29,295.625
2011,07,30,296.9
2011,07,31,298.8375
2012,07,1,287.75
2012,07,2,287.525
2012,07,3,289.175
2012,07,4,287.6125
2012,07,5,287.65
2012,07,6,289.5875
2012,07,7,290.775
2012,07,8,290.4625
2012,07,9,288.5375
2012,07,10,287.5875
2012,07,11,289.0625
2012,07,12,290.4875
2012,07,13,290.725
2012,07,14,291.9125
2012,07,15,290.975
2012,07,16,289.25
2012,07,17,290.5
2012,07,18,291.6125
2012,07,19,292.7375
2012,07,20,292.6875
2012,07,21,291.3125
2012,07,22,292.8
2012,07,23,293.3625
2012,07,24,293.7125
2012,07,25,292.6375
2012,07,26,293.425
2012,07,27,294.25
2012,07,28,293.8125
2012,07,29,291.0875
2012,07,30,290.2125
2012,07,31,292.2875
2013,07,1,292.1375
2013,07,2,288.775
2013,07,3,289.0375
2013,07,4,290.025
2013,07,5,291.25
2013,07,6,291.8125
2013,07,7,291.8
2013,07,8,292.25
2013,07,9,293.3875
2013,07,10,294.85
2013,07,11,292.7125
2013,07,12,290.275
2013,07,13,290.9375
2013,07,14,292.5625
