####################################################################################################
# Month: 08Aug                                                                                     #
# Station: ERB                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,1.21999912,200.69865
2009,08,2,1.05117135,185.562925
2009,08,3,0.92135036,172.231075
2009,08,4,1.64488826,222.344275
2009,08,5,2.21620338,252.5796375
2009,08,6,2.22740725,253.9543375
2009,08,7,1.59484732,219.7647875
2009,08,8,1.01385979,181.059725
2009,08,9,1.1257316,190.1523
2009,08,10,1.58120862,218.769725
2009,08,11,1.40412782,205.8275125
2009,08,12,1.01448606,182.3054
2009,08,13,0.75483338,153.1231125
2009,08,14,0.77266776,155.061375
2009,08,15,1.12909831,192.68725
2009,08,16,1.359501,214.9759875
2009,08,17,1.697915,234.4992625
2009,08,18,1.37417275,213.2988125
2009,08,19,1.64605475,227.94905
2009,08,20,1.04262755,183.8004625
2009,08,21,0.94624831,175.3731875
2009,08,22,0.91632876,171.9268125
2009,08,23,0.90427743,165.3716375
2009,08,24,0.91802705,170.0831875
2009,08,25,1.12953314,191.5891625
2009,08,26,1.12459681,191.8592625
2009,08,27,1.00612771,179.6419625
2009,08,28,0.98227906,176.658375
2009,08,29,1.33272504,205.3691875
2009,08,30,1.6805045,228.8956
2009,08,31,1.983556,241.6356125
2010,08,1,0.60994304,132.5291625
2010,08,2,0.78353812,154.7682875
2010,08,3,1.21646545,192.5452
2010,08,4,2.17700013,245.85015
2010,08,5,2.30064512,253.63085
2010,08,6,2.02436375,245.531975
2010,08,7,2.3046465,254.273725
2010,08,8,2.301227,254.5625875
2010,08,9,1.18681895,191.112575
2010,08,10,1.10228099,185.352
2010,08,11,1.33578175,210.2119375
2010,08,12,2.43836587,255.9492
2010,08,13,3.00489612,267.470225
2010,08,14,2.4258285,257.9458125
2010,08,15,2.04296662,246.13225
2010,08,16,1.85166375,239.2486875
2010,08,17,2.10999538,248.6052625
2010,08,18,1.79810362,235.722575
2010,08,19,1.00725921,180.369925
2010,08,20,0.87523276,168.1735375
2010,08,21,0.92887549,174.6335
2010,08,22,1.40561688,215.1961375
2010,08,23,1.69661725,230.9266875
2010,08,24,1.736687,228.233475
2010,08,25,2.28314912,253.53685
2010,08,26,3.30898688,272.307375
2010,08,27,3.17187225,269.3643875
2010,08,28,2.5675275,260.597775
2010,08,29,2.22980975,252.5740375
2010,08,30,2.18057262,251.626575
2010,08,31,1.63472725,227.4129
2011,08,1,2.38298138,263.503475
2011,08,2,2.12196075,254.6689375
2011,08,3,1.87718775,245.1213
2011,08,4,1.14503952,195.4062375
2011,08,5,0.7175887,149.297025
2011,08,6,0.73082252,149.4860975
2011,08,7,1.95539238,243.5728
2011,08,8,2.29713375,257.574825
2011,08,9,2.62075725,266.4148875
2011,08,10,2.92346738,271.3793125
2011,08,11,3.17799438,272.45605
2011,08,12,2.61482075,258.39425
2011,08,13,1.3480145,211.398025
2011,08,14,1.05565668,187.098525
2011,08,15,0.98129681,180.604475
2011,08,16,0.84018664,164.6649875
2011,08,17,1.11587514,191.5372
2011,08,18,1.61305375,226.823775
2011,08,19,1.86581338,239.6858375
2011,08,20,1.12546571,191.524675
2011,08,21,1.867598,237.7255875
2011,08,22,2.09132837,247.5143625
2011,08,23,1.82709125,237.2012
2011,08,24,1.734452,233.62095
2011,08,25,1.98267575,245.331025
2011,08,26,1.37538325,211.9893875
2011,08,27,1.72637912,231.873025
2011,08,28,2.40811,254.742625
2011,08,29,1.14883495,180.5994875
2011,08,30,0.58074281,127.5873375
2011,08,31,0.91112126,171.42345
2012,08,1,3.98670325,279.4131875
2012,08,2,2.29655175,254.58535
2012,08,3,1.72743762,234.3795
2012,08,4,1.29567012,209.3291375
2012,08,5,1.61122738,229.0534375
2012,08,6,1.64033112,232.65545
2012,08,7,1.66325262,232.525475
2012,08,8,1.56024075,226.6308375
2012,08,9,1.56472825,226.2235625
2012,08,10,1.95570375,244.05575
2012,08,11,1.76425988,236.384325
2012,08,12,1.66497325,230.133525
2012,08,13,1.39612338,215.7769125
2012,08,14,1.18908762,200.555125
2012,08,15,1.52587825,224.17475
2012,08,16,1.29149489,206.31965
2012,08,17,0.8393928,164.589325
2012,08,18,1.00069278,181.9757375
2012,08,19,1.03285864,184.7733375
2012,08,20,0.98429822,179.722775
2012,08,21,0.75845245,153.6849625
2012,08,22,1.10530808,190.770725
2012,08,23,1.40519975,214.3235375
2012,08,24,2.0191155,247.7175125
2012,08,25,2.59442225,260.4662125
2012,08,26,2.54562725,262.5511
2012,08,27,2.3012105,256.425325
2012,08,28,2.12163175,249.913125
2012,08,29,1.54240162,223.106625
2012,08,30,1.2983915,205.1300125
2012,08,31,1.59416388,225.3845
2013,08,1,1.12008276,192.5497
2013,08,2,1.4840675,218.2665125
2013,08,3,2.26644188,253.4177125
2013,08,4,1.8562155,238.7112125
2013,08,5,1.14068665,189.3475625
2013,08,6,1.47358785,216.7810625
2013,08,7,1.57011688,225.9365
2013,08,8,1.32021988,208.7326125
2013,08,9,2.81285775,262.8234375
2013,08,10,3.29905725,273.3016625
2013,08,11,3.20610312,274.4887625
2013,08,12,2.53206463,264.16695
2013,08,13,2.145104,252.27735
2013,08,14,1.54586662,228.3715875
2013,08,15,1.66614075,234.3085625
2013,08,16,1.270176,208.2948375
2013,08,17,1.59249588,228.5793875
2013,08,18,1.21659517,199.4236625
2013,08,19,1.067672,189.3579625
2013,08,20,1.259596,204.9546375
2013,08,21,1.59044462,223.951175
2013,08,22,2.12055088,249.326275
2013,08,23,1.82323762,238.638475
2013,08,24,1.2588534,198.1658375
2013,08,25,0.76232059,151.7333875
2013,08,26,0.89838566,170.2057625
2013,08,27,1.52554088,218.9078875
2013,08,28,1.50707712,221.3791
2013,08,29,1.7416595,234.5808
2013,08,30,2.65452037,262.457
2013,08,31,1.55774855,216.104275
2014,08,1,1.54427388,225.8329875
2014,08,2,1.71250512,234.677325
2014,08,3,1.66019462,231.5893375
2014,08,4,1.52416225,223.1473375
2014,08,5,1.475497,216.9544875
2014,08,6,1.91081775,241.9194375
2014,08,7,1.57133238,226.2080125
2014,08,8,1.14073411,196.2692625
2014,08,9,1.04008708,187.1549875
2014,08,10,0.61222421,131.88886
2014,08,11,0.52839944,119.58195125
2014,08,12,0.69967489,145.529
2014,08,13,1.08704146,190.42545
2014,08,14,1.15436934,196.4088
2014,08,15,1.83692112,240.6669125
2014,08,16,1.90663512,242.560575
2014,08,17,2.14044225,249.5761625
2014,08,18,1.69869438,228.81455
2014,08,19,2.949115,267.66545
2014,08,20,2.304598,253.590775
2014,08,21,1.09740859,189.2671625
2014,08,22,2.00395824,239.3247875
2014,08,23,2.122658,249.1632
2014,08,24,1.97924712,243.990525
2014,08,25,1.932627,242.507
2014,08,26,2.25894438,254.81995
2014,08,27,1.70665888,229.0904625
2014,08,28,1.42948512,216.3006
2014,08,29,1.99339188,245.668625
2014,08,30,1.44142838,217.2345125
2014,08,31,1.83418588,236.4259
2015,08,1,2.19460925,252.572725
2015,08,2,1.74077888,235.7242375
2015,08,3,1.67268638,233.1038
2015,08,4,2.07721688,249.50355
2015,08,5,1.86282738,241.0935625
2015,08,6,1.64503188,229.99835
2015,08,7,2.33530125,256.3588
2015,08,8,1.38894088,214.7262
2015,08,9,1.87842462,240.1615
2015,08,10,1.63584838,230.0742
2015,08,11,1.74283775,237.2507875
2015,08,12,1.50423412,225.01085
2015,08,13,1.52890612,225.5383875
2015,08,14,1.71416638,234.9312375
2015,08,15,1.22200188,196.83605
2015,08,16,0.696837,142.2093075
2015,08,17,1.12489085,191.17055
2015,08,18,1.35973562,212.3636875
2015,08,19,0.81253037,160.9685875
2015,08,20,1.41614646,209.1079
2015,08,21,1.11476801,190.63945
2015,08,22,1.04935191,184.6976875
2015,08,23,1.471364,218.43085
2015,08,24,1.55892338,221.1781125
2015,08,25,2.37837425,254.5075
2015,08,26,1.62036512,222.5307875
2015,08,27,0.99240998,178.5904875
2015,08,28,1.41427688,213.2463
2015,08,29,1.89933338,239.914125
2015,08,30,1.528116,220.152225
2015,08,31,2.58218212,258.6883375
2016,08,1,1.53530275,222.632675
2016,08,2,1.46374088,218.691125
2016,08,3,1.7253305,232.9083375
2016,08,4,2.05968162,249.88465
2016,08,5,2.47643175,262.437075
2016,08,6,1.52156888,225.558825
2016,08,7,1.308943,211.411175
2016,08,8,1.04426256,187.86865
2016,08,9,1.5238085,224.722675
2016,08,10,1.58451375,229.0661875
2016,08,11,1.11830425,194.2585
2016,08,12,1.20079078,197.0343875
2016,08,13,1.27500425,206.7858125
2016,08,14,1.10357936,189.8774
2016,08,15,1.73956975,235.3438
2016,08,16,2.18243837,254.4249125
2016,08,17,2.12021425,248.0105
2016,08,18,1.87319262,237.613125
2016,08,19,2.95009225,270.537025
2016,08,20,2.08799475,245.350375
2016,08,21,1.39329337,214.11145
2016,08,22,1.24000381,199.91
2016,08,23,2.30456688,254.3323375
2016,08,24,2.39563312,257.0211375
2016,08,25,2.18629688,251.636825
2016,08,26,2.188129,250.9580125
2016,08,27,2.21449013,252.3118125
2016,08,28,2.11812762,248.86295
2016,08,29,1.91098975,241.65365
2016,08,30,2.24030312,254.29335
2016,08,31,2.13455212,250.724175
2017,08,1,2.70425712,266.819375
2017,08,2,2.220913,253.032575
2017,08,3,2.43215462,258.9361
2017,08,4,1.98256238,239.718575
2017,08,5,1.12946681,193.6369875
2017,08,6,0.79468119,156.0839125
2017,08,7,1.47000362,220.4594875
2017,08,8,1.39671725,215.160475
2017,08,9,1.6443455,229.226225
2017,08,10,1.9031495,239.757725
2017,08,11,2.22729562,253.5114875
2017,08,12,1.99459338,246.145025
2017,08,13,1.7508875,236.4892125
2017,08,14,1.42052919,215.2538125
2017,08,15,2.3249985,254.445075
2017,08,16,3.0692765,270.575775
2017,08,17,1.903881,225.4615625
2017,08,18,1.13086932,192.3027875
2017,08,19,0.98947971,181.0217
2017,08,20,0.82830596,162.6682125
2017,08,21,1.20083621,196.371975
2017,08,22,1.45598062,219.1728625
2017,08,23,0.84249409,157.5907375
2017,08,24,0.56933735,122.0080575
2017,08,25,1.3897495,213.743025
2017,08,26,1.57366062,225.9962375
2017,08,27,1.34558625,209.79875
2017,08,28,1.19563529,197.1014875
2017,08,29,1.35627,209.471625
2017,08,30,1.23132637,202.2597375
2017,08,31,1.4403965,217.8456625
2018,08,1,1.92293125,243.5848875
2018,08,2,1.61254613,230.60115
2018,08,3,2.4968045,262.329425
2018,08,4,3.12460625,269.24165
2018,08,5,1.83292738,239.0913875
2018,08,6,1.3219225,211.394975
2018,08,7,1.13808262,193.9428625
2018,08,8,0.92937972,175.8855125
2018,08,9,1.41401225,218.8402375
2018,08,10,1.33520925,212.3294125
2018,08,11,1.27958462,207.9932625
2018,08,12,1.11125709,194.2354125
2018,08,13,1.20005137,199.9704875
2018,08,14,2.24191462,256.0604375
2018,08,15,1.77175438,237.68065
2018,08,16,1.32158575,211.2902375
2018,08,17,1.1392967,196.806075
2018,08,18,1.08063481,190.426075
2018,08,19,1.63170412,227.643525
2018,08,20,1.90332738,241.3356
2018,08,21,1.11655165,192.6626125
2018,08,22,0.87194941,169.0272
2018,08,23,1.64438712,228.2258
2018,08,24,1.51118038,224.4591
2018,08,25,1.38156488,216.1562125
2018,08,26,1.14581128,197.138975
2018,08,27,1.29575512,207.848975
2018,08,28,1.07365032,186.182
2018,08,29,1.14817011,195.8043
2018,08,30,1.03912906,183.3325625
2018,08,31,0.75313359,151.5942125
2019,08,1,0.61557086,134.55879125
2019,08,2,1.10814472,169.420815
2019,08,3,2.45983362,260.1686625
2019,08,4,1.91232262,241.74425
2019,08,5,1.22033738,203.2123875
2019,08,6,1.3740325,214.6632125
2019,08,7,1.3935475,217.3441875
2019,08,8,1.61276,228.29815
2019,08,9,2.237404,257.90835
2019,08,10,2.04427362,251.05045
2019,08,11,2.24166175,257.4049
2019,08,12,2.44043462,260.946175
2019,08,13,2.48415475,261.0614625
2019,08,14,2.65103463,263.36845
2019,08,15,2.92121612,270.5362
2019,08,16,2.76475775,268.2934375
2019,08,17,2.55218012,261.694175
2019,08,18,2.64509075,263.7623375
2019,08,19,2.47870775,261.40435
2019,08,20,2.51363462,262.2263
2019,08,21,1.57934725,223.6516125
2019,08,22,0.72622406,146.38666375
2019,08,23,0.62526185,132.81416125
2019,08,24,1.34606714,196.990425
2019,08,25,2.45298838,259.264175
2019,08,26,1.80605938,237.974075
2019,08,27,1.85861112,238.727175
2019,08,28,1.09416796,189.3846
2019,08,29,1.88026975,238.4453125
2019,08,30,2.725591,262.73055
2019,08,31,1.743652,233.1961125
