####################################################################################################
# Month: 01Jan                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/FAIR                         #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,01,1,250.9875
2009,01,2,247.975
2009,01,3,248.425
2009,01,4,249.05
2009,01,5,248.5
2009,01,6,251.325
2009,01,7,251.05
2009,01,8,250.6125
2009,01,9,254.2125
2009,01,10,255.2375
2009,01,11,257.7125
2009,01,12,261.9625
2009,01,13,262.8625
2009,01,14,270.0125
2009,01,15,272.125
2009,01,16,272.625
2009,01,17,271.9375
2009,01,18,269.575
2009,01,19,271.1125
2009,01,20,264.825
2009,01,21,257.7625
2009,01,22,259.65
2009,01,23,261.9125
2009,01,24,263.6125
2009,01,25,263.8125
2009,01,26,261.1
2009,01,27,256.825
2009,01,28,247.3625
2009,01,29,255.2375
2009,01,30,259.6375
2009,01,31,258.8625
2010,01,1,258.025
2010,01,2,254.25
2010,01,3,258.075
2010,01,4,262.625
2010,01,5,266.8875
2010,01,6,270.9375
2010,01,7,268.6375
2010,01,8,268.3375
2010,01,9,267.3875
2010,01,10,262.725
2010,01,11,255.4625
2010,01,12,259.5125
2010,01,13,262.175
2010,01,14,260.0875
2010,01,15,258.425
2010,01,16,255.2875
2010,01,17,260.5875
2010,01,18,264.475
2010,01,19,265.675
2010,01,20,267.3
2010,01,21,265.0
2010,01,22,260.475
2010,01,23,265.425
2010,01,24,267.3
2010,01,25,265.725
2010,01,26,262.925
2010,01,27,261.425
2010,01,28,265.4375
2010,01,29,269.225
2010,01,30,269.7375
2010,01,31,267.4125
2011,01,1,266.0625
2011,01,2,271.375
2011,01,3,271.35
2011,01,4,272.6875
2011,01,5,269.7
2011,01,6,266.55
2011,01,7,259.5625
2011,01,8,263.375
2011,01,9,266.7875
2011,01,10,269.1
2011,01,11,264.4875
2011,01,12,260.3625
2011,01,13,257.4
2011,01,14,253.6
2011,01,15,258.6125
2011,01,16,260.5
2011,01,17,261.575
2011,01,18,255.825
2011,01,19,255.5125
2011,01,20,256.1
2011,01,21,256.7125
2011,01,22,259.35
2011,01,23,250.8875
2011,01,24,263.2875
2011,01,25,268.0375
2011,01,26,267.5125
2011,01,27,264.9125
2011,01,28,264.0125
2011,01,29,268.6375
2011,01,30,270.5875
2011,01,31,269.0125
2012,01,1,254.65
2012,01,2,256.2875
2012,01,3,253.425
2012,01,4,261.4
2012,01,5,265.425
2012,01,6,260.6875
2012,01,7,257.875
2012,01,8,262.775
2012,01,9,247.45
2012,01,10,255.525
2012,01,11,265.2125
2012,01,12,262.1125
2012,01,13,252.5
2012,01,14,251.3625
2012,01,15,250.15
2012,01,16,250.6875
2012,01,17,251.025
2012,01,18,254.9625
2012,01,19,255.9625
2012,01,20,254.8375
2012,01,21,255.3625
2012,01,22,253.55
2012,01,23,258.3125
2012,01,24,266.6125
2012,01,25,249.3125
2012,01,26,244.075
2012,01,27,253.25
2012,01,28,244.4625
2012,01,29,247.2
2012,01,30,253.8375
2012,01,31,256.7875
2013,01,1,268.8375
2013,01,2,268.5875
2013,01,3,267.8625
2013,01,4,266.4125
2013,01,5,267.7375
2013,01,6,267.175
2013,01,7,267.125
2013,01,8,264.825
2013,01,9,256.3625
2013,01,10,261.275
2013,01,11,263.65
2013,01,12,263.5625
2013,01,13,270.15
2013,01,14,271.9125
2013,01,15,261.7875
2013,01,16,256.625
2013,01,17,257.6125
2013,01,18,251.75
2013,01,19,255.6875
2013,01,20,266.975
2013,01,21,267.5375
2013,01,22,268.125
2013,01,23,268.05
2013,01,24,268.2125
2013,01,25,259.7
2013,01,26,246.7
2013,01,27,241.8625
2013,01,28,244.9875
2013,01,29,253.2125
2013,01,30,263.575
2013,01,31,268.45
2014,01,1,269.3
2014,01,2,265.45
2014,01,3,263.3875
2014,01,4,265.2375
2014,01,5,267.25
2014,01,6,269.4875
2014,01,7,269.4125
2014,01,8,268.05
2014,01,9,263.9125
