####################################################################################################
# Month: 05May                                                                                     #
# Station: FAIR                                                                                    #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,1.70049838,224.0865625
2009,05,2,2.92147362,260.2120875
2009,05,3,3.888457,269.628375
2009,05,4,3.51986312,262.295675
2009,05,5,3.67054263,259.961575
2009,05,6,3.45204925,255.287875
2009,05,7,2.97657338,250.269125
2009,05,8,2.76796213,247.166175
2009,05,9,3.3428815,255.0158
2009,05,10,2.8520465,247.1187625
2009,05,11,3.43383812,254.3586
2009,05,12,3.21982325,250.12965
2009,05,13,2.64494388,243.9784125
2009,05,14,2.1062345,228.361825
2009,05,15,2.157374,229.0785625
2009,05,16,1.7723085,217.7498
2009,05,17,1.48776188,205.1531625
2009,05,18,1.47696696,205.56095
2009,05,19,2.01211138,235.5475875
2009,05,20,2.99714175,259.4269125
2009,05,21,4.28488562,271.0517375
2009,05,22,5.20773838,273.0406125
2009,05,23,3.9740535,267.501175
2009,05,24,4.47081737,270.7194875
2009,05,25,4.11457338,271.24225
2009,05,26,3.11890787,262.3533375
2009,05,27,3.98086912,269.4998
2009,05,28,5.1790955,268.3363625
2009,05,29,5.63529838,270.06655
2009,05,30,4.53489838,264.9782125
2009,05,31,3.94323587,262.167625
2010,05,1,3.44563312,255.4046
2010,05,2,3.918388,259.5609875
2010,05,3,3.46716338,255.546025
2010,05,4,2.80199512,247.599575
2010,05,5,3.0553215,249.6159375
2010,05,6,2.387691,232.7603
2010,05,7,2.26079825,237.0643375
2010,05,8,2.84022275,249.869725
2010,05,9,2.53659438,243.0719
2010,05,10,3.5125045,256.733625
2010,05,11,3.14805025,252.39445
2010,05,12,3.61287638,261.2840875
2010,05,13,4.60593388,265.658225
2010,05,14,2.85742962,245.7479375
2010,05,15,3.02665612,256.325325
2010,05,16,3.961058,261.2304375
2010,05,17,3.46859825,259.310075
2010,05,18,4.0485685,266.22065
2010,05,19,4.4972685,270.6326
2010,05,20,4.90493338,271.4064625
2010,05,21,4.710309,270.477475
2010,05,22,3.59552988,267.052975
2010,05,23,5.87696,274.513675
2010,05,24,5.58201763,274.012675
2010,05,25,5.62668262,275.00125
2010,05,26,5.792818,274.7856625
2010,05,27,4.6975875,273.7064375
2010,05,28,4.2791815,273.2329
2010,05,29,4.53722,272.4201125
2010,05,30,5.08004312,275.976875
2010,05,31,5.73372538,276.009425
2011,05,1,3.52999425,256.608775
2011,05,2,2.72809175,245.8357125
2011,05,3,3.05960475,248.9812
2011,05,4,2.48641175,240.0945625
2011,05,5,2.41756512,237.9931625
2011,05,6,1.87874838,222.8549875
2011,05,7,2.25429862,231.98875
2011,05,8,1.50725525,201.5776125
2011,05,9,2.4516715,234.3726875
2011,05,10,2.09236288,228.4141125
2011,05,11,2.8345265,244.35645
2011,05,12,1.59506838,204.61275
2011,05,13,2.40672875,236.0372625
2011,05,14,2.41949713,241.326475
2011,05,15,3.11707412,256.1618625
2011,05,16,2.71215338,249.97515
2011,05,17,2.5861335,245.4413875
2011,05,18,4.7339105,269.6020375
2011,05,19,3.90350362,265.13365
2011,05,20,4.128792,268.180925
2011,05,21,3.12023038,257.033275
2011,05,22,4.72695,272.6552125
2011,05,23,4.74618612,269.9028125
2011,05,24,5.20649475,273.1895875
2011,05,25,5.51786788,274.324225
2011,05,26,3.94365612,268.541375
2011,05,27,3.73951788,269.7282125
2011,05,28,3.95812625,273.3281875
2011,05,29,4.902931,276.9599
2011,05,30,5.4082755,276.5458
2011,05,31,5.27473075,276.109825
2012,05,1,2.49283013,236.3485625
2012,05,2,2.039009,220.8047
2012,05,3,1.3763625,191.399575
2012,05,4,2.66710788,243.6909
2012,05,5,2.80899062,246.705625
2012,05,6,2.62484562,243.930525
2012,05,7,3.5667785,258.3825
2012,05,8,3.84075512,259.7077125
2012,05,9,3.28501112,255.237825
2012,05,10,2.73880525,246.4057375
2012,05,11,3.00005388,253.0408
2012,05,12,2.44157875,239.981775
2012,05,13,2.64415037,244.2787
2012,05,14,2.0750625,226.96155
2012,05,15,2.5010475,241.334625
2012,05,16,2.54583963,241.405875
2012,05,17,2.29735425,237.934975
2012,05,18,1.88799588,225.1903125
2012,05,19,2.68984,247.954975
2012,05,20,3.18342638,257.201125
2012,05,21,3.96525738,265.3573375
2012,05,22,4.13830512,267.63735
2012,05,23,5.24343175,271.1261375
2012,05,24,5.55464,271.428325
2012,05,25,6.06336875,272.0362
2012,05,26,4.75174512,267.3471875
2012,05,27,5.30228275,270.0413125
2012,05,28,5.64459512,270.4991125
2012,05,29,3.8046525,262.3338875
2012,05,30,2.99150175,254.2834375
2012,05,31,4.051898,266.830825
2013,05,1,2.12867113,226.4648375
2013,05,2,2.45860288,237.3552875
2013,05,3,3.00956288,247.9298875
2013,05,4,3.25975638,252.2237125
2013,05,5,1.84239275,214.2885
2013,05,6,1.54248,200.45635
2013,05,7,1.85943925,217.4741125
2013,05,8,1.73154925,213.4060875
2013,05,9,1.51978238,204.428025
2013,05,10,2.393419,232.654125
