####################################################################################################
# Month: 06Jun                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/FAIR                         #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,06,1,274.3625
2009,06,2,279.4875
2009,06,3,282.7125
2009,06,4,281.6375
2009,06,5,284.1375
2009,06,6,277.9875
2009,06,7,274.275
2009,06,8,277.1375
2009,06,9,280.8875
2009,06,10,275.725
2009,06,11,277.225
2009,06,12,279.425
2009,06,13,278.8
2009,06,14,276.925
2009,06,15,276.5625
2009,06,16,277.175
2009,06,17,278.325
2009,06,18,278.3375
2009,06,19,277.225
2009,06,20,277.1125
2009,06,21,276.0625
2009,06,22,277.425
2009,06,23,281.5375
2009,06,24,274.2375
2009,06,25,272.5625
2009,06,26,274.9875
2009,06,27,274.3625
2009,06,28,276.5375
2009,06,29,277.325
2009,06,30,276.8
2010,06,1,280.45
2010,06,2,279.8625
2010,06,3,282.2625
2010,06,4,279.4125
2010,06,5,278.175
2010,06,6,275.8625
2010,06,7,276.375
2010,06,8,276.375
2010,06,9,276.6375
2010,06,10,276.9375
2010,06,11,276.675
2010,06,12,276.125
2010,06,13,275.2625
2010,06,14,274.9875
2010,06,15,277.6875
2010,06,16,274.325
2010,06,17,274.85
2010,06,18,275.325
2010,06,19,275.325
2010,06,20,276.05
2010,06,21,275.9
2010,06,22,276.9875
2010,06,23,278.0625
2010,06,24,279.6625
2010,06,25,280.3125
2010,06,26,280.4125
2010,06,27,277.65
2010,06,28,277.2375
2010,06,29,278.0
2010,06,30,277.3875
2011,06,1,282.5125
2011,06,2,276.575
2011,06,3,275.9625
2011,06,4,276.2625
2011,06,5,275.25
2011,06,6,274.5125
2011,06,7,276.4125
2011,06,8,279.575
2011,06,9,275.4
2011,06,10,274.0125
2011,06,11,275.35
2011,06,12,276.4125
2011,06,13,275.475
2011,06,14,275.9125
2011,06,15,275.425
2011,06,16,274.2
2011,06,17,276.375
2011,06,18,278.9125
2011,06,19,281.4375
2011,06,20,280.3
2011,06,21,278.9125
2011,06,22,279.8875
2011,06,23,279.275
2011,06,24,277.6625
2011,06,25,281.7875
2011,06,26,285.1875
2011,06,27,279.9875
2011,06,28,280.9875
2011,06,29,278.3625
2011,06,30,277.5875
2012,06,1,273.7375
2012,06,2,273.8375
2012,06,3,276.4
2012,06,4,278.25
2012,06,5,279.5375
2012,06,6,278.9375
2012,06,7,279.3875
2012,06,8,281.775
2012,06,9,282.05
2012,06,10,280.5875
2012,06,11,280.3
2012,06,12,276.4625
2012,06,13,272.5
2012,06,14,274.3375
2012,06,15,276.9125
2012,06,16,277.775
2012,06,17,278.175
2012,06,18,278.7375
2012,06,19,279.525
2012,06,20,280.925
2012,06,21,280.8375
2012,06,22,282.1625
2012,06,23,284.6125
2012,06,24,285.4
2012,06,25,281.2875
2012,06,26,281.3
2012,06,27,277.7375
2012,06,28,279.1375
2012,06,29,279.125
2012,06,30,280.075
2013,06,1,281.75
2013,06,2,278.7375
2013,06,3,280.1625
2013,06,4,275.7125
2013,06,5,273.7875
2013,06,6,273.1375
2013,06,7,274.725
2013,06,8,277.25
2013,06,9,276.9625
2013,06,10,274.1125
2013,06,11,272.4875
2013,06,12,273.8
2013,06,13,275.3875
2013,06,14,279.85
2013,06,15,282.9125
2013,06,16,283.575
2013,06,17,283.35
2013,06,18,283.925
2013,06,19,284.0125
2013,06,20,286.575
2013,06,21,283.8125
2013,06,22,280.2
2013,06,23,282.8875
2013,06,24,284.8375
2013,06,25,286.9375
2013,06,26,288.375
2013,06,27,288.85
2013,06,28,284.1875
2013,06,29,282.5375
2013,06,30,283.6625
2014,06,1,269.35
2014,06,2,269.7125
2014,06,3,271.4625
2014,06,4,273.65
2014,06,5,275.9875
2014,06,6,274.2125
2014,06,7,278.45
2014,06,8,280.0625
2014,06,9,276.8875
2014,06,10,274.8125
2014,06,11,272.675
2014,06,12,271.3125
2014,06,13,275.7375
2014,06,14,277.55
2014,06,15,277.0125
2014,06,16,279.575
2014,06,17,279.9
2014,06,18,276.2125
2014,06,19,273.9
2014,06,20,274.2875
2014,06,21,279.425
2014,06,22,276.7125
2014,06,23,279.5125
2014,06,24,279.35
2014,06,25,278.8375
2014,06,26,276.0875
2014,06,27,275.275
2014,06,28,275.375
2014,06,29,278.6875
2014,06,30,281.7125
2015,06,1,272.675
2015,06,2,268.9625
2015,06,3,273.5125
2015,06,4,274.5625
2015,06,5,275.6875
2015,06,6,273.1625
2015,06,7,274.15
2015,06,8,274.0375
2015,06,9,273.3625
2015,06,10,274.675
2015,06,11,272.225
2015,06,12,269.9625
2015,06,13,270.65
2015,06,14,276.5625
2015,06,15,280.4
2015,06,16,283.1875
2015,06,17,279.6
2015,06,18,280.475
2015,06,19,282.2125
2015,06,20,284.3625
2015,06,21,282.4375
2015,06,22,282.5625
2015,06,23,283.8625
2015,06,24,282.3125
2015,06,25,282.5625
2015,06,26,282.325
2015,06,27,278.625
2015,06,28,276.3
2015,06,29,278.3
2015,06,30,280.8625
2016,06,1,278.375
2016,06,2,277.0
2016,06,3,273.325
2016,06,4,273.825
2016,06,5,274.7
2016,06,6,272.35
2016,06,7,271.8125
2016,06,8,274.1125
2016,06,9,275.0
2016,06,10,276.95
2016,06,11,278.0875
2016,06,12,277.1625
2016,06,13,275.1125
2016,06,14,271.8625
2016,06,15,273.2125
2016,06,16,278.1
2016,06,17,282.6625
2016,06,18,282.6
2016,06,19,279.9625
2016,06,20,276.1625
2016,06,21,275.2375
2016,06,22,274.4
2016,06,23,276.0625
2016,06,24,280.4625
2016,06,25,282.275
2016,06,26,281.7
2016,06,27,278.225
2016,06,28,276.8
2016,06,29,278.875
2016,06,30,280.5875
2017,06,1,275.025
2017,06,2,275.725
2017,06,3,276.9125
2017,06,4,276.625
2017,06,5,277.7125
2017,06,6,278.725
2017,06,7,279.8125
2017,06,8,283.375
2017,06,9,286.35
2017,06,10,285.625
2017,06,11,281.0
2017,06,12,275.15
2017,06,13,270.5875
2017,06,14,273.1625
2017,06,15,277.4
2017,06,16,277.925
2017,06,17,275.95
2017,06,18,275.85
2017,06,19,277.625
2017,06,20,280.6125
2017,06,21,278.8625
2017,06,22,278.9375
2017,06,23,279.2
2017,06,24,277.225
2017,06,25,277.375
2017,06,26,277.3875
2017,06,27,279.1375
2017,06,28,279.0125
2017,06,29,280.85
2017,06,30,283.125
2018,06,1,274.8375
2018,06,2,275.5375
2018,06,3,276.3625
2018,06,4,278.175
2018,06,5,277.825
2018,06,6,277.0875
2018,06,7,276.0625
2018,06,8,276.0125
2018,06,9,275.725
2018,06,10,275.65
2018,06,11,270.4875
2018,06,12,270.225
2018,06,13,271.325
2018,06,14,275.7875
2018,06,15,273.4375
2018,06,16,275.5125
2018,06,17,278.3125
