####################################################################################################
# Month: 07Jul                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/FAIR                         #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,07,1,278.1625
2009,07,2,278.4375
2009,07,3,279.975
2009,07,4,281.025
2009,07,5,281.2875
2009,07,6,280.3375
2009,07,7,282.0875
2009,07,8,284.575
2009,07,9,284.1875
2009,07,10,277.325
2009,07,11,279.575
2009,07,12,279.975
2009,07,13,283.4375
2009,07,14,286.8375
2009,07,15,282.4125
2009,07,16,277.05
2009,07,17,279.375
2009,07,18,280.4625
2009,07,19,279.3875
2009,07,20,281.4
2009,07,21,279.575
2009,07,22,279.85
2009,07,23,278.3875
2009,07,24,276.85
2009,07,25,277.0125
2009,07,26,279.6375
2009,07,27,282.85
2009,07,28,283.3625
2009,07,29,285.5625
2009,07,30,284.925
2009,07,31,284.0375
2010,07,1,278.3125
2010,07,2,279.3375
2010,07,3,279.9
2010,07,4,280.55
2010,07,5,278.3
2010,07,6,276.3875
2010,07,7,275.5625
2010,07,8,278.6125
2010,07,9,282.5625
2010,07,10,285.2875
2010,07,11,283.075
2010,07,12,280.3875
2010,07,13,279.925
2010,07,14,276.4
2010,07,15,272.775
2010,07,16,270.9
2010,07,17,274.05
2010,07,18,277.95
2010,07,19,277.45
2010,07,20,276.1625
2010,07,21,277.0875
2010,07,22,276.9875
2010,07,23,276.5375
2010,07,24,276.8625
2010,07,25,276.875
2010,07,26,277.7875
2010,07,27,277.4125
2010,07,28,275.4
2010,07,29,276.3375
2010,07,30,277.325
2010,07,31,281.1625
2011,07,1,277.9125
2011,07,2,278.0625
2011,07,3,277.7
2011,07,4,277.2
2011,07,5,276.5
2011,07,6,278.7125
2011,07,7,281.0
2011,07,8,280.8
2011,07,9,280.55
2011,07,10,280.625
2011,07,11,278.7
2011,07,12,281.35
2011,07,13,278.825
2011,07,14,277.175
2011,07,15,278.6125
2011,07,16,279.1375
2011,07,17,275.35
2011,07,18,277.825
2011,07,19,274.225
