####################################################################################################
# Month: 01Jan                                                                                     #
# Station: FLWO                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,01,1,0.08958094,27.2716875
2009,01,2,0.06368219,20.91315125
2009,01,3,0.12279417,34.85291
2009,01,4,0.41497765,89.29719
2009,01,5,0.2899451,68.68326875
2009,01,6,0.19400199,49.72620125
2009,01,7,0.18006215,48.48568875
2009,01,8,0.11792368,34.35774125
2009,01,9,0.12601478,36.033295
2009,01,10,0.03794339,14.16811875
2009,01,11,0.10368635,30.52772
2009,01,12,0.08052917,24.97724125
2009,01,13,0.11165211,32.876995
2009,01,14,0.06983218,22.37674625
2009,01,15,0.0715509,22.9655925
2009,01,16,0.07801294,24.56388625
2009,01,17,0.10856605,31.7767025
2009,01,18,0.15742609,43.166695
2009,01,19,0.19517809,50.52256875
2009,01,20,0.50738645,109.56793375
2009,01,21,0.66728399,133.1218
2009,01,22,0.85712595,156.1406375
2009,01,23,0.61950032,125.842775
2009,01,24,0.26450693,62.60666375
2009,01,25,0.09693982,28.839885
2009,01,26,0.12331359,34.53883625
2009,01,27,0.07019703,22.2230025
2009,01,28,0.0562876,18.85213625
2009,01,29,0.07530915,23.59613125
2009,01,30,0.04542618,16.2640125
2009,01,31,0.07245269,23.07313
2010,01,1,0.14788838,40.35749625
2010,01,2,0.27464444,67.99543875
2010,01,3,0.09768247,28.86442375
2010,01,4,0.1477949,40.64401375
2010,01,5,0.09632172,28.7002425
2010,01,6,0.09006828,27.111565
2010,01,7,0.31713069,74.1653225
2010,01,8,0.23544106,58.29104625
2010,01,9,0.0865118,25.711595
2010,01,10,0.08807706,26.3406625
2010,01,11,0.15001561,40.59504
2010,01,12,0.12436969,35.53989
2010,01,13,0.20879064,53.3822875
2010,01,14,0.20440381,52.05644875
2010,01,15,0.12427871,34.916595
2010,01,16,0.08707345,25.65556
2010,01,17,0.15832091,41.8695675
2010,01,18,0.44836914,97.85280375
2010,01,19,0.43710209,94.52276625
2010,01,20,0.36284094,79.68014
2010,01,21,0.59211915,116.67049625
2010,01,22,0.68336778,132.7232
2010,01,23,0.3691077,81.6172925
2010,01,24,0.07134921,22.56559625
2010,01,25,0.23269991,58.4062175
2010,01,26,0.3033483,72.9311975
2010,01,27,0.35826362,81.57840375
2010,01,28,0.5683712,115.81753625
2010,01,29,0.2694332,65.16630875
2010,01,30,0.10843327,31.7707125
2010,01,31,0.13705311,38.12889625
2011,01,1,0.06921595,21.51120125
2011,01,2,0.10432228,30.34859875
2011,01,3,0.10449312,30.4926225
2011,01,4,0.11325003,32.2189725
2011,01,5,0.14657772,39.84697625
2011,01,6,0.22558296,56.16897875
2011,01,7,0.25739502,64.09351625
2011,01,8,0.16353788,43.63617875
2011,01,9,0.19566025,50.75247875
2011,01,10,0.16141205,43.757195
2011,01,11,0.16408529,44.06086375
2011,01,12,0.21291785,54.18513625
2011,01,13,0.10125706,30.17566125
2011,01,14,0.12378738,35.76918875
2011,01,15,0.12634969,35.9919025
2011,01,16,0.19521072,51.14562125
2011,01,17,0.34827155,84.2111175
2011,01,18,0.17375011,47.4799875
2011,01,19,0.21840074,56.94559375
2011,01,20,0.2079642,54.20547625
2011,01,21,0.10804474,31.5593125
2011,01,22,0.15418314,42.55799875
2011,01,23,0.16685738,44.46936125
2011,01,24,0.06751174,21.6388125
2011,01,25,0.06907393,21.46539875
2011,01,26,0.0976913,28.71972875
2011,01,27,0.0625195,20.4524875
2011,01,28,0.05623374,18.6182625
2011,01,29,0.14153325,38.89553125
2011,01,30,0.11876527,33.9949725
2011,01,31,0.2706161,64.4935625
2012,01,1,0.07960614,24.90940125
2012,01,2,0.07810996,24.66913875
2012,01,3,0.11260737,32.099535
2012,01,4,0.14923866,40.981555
2012,01,5,0.06615656,21.24731
2012,01,6,0.11198482,32.276035
2012,01,7,0.12445691,35.51156375
2012,01,8,0.12682375,35.6179325
2012,01,9,0.12596008,35.08400625
2012,01,10,0.15543248,42.8376425
2012,01,11,0.18149396,47.92113
2012,01,12,0.22002381,54.45261
2012,01,13,0.10439782,29.913195
2012,01,14,0.09194853,27.42849
2012,01,15,0.32986744,76.7402675
2012,01,16,0.51938765,108.3953575
2012,01,17,0.05145035,17.66623125
2012,01,18,0.06850462,22.07225875
2012,01,19,0.11738646,34.417015
2012,01,20,0.08196269,25.62569375
2012,01,21,0.24216061,59.408
2012,01,22,0.14551306,38.83330125
2012,01,23,0.23800181,59.01205125
2012,01,24,0.20469289,52.14208625
2012,01,25,0.11155291,32.35264625
2012,01,26,0.13298722,37.47661625
2012,01,27,0.14650966,40.36014625
2012,01,28,0.19494728,50.44482375
2012,01,29,0.04667818,16.41579125
2012,01,30,0.05964624,19.49072625
2012,01,31,0.12786604,35.52719125
2013,01,1,0.10537108,30.15316625
2013,01,2,0.15424559,41.943675
2013,01,3,0.11929651,34.0660975
2013,01,4,0.12429218,34.94125
2013,01,5,0.079314,24.49305
2013,01,6,0.11449453,32.5014925
2013,01,7,0.13082445,36.00936625
2013,01,8,0.14633847,39.56527625
2013,01,9,0.10278357,30.46867625
2013,01,10,0.14229998,38.3746025
2013,01,11,0.1585559,40.61261125
2013,01,12,0.08228535,24.485
2013,01,13,0.06594638,20.55017375
2013,01,14,0.08023529,24.02668375
2013,01,15,0.06603674,20.81268375
2013,01,16,0.11620695,33.709665
2013,01,17,0.09712449,29.573875
2013,01,18,0.08702472,26.71056625
2013,01,19,0.08434518,25.826865
2013,01,20,0.17301192,46.02345
2013,01,21,0.34265411,80.72557375
2013,01,22,0.19001054,50.23786625
2013,01,23,0.10756338,31.9799925
2013,01,24,0.39087844,87.33985625
2013,01,25,0.78503892,148.2171875
2013,01,26,0.73695172,142.61575
2013,01,27,0.38501635,88.94186
