####################################################################################################
# Month: 10Oct                                                                                     #
# Station: GARS                                                                                    #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,10,1,18.0586325,268.0785875
2009,10,2,18.9828775,268.29175
2009,10,3,16.221885,266.6298625
2009,10,4,18.97248875,268.4787375
2009,10,5,11.6548115,262.15465
2009,10,6,21.6645775,269.5572375
2009,10,7,23.7129875,270.7907125
2009,10,8,17.7697225,270.0097625
2009,10,9,19.71101,270.48205
2009,10,10,19.5252175,269.4949125
2009,10,11,19.915195,268.4685125
2009,10,12,20.28295625,268.38945
2009,10,13,14.90161875,264.9101875
2009,10,14,13.34965625,263.6460125
2009,10,15,16.22889,267.3510625
2009,10,16,13.479165,265.4921375
2009,10,17,8.51984612,261.57615
2009,10,18,13.75438662,265.7904
2009,10,19,12.47057212,265.0871
2009,10,20,11.8582275,262.885125
2009,10,21,10.95718888,261.2415125
2009,10,22,12.49671625,262.8886375
2009,10,23,13.71651625,262.8612375
2009,10,24,8.87151637,258.927
2009,10,25,7.78209712,258.416875
2009,10,26,17.7992425,266.752575
2009,10,27,18.42832625,267.961275
2009,10,28,10.60611925,263.5412625
2009,10,29,10.282039,261.2336125
2009,10,30,12.34242125,261.530375
2009,10,31,9.45973288,259.0863875
2010,10,1,17.77467125,268.1915625
2010,10,2,12.71575625,267.97635
2010,10,3,13.1951625,265.100275
2010,10,4,14.36942125,265.5917625
2010,10,5,14.194595,265.7661875
2010,10,6,19.2862575,267.5842875
2010,10,7,20.1237175,269.31015
2010,10,8,20.649885,269.9419375
2010,10,9,25.025485,271.5703625
2010,10,10,20.84828875,269.8837125
2010,10,11,13.81485625,266.0081
2010,10,12,21.805495,269.80805
2010,10,13,13.51083375,264.5746875
2010,10,14,11.08115375,263.1934875
2010,10,15,21.06321875,269.5305375
2010,10,16,14.9582725,267.3549625
2010,10,17,24.91004875,272.235975
2010,10,18,24.2271475,272.266325
2010,10,19,23.97446,271.54065
2010,10,20,21.41530625,269.6520375
2010,10,21,19.12745,268.7619375
2010,10,22,20.7594025,269.3287375
2010,10,23,21.179265,269.8684125
2010,10,24,18.233895,268.571775
2010,10,25,15.4001125,266.403425
2010,10,26,11.49317175,266.0147375
2010,10,27,27.37628,271.9844625
2010,10,28,22.2118375,270.2693125
2010,10,29,14.77035875,268.15145
2010,10,30,17.5813525,268.0161625
2010,10,31,16.74872887,267.8027125
2011,10,1,4.49890438,253.2117375
2011,10,2,7.18589687,259.466875
2011,10,3,5.06309988,258.60065
2011,10,4,5.10230462,255.778525
2011,10,5,4.5185095,258.130875
2011,10,6,6.68045875,270.4806625
2011,10,7,15.58722838,269.3056125
2011,10,8,26.66709125,272.178525
2011,10,9,27.33408,272.6577
2011,10,10,22.22039625,269.932525
2011,10,11,13.07299125,266.0058875
2011,10,12,15.16081375,266.171875
2011,10,13,18.51524375,267.7393
2011,10,14,13.49743412,263.0440625
2011,10,15,10.7175725,260.90785
