####################################################################################################
# Month: 09Sep                                                                                     #
# Station: GLT                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,09,1,0.56228595,116.155525
2009,09,2,0.58020744,119.34505
2009,09,3,0.52560494,111.11575
2009,09,4,0.49683819,106.13224
2009,09,5,0.7929403,145.767625
2009,09,6,0.89433981,155.6094875
2009,09,7,0.51532675,109.1735525
2009,09,8,0.67342626,129.1927125
2009,09,9,0.6001229,118.469175
2009,09,10,0.88507945,155.0452375
2009,09,11,0.71984331,136.2713625
2009,09,12,0.39921296,88.55357375
2009,09,13,0.50114134,105.1592525
2009,09,14,0.33886216,78.16134875
2009,09,15,0.71640396,129.77355875
2009,09,16,0.57384199,115.6305725
2009,09,17,0.33256898,77.0205925
2009,09,18,0.41321291,90.3628375
2009,09,19,0.55716916,112.4073375
2009,09,20,0.53542701,108.68246
2009,09,21,0.71934935,132.2250675
2009,09,22,0.35232155,79.12205625
2009,09,23,0.42201509,91.49712
2009,09,24,0.3232544,74.37624
2009,09,25,0.36177798,81.41221
2009,09,26,0.40766084,89.694955
2009,09,27,0.30634605,71.7904425
2009,09,28,0.28620819,67.28764125
2009,09,29,0.70865993,133.9272375
2009,09,30,0.72628048,135.9665375
2010,09,1,1.03667211,172.6658625
2010,09,2,0.83939936,152.5734125
2010,09,3,0.78238534,145.6729125
2010,09,4,0.57055,116.6301
2010,09,5,0.5087042,107.2940625
2010,09,6,0.62206776,121.841875
2010,09,7,0.60464561,119.90035125
2010,09,8,0.54283942,111.01972
2010,09,9,0.40376755,87.83388375
2010,09,10,0.64624538,126.5955
2010,09,11,0.76586085,142.111325
2010,09,12,0.47331932,101.73137625
2010,09,13,0.65978386,128.5045375
2010,09,14,0.90395929,156.9440375
2010,09,15,0.56364466,115.272525
2010,09,16,0.38798479,87.95261375
2010,09,17,0.32142734,75.9370475
2010,09,18,0.3193638,75.6346575
2010,09,19,0.52103868,106.50030375
2010,09,20,0.90337526,154.8301125
2010,09,21,0.43925678,96.04491625
2010,09,22,0.43084811,94.17655375
2010,09,23,0.28151314,68.732395
2010,09,24,0.76905172,142.29935
2010,09,25,1.09850447,177.4772625
2010,09,26,0.96277024,164.4423375
2010,09,27,1.00424758,167.117675
2010,09,28,0.63419641,124.798775
2010,09,29,0.44180438,95.59244
2010,09,30,0.46788296,99.63065
2011,09,1,0.99179495,167.41775
2011,09,2,0.76795652,142.1785
2011,09,3,0.49071304,104.3003525
2011,09,4,0.42759244,94.2476825
2011,09,5,0.48756985,103.27445
2011,09,6,0.75319378,137.5585875
2011,09,7,0.58066699,115.432255
2011,09,8,0.46262792,98.596965
2011,09,9,0.28653226,69.03917375
2011,09,10,0.43730258,96.25723625
2011,09,11,0.44565314,98.2169775
2011,09,12,0.44836681,98.99950125
2011,09,13,0.81155008,143.0006375
2011,09,14,0.90187126,153.967575
2011,09,15,0.82653498,146.6181875
2011,09,16,0.91721504,158.10055
2011,09,17,0.94369576,159.3980625
2011,09,18,0.7024007,132.11745
2011,09,19,0.76448801,138.7162
2011,09,20,0.67929323,128.9326
2011,09,21,0.50873329,104.9116175
2011,09,22,0.39305496,86.97290375
2011,09,23,0.45355776,96.55804125
2011,09,24,0.3845875,85.61043875
2011,09,25,0.30420254,72.161835
2011,09,26,0.4697021,99.84664625
2011,09,27,0.42454761,92.4610875
2011,09,28,0.61469801,120.3633
2011,09,29,0.91306666,156.8492
2011,09,30,1.05073668,171.4191125
2012,09,1,0.60112024,120.973525
2012,09,2,0.97416261,165.0265625
2012,09,3,0.69104828,133.365725
2012,09,4,1.05208308,171.8266375
2012,09,5,0.53430081,108.46515
2012,09,6,0.3604101,82.3528675
2012,09,7,0.44114249,95.68655625
2012,09,8,1.05309098,172.5999375
2012,09,9,1.28751675,192.1568875
2012,09,10,0.71188776,135.4541875
2012,09,11,0.56421719,116.7668625
2012,09,12,0.84983806,151.5559
2012,09,13,0.88679036,154.85855
