####################################################################################################
# Month: 01Jan                                                                                     #
# Station: GLTS                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,01,1,0,0.528616
2009,01,1,1,0.39669
2009,01,1,2,0.346582
2009,01,1,3,0.420475
2009,01,1,4,0.475619
2009,01,1,5,0.578574
2009,01,1,6,0.704438
2009,01,1,7,0.676794
2009,01,2,0,0.52871
2009,01,2,1,0.355278
2009,01,2,2,0.263325
2009,01,2,3,0.223192
2009,01,2,4,0.278618
2009,01,2,5,0.278976
2009,01,2,6,0.368493
2009,01,2,7,0.600063
2009,01,3,0,0.347241
2009,01,3,1,0.229605
2009,01,3,2,0.293676
2009,01,3,3,0.321896
2009,01,3,4,0.472434
2009,01,3,5,0.700467
2009,01,3,6,0.724688
2009,01,3,7,0.897877
2009,01,4,0,1.015604
2009,01,4,1,0.981981
2009,01,4,2,0.950499
2009,01,4,3,0.927503
2009,01,4,4,0.985793
2009,01,4,5,0.994793
2009,01,4,6,1.033788
2009,01,4,7,0.840162
2009,01,5,0,0.194326
2009,01,5,1,0.180822
2009,01,5,2,0.196158
2009,01,5,3,0.316498
2009,01,5,4,0.368038
2009,01,5,5,0.335388
2009,01,5,6,0.276627
2009,01,5,7,0.190335
2009,01,6,0,0.224166
2009,01,6,1,0.250681
2009,01,6,2,0.325099
2009,01,6,3,0.414748
2009,01,6,4,0.47272
2009,01,6,5,0.383057
2009,01,6,6,0.982897
2009,01,6,7,1.003752
2009,01,7,0,0.993103
2009,01,7,1,0.996639
2009,01,7,2,0.998615
2009,01,7,3,0.9983
2009,01,7,4,1.015759
2009,01,7,5,1.002438
2009,01,7,6,0.998749
2009,01,7,7,0.997985
2009,01,8,0,0.997985
2009,01,8,1,0.999332
2009,01,8,2,0.996728
2009,01,8,3,0.998191
2009,01,8,4,0.99826
2009,01,8,5,0.996793
2009,01,8,6,0.997837
2009,01,8,7,0.998098
2009,01,9,0,0.9959
2009,01,9,1,0.997657
2009,01,9,2,0.986259
2009,01,9,3,0.985441
2009,01,9,4,0.992153
2009,01,9,5,0.991655
2009,01,9,6,0.966647
2009,01,9,7,0.838584
2009,01,10,0,0.578253
2009,01,10,1,0.418752
2009,01,10,2,0.354347
2009,01,10,3,0.300595
2009,01,10,4,0.338038
2009,01,10,5,0.420474
2009,01,10,6,0.465786
2009,01,10,7,0.471544
2009,01,11,0,0.498125
2009,01,11,1,0.422029
2009,01,11,2,0.313646
2009,01,11,3,0.258962
2009,01,11,4,0.383673
2009,01,11,5,0.369257
2009,01,11,6,0.163934
2009,01,11,7,-0.01396
2009,01,12,0,-0.061457
2009,01,12,1,0.068183
2009,01,12,2,0.839842
2009,01,12,3,0.826717
2009,01,12,4,0.768947
2009,01,12,5,0.69701
2009,01,12,6,0.63729
2009,01,12,7,0.845632
2009,01,13,0,0.853287
2009,01,13,1,0.887432
2009,01,13,2,0.903364
