####################################################################################################
# Month: 04Apr                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/HAN                          #
# Columns are: year    month   day     PWV (mm)                                                    #
####################################################################################################
year,month,day,PWV
2009,04,1,2.41075888
2009,04,2,2.9043675
2009,04,3,2.04070412
2009,04,4,0.8503875
2009,04,5,2.2646625
2009,04,6,2.67815625
2009,04,7,1.98977875
2009,04,8,2.32032
2009,04,9,2.252525
2009,04,10,0.8603285
2009,04,11,1.60785188
2009,04,12,2.89997625
2009,04,13,2.11430625
2009,04,14,2.18122625
2009,04,15,2.802285
2009,04,16,3.10203375
2009,04,17,1.67704
2009,04,18,1.9809575
2009,04,19,1.5455375
2009,04,20,3.52807625
2009,04,21,3.55685
2009,04,22,2.6686475
2009,04,23,1.44271138
2009,04,24,1.3292075
2009,04,25,1.18743337
2009,04,26,1.78711
2009,04,27,3.05984375
2009,04,28,3.46179625
2009,04,29,3.76462
2009,04,30,2.36154875
2010,04,1,1.36434862
2010,04,2,1.73150325
2010,04,3,1.81427875
2010,04,4,1.66987625
2010,04,5,1.71068
2010,04,6,0.98668812
2010,04,7,2.00263775
2010,04,8,2.629905
2010,04,9,2.59930875
2010,04,10,2.25960875
2010,04,11,3.20590625
2010,04,12,3.26262125
2010,04,13,1.35452125
2010,04,14,0.812826
2010,04,15,2.27737625
2010,04,16,2.9970275
2010,04,17,3.85758
2010,04,18,5.27525625
2010,04,19,4.74408875
2010,04,20,3.571895
2010,04,21,3.8182075
2010,04,22,2.8606925
2010,04,23,2.60330875
2010,04,24,2.44222375
2010,04,25,2.9283275
2010,04,26,2.08733625
2010,04,27,3.37964125
2010,04,28,4.43011625
2010,04,29,3.01331875
2010,04,30,3.80749375
2011,04,1,1.56783625
2011,04,2,1.3898675
2011,04,3,1.78151375
2011,04,4,1.4092075
2011,04,5,2.02455125
2011,04,6,1.872615
2011,04,7,1.3902465
2011,04,8,1.05206525
2011,04,9,2.1749775
2011,04,10,3.12860125
2011,04,11,3.29788875
2011,04,12,3.74223125
2011,04,13,3.0163075
2011,04,14,1.67946375
2011,04,15,2.0954475
2011,04,16,3.25110875
2011,04,17,4.658135
2011,04,18,2.97750625
2011,04,19,2.3121375
2011,04,20,2.80495125
2011,04,21,3.0841275
2011,04,22,2.28521125
2011,04,23,1.01324675
2011,04,24,1.15825625
2011,04,25,1.27724125
2011,04,26,1.2155425
2011,04,27,2.08774625
2011,04,28,2.66206125
2011,04,29,3.3345575
2011,04,30,3.32186625
