####################################################################################################
# Month: 05May                                                                                     #
# Station: HAN                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,05,1,0.41222975
2014,05,2,0.4251785
2014,05,3,0.3978745
2014,05,4,0.4979515
2014,05,5,0.51987875
2014,05,6,0.60439338
2014,05,7,0.57803113
2014,05,8,0.434076
2014,05,9,0.48695212
2014,05,10,0.57485712
2014,05,11,0.62458688
2014,05,12,0.782123
2014,05,13,0.78623925
2014,05,14,0.53437888
2014,05,15,0.40852925
2014,05,16,0.39676262
2014,05,17,0.52320262
2014,05,18,0.45679312
2014,05,19,0.47476912
2014,05,20,0.56894162
2014,05,21,0.38381125
2014,05,22,0.42235488
2014,05,23,0.6130415
2014,05,24,0.67550912
2014,05,25,0.4358025
2014,05,26,0.47361725
2014,05,27,0.361468
2014,05,28,0.26431112
2014,05,29,0.29741538
2014,05,30,0.52598375
2014,05,31,0.4891715
2015,05,1,0.49062475
2015,05,2,0.3166025
2015,05,3,0.35861312
2015,05,4,0.2315355
2015,05,5,0.28479738
2015,05,6,0.28561013
2015,05,7,0.25472588
2015,05,8,0.3950995
2015,05,9,0.42915175
2015,05,10,0.50373312
2015,05,11,0.531582
2015,05,12,0.52525238
2015,05,13,0.59398262
2015,05,14,0.572486
2015,05,15,0.63819938
2015,05,16,0.1809075
2015,05,17,0.37301188
2015,05,18,0.42711738
2015,05,19,0.41832925
2015,05,20,0.39363788
2015,05,21,0.41870462
2015,05,22,0.49682312
2015,05,23,0.5460125
2015,05,24,0.57806062
2015,05,25,0.681997
2015,05,26,0.633793
2015,05,27,0.43688612
2015,05,28,0.42086275
2015,05,29,0.52783225
2015,05,30,0.65015375
2015,05,31,0.530751
2016,05,1,0.209184
2016,05,2,0.38558962
2016,05,3,0.4892815
2016,05,4,0.58795875
2016,05,5,0.63559238
2016,05,6,0.36585225
2016,05,7,0.22854425
2016,05,8,0.212699
2016,05,9,0.39470312
2016,05,10,0.4863735
2016,05,11,0.59858088
2016,05,12,0.56403288
2016,05,13,0.43252638
2016,05,14,0.51645725
2016,05,15,0.50581112
2016,05,16,0.55462462
2016,05,17,0.39242388
2016,05,18,0.33800362
2016,05,19,0.41604788
2016,05,20,0.38920938
2016,05,21,0.29209575
2016,05,22,0.33683788
2016,05,23,0.625904
2016,05,24,0.50416325
2016,05,25,0.72886462
2016,05,26,0.53479888
2016,05,27,0.42757425
2016,05,28,0.5481955
2016,05,29,0.52476138
2016,05,30,0.47860013
2016,05,31,0.33881988
2017,05,1,0.43302962
2017,05,2,0.48513288
2017,05,3,0.74126138
2017,05,4,0.53501275
2017,05,5,0.50100962
2017,05,6,0.37361938
2017,05,7,0.50436075
2017,05,8,0.58670562
2017,05,9,0.58521725
2017,05,10,0.62323638
2017,05,11,0.59394712
2017,05,12,0.60036187
2017,05,13,0.5659835
2017,05,14,0.6544495
2017,05,15,0.62184938
2017,05,16,0.50961938
2017,05,17,0.4570365
2017,05,18,0.48241075
2017,05,19,0.47999838
2017,05,20,0.55139262
2017,05,21,0.55524375
2017,05,22,0.530746
2017,05,23,0.67547912
2017,05,24,0.59041238
2017,05,25,0.52097588
2017,05,26,0.54435875
2017,05,27,0.487441
2017,05,28,0.44091312
2017,05,29,0.56707225
2017,05,30,0.61897712
2017,05,31,0.5881605
2018,05,1,0.25515875
2018,05,2,0.54207512
2018,05,3,0.57361237
2018,05,4,0.42106512
2018,05,5,0.50895062
2018,05,6,0.58572513
2018,05,7,0.62420975
2018,05,8,0.71245625
2018,05,9,0.47080512
2018,05,10,0.22461988
2018,05,11,0.22217725
2018,05,12,0.454167
2018,05,13,0.66434988
2018,05,14,0.47898613
2018,05,15,0.44647338
2018,05,16,0.44333788
2018,05,17,0.47345238
2018,05,18,0.56094138
2018,05,19,0.45837675
2018,05,20,0.27636912
2018,05,21,0.30815212
2018,05,22,0.27528438
2018,05,23,0.28856112
2018,05,24,0.3749955
2018,05,25,0.40258525
2018,05,26,0.5760435
2018,05,27,0.60753525
2018,05,28,0.58681625
2018,05,29,0.58667975
2018,05,30,0.33882825
2018,05,31,0.2555215
2019,05,1,0.7278375
2019,05,2,0.65654425
2019,05,3,0.59944687
2019,05,4,0.39151038
2019,05,5,0.41965862
2019,05,6,0.28016725
2019,05,7,0.48784025
2019,05,8,0.40539912
2019,05,9,0.3439285
2019,05,10,0.58607225
2019,05,11,0.66461538
2019,05,12,0.56839762
2019,05,13,0.53327462
2019,05,14,0.607956
2019,05,15,0.51544913
2019,05,16,0.61566175
2019,05,17,0.63236862
2019,05,18,0.58159025
2019,05,19,0.45086762
2019,05,20,0.514118
2019,05,21,0.48820038
2019,05,22,0.4661545
2019,05,23,0.63293012
2019,05,24,0.60173688
2019,05,25,0.41673988
2019,05,26,0.4355145
2019,05,27,0.46493238
2019,05,28,0.35996025
2019,05,29,0.32578612
2019,05,30,0.23295062
2019,05,31,0.3893375
