####################################################################################################
# Month: 02Feb                                                                                     #
# Station: HES                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,02,1,0,23.16599,292.7516
2009,02,1,1,26.81254,292.4731
2009,02,1,2,30.38422,291.6061
2009,02,1,3,29.77531,292.8894
2009,02,1,4,32.12634,294.3717
2009,02,1,5,35.21571,293.8815
2009,02,1,6,37.5693,292.458
2009,02,1,7,39.63222,290.8346
2009,02,2,0,39.99602,290.0973
2009,02,2,1,38.24874,289.9221
2009,02,2,2,37.15665,289.4453
2009,02,2,3,38.12912,291.1973
2009,02,2,4,38.25517,293.2935
2009,02,2,5,35.58442,294.0881
2009,02,2,6,36.29377,293.2772
2009,02,2,7,36.35184,292.4757
2009,02,3,0,37.66153,292.1829
2009,02,3,1,37.86653,291.0705
2009,02,3,2,37.94588,290.1058
2009,02,3,3,35.65122,291.2392
2009,02,3,4,34.13444,292.9076
2009,02,3,5,30.52929,293.5538
2009,02,3,6,28.64356,292.6675
2009,02,3,7,25.95866,291.5575
2009,02,4,0,25.69913,290.9922
2009,02,4,1,31.90595,290.2398
2009,02,4,2,33.4168,289.7471
2009,02,4,3,30.75398,290.7452
2009,02,4,4,34.48783,293.4413
2009,02,4,5,39.30941,293.4514
2009,02,4,6,43.27518,291.4697
2009,02,4,7,43.66747,290.2472
2009,02,5,0,41.54445,289.7004
2009,02,5,1,37.31833,289.5086
2009,02,5,2,32.38601,289.0679
2009,02,5,3,28.88723,290.2663
2009,02,5,4,30.7061,292.331
2009,02,5,5,32.94155,292.4618
2009,02,5,6,32.6258,290.4184
2009,02,5,7,33.38439,288.6847
2009,02,6,0,40.3742,287.8925
2009,02,6,1,41.737,287.0283
2009,02,6,2,39.40673,286.7389
2009,02,6,3,41.78373,287.7733
2009,02,6,4,44.00842,289.8403
2009,02,6,5,43.96272,289.0328
2009,02,6,6,42.95115,288.9957
2009,02,6,7,41.96922,288.4527
2009,02,7,0,41.19102,287.5348
2009,02,7,1,36.5484,287.5109
2009,02,7,2,35.34371,287.3133
2009,02,7,3,36.34231,289.1289
2009,02,7,4,37.26413,291.7903
2009,02,7,5,39.98129,292.0201
2009,02,7,6,43.75144,289.6392
2009,02,7,7,42.42041,289.0847
2009,02,8,0,42.10346,289.0301
2009,02,8,1,43.76949,287.6771
2009,02,8,2,40.82687,287.4368
2009,02,8,3,39.99587,288.0231
2009,02,8,4,41.3036,288.7975
2009,02,8,5,41.31677,288.5627
2009,02,8,6,40.62453,287.7473
2009,02,8,7,37.75931,288.6294
2009,02,9,0,38.25639,288.7866
2009,02,9,1,39.46428,288.1269
2009,02,9,2,38.68978,287.3802
2009,02,9,3,37.31781,288.9665
2009,02,9,4,38.30191,290.8739
2009,02,9,5,41.26873,290.0159
2009,02,9,6,44.1811,288.5394
2009,02,9,7,43.8307,288.5263
2009,02,10,0,44.87922,288.1347
2009,02,10,1,45.55259,287.5551
2009,02,10,2,43.99476,287.3457
2009,02,10,3,41.21232,288.4649
2009,02,10,4,40.91325,290.4211
2009,02,10,5,43.00188,289.9187
2009,02,10,6,42.33715,288.9894
2009,02,10,7,40.27319,288.5863
2009,02,11,0,37.65784,288.824
2009,02,11,1,35.97443,288.4007
2009,02,11,2,34.80765,287.8914
2009,02,11,3,34.87431,288.4443
2009,02,11,4,36.81906,290.1077
2009,02,11,5,38.963,289.7868
2009,02,11,6,39.88109,289.5436
2009,02,11,7,38.67366,289.6399
2009,02,12,0,37.64089,289.036
2009,02,12,1,35.53332,288.4579
2009,02,12,2,35.35942,288.8231
2009,02,12,3,37.60978,289.1216
2009,02,12,4,39.95506,290.2766
2009,02,12,5,40.89013,289.5681
2009,02,12,6,41.38178,288.8363
2009,02,12,7,41.29907,288.5486
2009,02,13,0,42.28647,287.9791
2009,02,13,1,43.96831,287.4985
2009,02,13,2,42.91814,287.2793
2009,02,13,3,42.17421,287.5087
2009,02,13,4,43.07296,288.5671
2009,02,13,5,46.08405,287.5946
2009,02,13,6,47.77057,286.7603
2009,02,13,7,47.08337,287.0481
2009,02,14,0,47.22189,287.0575
2009,02,14,1,47.3558,286.7686
2009,02,14,2,45.10461,286.6301
2009,02,14,3,45.28795,287.1873
2009,02,14,4,45.08957,287.942
2009,02,14,5,44.94332,287.3954
2009,02,14,6,44.91743,287.4049
2009,02,14,7,42.79694,288.274
2009,02,15,0,43.35602,288.055
2009,02,15,1,46.1865,286.6229
2009,02,15,2,42.10179,286.4684
2009,02,15,3,41.22297,286.482
2009,02,15,4,43.47005,286.9178
2009,02,15,5,45.37269,287.0397
2009,02,15,6,44.32982,287.3754
2009,02,15,7,40.91908,287.8576
2009,02,16,0,41.15109,288.1816
2009,02,16,1,40.60922,288.6126
2009,02,16,2,39.11709,288.7749
2009,02,16,3,39.52123,288.7679
2009,02,16,4,40.79236,290.1925
2009,02,16,5,43.06288,289.7825
2009,02,16,6,42.67751,289.0396
2009,02,16,7,39.91148,289.3729
2009,02,17,0,37.8605,289.3838
2009,02,17,1,38.32328,288.8231
2009,02,17,2,39.14521,288.4597
2009,02,17,3,39.97955,288.6588
2009,02,17,4,42.27198,290.2868
2009,02,17,5,46.2385,289.0436
2009,02,17,6,47.51524,287.7245
2009,02,17,7,44.14941,287.8609
2009,02,18,0,41.76953,287.7221
2009,02,18,1,38.5421,287.8059
2009,02,18,2,35.67718,287.8011
2009,02,18,3,37.08539,288.528
2009,02,18,4,38.98567,290.5552
2009,02,18,5,42.54042,290.1672
2009,02,18,6,43.64117,288.7029
2009,02,18,7,42.90435,288.778
2009,02,19,0,42.70742,289.0586
2009,02,19,1,41.22272,288.6872
2009,02,19,2,44.51362,287.9249
2009,02,19,3,47.82048,288.199
2009,02,19,4,45.90729,289.4361
2009,02,19,5,45.17111,289.5514
2009,02,19,6,46.31259,288.9835
2009,02,19,7,46.44283,288.4978
2009,02,20,0,44.30642,288.5968
2009,02,20,1,42.59453,288.5996
2009,02,20,2,43.23966,288.2678
2009,02,20,3,44.62462,288.0659
2009,02,20,4,44.20062,289.1045
2009,02,20,5,45.41354,288.3822
2009,02,20,6,46.4756,287.6276
2009,02,20,7,46.70889,287.5397
2009,02,21,0,44.90005,287.1223
2009,02,21,1,42.38253,286.2237
2009,02,21,2,38.8477,286.433
2009,02,21,3,37.5291,286.9823
2009,02,21,4,38.763,288.9345
2009,02,21,5,41.15922,288.5089
2009,02,21,6,42.06425,287.5257
2009,02,21,7,41.77569,287.167
2009,02,22,0,41.61697,287.0567
2009,02,22,1,39.62868,287.2173
2009,02,22,2,37.10005,287.1781
2009,02,22,3,38.82687,287.7416
2009,02,22,4,41.0097,288.909
2009,02,22,5,43.91737,288.1492
2009,02,22,6,44.90117,287.5136
2009,02,22,7,43.38414,287.9915
2009,02,23,0,42.18965,288.4258
2009,02,23,1,40.99504,288.2955
2009,02,23,2,38.35374,288.3281
2009,02,23,3,35.53019,288.4804
2009,02,23,4,37.44513,289.6364
2009,02,23,5,42.25588,288.2765
2009,02,23,6,42.71088,287.0608
2009,02,23,7,37.17487,287.7307
2009,02,24,0,35.27241,287.8388
2009,02,24,1,33.54782,287.7144
2009,02,24,2,31.95014,287.208
2009,02,24,3,33.39239,286.9193
2009,02,24,4,34.53511,288.4333
2009,02,24,5,34.68228,288.8518
2009,02,24,6,34.67324,288.3291
2009,02,24,7,33.60417,288.0295
2009,02,25,0,33.29491,287.8192
2009,02,25,1,32.2127,287.4708
2009,02,25,2,32.35661,287.2198
2009,02,25,3,33.70193,287.6355
2009,02,25,4,37.51618,289.4424
2009,02,25,5,42.02518,289.7305
2009,02,25,6,44.94559,288.1004
2009,02,25,7,44.30399,288.0078
2009,02,26,0,42.94855,287.8877
2009,02,26,1,41.63304,287.3994
2009,02,26,2,40.03148,287.4832
2009,02,26,3,40.83076,288.4182
2009,02,26,4,42.2506,290.3829
2009,02,26,5,44.16098,289.9873
2009,02,26,6,46.50072,288.7115
2009,02,26,7,44.90217,288.7949
2009,02,27,0,43.76907,288.5498
2009,02,27,1,42.87689,287.7624
2009,02,27,2,39.65939,287.9533
2009,02,27,3,39.22292,288.4331
2009,02,27,4,39.81887,290.1926
2009,02,27,5,41.51201,289.4645
2009,02,27,6,39.89498,288.1801
2009,02,27,7,36.0702,287.8207
2009,02,28,0,32.95918,288.153
2009,02,28,1,31.50365,288.0185
2009,02,28,2,29.92793,287.7284
2009,02,28,3,29.9511,288.2948
2009,02,28,4,32.77639,290.6551
2009,02,28,5,35.01118,291.5011
2009,02,28,6,36.62001,290.0669
2009,02,28,7,35.21048,289.2424
2010,02,1,0,4.14145,282.3784
2010,02,1,1,4.049871,280.9006
2010,02,1,2,4.45,282.233
2010,02,1,3,6.877356,288.0387
2010,02,1,4,7.522247,290.585
2010,02,1,5,8.017649,291.6838
2010,02,1,6,7.95652,290.5205
2010,02,1,7,7.60334,290.2675
2010,02,2,0,7.754135,289.9878
2010,02,2,1,7.050868,289.2629
2010,02,2,2,6.400409,288.7479
2010,02,2,3,6.982066,290.1636
2010,02,2,4,8.644051,292.0687
2010,02,2,5,10.33834,291.3378
2010,02,2,6,9.817223,288.6948
2010,02,2,7,5.451329,285.5279
