####################################################################################################
# Month: 03Mar                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/HES                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,03,1,290.475
2009,03,2,288.3625
2009,03,3,287.4375
2009,03,4,286.85
2009,03,5,287.125
2009,03,6,286.65
2009,03,7,287.7375
2009,03,8,288.425
2009,03,9,287.7875
2009,03,10,287.225
2009,03,11,288.5125
2009,03,12,288.3
2009,03,13,288.5625
2009,03,14,289.5875
2009,03,15,289.4
2009,03,16,289.0875
2009,03,17,289.3375
2009,03,18,290.0
2009,03,19,289.8875
2009,03,20,290.325
2009,03,21,290.1875
2009,03,22,290.6
2009,03,23,290.8875
2009,03,24,290.6625
2009,03,25,290.7875
2009,03,26,290.7875
2009,03,27,290.3
2009,03,28,290.7375
2009,03,29,290.1625
2009,03,30,289.3875
2009,03,31,289.275
2010,03,1,289.5625
2010,03,2,289.9625
2010,03,3,292.4625
2010,03,4,291.6875
2010,03,5,290.4375
2010,03,6,289.55
2010,03,7,289.0375
2010,03,8,289.6
2010,03,9,290.95
2010,03,10,291.5375
2010,03,11,291.45
2010,03,12,292.1
2010,03,13,293.6
2010,03,14,292.95
2010,03,15,293.1625
2010,03,16,292.1375
2010,03,17,293.575
2010,03,18,293.7625
2010,03,19,292.7625
2010,03,20,292.3625
2010,03,21,292.575
2010,03,22,292.0
2010,03,23,289.3875
2010,03,24,290.1375
2010,03,25,290.45
2010,03,26,288.95
2010,03,27,290.075
2010,03,28,291.425
2010,03,29,288.1625
2010,03,30,288.575
2010,03,31,288.9875
2011,03,1,290.4875
2011,03,2,289.875
2011,03,3,289.575
2011,03,4,289.1
2011,03,5,286.9875
2011,03,6,287.0375
2011,03,7,287.8375
2011,03,8,288.825
2011,03,9,288.9
2011,03,10,289.1125
2011,03,11,289.5375
2011,03,12,287.8125
2011,03,13,286.7375
2011,03,14,288.3
2011,03,15,289.8
2011,03,16,289.0625
2011,03,17,287.3125
2011,03,18,288.8
2011,03,19,289.95
2011,03,20,290.3125
2011,03,21,289.8375
2011,03,22,289.4125
2011,03,23,290.2125
2011,03,24,290.2375
2011,03,25,289.45
2011,03,26,289.475
2011,03,27,289.75
2011,03,28,288.9625
2011,03,29,289.4375
2011,03,30,289.7875
2011,03,31,290.7875
2012,03,1,291.8875
2012,03,2,291.225
2012,03,3,292.65
2012,03,4,293.075
2012,03,5,293.2625
2012,03,6,293.5
2012,03,7,293.0875
2012,03,8,292.875
2012,03,9,292.375
2012,03,10,290.325
2012,03,11,292.075
2012,03,12,290.825
2012,03,13,288.75
