####################################################################################################
# Month: 04Apr                                                                                     #
# Station: IRAM                                                                                    #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,04,1,0.87757302,152.199675
2009,04,2,1.27222525,188.3196
2009,04,3,1.17000816,179.5188
2009,04,4,0.85070224,152.278025
2009,04,5,1.7452615,218.1630125
2009,04,6,1.74823766,213.5174625
2009,04,7,0.63585004,113.78748
2009,04,8,0.83743262,140.241125
2009,04,9,1.04689104,172.78825
2009,04,10,0.71073966,130.25790625
2009,04,11,0.57281445,114.4475475
2009,04,12,0.41680001,92.67261125
2009,04,13,0.72974345,137.9576925
2009,04,14,0.91817545,159.7092125
2009,04,15,1.06016815,170.3312375
2009,04,16,0.54656094,112.6199575
2009,04,17,1.37612234,190.986825
2009,04,18,1.45402325,193.0022625
2009,04,19,1.310933,187.948625
2009,04,20,1.01943141,166.7959125
2009,04,21,0.44633452,97.73552625
2009,04,22,0.41815789,93.73786125
2009,04,23,0.31702119,76.47561125
2009,04,24,0.66212126,118.0468675
2009,04,25,1.40257365,185.6471
2009,04,26,1.30159781,187.1920625
2009,04,27,0.75047349,139.8580625
2009,04,28,0.7747778,143.043075
2009,04,29,0.58442244,119.2359375
2009,04,30,0.82520255,142.08724875
2010,04,1,0.36406822,83.57776875
2010,04,2,0.60099134,118.3190975
2010,04,3,1.01925566,167.2201875
2010,04,4,0.24039474,58.76277
2010,04,5,2.03335071,212.7490425
2010,04,6,1.860758,221.081625
2010,04,7,0.71005935,110.64270625
2010,04,8,0.28956362,71.08922
2010,04,9,0.31338269,75.0093375
2010,04,10,0.50741524,106.17791125
2010,04,11,1.766353,213.0851625
2010,04,12,0.95162358,158.9918875
2010,04,13,0.68888212,132.2800375
2010,04,14,1.56318157,203.1820875
2010,04,15,1.46663818,200.2130375
2010,04,16,1.73507688,216.630375
2010,04,17,1.70146625,214.2681625
2010,04,18,2.02904012,228.4513875
2010,04,19,0.69746976,124.34857625
2010,04,20,2.05458285,219.9402375
2010,04,21,2.64258987,241.6811625
2010,04,22,1.71192624,212.2232625
2010,04,23,1.51944925,204.8848125
2010,04,24,1.58889825,211.5269625
2010,04,25,2.77589638,249.969125
2010,04,26,0.97900904,159.4220875
2010,04,27,0.72329686,139.5162125
2010,04,28,0.88828283,158.8190375
2010,04,29,1.774537,220.7630625
2010,04,30,1.85024275,220.0177125
2011,04,1,0.63083372,128.5848
2011,04,2,2.20771768,230.4279375
2011,04,3,3.11753488,255.2234
2011,04,4,1.72430341,209.87345
2011,04,5,1.69918908,212.2421875
2011,04,6,2.16684137,234.8414875
2011,04,7,1.49049075,207.586425
2011,04,8,1.00163492,171.1243
2011,04,9,0.61907291,126.50485
2011,04,10,0.47723848,105.97286875
2011,04,11,0.58240235,120.709485
2011,04,12,0.45627893,100.6940175
2011,04,13,0.28228285,69.9887125
2011,04,14,0.82463628,146.59119125
2011,04,15,0.65936119,132.05245
2011,04,16,0.407511,92.75672375
2011,04,17,1.11179419,171.653075
2011,04,18,1.45502572,188.0465875
2011,04,19,1.7874345,214.6769875
2011,04,20,0.80996456,149.5835875
2011,04,21,1.75760838,214.3749625
2011,04,22,1.52451272,195.700075
2011,04,23,2.08967488,230.1419375
2011,04,24,2.24605825,233.885725
2011,04,25,2.13895563,233.1381875
2011,04,26,2.1245985,233.2242625
2011,04,27,1.56199945,207.69035
2011,04,28,1.06973726,166.6792375
2011,04,29,2.61955087,245.968675
2011,04,30,2.15076663,232.0444875
2012,04,1,1.17886515,183.558325
2012,04,2,1.32574335,191.65405
2012,04,3,1.8885235,222.049075
2012,04,4,1.32013866,188.565275
2012,04,5,1.16094334,179.7870375
