####################################################################################################
# Month: 01Jan                                                                                     #
# Station: JCMT                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,1.359714,196.8992
2009,01,1,1,1.168372,182.3814
2009,01,1,2,1.142064,180.106
2009,01,1,3,0.961392,163.8961
2009,01,1,4,0.8032515,147.1404
2009,01,1,5,0.7667665,142.7007
2009,01,1,6,0.9142741,158.764
2009,01,1,7,1.157183,181.6319
2009,01,2,0,1.063263,172.8008
2009,01,2,1,0.882184,154.699
2009,01,2,2,0.9421307,161.0821
2009,01,2,3,1.272881,190.1485
2009,01,2,4,1.090938,175.0939
2009,01,2,5,1.174244,182.9728
2009,01,2,6,1.272668,190.7547
2009,01,2,7,1.226511,187.3722
2009,01,3,0,1.001227,167.5729
2009,01,3,1,0.832177,150.1989
2009,01,3,2,0.7545069,141.5049
2009,01,3,3,0.769212,143.348
2009,01,3,4,0.7066047,135.6613
2009,01,3,5,0.6346182,125.931
2009,01,3,6,0.6679987,130.3005
2009,01,3,7,0.7443483,139.8855
2009,01,4,0,0.657183,128.7212
2009,01,4,1,0.5755944,117.358
2009,01,4,2,0.5942339,120.4884
2009,01,4,3,0.5941577,120.777
2009,01,4,4,0.5939756,120.7884
2009,01,4,5,0.5732449,117.7272
2009,01,4,6,0.5106895,108.7383
2009,01,4,7,0.4851257,104.7928
2009,01,5,0,0.4791319,103.8845
2009,01,5,1,0.403592,91.30078
2009,01,5,2,0.2862725,69.58088
2009,01,5,3,0.2206585,55.89511
2009,01,5,4,0.230722,57.71607
2009,01,5,5,0.2292629,57.39088
2009,01,5,6,0.2001553,51.46418
2009,01,5,7,0.1884357,49.08502
2009,01,6,0,0.1944731,50.27962
2009,01,6,1,0.1970933,50.82212
2009,01,6,2,0.1750622,45.96991
2009,01,6,3,0.1518231,40.82491
2009,01,6,4,0.1505724,40.68215
2009,01,6,5,0.1506291,40.91345
2009,01,6,6,0.1359281,37.91993
2009,01,6,7,0.1256222,35.93233
2009,01,7,0,0.13045,37.16585
2009,01,7,1,0.1258527,36.28578
2009,01,7,2,0.1189417,34.86243
2009,01,7,3,0.1138245,33.86282
2009,01,7,4,0.1089255,32.7449
2009,01,7,5,0.1095238,32.9092
2009,01,7,6,0.1174614,34.73496
2009,01,7,7,0.125122,36.53268
2009,01,8,0,0.1421974,40.11342
2009,01,8,1,0.1614538,44.13016
2009,01,8,2,0.1684909,45.71352
2009,01,8,3,0.1810972,48.42245
2009,01,8,4,0.1743108,46.90342
2009,01,8,5,0.1569825,43.34536
2009,01,8,6,0.1649468,45.0032
2009,01,8,7,0.1994241,52.33332
2009,01,9,0,0.2353734,59.92871
2009,01,9,1,0.2532987,63.83112
2009,01,9,2,0.3156953,76.2528
2009,01,9,3,0.3690611,86.24152
2009,01,9,4,0.3732858,87.07108
2009,01,9,5,0.3447308,81.82214
2009,01,9,6,0.321244,77.61372
2009,01,9,7,0.321239,77.69799
2009,01,10,0,0.3103904,75.7249
2009,01,10,1,0.2795719,69.85925
2009,01,10,2,0.2696539,67.82191
2009,01,10,3,0.2553108,65.13591
2009,01,10,4,0.236529,61.41962
2009,01,10,5,0.2286572,59.6876
2009,01,10,6,0.2242565,58.84406
2009,01,10,7,0.2285018,59.69437
2009,01,11,0,0.2476262,63.45163
2009,01,11,1,0.2652504,66.9286
2009,01,11,2,0.2863638,70.88306
2009,01,11,3,0.278948,69.17906
2009,01,11,4,0.2659204,66.50209
2009,01,11,5,0.2454934,62.4505
2009,01,11,6,0.3341413,79.30229
2009,01,11,7,0.3226759,76.54759
2009,01,12,0,0.4166444,92.06949
2009,01,12,1,0.1823053,48.06211
2009,01,12,2,0.1134047,33.29681
2009,01,12,3,0.1498591,41.4658
2009,01,12,4,0.1672968,45.37655
2009,01,12,5,0.2350763,59.11426
2009,01,12,6,0.2716936,66.67971
2009,01,12,7,0.4119184,91.98682
2009,01,13,0,0.5519488,114.6188
2009,01,13,1,0.6339967,126.5391
2009,01,13,2,0.6829089,132.8474
2009,01,13,3,0.7029682,136.1513
2009,01,13,4,0.7194269,138.962
2009,01,13,5,0.7677947,145.3151
2009,01,13,6,0.6736727,134.0436
2009,01,13,7,0.4549416,101.9481
2009,01,14,0,0.3323966,80.43568
2009,01,14,1,0.2209428,58.43678
2009,01,14,2,0.1705545,47.51928
2009,01,14,3,0.1584019,44.68476
2009,01,14,4,0.1453541,41.71401
2009,01,14,5,0.1373413,39.67958
2009,01,14,6,0.14728,41.67433
2009,01,14,7,0.1318502,38.29027
2009,01,15,0,0.1563992,43.76706
2009,01,15,1,0.1761236,48.12851
2009,01,15,2,0.1718508,47.12346
2009,01,15,3,0.2753812,68.38274
2009,01,15,4,0.3551536,83.12946
2009,01,15,5,0.5123764,109.7142
2009,01,15,6,0.6264985,126.9944
2009,01,15,7,0.7574416,144.3425
2009,01,16,0,0.7243205,140.557
2009,01,16,1,0.624034,127.3139
2009,01,16,2,0.5291606,113.5221
2009,01,16,3,0.4062236,93.43767
2009,01,16,4,0.3374729,80.75498
2009,01,16,5,0.2946432,72.56154
2009,01,16,6,0.2694913,67.79987
2009,01,16,7,0.2580752,65.57346
2009,01,17,0,0.2504388,64.18175
2009,01,17,1,0.2753863,69.44966
2009,01,17,2,0.2816786,70.82183
2009,01,17,3,0.2299135,60.22416
2009,01,17,4,0.16143,45.07131
2009,01,17,5,0.1590842,44.18157
2009,01,17,6,0.125389,36.68438
2009,01,17,7,0.07882936,25.79579
2009,01,18,0,0.1480917,41.88557
2009,01,18,1,0.1035521,31.93921
2009,01,18,2,0.1510514,42.86427
2009,01,18,3,0.1880798,50.84993
2009,01,18,4,0.1815312,49.48569
2009,01,18,5,0.2304635,59.86962
2009,01,18,6,0.2567069,65.3679
2009,01,18,7,0.2885344,71.67886
2009,01,19,0,0.3470493,82.7025
2009,01,19,1,0.4041006,93.10527
2009,01,19,2,0.3945493,91.62654
2009,01,19,3,0.3567217,84.98958
2009,01,19,4,0.3486456,83.54954
2009,01,19,5,0.3478133,83.31867
2009,01,19,6,0.3209083,78.21236
2009,01,19,7,0.2995515,73.99672
2009,01,20,0,0.2815333,70.44278
2009,01,20,1,0.2710273,68.50902
2009,01,20,2,0.2560788,65.46632
2009,01,20,3,0.2519167,64.4571
2009,01,20,4,0.2726633,68.50632
2009,01,20,5,0.2921637,72.19792
2009,01,20,6,0.3156006,76.6267
2009,01,20,7,0.2955431,72.84153
2009,01,21,0,0.174683,47.78626
2009,01,21,1,0.1243211,36.33117
2009,01,21,2,0.1338983,38.44941
2009,01,21,3,0.146878,41.13583
2009,01,21,4,0.1394807,39.26232
2009,01,21,5,0.07352441,24.26568
2009,01,21,6,0.06162635,21.313
2009,01,21,7,0.06266745,21.57809
2009,01,22,0,0.08381277,26.77437
2009,01,22,1,0.08510289,27.24555
2009,01,22,2,0.07585693,24.98806
2009,01,22,3,0.08570276,27.32777
2009,01,22,4,0.09302341,29.08797
2009,01,22,5,0.1129737,33.77268
2009,01,22,6,0.1007765,31.04137
2009,01,22,7,0.09040028,28.55914
2009,01,23,0,0.1023823,31.35342
2009,01,23,1,0.1138205,33.97287
2009,01,23,2,0.1234787,36.25679
2009,01,23,3,0.1217196,35.97945
2009,01,23,4,0.1031594,31.57641
2009,01,23,5,0.09148223,28.71761
2009,01,23,6,0.08501255,27.09042
2009,01,23,7,0.08877977,27.89652
2009,01,24,0,0.09769831,30.07452
2009,01,24,1,0.108572,32.59474
2009,01,24,2,0.1045503,31.65342
2009,01,24,3,0.1088912,32.67344
2009,01,24,4,0.1123393,33.48147
2009,01,24,5,0.1047484,31.67891
2009,01,24,6,0.09571325,29.50438
2009,01,24,7,0.09058393,28.36495
2009,01,25,0,0.1060603,31.88228
2009,01,25,1,0.1058586,31.75626
2009,01,25,2,0.106219,31.84275
2009,01,25,3,0.1121466,33.04895
2009,01,25,4,0.120254,34.69155
2009,01,25,5,0.1266984,35.91258
2009,01,25,6,0.1376777,38.33673
2009,01,25,7,0.1558978,42.07166
2009,01,26,0,0.1501662,40.84581
2009,01,26,1,0.152486,41.11938
2009,01,26,2,0.150362,40.48223
2009,01,26,3,0.1485875,40.07211
2009,01,26,4,0.1383136,37.97956
