####################################################################################################
# Month: 11Nov                                                                                     #
# Station: JCMT                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,0.21312906,54.88286375
2009,11,2,0.2170152,56.08215875
2009,11,3,0.20987292,54.00034375
2009,11,4,0.222703,56.47139875
2009,11,5,0.21868154,55.33405125
2009,11,6,0.13357472,38.6425775
2009,11,7,0.13749228,39.73508375
2009,11,8,0.16072408,43.6312475
2009,11,9,0.24848123,60.07346
2009,11,10,0.97855395,165.1581125
2009,11,11,0.72973155,137.37087375
2009,11,12,0.48791495,101.43051875
2009,11,13,1.26464375,189.20665
2009,11,14,1.17188292,183.5998875
2009,11,15,1.2038238,184.19375
2009,11,16,0.64822685,129.4589875
2009,11,17,0.57151551,118.4673275
2009,11,18,0.35932899,83.81165875
2009,11,19,0.17759226,48.47110125
2009,11,20,0.16866706,46.22079
2009,11,21,0.25018765,61.4034625
2009,11,22,0.18529756,47.3771175
2009,11,23,0.06770567,23.23922
2009,11,24,0.10579935,32.43798125
2009,11,25,0.19147101,51.255865
2009,11,26,0.33912715,80.49841875
2009,11,27,0.31570512,74.97508375
2009,11,28,0.08811622,28.11947375
2009,11,29,0.14208122,40.2936225
2009,11,30,0.57414109,114.5881325
2010,11,1,0.10559775,31.917895
2010,11,2,0.17426471,46.3627825
2010,11,3,0.18659634,50.4370725
2010,11,4,0.25864283,65.45517875
2010,11,5,0.12196358,35.97795
2010,11,6,0.09439935,29.56769375
2010,11,7,0.09169674,28.92458375
2010,11,8,0.09047612,28.540275
2010,11,9,0.08573061,27.29505625
2010,11,10,0.10660496,32.109775
2010,11,11,0.15668244,42.32314625
2010,11,12,0.2362855,58.347665
2010,11,13,0.32683651,75.05903875
2010,11,14,0.22847135,58.11418
2010,11,15,0.25075611,63.17665375
2010,11,16,0.21854844,56.28294125
2010,11,17,0.29837339,70.655485
2010,11,18,0.8295735,150.968875
2010,11,19,0.64928466,128.5735625
2010,11,20,0.42870676,93.068765
2010,11,21,0.28410211,69.27901
2010,11,22,0.51373251,108.9368275
2010,11,23,0.41147176,93.21107875
2010,11,24,0.43042475,96.122005
2010,11,25,0.34051341,80.58467625
2010,11,26,0.09547509,29.322875
2010,11,27,0.0934527,28.92048375
2010,11,28,0.18035749,48.32258875
2010,11,29,0.29547864,70.4686175
2010,11,30,0.35423032,82.299805
2011,11,1,1.2153589,184.448275
2011,11,2,1.4753055,204.736625
2011,11,3,1.40810612,200.5067875
2011,11,4,1.07968012,173.1459375
2011,11,5,0.94479916,161.706975
2011,11,6,0.91629111,158.6439875
2011,11,7,0.67803496,130.9765625
2011,11,8,0.62627802,124.233625
2011,11,9,0.39097201,87.89731375
2011,11,10,0.34290142,80.55675875
2011,11,11,0.42284025,94.07085125
2011,11,12,0.44013446,96.83488
2011,11,13,0.28522008,68.93186
2011,11,14,0.25959176,65.5181375
2011,11,15,0.23686998,60.94407625
2011,11,16,0.45260221,97.722965
2011,11,17,0.9789292,161.415375
2011,11,18,1.23241275,187.52305
2011,11,19,1.36212325,197.5244875
2011,11,20,1.29191312,193.2381625
2011,11,21,1.09675439,177.386075
2011,11,22,0.72769359,136.6756
2011,11,23,0.47149529,102.20644375
2011,11,24,0.85188939,152.602425
2011,11,25,0.93107382,161.07955
2011,11,26,0.70665542,136.2471625
2011,11,27,0.10978581,32.40050875
2011,11,28,0.12069708,35.57771125
2011,11,29,0.23415619,58.72028125
2011,11,30,0.37978196,86.59328625
2012,11,1,0.27350871,67.96215625
2012,11,2,0.2438465,63.01572125
2012,11,3,0.20332403,54.141105
2012,11,4,0.29162676,70.45964375
2012,11,5,0.21999205,57.114855
2012,11,6,0.12398054,36.73531375
2012,11,7,0.08837702,28.09319625
2012,11,8,0.07305731,24.41980125
2012,11,9,0.0910666,28.667445
2012,11,10,0.08463278,27.14726875
2012,11,11,0.1227465,36.20041125
2012,11,12,0.16141308,45.01440625
2012,11,13,0.15956357,44.19551875
2012,11,14,0.09077082,28.86654875
2012,11,15,0.10452387,31.691375
2012,11,16,0.13856078,38.7409675
2012,11,17,0.2788904,64.75902125
2012,11,18,0.86449238,151.423575
2012,11,19,1.15372956,181.0100125
2012,11,20,0.63306506,126.5733875
2012,11,21,1.1019749,176.211325
2012,11,22,1.54166588,208.1643125
2012,11,23,1.17059962,183.0417375
2012,11,24,0.71030964,125.96627
2012,11,25,0.16723143,45.50342625
2012,11,26,0.32126644,74.46321125
2012,11,27,0.24306984,59.23152125
2012,11,28,0.09822161,30.25316875
2012,11,29,0.22914868,57.71029
2012,11,30,0.6986893,130.492325
2013,11,1,0.42717299,95.19398375
2013,11,2,0.22075488,57.3339625
2013,11,3,0.38956785,87.7958675
2013,11,4,0.61732195,121.17339375
2013,11,5,0.52300248,111.26428125
2013,11,6,0.40607342,91.9388275
2013,11,7,0.47514605,102.1310125
2013,11,8,1.21226074,185.2726
2013,11,9,1.40229838,200.16865
2013,11,10,1.33691162,194.2814875
2013,11,11,0.49277302,99.702345
2013,11,12,0.49745389,104.89462125
2013,11,13,0.41975395,90.48517875
2013,11,14,0.63116032,125.44041625
2013,11,15,0.7688056,144.298275
2013,11,16,0.43378683,95.71462625
2013,11,17,0.27152821,66.61245125
2013,11,18,0.22043118,56.592895
2013,11,19,0.24016452,60.90389375
2013,11,20,0.38242781,87.19226875
2013,11,21,0.90658466,143.10366875
2013,11,22,0.60523589,108.5312425
2013,11,23,0.1788522,48.8849625
2013,11,24,0.17484702,47.94686375
2013,11,25,0.27125124,68.238095
2013,11,26,0.21811739,57.67773
2013,11,27,0.14365052,41.06804375
2013,11,28,0.13437614,38.2128375
2013,11,29,0.15483146,42.05248125
2013,11,30,0.36285048,81.5530125
2014,11,1,0.29321968,70.76163375
2014,11,2,0.45012982,97.21975125
2014,11,3,0.92318575,159.325125
2014,11,4,1.24219598,186.5002625
2014,11,5,1.08176354,173.919925
2014,11,6,0.54339735,114.7923875
2014,11,7,0.46777338,102.70116
2014,11,8,0.35370074,81.76326
2014,11,9,0.19963996,53.15142125
2014,11,10,0.2294245,59.343425
