####################################################################################################
# Month: 05May                                                                                     #
# Station: KEN                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,11.80012188,277.7926625
2009,05,2,12.6936375,278.397425
2009,05,3,10.7900825,277.7988
2009,05,4,8.72685862,277.5333625
2009,05,5,9.13152837,277.5099375
2009,05,6,10.80950975,277.63855
2009,05,7,11.01004962,277.385225
2009,05,8,11.7550155,276.842625
2009,05,9,10.65371887,276.7620125
2009,05,10,13.2844025,277.196825
2009,05,11,16.53302875,277.1718875
2009,05,12,16.355145,276.3353625
2009,05,13,14.90595125,276.2272125
2009,05,14,16.3900325,276.1749
2009,05,15,14.817765,276.9252
2009,05,16,14.9811725,277.310275
2009,05,17,16.887575,277.8992
2009,05,18,13.52225638,276.8635125
2009,05,19,11.6924655,276.95855
2009,05,20,14.01836375,276.5976625
2009,05,21,13.1595575,276.4184625
2009,05,22,12.58033,275.7390875
2009,05,23,8.95445488,274.5344
2009,05,24,11.55197925,276.152675
2009,05,25,15.3567625,277.261925
2009,05,26,17.809005,277.128075
2009,05,27,17.68858125,277.4054625
2009,05,28,17.5709425,277.6976
2009,05,29,13.22164775,276.981525
2009,05,30,12.214005,277.2068125
2009,05,31,12.1077775,277.00475
2010,05,1,18.55687625,278.5038375
2010,05,2,16.9737,278.739675
2010,05,3,13.70610875,277.81985
2010,05,4,9.7522905,278.2041125
2010,05,5,17.07541875,278.8352
2010,05,6,18.06519125,278.16235
2010,05,7,16.7493325,279.1097875
2010,05,8,16.279945,278.5942875
2010,05,9,13.53719425,277.980425
2010,05,10,20.0539875,278.3207375
2010,05,11,21.11400625,277.603675
2010,05,12,19.34213,277.0428625
2010,05,13,19.75521875,277.6919625
2010,05,14,19.422035,277.41065
2010,05,15,17.61604125,277.227175
2010,05,16,13.43685,276.4517
2010,05,17,13.02164875,276.028125
2010,05,18,11.38401675,276.8928625
2010,05,19,11.6224715,277.4422625
2010,05,20,11.04049575,276.94595
2010,05,21,7.341868,276.3369375
2010,05,22,6.87843775,275.3887625
2010,05,23,10.6638525,277.3066
2010,05,24,9.06194638,277.14865
2010,05,25,11.9948555,277.241275
2010,05,26,11.47302125,277.6378125
2010,05,27,7.93983512,278.2449
2010,05,28,9.31756138,277.7131875
2010,05,29,11.63284375,278.0774375
2010,05,30,9.27067175,276.8136375
2010,05,31,7.31570537,275.925225
2011,05,1,13.82524875,276.7028875
2011,05,2,12.85619962,276.4553125
2011,05,3,15.036855,276.0318875
2011,05,4,17.03190125,276.310875
2011,05,5,17.696705,276.51375
2011,05,6,14.14274375,276.0217125
2011,05,7,12.8502825,276.459375
2011,05,8,15.39692,276.7795
2011,05,9,15.68169125,277.5779125
2011,05,10,15.93612,278.1102
2011,05,11,11.2801345,277.4596875
2011,05,12,12.07131262,277.6284875
2011,05,13,14.23918375,277.9429125
2011,05,14,9.454208,277.7903
