####################################################################################################
# Month: 09Sep                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/KEN                          #
# Columns are: year    month   day     PWV (mm)                                                    #
####################################################################################################
year,month,day,PWV
2009,09,1,7.0265825
2009,09,2,7.19177875
2009,09,3,5.90627
2009,09,4,5.3912675
2009,09,5,5.86420125
2009,09,6,7.0191
2009,09,7,7.51410875
2009,09,8,6.25811875
2009,09,9,6.2131425
2009,09,10,6.18442625
2009,09,11,7.64701375
2009,09,12,9.31782375
2009,09,13,8.616765
2009,09,14,7.95265
2009,09,15,8.660215
2009,09,16,8.95877125
2009,09,17,10.14820125
2009,09,18,9.9623875
2009,09,19,9.7735225
2009,09,20,8.27968375
2009,09,21,7.57646625
2009,09,22,8.25254
2009,09,23,10.46575375
2009,09,24,8.28111875
2009,09,25,5.4058825
2009,09,26,6.0353975
2009,09,27,6.43247
2009,09,28,6.1781075
2009,09,29,7.161935
2009,09,30,8.02404625
2010,09,1,10.75328125
2010,09,2,11.4677375
2010,09,3,9.887125
2010,09,4,7.5157575
2010,09,5,7.74372625
2010,09,6,7.942505
2010,09,7,5.23012125
2010,09,8,6.9992625
2010,09,9,6.70616625
2010,09,10,8.25642125
2010,09,11,6.88037625
2010,09,12,6.5987175
2010,09,13,6.6680575
2010,09,14,6.03750375
2010,09,15,6.98992875
2010,09,16,7.87143875
2010,09,17,8.13103
2010,09,18,7.28590125
2010,09,19,8.87151625
2010,09,20,10.2620425
2010,09,21,8.152385
2010,09,22,7.0507875
2010,09,23,4.75584625
2010,09,24,5.29357
2010,09,25,7.5583925
2010,09,26,7.8197675
2010,09,27,7.97231375
2010,09,28,7.85753625
2010,09,29,6.4463175
2010,09,30,6.16740375
2011,09,1,7.93475
2011,09,2,13.3428125
2011,09,3,14.9275875
2011,09,4,14.9996
2011,09,5,14.7926
2011,09,6,11.360415
2011,09,7,11.10766625
2011,09,8,10.41771375
2011,09,9,9.45633625
2011,09,10,9.42207625
2011,09,11,8.97052375
2011,09,12,6.71336875
2011,09,13,5.4818075
2011,09,14,7.7723175
2011,09,15,8.7855525
2011,09,16,9.14027
2011,09,17,9.8652875
2011,09,18,7.05399
2011,09,19,5.2324175
2011,09,20,6.274975
2011,09,21,6.32942125
2011,09,22,6.129405
2011,09,23,5.94015875
2011,09,24,8.70125375
2011,09,25,6.1205925
2011,09,26,6.4870175
2011,09,27,7.9823075
2011,09,28,8.95094
2011,09,29,9.5108175
2011,09,30,12.34574
2012,09,1,7.24968125
2012,09,2,10.98055
2012,09,3,11.76936
2012,09,4,11.13134875
2012,09,5,8.9567225
2012,09,6,8.3855525
2012,09,7,8.73735
2012,09,8,10.75883
2012,09,9,10.96623
2012,09,10,8.5468325
2012,09,11,8.23764625
2012,09,12,9.105145
2012,09,13,5.3495025
2012,09,14,6.49036
2012,09,15,5.820535
2012,09,16,3.1363925
2012,09,17,3.34216875
2012,09,18,3.8881225
2012,09,19,4.99960875
2012,09,20,5.562845
2012,09,21,7.63454375
2012,09,22,7.00592125
2012,09,23,7.58603625
2012,09,24,8.992
2012,09,25,11.4192225
2012,09,26,10.77094
2012,09,27,6.547145
2012,09,28,6.10986
2012,09,29,5.69306375
2012,09,30,5.1656575
2013,09,1,11.3931675
2013,09,2,7.76351875
2013,09,3,8.61616375
2013,09,4,7.26979
2013,09,5,7.7389
2013,09,6,10.18988125
2013,09,7,7.31618375
2013,09,8,5.82133375
2013,09,9,4.63845
2013,09,10,4.42490125
2013,09,11,4.62745125
2013,09,12,5.64041375
2013,09,13,5.7016225
2013,09,14,7.17341375
2013,09,15,7.46872125
2013,09,16,6.19551875
2013,09,17,10.22173
2013,09,18,13.107625
2013,09,19,14.5511625
2013,09,20,12.817625
2013,09,21,9.42011125
2013,09,22,10.69297125
2013,09,23,12.246475
2013,09,24,11.9357
2013,09,25,11.35000875
2013,09,26,11.68592125
2013,09,27,10.20067375
2013,09,28,8.9516575
2013,09,29,8.28552625
2013,09,30,9.61576
2014,09,1,11.9443125
2014,09,2,12.8878875
2014,09,3,14.28295
2014,09,4,13.6471625
2014,09,5,11.20761375
2014,09,6,7.5049625
2014,09,7,4.83664875
2014,09,8,4.9924075
2014,09,9,4.5543125
2014,09,10,6.50818375
2014,09,11,8.18008625
2014,09,12,7.26472
2014,09,13,6.764015
2014,09,14,6.7778675
2014,09,15,6.06733375
2014,09,16,8.57314
2014,09,17,8.69373875
2014,09,18,6.8766925
2014,09,19,7.67325875
2014,09,20,9.3088125
2014,09,21,11.7372
2014,09,22,13.600375
2014,09,23,9.0232875
2014,09,24,9.00541375
2014,09,25,7.69481625
2014,09,26,8.0707875
2014,09,27,7.7893575
2014,09,28,7.70180625
2014,09,29,6.24971125
2014,09,30,7.03686
2015,09,1,8.200485
2015,09,2,9.3077
2015,09,3,11.62561125
2015,09,4,11.75751875
2015,09,5,8.123125
2015,09,6,10.44305875
2015,09,7,5.44378625
