####################################################################################################
# Month: 09Sep                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/KEN                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,09,1,276.425
2009,09,2,275.6
2009,09,3,276.2125
2009,09,4,275.675
2009,09,5,275.0625
2009,09,6,275.725
2009,09,7,276.3
2009,09,8,276.6
2009,09,9,275.35
2009,09,10,275.6375
2009,09,11,276.625
2009,09,12,277.6625
2009,09,13,276.4875
2009,09,14,276.05
2009,09,15,276.7
2009,09,16,277.075
2009,09,17,276.9625
2009,09,18,277.925
2009,09,19,277.85
2009,09,20,277.15
2009,09,21,276.825
2009,09,22,277.5
2009,09,23,277.475
2009,09,24,277.7125
2009,09,25,278.0375
2009,09,26,277.075
2009,09,27,276.0875
2009,09,28,275.375
2009,09,29,275.15
2009,09,30,275.375
2010,09,1,276.3125
2010,09,2,276.2625
2010,09,3,276.1
2010,09,4,276.9875
2010,09,5,276.3125
2010,09,6,275.325
2010,09,7,275.2875
2010,09,8,275.375
2010,09,9,275.8875
2010,09,10,275.825
2010,09,11,275.5125
2010,09,12,275.6375
2010,09,13,275.3625
2010,09,14,275.7125
2010,09,15,276.5375
2010,09,16,276.375
2010,09,17,276.525
2010,09,18,276.7125
2010,09,19,276.4
2010,09,20,276.7125
2010,09,21,276.425
2010,09,22,276.8125
2010,09,23,276.25
2010,09,24,276.25
2010,09,25,275.9375
2010,09,26,275.5
2010,09,27,277.4375
2010,09,28,277.775
2010,09,29,276.8125
2010,09,30,275.8
2011,09,1,277.4625
2011,09,2,277.125
2011,09,3,277.4375
2011,09,4,277.1375
2011,09,5,277.6875
2011,09,6,276.5
2011,09,7,276.3
2011,09,8,276.3875
2011,09,9,277.225
2011,09,10,277.8125
2011,09,11,277.5625
2011,09,12,277.1625
2011,09,13,276.4375
2011,09,14,275.6125
2011,09,15,275.7625
2011,09,16,276.625
2011,09,17,276.1625
2011,09,18,275.2
2011,09,19,275.8
2011,09,20,275.6125
2011,09,21,275.2
2011,09,22,275.1375
2011,09,23,275.5
2011,09,24,276.25
2011,09,25,275.9625
2011,09,26,276.45
2011,09,27,277.5375
2011,09,28,276.825
2011,09,29,276.5125
2011,09,30,277.2375
2012,09,1,277.4875
2012,09,2,277.3
2012,09,3,275.85
2012,09,4,276.7375
2012,09,5,275.675
2012,09,6,275.7125
2012,09,7,275.8625
2012,09,8,276.9375
2012,09,9,276.775
2012,09,10,276.8125
2012,09,11,276.6125
2012,09,12,276.2625
2012,09,13,276.3375
2012,09,14,276.2875
2012,09,15,275.4125
2012,09,16,275.125
2012,09,17,274.6
2012,09,18,274.9125
2012,09,19,275.3125
2012,09,20,275.9125
2012,09,21,276.6125
2012,09,22,277.6875
2012,09,23,277.0125
2012,09,24,276.475
2012,09,25,276.4625
2012,09,26,275.9375
2012,09,27,276.275
2012,09,28,275.6625
2012,09,29,275.375
2012,09,30,275.975
2013,09,1,276.7
2013,09,2,276.875
2013,09,3,276.2125
2013,09,4,275.5375
2013,09,5,275.4
2013,09,6,275.8875
2013,09,7,275.5
2013,09,8,276.2375
2013,09,9,275.5875
2013,09,10,275.4375
2013,09,11,275.975
2013,09,12,276.45
2013,09,13,277.275
2013,09,14,277.1875
2013,09,15,277.5375
2013,09,16,277.5875
2013,09,17,277.4875
2013,09,18,277.5625
2013,09,19,277.9125
2013,09,20,278.525
2013,09,21,277.6375
2013,09,22,277.875
2013,09,23,278.3875
2013,09,24,277.875
2013,09,25,278.5625
2013,09,26,278.5375
2013,09,27,278.5375
2013,09,28,277.525
2013,09,29,278.225
2013,09,30,277.7625
2014,09,1,276.9375
2014,09,2,277.425
2014,09,3,277.5875
2014,09,4,276.5125
2014,09,5,276.4875
2014,09,6,276.7375
2014,09,7,276.275
2014,09,8,275.8625
2014,09,9,276.1875
2014,09,10,276.1875
2014,09,11,276.9375
2014,09,12,277.575
2014,09,13,277.025
2014,09,14,276.325
2014,09,15,276.475
2014,09,16,276.2
2014,09,17,276.7875
2014,09,18,277.425
2014,09,19,277.3625
2014,09,20,277.2625
2014,09,21,277.9
2014,09,22,277.6875
2014,09,23,277.175
2014,09,24,276.9125
2014,09,25,277.025
2014,09,26,276.875
2014,09,27,276.7375
2014,09,28,277.5125
2014,09,29,278.1875
2014,09,30,277.9375
2015,09,1,276.35
2015,09,2,276.55
2015,09,3,277.7625
2015,09,4,277.8375
2015,09,5,277.15
2015,09,6,275.875
2015,09,7,275.6125
2015,09,8,275.775
2015,09,9,275.275
2015,09,10,274.4
2015,09,11,274.1875
2015,09,12,274.225
2015,09,13,274.9125
2015,09,14,274.8
2015,09,15,275.6375
2015,09,16,275.325
2015,09,17,275.8125
2015,09,18,276.1625
2015,09,19,275.725
2015,09,20,275.1625
2015,09,21,275.4
2015,09,22,276.4625
2015,09,23,276.4625
2015,09,24,276.3125
2015,09,25,276.2625
2015,09,26,276.525
2015,09,27,275.775
2015,09,28,276.05
2015,09,29,278.0125
2015,09,30,278.425
2016,09,1,275.225
2016,09,2,275.15
2016,09,3,276.0625
2016,09,4,275.9875
2016,09,5,276.1125
2016,09,6,275.425
2016,09,7,274.9625
2016,09,8,274.575
2016,09,9,274.9875
2016,09,10,273.9625
2016,09,11,274.125
2016,09,12,274.5
2016,09,13,275.5125
2016,09,14,276.55
2016,09,15,277.275
2016,09,16,276.5
2016,09,17,276.4125
2016,09,18,276.1
2016,09,19,276.2625
2016,09,20,276.8125
2016,09,21,276.4875
2016,09,22,275.35
2016,09,23,275.9625
2016,09,24,276.4
2016,09,25,277.475
2016,09,26,277.7
2016,09,27,277.925
2016,09,28,277.2875
2016,09,29,277.725
2016,09,30,277.0875
2017,09,1,276.475
2017,09,2,276.575
2017,09,3,277.5
2017,09,4,276.7625
2017,09,5,276.4875
2017,09,6,277.0
2017,09,7,276.525
2017,09,8,277.5875
2017,09,9,276.775
2017,09,10,276.8875
2017,09,11,277.15
2017,09,12,276.65
2017,09,13,276.4
2017,09,14,276.6
2017,09,15,276.725
2017,09,16,277.2375
2017,09,17,276.9125
2017,09,18,276.2
2017,09,19,275.525
2017,09,20,275.8625
2017,09,21,276.15
2017,09,22,276.25
2017,09,23,275.5625
2017,09,24,275.0
2017,09,25,275.8625
2017,09,26,275.675
2017,09,27,275.6625
2017,09,28,275.7125
2017,09,29,276.4875
2017,09,30,276.3875
2018,09,1,276.425
2018,09,2,276.625
2018,09,3,275.875
2018,09,4,274.3125
2018,09,5,274.4
2018,09,6,275.425
2018,09,7,274.575
2018,09,8,275.5
2018,09,9,275.4125
2018,09,10,275.725
2018,09,11,275.9
2018,09,12,276.2
2018,09,13,275.5875
2018,09,14,275.075
2018,09,15,275.1875
2018,09,16,275.55
2018,09,17,276.0875
2018,09,18,275.875
2018,09,19,275.1625
2018,09,20,275.825
2018,09,21,275.7875
2018,09,22,276.2625
2018,09,23,275.5625
2018,09,24,275.325
2018,09,25,275.925
2018,09,26,275.9
2018,09,27,276.925
2018,09,28,276.975
2018,09,29,277.45
2018,09,30,276.6125
2019,09,1,277.825
2019,09,2,277.8125
2019,09,3,277.5375
2019,09,4,277.275
2019,09,5,277.45
2019,09,6,277.525
2019,09,7,277.0125
2019,09,8,276.2875
2019,09,9,275.4
2019,09,10,275.9
2019,09,11,276.1625
2019,09,12,277.05
2019,09,13,276.675
2019,09,14,275.45
2019,09,15,275.25
2019,09,16,275.2125
2019,09,17,275.6625
2019,09,18,276.125
2019,09,19,275.5125
2019,09,20,275.8375
2019,09,21,276.4125
2019,09,22,277.05
2019,09,23,277.05
2019,09,24,277.4625
2019,09,25,276.9875
2019,09,26,276.45
2019,09,27,276.6625
2019,09,28,276.3
2019,09,29,277.3375
2019,09,30,276.6875
