####################################################################################################
# Month: 10Oct                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/KEN                          #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,10,1,610.67356625
2009,10,2,611.1038775
2009,10,3,608.2614525
2009,10,4,609.400905
2009,10,5,613.30344875
2009,10,6,610.44037125
2009,10,7,605.50661375
2009,10,8,609.3000625
2009,10,9,614.03702875
2009,10,10,618.8242125
2009,10,11,620.94793
2009,10,12,621.99006875
2009,10,13,618.17376375
2009,10,14,614.267125
2009,10,15,608.829685
2009,10,16,612.5310875
2009,10,17,617.74439
2009,10,18,618.01489
2009,10,19,616.260815
2009,10,20,619.17256125
2009,10,21,618.46438375
2009,10,22,615.78272125
2009,10,23,615.36584375
2009,10,24,617.01993
2009,10,25,618.9596125
2009,10,26,613.0124225
2009,10,27,609.4449475
2009,10,28,615.5016925
2009,10,29,615.76455125
2009,10,30,614.30074125
2009,10,31,610.0795175
2010,10,1,617.72578875
2010,10,2,620.69372625
2010,10,3,615.70841625
2010,10,4,615.218955
2010,10,5,622.5366475
2010,10,6,627.21341625
2010,10,7,626.3867225
2010,10,8,619.99608
2010,10,9,611.6316825
2010,10,10,610.28131625
2010,10,11,609.26314125
2010,10,12,614.17843625
2010,10,13,619.24351
2010,10,14,617.55757125
2010,10,15,615.19650125
2010,10,16,609.7354025
2010,10,17,611.71049
2010,10,18,613.831775
2010,10,19,615.7969525
2010,10,20,619.8202
2010,10,21,619.85709375
2010,10,22,618.140365
2010,10,23,614.14458875
2010,10,24,614.683345
2010,10,25,613.41321125
2010,10,26,611.93427125
2010,10,27,613.0079125
2010,10,28,616.2539125
2010,10,29,617.57906
2010,10,30,614.27456125
2010,10,31,604.88403875
2011,10,1,626.84672375
2011,10,2,629.1031275
2011,10,3,635.7139275
2011,10,4,632.495445
2011,10,5,632.4645125
2011,10,6,630.0011225
2011,10,7,625.44981
2011,10,8,620.75304
2011,10,9,615.32959375
2011,10,10,610.76976875
2011,10,11,611.0379425
2011,10,12,607.92523875
2011,10,13,604.05600625
2011,10,14,605.91560875
2011,10,15,609.9956025
2011,10,16,611.39234875
2011,10,17,611.9235725
2011,10,18,609.3916375
2011,10,19,612.25619125
2011,10,20,619.1175575
2011,10,21,622.97917625
2011,10,22,620.54394125
2011,10,23,616.32938375
2011,10,24,616.6762625
2011,10,25,621.20006
2011,10,26,618.8610925
2011,10,27,617.9492225
2011,10,28,618.790435
2011,10,29,621.93674125
2011,10,30,624.47923875
2011,10,31,625.55144625
2012,10,1,618.9634575
2012,10,2,618.5992525
2012,10,3,614.9534875
2012,10,4,612.32913375
2012,10,5,614.01631
2012,10,6,615.77588
