####################################################################################################
# Month: 06Jun                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/KILI                                  #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,06,1,515.41290979
2009,06,2,514.71658969
2009,06,3,513.08295146
2009,06,4,512.67112063
2009,06,5,512.18990396
2009,06,6,512.73174156
2009,06,7,512.10135417
2009,06,8,510.86730604
2009,06,9,509.68510979
2009,06,10,510.00157365
2009,06,11,511.6875876
2009,06,12,513.61886646
2009,06,13,514.54463542
2009,06,14,513.82177542
2009,06,15,513.04625604
2009,06,16,512.75674083
2009,06,17,511.51616406
2009,06,18,511.85917354
2009,06,19,512.13358573
2009,06,20,511.96544167
2009,06,21,512.05063156
2009,06,22,512.00769792
2009,06,23,513.35079844
2009,06,24,514.20379562
2009,06,25,514.40033479
2009,06,26,513.46031062
2009,06,27,513.05290531
2009,06,28,513.4414174
2009,06,29,513.8106833
2009,06,30,514.2254108
2009,06,31,512.79015571
2010,06,1,509.54954906
2010,06,2,510.86361958
2010,06,3,512.53353302
2010,06,4,514.53089021
2010,06,5,515.75096146
2010,06,6,514.62223635
2010,06,7,514.84159125
2010,06,8,514.56543167
2010,06,9,513.67950188
2010,06,10,512.37028615
2010,06,11,511.2168351
2010,06,12,510.38283906
2010,06,13,510.29375177
2010,06,14,510.30285073
2010,06,15,509.9057076
2010,06,16,509.07399615
2010,06,17,508.54909281
2010,06,18,508.9841799
2010,06,19,509.96769938
2010,06,20,509.25974167
2010,06,21,510.4420899
2010,06,22,512.25593292
2010,06,23,512.02235479
2010,06,24,511.77103562
2010,06,25,512.45732885
2010,06,26,512.56536365
2010,06,27,511.69173719
2010,06,28,511.51325062
2010,06,29,509.95831898
2010,06,30,508.82122375
2010,06,31,508.03939304
2011,06,1,516.25676406
2011,06,2,516.04768615
2011,06,3,516.75932354
2011,06,4,515.7022351
2011,06,5,515.08867667
2011,06,6,513.75203385
2011,06,7,513.44158135
2011,06,8,514.23561021
2011,06,9,514.73090531
2011,06,10,514.7817151
2011,06,11,513.9266751
2011,06,12,513.28108573
2011,06,13,513.51952646
2011,06,14,514.3192751
2011,06,15,515.93295531
2011,06,16,515.47711344
2011,06,17,513.0883274
2011,06,18,510.66488198
2011,06,19,511.67775927
2011,06,20,512.79540302
2011,06,21,513.3184276
2011,06,22,513.86935375
2011,06,23,513.4375224
2011,06,24,514.11747833
2011,06,25,515.55413271
2011,06,26,515.2056876
2011,06,27,514.54997177
2011,06,28,515.70760531
2011,06,29,515.72951568
2011,06,30,516.92346364
2011,06,31,519.72070304
2012,06,1,512.4445374
2012,06,2,511.93124344
2012,06,3,511.48788104
2012,06,4,510.70915625
2012,06,5,509.45507219
2012,06,6,510.45897229
2012,06,7,512.17093
2012,06,8,513.10255
2012,06,9,513.14578729
2012,06,10,512.852945
2012,06,11,511.61232396
2012,06,12,510.24787677
2012,06,13,510.08240781
2012,06,14,510.69160115
2012,06,15,511.32568802
2012,06,16,511.87211625
2012,06,17,511.97798698
2012,06,18,511.11663854
2012,06,19,510.32102771
2012,06,20,511.01000979
2012,06,21,513.06776323
2012,06,22,513.81845208
2012,06,23,512.5572326
2012,06,24,512.80678875
2012,06,25,513.32024542
2012,06,26,513.81788927
2012,06,27,513.0642549
2012,06,28,512.30923906
2012,06,29,511.50524719
2012,06,30,512.25701125
2012,06,31,511.65092804
2013,06,1,512.78217677
2013,06,2,511.97055604
2013,06,3,511.76710052
2013,06,4,510.59345396
2013,06,5,509.38816563
2013,06,6,509.89940062
2013,06,7,511.57146406
2013,06,8,512.69171802
2013,06,9,512.00798615
2013,06,10,512.71156552
2013,06,11,513.59499875
2013,06,12,513.5691076
2013,06,13,514.95263312
2013,06,14,515.91305323
2013,06,15,514.91017917
2013,06,16,513.95739469
2013,06,17,513.606905
2013,06,18,513.96209531
2013,06,19,513.9106849
2013,06,20,512.83046448
2013,06,21,512.95230365
2013,06,22,512.47376406
2013,06,23,513.06275885
2013,06,24,514.89017625
2013,06,25,513.84713344
2013,06,26,513.85937083
2013,06,27,513.3080224
2013,06,28,513.54861594
2013,06,29,514.68349114
2013,06,30,514.8756975
2013,06,31,512.5843275
2014,06,1,512.82499156
2014,06,2,512.19093156
2014,06,3,512.6880775
2014,06,4,512.6412474
2014,06,5,511.9242249
2014,06,6,512.07913635
2014,06,7,511.60688656
