####################################################################################################
# Month: 08Aug                                                                                     #
# Station: KILI                                                                                    #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,08,1,0.113352
2014,08,2,0.30114512
2014,08,3,0.36950313
2014,08,4,0.21663012
2014,08,5,0.09184563
2014,08,6,0.14298062
2014,08,7,0.096831
2014,08,8,0.19330712
2014,08,9,0.20449075
2014,08,10,0.18206562
2014,08,11,0.27365938
2014,08,12,0.49334638
2014,08,13,0.70056575
2014,08,14,0.57793688
2014,08,15,0.49770912
2014,08,16,0.50595213
2014,08,17,0.36302262
2014,08,18,0.27016962
2014,08,19,0.47145825
2014,08,20,0.18293662
2014,08,21,0.20971538
2014,08,22,0.2237915
2014,08,23,0.40001512
2014,08,24,0.64543188
2014,08,25,0.6780635
2014,08,26,0.21424112
2014,08,27,0.15306888
2014,08,28,0.25915775
2014,08,29,0.53465863
2014,08,30,0.80888562
2014,08,31,0.75832525
2015,08,1,0.53397338
2015,08,2,0.14587838
2015,08,3,0.11334212
2015,08,4,0.11378112
2015,08,5,0.0765365
2015,08,6,0.11485388
2015,08,7,0.04359012
2015,08,8,0.2224275
2015,08,9,0.11787375
2015,08,10,0.31642563
2015,08,11,0.48452175
2015,08,12,0.20064988
2015,08,13,0.16410562
2015,08,14,0.10319388
2015,08,15,0.117277
2015,08,16,0.04768338
2015,08,17,0.10643762
2015,08,18,0.15982925
2015,08,19,0.34554875
2015,08,20,0.6475085
2015,08,21,0.202999
2015,08,22,0.19334712
2015,08,23,0.17407138
2015,08,24,0.12995537
2015,08,25,0.09169812
2015,08,26,0.073037
2015,08,27,0.06658
2015,08,28,0.08258738
2015,08,29,0.19438912
2015,08,30,0.46501125
2015,08,31,0.77456712
2016,08,1,0.0314825
2016,08,2,0.04639625
2016,08,3,0.094995
2016,08,4,0.2089425
2016,08,5,0.16271375
2016,08,6,0.3344565
2016,08,7,0.48167662
2016,08,8,0.34057638
2016,08,9,0.22376912
2016,08,10,0.24689362
2016,08,11,0.42040988
2016,08,12,0.447722
2016,08,13,0.55387062
2016,08,14,0.30131312
2016,08,15,0.1762945
2016,08,16,0.15790412
2016,08,17,0.08178825
2016,08,18,0.047692
2016,08,19,0.158292
2016,08,20,0.10661875
2016,08,21,0.20814788
2016,08,22,0.7701925
2016,08,23,0.71649575
2016,08,24,0.26201588
2016,08,25,0.16784787
2016,08,26,0.2171635
2016,08,27,0.07200375
2016,08,28,0.068542
2016,08,29,0.07092562
2016,08,30,0.08864388
2016,08,31,0.07699962
2017,08,1,0.29684263
2017,08,2,0.56320575
2017,08,3,0.59258662
2017,08,4,0.17125488
2017,08,5,0.09348588
2017,08,6,0.1603165
2017,08,7,0.10563238
2017,08,8,0.22328838
2017,08,9,0.4608455
2017,08,10,0.64098375
2017,08,11,0.83211988
2017,08,12,0.54450775
2017,08,13,0.43439175
2017,08,14,0.58967238
2017,08,15,0.32222612
2017,08,16,0.25920512
2017,08,17,0.20937488
2017,08,18,0.18935012
2017,08,19,0.26505325
2017,08,20,0.23295375
2017,08,21,0.26392688
2017,08,22,0.18484188
2017,08,23,0.24556638
2017,08,24,0.20266825
2017,08,25,0.53484888
2017,08,26,0.16042875
2017,08,27,0.16116262
2017,08,28,0.2272485
2017,08,29,0.2104295
2017,08,30,0.525297
2017,08,31,0.27286425
2018,08,1,0.2108225
2018,08,2,0.131954
2018,08,3,0.11885063
2018,08,4,0.09964938
2018,08,5,0.20910288
2018,08,6,0.45142788
2018,08,7,0.1770495
2018,08,8,0.249864
2018,08,9,0.13774862
2018,08,10,0.18813288
2018,08,11,0.47467988
2018,08,12,0.37497512
2018,08,13,0.22198475
2018,08,14,0.09842975
2018,08,15,0.13364488
2018,08,16,0.09754825
2018,08,17,0.30745175
2018,08,18,0.63473838
2018,08,19,0.4307585
2018,08,20,0.39411125
2018,08,21,0.68046812
2018,08,22,0.53762875
2018,08,23,0.439008
2018,08,24,0.73382088
2018,08,25,0.67805625
2018,08,26,0.67094762
2018,08,27,0.81729612
2018,08,28,0.86781938
2018,08,29,0.77872012
2018,08,30,0.47300888
2018,08,31,0.11614088
2019,08,1,0.91464575
2019,08,2,0.4535335
2019,08,3,0.12836138
2019,08,4,0.15370262
2019,08,5,0.24824388
2019,08,6,0.28986487
2019,08,7,0.41420813
2019,08,8,0.31453088
2019,08,9,0.3044165
2019,08,10,0.24445462
2019,08,11,0.20199875
2019,08,12,0.139024
2019,08,13,0.0963885
2019,08,14,0.17767688
2019,08,15,0.53106312
2019,08,16,0.38362112
2019,08,17,0.3235385
2019,08,18,0.546542
2019,08,19,0.2321155
2019,08,20,0.2945885
2019,08,21,0.22964312
2019,08,22,0.11923938
2019,08,23,0.37149312
2019,08,24,0.74177787
2019,08,25,0.53943313
2019,08,26,0.4579685
2019,08,27,0.56127225
2019,08,28,0.409341
2019,08,29,0.43478175
2019,08,30,0.286691
2019,08,31,0.29074662
