####################################################################################################
# Month: 12Dec                                                                                     #
# Station: KILI                                                                                    #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,12,1,1.60024888,213.3552625
2009,12,2,2.09393588,232.64675
2009,12,3,6.16246575,266.8742125
2009,12,4,4.7038205,264.4103875
2009,12,5,4.24944775,260.6675875
2009,12,6,5.28063962,266.9733875
2009,12,7,5.08112838,266.03465
2009,12,8,7.25942575,268.36215
2009,12,9,7.29083238,268.8863875
2009,12,10,4.47214112,263.475325
2009,12,11,5.1270445,263.927025
2009,12,12,6.47235325,267.1919875
2009,12,13,6.06894325,266.35125
2009,12,14,5.50737338,267.4440875
2009,12,15,4.2054825,261.5856
2009,12,16,3.93606013,262.596725
2009,12,17,2.38109538,240.550175
2009,12,18,1.55037288,211.194825
2009,12,19,1.88566138,224.974775
2009,12,20,0.69763634,137.4447625
2009,12,21,1.393118,183.52247375
2009,12,22,4.73329088,264.5264
2009,12,23,8.22881,267.7663125
2009,12,24,8.03022,267.8282875
2009,12,25,8.87457613,268.3115875
2009,12,26,8.2170055,268.0398875
2009,12,27,8.6648725,268.5078625
2009,12,28,7.67414775,267.27705
2009,12,29,6.2682305,267.4325
2009,12,30,4.34235563,262.327125
2009,12,31,4.22207788,263.3384625
2010,12,1,5.68136288,265.0025875
2010,12,2,5.51146825,265.819025
2010,12,3,2.29722312,237.7363375
2010,12,4,2.06268037,229.3202
2010,12,5,2.10244938,232.2358375
2010,12,6,6.14273688,264.2676
2010,12,7,10.11671275,269.1439625
2010,12,8,9.43574625,269.428025
2010,12,9,8.11587038,268.6503875
2010,12,10,7.33927088,268.5006
2010,12,11,5.02178225,266.2789875
2010,12,12,2.97197562,251.1197
2010,12,13,1.306325,194.6231625
2010,12,14,1.03410239,174.565775
2010,12,15,1.13211214,177.6169
2010,12,16,1.2963385,195.160925
2010,12,17,1.55145712,207.392725
2010,12,18,1.4820105,205.55565
2010,12,19,0.89579729,159.4616
2010,12,20,1.24058695,182.8617
2010,12,21,2.22565538,223.9566375
2010,12,22,3.59976988,254.6048625
2010,12,23,1.92617088,226.6463625
2010,12,24,3.116024,245.62425
2010,12,25,7.20535912,267.238675
2010,12,26,4.16075212,259.9048
2010,12,27,2.06222138,232.34895
2010,12,28,3.29006062,255.9758875
2010,12,29,2.26350125,233.9276125
2010,12,30,1.78754975,216.3683125
2010,12,31,1.54651712,208.5978375
2011,12,1,3.21664412,255.1518375
2011,12,2,4.35131325,262.95195
2011,12,3,6.02616425,266.2126125
2011,12,4,9.55172412,268.5253875
2011,12,5,7.09742762,267.693025
2011,12,6,5.67291788,265.05905
2011,12,7,5.81176912,265.1564125
2011,12,8,5.48823,266.31625
2011,12,9,2.3869025,231.4702125
2011,12,10,2.0755105,220.49505
2011,12,11,2.678582,243.5872
2011,12,12,3.72374388,257.3177375
2011,12,13,4.64143863,263.8903375
2011,12,14,5.14705362,264.864825
2011,12,15,5.358331,264.9355
2011,12,16,4.01388275,260.9991375
2011,12,17,3.71433288,257.280825
2011,12,18,3.811064,258.7705125
2011,12,19,2.36156288,239.4000375
2011,12,20,3.14074588,250.5018875
2011,12,21,6.07679388,268.3957875
2011,12,22,6.39603338,267.79425
2011,12,23,2.83887888,249.161075
2011,12,24,2.57004525,237.4888375
2011,12,25,3.56447725,253.83895
2011,12,26,4.14795787,263.225475
2011,12,27,5.44860212,265.796625
2011,12,28,6.8783915,268.052425
2011,12,29,6.11426688,267.901575
2011,12,30,5.56762762,267.5247625
2011,12,31,3.98868962,259.4722375
2012,12,1,2.6076835,245.9092875
2012,12,2,2.12991738,233.1084375
2012,12,3,3.3602795,254.625775
2012,12,4,2.620869,244.2126
2012,12,5,2.09047,232.6564625
2012,12,6,3.474984,252.43335
2012,12,7,3.739167,258.698925
2012,12,8,5.92846862,266.4830875
2012,12,9,6.30671738,268.117475
2012,12,10,8.525109,269.4709375
2012,12,11,6.11152388,267.4100125
2012,12,12,4.08732413,254.1676625
2012,12,13,3.51085188,254.070725
2012,12,14,3.39617888,255.0284125
2012,12,15,2.34635875,241.301475
2012,12,16,4.39045988,258.445675
2012,12,17,6.00027312,266.813575
2012,12,18,4.47129087,259.862225
2012,12,19,3.29322762,249.4696375
2012,12,20,3.16329738,255.7289125
2012,12,21,4.161577,256.3116625
2012,12,22,6.40307212,266.4449375
2012,12,23,8.24061125,268.4974875
2012,12,24,8.89826125,268.215525
2012,12,25,7.798213,268.6821125
2012,12,26,7.99091513,269.0872375
2012,12,27,7.40666325,270.0699375
2012,12,28,7.24497362,269.1933875
2012,12,29,8.32812313,269.31455
2012,12,30,5.871651,267.9776625
2012,12,31,5.40846025,267.3874
2013,12,1,4.4665115,262.5507375
2013,12,2,3.27861438,255.8526875
2013,12,3,3.31942225,256.8322
2013,12,4,2.21083675,227.4843125
2013,12,5,6.064878,265.1429125
2013,12,6,8.17279975,267.294125
2013,12,7,7.12555388,267.1584625
2013,12,8,5.66962962,266.601075
2013,12,9,7.994928,268.5546125
2013,12,10,8.69379775,268.416
2013,12,11,9.27660238,268.72675
2013,12,12,8.6945355,268.58525
2013,12,13,8.5537975,268.0268375
2013,12,14,7.21850162,267.8562875
2013,12,15,7.33365612,268.38805
2013,12,16,7.04296938,267.400575
2013,12,17,7.02147287,267.74265
2013,12,18,3.54813175,254.24215
2013,12,19,1.04444031,173.56225
2013,12,20,2.99685012,240.129425
2013,12,21,1.41208862,204.142725
2013,12,22,1.73013594,204.4366625
2013,12,23,2.51820398,226.3687875
2013,12,24,3.31039888,254.6388375
2013,12,25,3.31381575,257.451575
2013,12,26,2.87551388,250.6549625
2013,12,27,3.0951425,252.4132875
2013,12,28,3.876666,261.2635375
2013,12,29,3.9560875,262.0646375
2013,12,30,3.47487075,256.8724625
2013,12,31,3.28074375,255.568875
2014,12,1,6.5653515,266.66455
2014,12,2,7.29476225,267.0233375
2014,12,3,7.91730888,267.6775125
2014,12,4,3.0085405,250.5683875
2014,12,5,2.370992,239.715275
2014,12,6,2.73024,242.1684375
2014,12,7,7.21300038,267.608075
2014,12,8,6.26735038,267.398675
2014,12,9,3.98584512,260.2781375
2014,12,10,2.29433825,239.87895
2014,12,11,2.01130362,231.3332125
2014,12,12,4.28943625,261.3835875
2014,12,13,4.56887512,260.0482875
2014,12,14,3.31857012,256.67215
2014,12,15,2.42942138,237.9197125
2014,12,16,3.09217175,242.1344
2014,12,17,5.08106388,264.057375
2014,12,18,3.6465975,257.5843875
2014,12,19,4.64419587,263.23115
2014,12,20,3.123811,243.6436625
2014,12,21,4.49203963,263.4203375
2014,12,22,7.04234438,268.4789625
2014,12,23,7.003274,268.0795375
