####################################################################################################
# Month: 06Jun                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/KP                           #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,06,1,287.85
2009,06,2,288.3625
2009,06,3,290.1875
2009,06,4,291.7375
2009,06,5,288.825
2009,06,6,285.2875
2009,06,7,283.575
2009,06,8,285.025
2009,06,9,284.6125
2009,06,10,283.475
2009,06,11,283.625
2009,06,12,285.1875
2009,06,13,286.6
2009,06,14,286.15
2009,06,15,285.525
2009,06,16,286.175
2009,06,17,286.4
2009,06,18,286.775
2009,06,19,288.0
2009,06,20,285.5375
2009,06,21,287.3875
2009,06,22,290.675
2009,06,23,292.35
2009,06,24,293.1625
2009,06,25,292.55
2009,06,26,290.575
2009,06,27,291.4
2009,06,28,294.0
2009,06,29,293.5875
2009,06,30,292.4375
2010,06,1,287.1625
2010,06,2,286.425
2010,06,3,287.7
2010,06,4,289.5625
2010,06,5,291.9625
2010,06,6,293.0
2010,06,7,293.3875
2010,06,8,292.025
2010,06,9,292.2
2010,06,10,290.1
2010,06,11,287.3125
2010,06,12,283.125
2010,06,13,281.65
2010,06,14,284.05
2010,06,15,287.5875
2010,06,16,289.55
2010,06,17,290.7125
2010,06,18,291.425
2010,06,19,290.4625
2010,06,20,289.9625
2010,06,21,289.4875
2010,06,22,289.9125
2010,06,23,292.4
2010,06,24,294.55
2010,06,25,294.2
2010,06,26,292.475
2010,06,27,290.9125
2010,06,28,292.45
2010,06,29,292.0875
2010,06,30,292.725
2011,06,1,290.75
2011,06,2,289.1375
2011,06,3,287.35
2011,06,4,289.8375
2011,06,5,290.9625
2011,06,6,289.875
2011,06,7,287.8875
2011,06,8,288.3
2011,06,9,288.0
2011,06,10,288.35
2011,06,11,289.3875
2011,06,12,289.8625
2011,06,13,290.0125
2011,06,14,291.6375
2011,06,15,293.025
2011,06,16,293.1875
2011,06,17,291.8125
2011,06,18,292.45
2011,06,19,292.55
2011,06,20,289.6125
2011,06,21,290.7375
2011,06,22,293.5375
2011,06,23,293.9125
2011,06,24,294.15
2011,06,25,294.4375
2011,06,26,295.125
2011,06,27,295.2375
2011,06,28,295.925
2011,06,29,293.6625
2011,06,30,292.6875
2012,06,1,292.675
2012,06,2,291.5125
2012,06,3,290.2
2012,06,4,289.375
2012,06,5,288.9875
2012,06,6,289.7625
2012,06,7,290.4
2012,06,8,291.25
2012,06,9,291.9125
2012,06,10,290.725
2012,06,11,289.65
2012,06,12,291.1375
2012,06,13,292.2875
2012,06,14,290.9875
2012,06,15,290.025
2012,06,16,290.5
2012,06,17,293.1875
2012,06,18,293.1
2012,06,19,292.1625
2012,06,20,291.4125
2012,06,21,292.625
2012,06,22,294.05
2012,06,23,293.675
2012,06,24,292.1875
2012,06,25,291.7125
2012,06,26,293.075
2012,06,27,294.325
2012,06,28,294.0875
2012,06,29,294.625
2012,06,30,294.325
2013,06,1,290.8625
2013,06,2,291.9875
2013,06,3,291.0125
2013,06,4,290.4125
2013,06,5,289.225
2013,06,6,290.325
2013,06,7,292.85
2013,06,8,293.8
2013,06,9,293.5375
2013,06,10,293.875
2013,06,11,294.2
2013,06,12,294.3875
2013,06,13,293.725
2013,06,14,292.7125
2013,06,15,292.375
2013,06,16,292.15
2013,06,17,292.075
2013,06,18,293.7875
2013,06,19,293.6375
2013,06,20,293.175
2013,06,21,293.1
2013,06,22,292.55
2013,06,23,291.9375
2013,06,24,291.9125
2013,06,25,291.525
2013,06,26,292.05
2013,06,27,293.3125
2013,06,28,296.25
2013,06,29,297.1625
2013,06,30,296.1
2014,06,1,291.2125
2014,06,2,293.25
2014,06,3,294.0
2014,06,4,293.2
2014,06,5,293.0625
2014,06,6,292.3875
2014,06,7,291.6
2014,06,8,289.2375
2014,06,9,290.6125
2014,06,10,291.575
2014,06,11,290.975
2014,06,12,291.2875
2014,06,13,292.525
2014,06,14,291.8625
2014,06,15,290.7875
2014,06,16,291.4
2014,06,17,290.375
2014,06,18,288.7
2014,06,19,287.1625
2014,06,20,290.375
2014,06,21,291.725
2014,06,22,291.9625
2014,06,23,292.025
2014,06,24,291.575
2014,06,25,291.7375
2014,06,26,292.3375
2014,06,27,290.7
2014,06,28,290.45
2014,06,29,291.6875
2014,06,30,292.55
2015,06,1,291.0
2015,06,2,289.7375
2015,06,3,289.5875
2015,06,4,288.9375
2015,06,5,285.7375
2015,06,6,287.475
2015,06,7,288.5625
2015,06,8,288.7375
2015,06,9,287.85
2015,06,10,288.0125
2015,06,11,285.8
2015,06,12,288.5375
2015,06,13,290.7875
2015,06,14,291.9625
2015,06,15,293.3375
2015,06,16,294.175
2015,06,17,294.65
2015,06,18,295.35
2015,06,19,295.2
2015,06,20,293.925
2015,06,21,293.4375
2015,06,22,292.75
2015,06,23,292.9875
2015,06,24,293.475
2015,06,25,292.6625
2015,06,26,291.8625
2015,06,27,292.0625
2015,06,28,291.7
2015,06,29,290.9625
2015,06,30,290.5875
2016,06,1,286.55
2016,06,2,289.1625
2016,06,3,291.775
2016,06,4,293.9
2016,06,5,295.175
2016,06,6,295.0625
2016,06,7,291.7375
2016,06,8,289.8
2016,06,9,289.975
2016,06,10,288.325
2016,06,11,287.4625
2016,06,12,288.625
2016,06,13,287.1375
2016,06,14,286.425
2016,06,15,288.55
2016,06,16,288.925
2016,06,17,290.45
2016,06,18,292.925
2016,06,19,296.6
2016,06,20,296.925
2016,06,21,293.6875
2016,06,22,293.9625
2016,06,23,292.95
2016,06,24,291.925
2016,06,25,291.1625
2016,06,26,289.475
2016,06,27,290.6875
2016,06,28,291.75
2016,06,29,290.8625
2016,06,30,288.5875
2017,06,1,286.7875
2017,06,2,287.2875
2017,06,3,290.1625
2017,06,4,291.65
2017,06,5,292.45
2017,06,6,292.5
2017,06,7,292.55
2017,06,8,292.0625
2017,06,9,291.45
2017,06,10,291.05
2017,06,11,289.425
2017,06,12,288.0125
2017,06,13,287.6625
2017,06,14,290.7625
2017,06,15,292.1875
2017,06,16,292.3625
2017,06,17,291.375
2017,06,18,292.825
2017,06,19,296.1625
2017,06,20,298.325
2017,06,21,298.1625
2017,06,22,296.125
2017,06,23,295.3125
2017,06,24,295.6625
2017,06,25,295.3
2017,06,26,293.4125
2017,06,27,293.1875
2017,06,28,292.5375
2017,06,29,292.1625
2017,06,30,292.875
2018,06,1,289.45
2018,06,2,290.95
2018,06,3,291.1375
2018,06,4,292.8625
2018,06,5,291.5125
2018,06,6,291.9
2018,06,7,292.1375
2018,06,8,292.65
2018,06,9,292.7375
2018,06,10,291.6875
2018,06,11,291.2
2018,06,12,292.625
2018,06,13,293.9375
2018,06,14,294.4125
2018,06,15,291.0
2018,06,16,285.575
2018,06,17,288.075
2018,06,18,290.0625
2018,06,19,292.0375
2018,06,20,291.8375
2018,06,21,294.0125
2018,06,22,294.8
2018,06,23,294.2375
2018,06,24,291.625
2018,06,25,290.75
2018,06,26,292.8375
2018,06,27,294.05
2018,06,28,293.8375
2018,06,29,292.025
2018,06,30,289.6125
2019,06,1,287.1125
2019,06,2,285.875
2019,06,3,285.7125
2019,06,4,285.4375
2019,06,5,286.975
2019,06,6,288.4375
2019,06,7,287.6625
2019,06,8,288.2375
2019,06,9,288.9625
2019,06,10,290.275
2019,06,11,290.9875
2019,06,12,291.6
2019,06,13,292.4875
2019,06,14,290.375
2019,06,15,288.55
2019,06,16,289.5125
2019,06,17,289.35
2019,06,18,289.0875
2019,06,19,288.55
2019,06,20,289.0
2019,06,21,288.5
2019,06,22,287.2375
2019,06,23,287.025
2019,06,24,288.875
2019,06,25,290.5625
2019,06,26,289.975
2019,06,27,291.0625
2019,06,28,293.4875
2019,06,29,293.9
2019,06,30,292.9625
