####################################################################################################
# Month: 10Oct                                                                                     #
# Station: KP                                                                                      #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,10,1,9.16281012
2009,10,2,7.86559875
2009,10,3,3.195473
2009,10,4,11.117345
2009,10,5,15.62559038
2009,10,6,9.00239825
2009,10,7,10.93413838
2009,10,8,4.9460885
2009,10,9,3.82833312
2009,10,10,3.175499
2009,10,11,6.6954655
2009,10,12,8.297243
2009,10,13,12.0757845
2009,10,14,6.564595
2009,10,15,3.99771887
2009,10,16,2.25425862
2009,10,17,3.87464125
2009,10,18,4.84110312
2009,10,19,9.3834535
2009,10,20,13.51120262
2009,10,21,7.4498925
2009,10,22,4.32499588
2009,10,23,3.79757325
2009,10,24,4.79500375
2009,10,25,4.37749312
2009,10,26,6.14483213
2009,10,27,9.849324
2009,10,28,14.37514188
2009,10,29,9.20033188
2009,10,30,9.40611925
2009,10,31,6.97167262
2010,10,1,3.20654188
2010,10,2,1.69094288
2010,10,3,2.14765162
2010,10,4,3.60714812
2010,10,5,12.61013388
2010,10,6,15.69036738
2010,10,7,14.141896
2010,10,8,7.98293163
2010,10,9,2.53854438
2010,10,10,2.748003
2010,10,11,2.852568
2010,10,12,3.12439225
2010,10,13,7.00294638
2010,10,14,7.41369425
2010,10,15,4.50000463
2010,10,16,2.86815088
2010,10,17,2.52338262
2010,10,18,6.22709925
2010,10,19,9.52722725
2010,10,20,10.53386425
2010,10,21,4.5825295
2010,10,22,2.79104
2010,10,23,3.49019588
2010,10,24,4.22543588
2010,10,25,13.22375825
2010,10,26,7.81340338
2010,10,27,5.8290955
2010,10,28,8.25118562
2010,10,29,9.35132825
2010,10,30,13.89538462
2010,10,31,9.65985088
2011,10,1,4.9544855
2011,10,2,2.37332725
2011,10,3,3.81767475
2011,10,4,11.17740175
2011,10,5,10.49791225
2011,10,6,13.32022625
2011,10,7,7.7697115
2011,10,8,2.80218075
2011,10,9,5.0588455
2011,10,10,3.22312575
2011,10,11,3.98201262
2011,10,12,6.48456462
2011,10,13,2.87018012
2011,10,14,1.733994
2011,10,15,3.34620475
2011,10,16,3.20724875
2011,10,17,5.48298475
2011,10,18,3.85491938
2011,10,19,3.51849412
2011,10,20,7.687138
2011,10,21,7.20955888
2011,10,22,1.7857965
2011,10,23,1.95594738
2011,10,24,3.22328388
2011,10,25,6.449032
2011,10,26,12.78168125
2011,10,27,5.67172325
2011,10,28,2.51408975
