####################################################################################################
# Month: 01Jan                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,01,1,0.79623504,144.8596875
2009,01,2,0.6358109,126.3008875
2009,01,3,0.96142408,162.665475
2009,01,4,1.05969628,172.6786375
2009,01,5,1.00811422,165.108075
2009,01,6,0.74085359,137.4584375
2009,01,7,0.90734581,158.4201125
2009,01,8,0.92719168,159.457325
2009,01,9,0.65550946,125.0723
2009,01,10,0.60451534,118.38253625
2009,01,11,0.62435623,120.7379125
2009,01,12,0.73901564,135.501275
2009,01,13,0.82138536,145.251075
2009,01,14,0.3881207,85.8955425
2009,01,15,1.02104472,160.83330625
2009,01,16,1.521464,204.2109375
2009,01,17,1.94298862,224.338775
2009,01,18,1.97479961,204.9946
2009,01,19,0.84491598,148.1455
2009,01,20,1.44850203,195.9502875
2009,01,21,2.068839,232.8896
2009,01,22,1.77928536,197.9983375
2009,01,23,0.6850255,122.85535625
2009,01,24,0.9813332,159.4938375
2009,01,25,1.22436276,179.8689625
2009,01,26,0.91947246,156.8921625
2009,01,27,1.0100414,165.8268
2009,01,28,0.6994246,135.9365625
2009,01,29,0.93496245,163.4249
2009,01,30,2.2050525,239.5178625
2009,01,31,1.93613613,228.2150875
2010,01,1,1.52541911,194.9398
2010,01,2,1.0904298,154.5013725
2010,01,3,1.02280703,159.22653125
2010,01,4,1.50093225,196.1526375
2010,01,5,0.64637608,124.2871625
2010,01,6,0.72859355,134.984375
2010,01,7,0.97677491,162.2402375
2010,01,8,1.10625082,174.62505
2010,01,9,1.52426462,205.70125
2010,01,10,1.28163988,193.0016875
2010,01,11,0.9451248,154.90162
2010,01,12,0.60806419,115.67982
2010,01,13,0.62508072,119.60219625
2010,01,14,1.17819895,178.8719125
2010,01,15,0.79884559,136.762605
2010,01,16,0.56188644,113.96006125
2010,01,17,1.23437859,178.5106625
2010,01,18,1.66866995,209.1167625
2010,01,19,4.497268,258.7987875
2010,01,20,4.77004012,268.242925
2010,01,21,0.61639206,123.32365
2010,01,22,0.73019914,136.7291125
2010,01,23,1.11407486,174.71815
2010,01,24,1.60306138,205.9627625
2010,01,25,0.50215245,105.14252875
2010,01,26,0.94266301,155.5904925
2010,01,27,2.71134388,238.6084625
2010,01,28,0.73309654,136.53811125
2010,01,29,1.23869313,188.5888375
2010,01,30,1.569839,208.5236125
2010,01,31,1.5376344,200.9860625
2011,01,1,1.1106555,175.4533875
2011,01,2,1.1470175,178.388075
2011,01,3,1.23463471,186.0151
2011,01,4,1.28066075,188.2370125
2011,01,5,0.84485724,146.928775
2011,01,6,0.54285855,110.459765
2011,01,7,0.63985329,118.9277675
2011,01,8,1.47272098,194.437675
2011,01,9,0.5018296,103.385125
2011,01,10,0.85184164,144.09238625
2011,01,11,1.2255547,168.56565125
2011,01,12,0.62188789,121.4412
2011,01,13,1.23363505,178.7630625
2011,01,14,1.01000246,154.4395825
2011,01,15,0.36496532,80.12082
2011,01,16,0.43960761,93.85826375
2011,01,17,0.59430609,117.2623975
2011,01,18,0.79970139,142.84765
2011,01,19,0.788025,141.3581
2011,01,20,0.6494378,125.8591125
2011,01,21,0.98073329,161.387725
2011,01,22,1.00032481,161.54255
2011,01,23,1.40450611,187.50675
2011,01,24,0.78968879,142.277725
2011,01,25,0.68381038,127.73998
2011,01,26,0.52851416,107.4929975
2011,01,27,0.58160998,114.7487975
2011,01,28,0.60075284,117.10322375
2011,01,29,0.55209676,109.193915
2011,01,30,0.54299475,109.475575
2011,01,31,1.0405219,168.47965
2012,01,1,1.23530438,183.8985875
2012,01,2,1.05871295,170.8632625
2012,01,3,1.0602849,166.1384
2012,01,4,0.65524832,126.0022
2012,01,5,1.0075361,163.4465125
2012,01,6,0.70520234,134.2940625
2012,01,7,0.7975324,144.8017
2012,01,8,1.50985071,201.6636375
2012,01,9,0.88664802,149.4200625
2012,01,10,0.75646794,139.762825
2012,01,11,0.61577799,120.51367625
2012,01,12,1.37922525,196.184725
2012,01,13,0.8260665,146.7764125
2012,01,14,0.86461635,146.4509125
2012,01,15,0.86886575,149.85975625
2012,01,16,1.91048913,225.461025
2012,01,17,2.10945212,223.9886125
2012,01,18,1.68649662,213.1306875
2012,01,19,2.56857575,246.261025
2012,01,20,2.36120825,240.3881375
2012,01,21,1.65015879,187.26476875
2012,01,22,0.35890544,80.06993375
2012,01,23,0.45217151,95.4561975
2012,01,24,0.6174036,117.788815
2012,01,25,0.75481828,133.83552375
2012,01,26,1.20184087,183.0513625
2012,01,27,0.93792812,144.6244225
2012,01,28,0.73856045,135.90985
2012,01,29,0.42783721,91.5883825
2012,01,30,0.41299864,88.72590125
2012,01,31,1.00234815,140.69062875
2013,01,1,1.25287569,168.65004625
2013,01,2,0.5721253,111.9408525
2013,01,3,0.40315514,89.34964875
2013,01,4,0.64339014,117.221715
2013,01,5,0.9338356,150.35687125
2013,01,6,0.51818897,108.18621125
2013,01,7,1.17505836,179.00125
2013,01,8,0.5906983,116.87434125
2013,01,9,0.56308615,112.7209425
2013,01,10,0.97516056,158.781175
2013,01,11,1.89104962,217.7370625
2013,01,12,1.39029786,190.9545125
2013,01,13,0.71771024,137.47405
2013,01,14,1.01107242,160.9183
2013,01,15,1.08819579,172.600025
2013,01,16,1.31740438,190.46715
2013,01,17,0.95710298,151.9339175
2013,01,18,1.12893774,170.4022
2013,01,19,1.17387779,177.1225875
2013,01,20,2.13323563,220.006775
2013,01,21,3.10119575,255.74315
2013,01,22,2.30345513,239.318175
2013,01,23,2.536377,237.64185
2013,01,24,0.97677916,142.6032
2013,01,25,0.51744569,104.44329625
2013,01,26,0.57542519,114.283015
2013,01,27,0.7264747,134.22015
2013,01,28,2.34443238,233.3448375
2013,01,29,3.15113862,256.376
2013,01,30,3.16207075,257.1918
2013,01,31,3.25905775,260.2577
2014,01,1,1.07927855,163.46060125
2014,01,2,1.0066974,163.5605125
2014,01,3,1.57889226,181.0639075
2014,01,4,1.80928862,218.5472625
2014,01,5,1.567091,208.2384125
2014,01,6,1.9223225,226.3949875
2014,01,7,3.35424562,255.910425
2014,01,8,0.59069163,110.6854125
2014,01,9,0.58451761,112.93664125
2014,01,10,0.93258651,158.092975
2014,01,11,1.33976934,191.6823375
2014,01,12,0.55500804,106.59806625
2014,01,13,0.66178062,125.17139
2014,01,14,0.76569329,140.1680625
2014,01,15,1.24146123,184.9043375
2014,01,16,1.47983425,201.0785
2014,01,17,1.32560588,193.399
2014,01,18,0.68556655,129.99214875
2014,01,19,1.54736466,183.80080375
2014,01,20,1.87982825,213.5710375
2014,01,21,1.16830329,177.532975
2014,01,22,1.05734855,172.3636625
2014,01,23,2.22517312,232.0404875
2014,01,24,3.73318,264.23
2014,01,25,1.99464232,183.70921
2014,01,26,0.48307991,102.01764125
2014,01,27,1.5850797,192.582725
2014,01,28,0.32071479,74.87142125
2014,01,29,1.74076059,153.7642175
2014,01,30,1.52234031,161.26651125
2014,01,31,0.97745218,157.6274375
2015,01,1,0.69465911,129.2741125
2015,01,2,0.58608858,117.27168375
2015,01,3,2.039958,219.2079
2015,01,4,1.62390155,208.4988875
2015,01,5,2.14313824,213.4334875
2015,01,6,0.33237744,78.6929125
2015,01,7,0.49519925,106.27240125
2015,01,8,0.57640002,116.81614875
2015,01,9,0.84158036,150.033575
2015,01,10,1.574773,205.5624375
2015,01,11,0.71860278,131.53889125
2015,01,12,0.6224491,125.082525
2015,01,13,0.58608336,116.763
