####################################################################################################
# Month: 08Aug                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,72.9412025,294.1292375
2009,08,2,75.2289,294.0971875
2009,08,3,75.420975,292.0952625
2009,08,4,61.3804025,293.714175
2009,08,5,52.7349875,293.336775
2009,08,6,81.81256875,292.5566
2009,08,7,87.09744625,293.4674375
2009,08,8,87.4247025,293.1439375
2009,08,9,70.2530425,294.2272375
2009,08,10,70.852,293.7032625
2009,08,11,101.36748,293.0387625
2009,08,12,80.01717375,293.862775
2009,08,13,65.15211375,295.562375
2009,08,14,51.5470775,296.868375
2009,08,15,55.01999,297.9352375
2009,08,16,53.3518375,295.4858125
2009,08,17,81.3928125,293.627825
2009,08,18,86.99044,294.4015375
2009,08,19,91.63132375,294.2978
2009,08,20,54.8257525,293.879025
2009,08,21,49.83516125,293.339425
2009,08,22,46.41654375,293.2672375
2009,08,23,43.5937025,292.81305
2009,08,24,52.86625875,291.773925
2009,08,25,68.96528625,291.5711375
2009,08,26,88.04071375,292.2841375
2009,08,27,69.61767875,293.8587125
2009,08,28,42.61222375,289.4345125
2009,08,29,54.534985,287.746225
2009,08,30,43.1233275,288.1817625
2009,08,31,41.35246625,289.284475
2010,08,1,100.71856,295.189625
2010,08,2,79.669795,294.8069625
2010,08,3,63.36720875,295.155775
2010,08,4,95.89148125,295.9145125
2010,08,5,90.75764125,295.9043
2010,08,6,91.516535,294.19125
2010,08,7,77.57163375,294.16885
2010,08,8,78.078125,294.52155
2010,08,9,83.1318275,295.8186
2010,08,10,97.2923175,295.3043625
2010,08,11,94.02654625,295.8304
2010,08,12,92.5152825,293.663775
2010,08,13,98.8994925,295.293425
2010,08,14,102.55298875,295.791425
2010,08,15,69.17875875,294.13525
2010,08,16,60.3239575,292.2326375
2010,08,17,44.645715,294.016025
2010,08,18,79.46423,293.8835375
2010,08,19,87.12487,294.97735
2010,08,20,77.57514625,294.7454
2010,08,21,71.43143125,294.7968125
2010,08,22,81.5747225,294.8197625
2010,08,23,80.5552225,293.8861125
2010,08,24,69.50743875,291.29105
2010,08,25,89.433875,291.944325
2010,08,26,96.64728125,293.7903125
2010,08,27,86.738005,294.64945
2010,08,28,92.5792975,294.7792125
2010,08,29,90.4406825,293.117775
2010,08,30,72.42806875,292.6078125
2010,08,31,80.24960375,293.3044
2011,08,1,94.88043375,295.9477625
2011,08,2,97.40418625,295.57575
2011,08,3,108.46552625,295.2606875
2011,08,4,93.51918,294.99385
2011,08,5,85.777335,297.277925
2011,08,6,93.29169875,296.0543625
2011,08,7,95.79799875,296.5686375
2011,08,8,103.9298775,293.9844125
2011,08,9,80.89254125,294.16615
2011,08,10,87.30347625,294.0859625
2011,08,11,88.03361875,293.85855
2011,08,12,98.43916375,293.9474625
2011,08,13,103.80685375,294.190625
2011,08,14,95.86996875,293.9822375
2011,08,15,88.395655,293.8105125
2011,08,16,107.07553625,294.8037
2011,08,17,80.84660125,292.968825
2011,08,18,65.0211225,292.880725
2011,08,19,59.086835,292.5764125
2011,08,20,60.73163125,291.2865375
2011,08,21,53.0467125,293.0802125
2011,08,22,68.1020375,291.3226125
2011,08,23,52.022445,291.5118625
2011,08,24,58.20253125,291.0955125
2011,08,25,53.1022325,292.3417125
2011,08,26,67.8911225,292.3740375
2011,08,27,84.33170875,293.887175
2011,08,28,89.95558,294.2019625
2011,08,29,87.17944,294.4110375
2011,08,30,66.87505375,294.966625
2011,08,31,61.02385125,295.0549
2012,08,1,78.98996,297.421925
2012,08,2,87.69756,296.7701625
2012,08,3,83.185475,296.59915
2012,08,4,76.4700675,296.5996625
2012,08,5,77.0276725,298.487
2012,08,6,74.91523375,297.0325375
2012,08,7,60.6276175,295.3368375
