####################################################################################################
# Month: 04Apr                                                                                     #
# Station: LLA                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,04,1,3.27995862,251.5721
2009,04,2,1.84986771,208.2858125
2009,04,3,0.93533812,154.1609625
2009,04,4,1.18383144,148.90737
2009,04,5,1.71362956,197.9834375
2009,04,6,1.24797825,177.5318375
2009,04,7,2.25059687,230.1300375
2009,04,8,5.75019525,262.1907375
2009,04,9,3.01287225,249.6328375
2009,04,10,2.30085237,235.6485125
2009,04,11,2.20094238,231.76815
2009,04,12,3.08337275,249.572975
2009,04,13,4.56557662,260.41095
2009,04,14,1.66526804,203.5469
2009,04,15,0.62659939,127.5545875
2009,04,16,1.00452841,169.584675
2009,04,17,1.8207355,222.5819125
2009,04,18,2.403284,240.3502875
2009,04,19,2.4664895,238.22555
2009,04,20,1.6828885,215.577
2009,04,21,1.18765258,176.587375
2009,04,22,0.94548688,164.0564125
2009,04,23,1.39249888,196.5750375
2009,04,24,4.02972088,255.7621375
2009,04,25,1.13230315,167.4984125
2009,04,26,1.40756759,188.5629625
2009,04,27,1.44535202,174.843035
2009,04,28,0.8871231,151.009475
2009,04,29,1.29060619,179.19071
2009,04,30,2.53746288,231.4781125
2010,04,1,0.76180895,142.1404375
2010,04,2,1.87844012,224.5553
2010,04,3,1.78466841,205.6548875
2010,04,4,1.64697262,213.66495
2010,04,5,0.77643668,145.56755
2010,04,6,1.10175259,169.8193
2010,04,7,2.30010438,237.6058125
2010,04,8,1.2331844,179.8095875
2010,04,9,1.00168874,170.5932625
2010,04,10,1.45784988,201.5062125
2010,04,11,1.940846,224.8012625
2010,04,12,1.72413465,200.8431
2010,04,13,1.22917012,179.512225
2010,04,14,2.08750062,220.998675
2010,04,15,1.02060288,162.3539125
2010,04,16,1.0431205,166.5400125
2010,04,17,2.63880788,227.8745125
2010,04,18,3.22869805,229.4153375
2010,04,19,0.80031939,148.9442875
2010,04,20,1.70247738,212.896625
2010,04,21,1.43108688,199.537425
2010,04,22,1.7696985,216.7224125
2010,04,23,0.80244211,133.4454125
2010,04,24,0.56064238,108.2379625
2010,04,25,1.12767168,175.324875
2010,04,26,0.6656879,123.58385625
2010,04,27,1.6370035,210.3601375
2010,04,28,1.388587,195.63615
2010,04,29,2.00159325,224.8107625
2010,04,30,4.24167788,256.2019
2011,04,1,1.2453602,186.2283875
2011,04,2,1.41187165,198.09115
2011,04,3,0.82855698,144.8791025
2011,04,4,1.20693464,183.7485
2011,04,5,1.4305809,197.06345
2011,04,6,2.34002138,217.2391125
2011,04,7,3.76166038,257.5306375
2011,04,8,3.36947238,253.461575
