####################################################################################################
# Month: 11Nov                                                                                     #
# Station: LLA                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,11,1,3.46127325
2009,11,2,5.57182075
2009,11,3,6.60096012
2009,11,4,7.61504925
2009,11,5,6.1823795
2009,11,6,8.92649112
2009,11,7,14.00118062
2009,11,8,17.40162588
2009,11,9,11.17174062
2009,11,10,12.76429638
2009,11,11,14.89769
2009,11,12,11.31122175
2009,11,13,5.891355
2009,11,14,5.01015188
2009,11,15,8.33285212
2009,11,16,5.2660335
2009,11,17,4.40811975
2009,11,18,4.122759
2009,11,19,5.344029
2009,11,20,4.66900438
2009,11,21,7.63167125
2009,11,22,4.696507
2009,11,23,3.68324637
2009,11,24,4.08959237
2009,11,25,3.22477725
2009,11,26,4.20987225
2009,11,27,6.89762825
2009,11,28,5.35368187
2009,11,29,5.56340775
2009,11,30,7.98262625
2010,11,1,6.58425262
2010,11,2,5.53749262
2010,11,3,6.90770175
2010,11,4,9.85025925
2010,11,5,9.58059862
2010,11,6,5.9046525
2010,11,7,5.707613
2010,11,8,8.68400262
2010,11,9,13.40331838
2010,11,10,13.30852488
2010,11,11,15.173849
2010,11,12,12.34802775
2010,11,13,11.63257488
2010,11,14,11.64243762
2010,11,15,13.38051238
2010,11,16,14.05303462
2010,11,17,9.09693738
2010,11,18,12.12846038
2010,11,19,16.30359387
2010,11,20,16.60018938
2010,11,21,18.092671
2010,11,22,10.82298488
2010,11,23,13.68557412
2010,11,24,8.85201675
2010,11,25,10.36744262
2010,11,26,9.06441712
2010,11,27,10.99175088
2010,11,28,12.45185712
2010,11,29,17.297397
2010,11,30,11.81705088
2011,11,1,7.52503288
2011,11,2,6.55904713
2011,11,3,3.80915538
2011,11,4,3.59975125
2011,11,5,6.51864412
2011,11,6,1.4002445
2011,11,7,5.01732287
2011,11,8,5.03055787
2011,11,9,8.45914938
2011,11,10,7.03074238
2011,11,11,8.8820815
2011,11,12,8.5305855
2011,11,13,18.31524125
2011,11,14,15.69470275
2011,11,15,10.232246
2011,11,16,9.50391413
2011,11,17,12.9267355
2011,11,18,12.49336288
2011,11,19,7.16784838
2011,11,20,11.66420288
2011,11,21,11.81662562
2011,11,22,4.52098875
2011,11,23,9.808159
2011,11,24,7.27655488
2011,11,25,4.13517525
2011,11,26,2.94725775
2011,11,27,3.77682725
2011,11,28,2.614088
2011,11,29,4.54398862
2011,11,30,3.46861875
2012,11,1,8.15054538
2012,11,2,8.019422
2012,11,3,6.69243225
2012,11,4,5.03531087
2012,11,5,5.53955712
2012,11,6,7.37409
2012,11,7,6.02507388
2012,11,8,5.55498888
2012,11,9,8.4224695
2012,11,10,12.576311
2012,11,11,11.16251262
2012,11,12,9.95587425
2012,11,13,12.26010825
2012,11,14,10.51726238
2012,11,15,10.68423112
2012,11,16,8.46952612
2012,11,17,8.26445062
2012,11,18,7.39952025
2012,11,19,4.38251638
2012,11,20,4.46935012
2012,11,21,3.366119
2012,11,22,6.07236062
2012,11,23,10.1172115
2012,11,24,9.46109512
2012,11,25,12.89995638
2012,11,26,14.36353762
2012,11,27,15.97266562
2012,11,28,14.17589613
2012,11,29,12.07417812
2012,11,30,9.30948662
2013,11,1,7.75413062
2013,11,2,14.10511512
2013,11,3,9.01849675
2013,11,4,6.37579262
2013,11,5,3.587366
2013,11,6,4.9708295
2013,11,7,5.48068912
2013,11,8,10.25726075
2013,11,9,12.024127
2013,11,10,21.45909363
2013,11,11,22.56369088
2013,11,12,6.211188
2013,11,13,5.62276062
2013,11,14,9.884837
2013,11,15,7.47574125
2013,11,16,9.5307835
2013,11,17,8.95040212
2013,11,18,9.52413525
2013,11,19,13.13074075
2013,11,20,16.02276438
2013,11,21,7.40467275
2013,11,22,5.49003338
2013,11,23,3.66787888
2013,11,24,4.83110025
2013,11,25,4.32018538
2013,11,26,8.167638
2013,11,27,8.64574938
2013,11,28,12.26409975
2013,11,29,11.150131
2013,11,30,10.54695888
2014,11,1,8.85096963
2014,11,2,11.54462812
2014,11,3,13.27390312
2014,11,4,16.43869712
2014,11,5,12.95343588
2014,11,6,10.9171935
2014,11,7,10.09621838
2014,11,8,9.82726625
2014,11,9,10.81206462
2014,11,10,11.40031812
2014,11,11,13.17914575
2014,11,12,13.80772375
2014,11,13,12.72686925
2014,11,14,6.9306345
2014,11,15,3.72599025
2014,11,16,3.91902838
2014,11,17,7.388905
2014,11,18,11.51916412
2014,11,19,4.48481688
2014,11,20,10.5726525
2014,11,21,13.365317
2014,11,22,9.26826762
2014,11,23,5.54866212
2014,11,24,7.1166025
2014,11,25,9.86719563
2014,11,26,12.63581625
2014,11,27,8.93001375
2014,11,28,5.82243312
2014,11,29,11.90171362
2014,11,30,12.08685925
2015,11,1,11.41034588
2015,11,2,14.002969
2015,11,3,18.84092775
2015,11,4,22.52609762
2015,11,5,18.85755288
2015,11,6,19.28709212
2015,11,7,19.90663725
2015,11,8,13.08069288
2015,11,9,13.88927988
2015,11,10,13.1681965
2015,11,11,13.14575375
2015,11,12,14.29301662
2015,11,13,8.72262075
2015,11,14,7.3361635
2015,11,15,9.3252675
2015,11,16,11.717439
2015,11,17,12.48683112
2015,11,18,18.05346112
2015,11,19,24.3277685
2015,11,20,21.46917538
2015,11,21,19.62376062
2015,11,22,21.93417025
2015,11,23,24.34882762
2015,11,24,24.17228538
2015,11,25,15.24847988
2015,11,26,12.83397188
2015,11,27,11.2846655
2015,11,28,15.936936
2015,11,29,15.03816162
2015,11,30,13.7494885
2016,11,1,13.13422812
2016,11,2,12.02910213
2016,11,3,8.83910987
2016,11,4,2.60523188
2016,11,5,1.68497438
2016,11,6,4.41827887
2016,11,7,5.1507335
2016,11,8,3.51333638
2016,11,9,6.15313175
2016,11,10,6.88830225
2016,11,11,6.173629
2016,11,12,5.60457838
2016,11,13,7.21255025
2016,11,14,10.13573325
2016,11,15,11.92852962
2016,11,16,8.04101225
2016,11,17,5.30396125
2016,11,18,8.89495138
2016,11,19,6.7785405
2016,11,20,14.0083545
2016,11,21,7.31192638
2016,11,22,12.08971362
2016,11,23,16.59014475
2016,11,24,14.38461138
2016,11,25,7.09505225
2016,11,26,7.92620313
2016,11,27,8.63989863
2016,11,28,8.82479675
2016,11,29,8.1217705
2016,11,30,7.92842225
2017,11,1,15.84500287
2017,11,2,20.78195812
2017,11,3,16.97411688
2017,11,4,13.57922625
2017,11,5,13.62504338
2017,11,6,8.30414738
2017,11,7,12.86864612
2017,11,8,10.467808
2017,11,9,9.064712
2017,11,10,8.90100188
2017,11,11,8.97994075
2017,11,12,4.53591138
2017,11,13,3.21511238
2017,11,14,3.64716312
2017,11,15,5.024314
2017,11,16,7.18344238
2017,11,17,14.5943415
2017,11,18,15.15305825
2017,11,19,15.57830625
2017,11,20,12.73644762
2017,11,21,11.6832095
2017,11,22,14.759835
2017,11,23,11.79210162
2017,11,24,8.58685638
2017,11,25,12.07735525
2017,11,26,14.14448162
2017,11,27,8.0823085
2017,11,28,6.894706
2017,11,29,8.28766825
2017,11,30,9.26206163
2018,11,1,9.50358638
2018,11,2,7.29188875
2018,11,3,5.29046638
2018,11,4,7.77359162
2018,11,5,5.1770695
2018,11,6,6.09746612
2018,11,7,6.39669062
2018,11,8,5.05118638
2018,11,9,6.2238195
2018,11,10,5.21758412
2018,11,11,5.34592838
2018,11,12,10.44465462
2018,11,13,17.70291388
2018,11,14,11.7256095
2018,11,15,9.49691125
2018,11,16,6.58253412
2018,11,17,9.51873188
2018,11,18,7.24546612
2018,11,19,7.52806162
2018,11,20,5.65206325
2018,11,21,3.17319125
2018,11,22,7.15856375
2018,11,23,6.75097238
2018,11,24,5.047531
2018,11,25,6.70267488
