####################################################################################################
# Month: 04Apr                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/LOS                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,04,1,265.5375
2009,04,2,262.9625
2009,04,3,269.5625
2009,04,4,265.4125
2009,04,5,261.325
2009,04,6,266.475
2009,04,7,270.6375
2009,04,8,273.8125
2009,04,9,267.6625
2009,04,10,268.825
2009,04,11,269.125
2009,04,12,265.4
2009,04,13,270.15
2009,04,14,273.0625
2009,04,15,272.8
2009,04,16,267.3625
2009,04,17,263.0875
2009,04,18,264.7375
2009,04,19,270.075
2009,04,20,273.9125
2009,04,21,276.2625
2009,04,22,276.6875
2009,04,23,276.9
2009,04,24,276.6375
2009,04,25,275.5
2009,04,26,271.4875
2009,04,27,269.5
2009,04,28,274.575
2009,04,29,276.75
2009,04,30,277.4875
2010,04,1,271.3375
2010,04,2,261.1375
2010,04,3,266.15
2010,04,4,270.45
2010,04,5,273.9125
2010,04,6,268.2375
2010,04,7,261.475
2010,04,8,267.725
2010,04,9,270.9125
2010,04,10,272.6375
2010,04,11,272.9875
2010,04,12,272.975
2010,04,13,271.85
2010,04,14,273.2125
2010,04,15,274.25
2010,04,16,273.8125
2010,04,17,271.375
2010,04,18,272.675
2010,04,19,273.05
2010,04,20,272.4625
2010,04,21,274.15
2010,04,22,271.9
2010,04,23,264.9625
2010,04,24,267.5
2010,04,25,271.05
2010,04,26,272.25
2010,04,27,272.625
2010,04,28,275.9375
2010,04,29,274.05
2010,04,30,263.85
2011,04,1,276.075
2011,04,2,278.1
2011,04,3,276.9125
2011,04,4,264.0125
2011,04,5,274.0625
2011,04,6,274.9625
2011,04,7,270.425
2011,04,8,270.925
2011,04,9,271.5875
2011,04,10,264.0375
2011,04,11,267.1375
2011,04,12,273.7125
2011,04,13,273.55
2011,04,14,269.7
2011,04,15,268.0125
2011,04,16,272.3625
2011,04,17,274.0375
2011,04,18,276.1
2011,04,19,272.4875
2011,04,20,273.475
2011,04,21,274.975
2011,04,22,273.55
2011,04,23,273.75
2011,04,24,271.55
2011,04,25,269.5375
2011,04,26,269.025
2011,04,27,264.1
2011,04,28,270.55
2011,04,29,275.9
2011,04,30,271.0375
2012,04,1,277.1125
2012,04,2,271.7875
2012,04,3,264.6
2012,04,4,267.725
2012,04,5,273.475
2012,04,6,273.0
2012,04,7,272.6875
2012,04,8,273.8875
2012,04,9,274.125
2012,04,10,275.0375
2012,04,11,274.8625
2012,04,12,272.0
2012,04,13,267.6375
2012,04,14,269.4
2012,04,15,262.4125
2012,04,16,266.3625
2012,04,17,270.1125
2012,04,18,273.8
2012,04,19,274.0875
2012,04,20,271.7625
2012,04,21,276.975
2012,04,22,278.3875
2012,04,23,278.4
2012,04,24,279.825
2012,04,25,280.2
2012,04,26,279.3375
2012,04,27,272.0
2012,04,28,273.3375
2012,04,29,272.5375
2012,04,30,274.6
2013,04,1,270.975
2013,04,2,270.4125
2013,04,3,266.0
2013,04,4,269.95
2013,04,5,273.3375
2013,04,6,272.7
2013,04,7,273.875
2013,04,8,274.4875
2013,04,9,270.3375
2013,04,10,263.525
2013,04,11,265.85
2013,04,12,268.4875
2013,04,13,270.65
2013,04,14,272.25
2013,04,15,272.9
2013,04,16,274.425
2013,04,17,271.425
2013,04,18,260.475
2013,04,19,264.1625
2013,04,20,267.6625
2013,04,21,269.3125
2013,04,22,273.125
2013,04,23,272.6
2013,04,24,268.9
2013,04,25,272.35
2013,04,26,271.2375
2013,04,27,272.0
2013,04,28,275.65
2013,04,29,278.2375
2013,04,30,280.025
2014,04,27,264.125
2014,04,28,264.025
2014,04,29,262.5125
2014,04,30,265.4125
2015,04,1,274.2375
2015,04,2,271.8875
2015,04,3,269.7625
2015,04,4,269.9125
2015,04,5,271.675
2015,04,6,273.3
2015,04,7,273.1625
2015,04,8,272.3375
2015,04,9,268.4625
2015,04,10,269.8125
2015,04,11,271.825
2015,04,12,272.5375
2015,04,13,271.9125
2015,04,14,271.4375
2015,04,15,270.3125
2015,04,16,267.4625
2015,04,17,261.9125
2015,04,18,263.3125
2015,04,19,266.7875
2015,04,20,270.0125
2015,04,21,273.0625
2015,04,22,274.7375
2015,04,23,275.2875
2015,04,24,271.025
2015,04,25,269.4
2015,04,26,269.775
2015,04,27,267.6
2015,04,28,268.825
2015,04,29,271.675
2015,04,30,275.9625
2016,04,1,263.7625
2016,04,2,265.2625
2016,04,3,269.6625
2016,04,4,272.675
2016,04,5,273.6625
2016,04,6,272.1125
2016,04,7,274.325
2016,04,8,271.525
2016,04,9,269.975
2016,04,10,271.125
2016,04,11,267.85
2016,04,12,268.425
2016,04,13,269.9375
2016,04,14,273.3875
2016,04,15,274.3875
2016,04,16,267.4
2016,04,17,264.4375
2016,04,18,265.8125
2016,04,19,266.6625
2016,04,20,271.2625
2016,04,21,274.7875
2016,04,22,276.55
2016,04,23,276.3125
2016,04,24,273.5
2016,04,25,274.4125
2016,04,26,268.75
2016,04,27,267.0875
2016,04,28,270.2
2016,04,29,267.975
2016,04,30,266.9
2017,04,1,265.5125
2017,04,2,266.0
2017,04,3,269.15
2017,04,4,266.8125
2017,04,5,265.2875
2017,04,6,271.875
2017,04,7,274.8625
2017,04,8,275.3875
2017,04,9,271.2625
2017,04,10,268.575
2017,04,11,270.8375
2017,04,12,273.8375
2017,04,13,275.525
2017,04,14,276.1375
2017,04,15,274.4125
2017,04,16,274.425
2017,04,17,275.4875
2017,04,18,276.45
2017,04,19,276.175
2017,04,20,274.675
2017,04,21,273.05
2017,04,22,271.55
2017,04,23,274.35
2017,04,24,276.1125
2017,04,25,272.625
2017,04,26,268.6875
2017,04,27,270.8375
2017,04,28,268.2125
