####################################################################################################
# Month: 07Jul                                                                                     #
# Station: LOS                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,07,1,2.1641795
2009,07,2,3.4213555
2009,07,3,6.36356638
2009,07,4,5.24876225
2009,07,5,5.02504062
2009,07,6,5.84089012
2009,07,7,8.37662088
2009,07,8,8.83571375
2009,07,9,6.84110912
2009,07,10,6.32052988
2009,07,11,4.16642688
2009,07,12,4.38964
2009,07,13,3.26281012
2009,07,14,5.87323325
2009,07,15,5.714554
2009,07,16,3.619699
2009,07,17,3.74211238
2009,07,18,5.61208212
2009,07,19,4.65056812
2009,07,20,7.80401188
2009,07,21,4.12389788
2009,07,22,4.26480012
2009,07,23,2.60531462
2009,07,24,3.78435325
2009,07,25,3.81637175
2009,07,26,5.75067625
2009,07,27,7.262481
2009,07,28,4.77050625
2009,07,29,9.37230437
2009,07,30,8.989436
2009,07,31,6.85341387
2010,07,1,3.56493475
2010,07,2,5.702472
2010,07,3,7.51524062
2010,07,4,6.77956362
2010,07,5,8.56373775
2010,07,6,3.2726475
2010,07,7,4.5323245
2010,07,8,2.27151562
2010,07,9,1.65294425
2010,07,10,3.81671662
2010,07,11,4.13507363
2010,07,12,9.28857475
2010,07,13,5.01682612
2010,07,14,5.0285715
2010,07,15,3.95700275
2010,07,16,1.54866225
2010,07,17,1.01906838
2010,07,18,3.553275
2010,07,19,4.337571
2010,07,20,3.35005375
2010,07,21,7.89382338
2010,07,22,5.22420738
2010,07,23,4.50304138
2010,07,24,5.64737412
2010,07,25,5.1338035
2010,07,26,3.25468912
2010,07,27,1.89688638
2010,07,28,3.60149175
2010,07,29,2.80222012
2010,07,30,2.801523
2010,07,31,5.51262788
2011,07,1,8.62600725
2011,07,2,4.77860687
2011,07,3,3.31952762
2011,07,4,3.7772775
2011,07,5,4.43646262
2011,07,6,5.34109675
2011,07,7,5.02876762
2011,07,8,4.58025188
2011,07,9,7.76482612
2011,07,10,6.465051
2011,07,11,6.984626
2011,07,12,6.38202238
2011,07,13,5.08510125
2011,07,14,4.3744
2011,07,15,4.7159855
2011,07,16,8.06912125
2011,07,17,8.38428062
2011,07,18,5.4501755
2011,07,19,4.12816625
2011,07,20,4.78305425
2011,07,21,3.07383912
2011,07,22,2.18419475
2011,07,23,2.38346925
2011,07,24,1.74137938
2011,07,25,4.58914712
2011,07,26,6.41401225
2011,07,27,5.21340638
2011,07,28,3.07002262
2011,07,29,3.99697038
2011,07,30,4.27036513
2011,07,31,5.55676225
2012,07,1,5.08503512
2012,07,2,3.5157105
2012,07,3,4.44429387
2012,07,4,4.5468615
2012,07,5,4.6119125
2012,07,6,3.38392862
2012,07,7,7.45259175
2012,07,8,6.89529812
2012,07,9,3.54435225
2012,07,10,3.85304412
2012,07,11,4.76818713
2012,07,12,2.52953762
2012,07,13,2.71617162
2012,07,14,4.2295515
2012,07,15,7.1522625
2012,07,16,3.85555875
2012,07,17,6.25183738
2012,07,18,4.66125713
2012,07,19,5.45944337
2012,07,20,5.39630738
2012,07,21,3.43686038
2012,07,22,5.10245063
2012,07,23,2.80440012
2012,07,24,5.41934212
2012,07,25,6.3691405
2012,07,26,4.13928775
2012,07,27,6.02368238
2012,07,28,5.69529875
2012,07,29,3.54836313
2012,07,30,2.50685762
2012,07,31,3.68927225
2013,07,1,3.29532612
2013,07,2,3.71546313
2013,07,3,3.86832638
2013,07,4,4.96701688
2013,07,5,6.59527212
2013,07,6,4.14463688
2013,07,7,2.43116
2013,07,8,5.12825825
2013,07,9,3.32208512
2013,07,10,5.77455038
2013,07,11,5.20429088
2013,07,12,5.7251655
2013,07,13,4.12899675
2013,07,14,3.183264
2013,07,15,7.395852
2013,07,16,4.11921962
2013,07,17,5.76957012
2013,07,18,3.34731762
2013,07,19,3.04370038
2013,07,20,2.12425838
2013,07,21,1.6667135
2013,07,22,2.46351075
2013,07,23,3.91886312
2013,07,24,6.97731712
2013,07,25,7.55750788
2013,07,26,2.89499087
2013,07,27,5.20727075
2013,07,28,6.7102575
2013,07,29,11.25427
2013,07,30,8.48810438
2013,07,31,3.40964288
2014,07,1,5.70159637
2014,07,2,4.49697438
2014,07,3,4.09610912
2014,07,4,5.2453925
2014,07,5,6.35566375
2014,07,6,4.65596413
2014,07,7,5.077034
2014,07,8,3.87180213
2014,07,9,5.01447438
2014,07,10,6.25653938
2014,07,11,3.63571362
2014,07,12,3.7380175
2014,07,13,3.8554675
2014,07,14,2.6683855
2014,07,15,3.66129425
2014,07,16,5.87951088
2014,07,17,5.77445625
2014,07,18,6.65763462
2014,07,19,3.63534012
2014,07,20,5.1259605
2014,07,21,2.41043037
2014,07,22,3.17932738
2014,07,23,7.30125875
2014,07,24,6.19330188
2014,07,25,6.80338138
2014,07,26,3.37951425
2014,07,27,4.76607588
2014,07,28,7.54709038
2014,07,29,3.91194838
2014,07,30,8.99208488
2014,07,31,6.34272075
2015,07,1,3.2627305
2015,07,2,5.64699412
2015,07,3,3.24370475
2015,07,4,3.60907125
2015,07,5,4.78551213
2015,07,6,5.18197188
2015,07,7,4.98644312
2015,07,8,10.3546745
2015,07,9,6.96848375
2015,07,10,8.35665062
2015,07,11,7.91198638
2015,07,12,8.32951763
2015,07,13,5.28168038
2015,07,14,3.99143837
2015,07,15,5.24235662
2015,07,16,6.03138537
2015,07,17,3.98139288
2015,07,18,3.83188275
2015,07,19,7.08691888
2015,07,20,3.18826138
2015,07,21,5.33431763
2015,07,22,7.32267438
2015,07,23,3.28061925
2015,07,24,2.29402725
2015,07,25,7.2156345
2015,07,26,3.213227
2015,07,27,6.67226238
2015,07,28,4.7048785
2015,07,29,1.9837675
2015,07,30,3.08546775
2015,07,31,2.72738988
2016,07,1,8.16471538
2016,07,2,9.98308762
2016,07,3,11.45835737
2016,07,4,10.7789345
2016,07,5,8.86217888
2016,07,6,8.3809385
2016,07,7,9.6321545
2016,07,8,6.9510145
2016,07,9,6.1836085
2016,07,10,8.721599
2016,07,11,13.3519275
2016,07,12,9.61118
2016,07,13,10.46206838
2016,07,14,6.779109
2016,07,15,4.0297495
2016,07,16,5.62965138
2016,07,17,6.17693138
2016,07,18,3.9581945
2016,07,19,6.26070062
2016,07,20,5.35029425
2016,07,21,4.44269625
2016,07,22,2.93522275
2016,07,23,4.29956088
2016,07,24,2.9557335
2016,07,25,3.35744225
2016,07,26,2.67085175
2016,07,27,3.38716
2016,07,28,2.88574475
2016,07,29,5.4931795
2016,07,30,4.89428212
2016,07,31,4.92617825
2017,07,1,4.990246
2017,07,2,5.76152025
2017,07,3,6.50772738
2017,07,4,4.89127563
2017,07,5,3.57588988
2017,07,6,2.6649465
2017,07,7,2.87843588
2017,07,8,3.71927562
2017,07,9,3.57342188
2017,07,10,3.57981412
2017,07,11,6.49144875
2017,07,12,4.58407138
2017,07,13,4.51148788
2017,07,14,5.41982425
2017,07,15,3.844081
2017,07,16,2.13657288
2017,07,17,3.9274735
2017,07,18,2.31977675
2017,07,19,5.405116
2017,07,20,4.78614463
2017,07,21,4.25609575
2017,07,22,3.651794
2017,07,23,5.92584525
