####################################################################################################
# Month: 11Nov                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/LOS                          #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,11,1,636.9924125
2009,11,2,646.8816875
2009,11,3,649.11136625
2009,11,4,640.9323675
2009,11,5,645.70776125
2009,11,6,648.2076775
2009,11,7,651.80864625
2009,11,8,655.7061975
2009,11,9,657.23298625
2009,11,10,658.75134125
2009,11,11,662.503765
2009,11,12,665.2070825
2009,11,13,666.74755375
2009,11,14,664.93446375
2009,11,15,656.06437625
2009,11,16,652.46430375
2009,11,17,652.476135
2009,11,18,658.14515625
2009,11,19,653.87588
2009,11,20,647.7392325
2009,11,21,647.936835
2009,11,22,643.4801325
2009,11,23,646.32712625
2009,11,24,650.16987375
2009,11,25,648.113885
2009,11,26,648.9385475
2009,11,27,652.97755375
2009,11,28,652.63401
2009,11,29,653.44349125
2009,11,30,654.889135
2010,11,1,633.04995
2010,11,2,644.810065
2010,11,3,649.1067175
2010,11,4,651.982445
2010,11,5,652.68170625
2010,11,6,648.93234
2010,11,7,650.65205875
2010,11,8,657.1636825
2010,11,9,660.602855
2010,11,10,653.17723375
2010,11,11,645.60383375
2010,11,12,637.9556775
2010,11,13,635.81344
2010,11,14,635.33892875
2010,11,15,637.1049525
2010,11,16,645.31000625
2010,11,17,645.98009875
2010,11,18,642.8349275
2010,11,19,638.3558925
2010,11,20,637.5640625
2010,11,21,637.31134375
2010,11,22,636.8308025
2010,11,23,635.29358625
2010,11,24,634.64535
2010,11,25,634.4329825
2010,11,26,634.03863
2010,11,27,631.65729625
2010,11,28,631.10285875
2010,11,29,633.7673375
2010,11,30,640.00569875
2011,11,1,650.57983625
2011,11,2,657.314835
2011,11,3,664.61337125
2011,11,4,666.007635
2011,11,5,665.9058775
2011,11,6,662.41713375
2011,11,7,660.6478725
2011,11,8,656.245255
2011,11,9,654.0572725
2011,11,10,651.00370625
2011,11,11,650.09510375
2011,11,12,652.8378425
2011,11,13,657.9090875
2011,11,14,658.78609375
2011,11,15,655.86777
