####################################################################################################
# Month: 09Sep                                                                                     #
# Station: MOR                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,09,1,0.51255745,111.67718
2009,09,2,0.36035134,85.9572775
2009,09,3,0.33196326,81.18792125
2009,09,4,0.25652175,65.5641325
2009,09,5,0.30885149,75.45167
2009,09,6,0.63220602,126.75357875
2009,09,7,0.58436182,122.3811425
2009,09,8,0.37630428,86.91022875
2009,09,9,0.52286086,107.90469875
2009,09,10,0.70385574,135.9293625
2009,09,11,0.66621415,129.95373375
2009,09,12,0.29733961,72.74212375
2009,09,13,0.31811053,75.13742375
2009,09,14,0.26901768,67.50889875
2009,09,15,0.17875782,48.26955625
2009,09,16,0.15736566,43.3793025
2009,09,17,0.10191596,30.6977425
2009,09,18,0.22405411,56.06664625
2009,09,19,0.56296989,112.01129875
2009,09,20,0.31127091,74.31086375
2009,09,21,0.22625792,58.1601025
2009,09,22,0.20348828,53.90148375
2009,09,23,0.31639382,76.64673875
2009,09,24,0.65561542,129.21328125
2009,09,25,0.61474956,125.157675
2009,09,26,0.22023328,57.02856625
2009,09,27,0.2383549,60.21776125
2009,09,28,0.38365902,86.56035375
2009,09,29,0.3474823,80.99200375
2009,09,30,0.19035785,49.66094
2010,09,1,0.38304081,90.1277675
2010,09,2,0.19953828,53.83493625
2010,09,3,0.17101228,47.62926375
2010,09,4,0.24314785,61.47675875
2010,09,5,0.98522769,166.4789625
2010,09,6,1.15939205,187.0476375
2010,09,7,0.49999755,106.80576125
2010,09,8,0.30647826,73.2034375
2010,09,9,0.54032976,115.2004025
2010,09,10,0.47748617,106.87749125
2010,09,11,0.40444692,93.27626375
2010,09,12,0.30592179,74.5192525
2010,09,13,0.59733254,120.22003875
2010,09,14,0.85749415,155.50225
2010,09,15,0.9658787,167.76205
2010,09,16,0.82900194,154.7581375
2010,09,17,0.390504,90.98680875
2010,09,18,0.59315516,122.80782875
2010,09,19,0.73630365,140.1126
2010,09,20,0.67868279,133.78853125
2010,09,21,0.70801136,134.33896
2010,09,22,0.90486132,162.8938875
2010,09,23,0.65496666,128.31775875
2010,09,24,0.71703345,139.4848875
2010,09,25,0.55509462,116.72133875
2010,09,26,0.48522272,106.182425
2010,09,27,0.27823846,68.921765
2010,09,28,0.24176595,62.20158625
2010,09,29,0.39903618,92.01181375
2010,09,30,0.37104129,86.32449875
2011,09,1,0.3507373,83.63136625
2011,09,2,0.43223844,98.1454575
2011,09,3,0.16384027,45.52676625
2011,09,4,0.28399824,71.1445875
2011,09,5,0.36454315,87.7590025
2011,09,6,0.27942436,70.57478375
2011,09,7,0.32632455,79.72556625
2011,09,8,0.3415719,82.728155
2011,09,9,0.37383201,88.3576025
2011,09,10,0.26890247,68.2250325
2011,09,11,0.19867738,53.55724875
2011,09,12,0.15757509,43.39380125
2011,09,13,0.19870385,52.41382375
2011,09,14,0.16502159,45.44964
2011,09,15,0.27010121,67.383435
2011,09,16,0.3672063,86.606825
2011,09,17,0.55182051,117.195935
2011,09,18,0.27429681,68.78812125
2011,09,19,0.10903988,32.22202875
2011,09,20,0.17831426,47.819415
2011,09,21,0.23731304,61.289445
2011,09,22,0.41931481,94.955845
2011,09,23,0.57999252,120.456795
2011,09,24,0.15038746,41.9525875
2011,09,25,0.13519779,38.42473625
2011,09,26,0.25253434,63.9050475
2011,09,27,0.32688424,78.8607525
2011,09,28,0.34589606,82.00445375
2011,09,29,0.36643111,85.90969125
2011,09,30,0.34946388,82.98372625
2012,09,1,0.35915049,86.48081625
2012,09,2,0.28180942,71.09429125
2012,09,3,0.2924108,72.85274
2012,09,4,0.2846596,71.12063
2012,09,5,0.12369487,35.76144375
2012,09,6,0.09214417,27.9556125
2012,09,7,0.19706234,52.1533125
2012,09,8,0.23490311,60.74059875
2012,09,9,0.1126092,33.192185
2012,09,10,0.13777854,38.9494825
2012,09,11,0.17284312,46.66936125
2012,09,12,0.18568281,50.29223375
2012,09,13,0.17334074,47.86394875
2012,09,14,0.23194671,60.96759125
2012,09,15,0.32527109,79.92758
2012,09,16,0.32642291,80.0014125
2012,09,17,0.26526058,67.35694625
2012,09,18,0.37783012,88.2471725
2012,09,19,0.49808634,108.21849875
2012,09,20,0.33654034,82.00355625
2012,09,21,0.30517273,75.387615
2012,09,22,0.41403568,95.1770575
2012,09,23,0.67721756,130.3112725
2012,09,24,1.04238309,174.442925
2012,09,25,0.3870578,90.04909375
2012,09,26,0.28788481,70.9062525
2012,09,27,0.70832591,134.4831525
2012,09,28,0.39141282,86.50493
2012,09,29,0.18116455,48.5862675
2012,09,30,0.26002382,65.33955125
2013,09,1,0.204419,53.8812775
2013,09,2,0.24324372,62.88506125
2013,09,3,0.22839884,59.36696125
2013,09,4,0.25239948,64.58044625
2013,09,5,0.21181378,56.0539475
2013,09,6,0.52056969,107.52740875
2013,09,7,0.67109178,131.5795725
2013,09,8,0.40645136,92.893025
2013,09,9,0.20442805,54.09086875
2013,09,10,0.20864195,54.6679
2013,09,11,0.43153764,96.720015
2013,09,12,0.41091829,90.98687375
2013,09,13,0.66144024,132.1217625
