####################################################################################################
# Month: 12Dec                                                                                     #
# Station: MOR                                                                                     #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,12,1,0.66460078,132.32574875
2009,12,2,1.56588206,208.915175
2009,12,3,0.94782882,166.028675
2009,12,4,0.70631178,138.626875
2009,12,5,0.5226249,111.82884125
2009,12,6,0.75585136,141.8974625
2009,12,7,0.82089516,151.8368375
2009,12,8,0.79270219,149.6158125
2009,12,9,0.64260561,130.0065875
2009,12,10,0.65707151,130.59535
2009,12,11,0.68445892,133.5784
2009,12,12,1.43397671,192.1555875
2009,12,13,2.34776475,239.14665
2009,12,14,1.50578225,205.7661125
2009,12,15,1.73289038,223.205525
2009,12,16,1.25412139,195.0724
2009,12,17,1.35014088,195.9995625
2009,12,18,1.18901609,183.1589125
2009,12,19,1.16302596,183.296525
2009,12,20,2.41935038,240.7973875
2009,12,21,3.39088425,263.005875
2009,12,22,2.85468125,248.655925
2009,12,23,4.38755812,266.223175
2009,12,24,4.4149715,268.9658
2009,12,25,3.55499925,264.472725
2009,12,26,1.2372273,181.0114625
2009,12,27,1.91509525,228.3231375
2009,12,28,1.06529714,165.707975
2009,12,29,0.8682056,159.566225
2009,12,30,0.85135305,155.022525
2009,12,31,0.36318128,84.576285
2010,12,1,0.41106149,92.58356625
2010,12,2,1.02378905,165.4960125
2010,12,3,2.10307825,237.57205
2010,12,4,1.91034438,230.8394875
2010,12,5,3.04347225,257.6543125
2010,12,6,3.11050262,259.27205
2010,12,7,3.24807,262.04915
2010,12,8,3.72886413,266.393575
2010,12,9,1.91160375,228.50205
2010,12,10,1.26792962,194.7379875
2010,12,11,1.5399365,211.84785
2010,12,12,2.47113187,244.1245875
2010,12,13,1.86064175,223.4841125
2010,12,14,0.9820809,170.89825
2010,12,15,1.02531255,152.95879875
2010,12,16,2.10157538,234.78405
2010,12,17,2.2208805,239.3671375
2010,12,18,2.09577012,231.5889
2010,12,19,1.23245451,186.7685125
2010,12,20,2.012995,227.5118875
2010,12,21,1.491007,195.1937375
2010,12,22,1.82566562,219.973
2010,12,23,1.08578064,174.8549375
2010,12,24,2.0924705,236.646625
2010,12,25,1.18418132,183.33605
2010,12,26,0.70117998,136.9515
2010,12,27,0.67422048,129.6297575
2010,12,28,1.1133894,178.2280125
2010,12,29,0.95163999,166.2990375
2010,12,30,1.21759899,184.8452625
2010,12,31,0.78331964,137.3906375
2011,12,1,0.57718011,120.3153875
2011,12,2,0.41030323,93.76394125
2011,12,3,0.93855845,156.21940125
2011,12,4,0.78477625,146.2940875
2011,12,5,0.66729565,133.43865
2011,12,6,0.68461441,136.9470625
2011,12,7,0.48724894,107.82771375
2011,12,8,0.69852296,135.333525
