####################################################################################################
# Month: 02Feb                                                                                     #
# Station: NOB                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,02,1,12.13460538
2009,02,2,7.93788575
2009,02,3,4.74301
2009,02,4,5.2576625
2009,02,5,10.15196175
2009,02,6,8.873202
2009,02,7,12.47541412
2009,02,8,12.0561975
2009,02,9,7.006457
2009,02,10,5.70572362
2009,02,11,11.04963
2009,02,12,10.40448375
2009,02,13,24.13031475
2009,02,14,11.33110912
2009,02,15,15.37583488
2009,02,16,15.43731462
2009,02,17,8.05718525
2009,02,18,11.63481675
2009,02,19,13.711613
2009,02,20,18.45234475
2009,02,21,12.4112295
2009,02,22,17.80837762
2009,02,23,6.41474712
2009,02,24,13.90085175
2009,02,25,12.26263912
2009,02,26,6.62422588
2009,02,27,4.51875075
2009,02,28,4.97061462
2010,02,1,5.98786988
2010,02,2,13.01214488
2010,02,3,9.3971375
2010,02,4,11.45111438
2010,02,5,13.462773
2010,02,6,17.65315262
2010,02,7,10.52248862
2010,02,8,18.28736112
2010,02,9,15.37617038
2010,02,10,10.060022
2010,02,11,7.46854538
2010,02,12,2.972594
2010,02,13,6.7784045
2010,02,14,7.78702775
2010,02,15,5.02340988
2010,02,16,4.978255
2010,02,17,6.75841787
2010,02,18,8.73272187
2010,02,19,8.699241
2010,02,20,8.54898375
2010,02,21,7.55618087
2010,02,22,12.99166738
2010,02,23,7.29799812
2010,02,24,3.579206
2010,02,25,14.53447088
2010,02,26,16.11052175
2010,02,27,6.0292525
2010,02,28,10.776274
2011,02,1,9.99995588
2011,02,2,5.74811238
2011,02,3,7.752836
2011,02,4,8.27785775
2011,02,5,5.89803325
2011,02,6,12.53871862
2011,02,7,9.87510025
2011,02,8,8.97446612
2011,02,9,12.775808
2011,02,10,4.75285213
2011,02,11,2.93988475
2011,02,12,9.842534
2011,02,13,7.57482
2011,02,14,6.41006425
2011,02,15,6.95979962
2011,02,16,8.58013038
2011,02,17,15.2661645
2011,02,18,14.62016875
2011,02,19,7.69341588
2011,02,20,2.7520765
2011,02,21,5.34845625
2011,02,22,2.708526
2011,02,23,6.75233575
2011,02,24,13.77377838
2011,02,25,16.82775812
2011,02,26,9.67270025
2011,02,27,15.65197962
2011,02,28,7.45972812
2012,02,1,17.23036575
2012,02,2,12.37515612
2012,02,3,12.58133825
2012,02,4,14.93003612
2012,02,5,10.42300125
2012,02,6,17.23258287
2012,02,7,10.504342
2012,02,8,12.82326988
2012,02,9,11.87105138
2012,02,10,11.105495
2012,02,11,12.23588162
2012,02,12,9.93868762
2012,02,13,10.4718385
2012,02,14,7.637058
2012,02,15,6.55276088
2012,02,16,8.85510462
2012,02,17,8.58919012
2012,02,18,9.15687262
2012,02,19,6.14478812
2012,02,20,8.35166862
2012,02,21,5.4422095
2012,02,22,9.95453012
2012,02,23,18.52067138
2012,02,24,11.31325775
2012,02,25,7.8106205
2012,02,26,6.47904175
2012,02,27,5.82041962
2012,02,28,5.87440012
2012,02,29,3.40717038
2013,02,1,17.58061575
2013,02,2,16.80684312
2013,02,3,12.27171412
2013,02,4,19.658043
2013,02,5,8.903197
2013,02,6,10.11143625
2013,02,7,20.36609612
2013,02,8,13.996688
2013,02,9,6.72040188
2013,02,10,13.03879388
2013,02,11,11.739831
2013,02,12,13.37747988
2013,02,13,11.89165612
2013,02,14,7.08556262
2013,02,15,10.67162938
2013,02,16,15.87700912
2013,02,17,13.1430855
2013,02,18,14.50609362
2013,02,19,9.14946075
2013,02,20,12.77682787
2013,02,21,11.11123788
2013,02,22,13.3913105
2013,02,23,12.50405138
2013,02,24,17.72818013
2013,02,25,13.68204388
2013,02,26,9.63840075
2013,02,27,7.605537
2013,02,28,9.55335162
2014,02,1,14.259027
2014,02,2,13.294841
2014,02,3,10.92171638
2014,02,4,9.60809112
2014,02,5,12.19507738
2014,02,6,3.99781025
2014,02,7,4.94200375
2014,02,8,10.17431138
2014,02,9,9.08962737
2014,02,10,3.50364038
2014,02,11,2.692155
2014,02,12,2.61389738
2014,02,13,3.67160662
2014,02,14,13.56537775
2014,02,15,20.21585412
2014,02,16,20.28389962
2014,02,17,13.69488225
2014,02,18,7.00385238
2014,02,19,4.87631512
2014,02,20,4.94433475
2014,02,21,11.27605962
2014,02,22,5.53055762
2014,02,23,5.617588
2014,02,24,6.72925938
2014,02,25,12.3667865
2014,02,26,7.98208175
2014,02,27,16.89688262
2014,02,28,9.36817662
2015,02,1,16.91109212
2015,02,2,8.92796938
2015,02,3,1.74437888
2015,02,4,3.80014162
2015,02,5,5.148117
2015,02,6,6.43253788
2015,02,7,10.35148512
2015,02,8,14.47546212
2015,02,9,14.19388425
2015,02,10,13.11037912
2015,02,11,11.41964
2015,02,12,13.09572012
2015,02,13,14.7779755
2015,02,14,15.88098438
2015,02,15,14.10372512
2015,02,16,3.84106312
