####################################################################################################
# Month: 07Jul                                                                                     #
# Station: NOEMA                                                                                   #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,13.06741475,278.3371375
2009,07,2,10.86692162,277.0973125
2009,07,3,10.25392462,277.7128875
2009,07,4,13.13989875,276.751725
2009,07,5,12.188311,276.6613125
2009,07,6,5.7907605,273.9035
2009,07,7,7.9707855,272.83465
2009,07,8,3.79020463,261.65635
2009,07,9,4.5748005,261.219975
2009,07,10,8.48851875,273.32245
2009,07,11,9.60489875,275.482225
2009,07,12,14.8157025,277.94505
2009,07,13,14.9077275,279.95015
2009,07,14,14.77383,280.1927125
2009,07,15,14.597468,278.86505
2009,07,16,7.19685562,278.0461625
2009,07,17,11.4296635,275.0358
2009,07,18,5.3841545,268.0362
2009,07,19,5.74038962,272.739675
2009,07,20,9.59150238,274.6926375
2009,07,21,11.907288,277.7158
2009,07,22,15.639535,281.0474
2009,07,23,12.62326125,280.68325
2009,07,24,7.61398587,274.7591625
2009,07,25,2.6099095,246.8772875
2009,07,26,4.85703325,274.7912375
2009,07,27,9.99810775,279.553
2009,07,28,4.659281,267.805175
2009,07,29,6.154285,273.8239
2009,07,30,5.739153,273.933775
2009,07,31,5.63205088,276.0179125
2010,07,1,13.257175,277.19555
2010,07,2,16.54631,277.085125
2010,07,3,13.3504795,276.8900125
2010,07,4,10.87032438,277.1044875
2010,07,5,8.95879988,278.6624875
2010,07,6,5.33651675,271.963175
2010,07,7,10.11300862,280.048275
2010,07,8,6.10443825,278.5658375
2010,07,9,15.65094662,281.417975
2010,07,10,16.6909775,279.6540125
2010,07,11,11.583129,279.31935
2010,07,12,11.8419595,279.5368125
2010,07,13,17.1060275,279.292725
2010,07,14,11.31941425,278.32665
2010,07,15,6.93168562,276.415075
2010,07,16,5.79880875,274.5997875
2010,07,17,6.37267425,268.251225
2010,07,18,6.690389,276.096525
2010,07,19,9.4789175,280.31935
2010,07,20,7.88026388,277.6445875
2010,07,21,12.53646675,277.1786875
2010,07,22,14.178525,276.835425
2010,07,23,8.97294138,267.2920375
2010,07,24,3.701905,257.080625
2010,07,25,7.1796555,272.1912375
2010,07,26,9.51366725,273.2650875
2010,07,27,10.2610965,275.41215
2010,07,28,9.56574612,276.6807875
2010,07,29,8.29819025,270.79345
2010,07,30,4.69398988,268.4303875
2010,07,31,10.22188438,278.1267
2011,07,1,6.07212188,273.3819625
2011,07,2,9.20534175,274.8628125
2011,07,3,6.52653712,274.4656
2011,07,4,15.7835875,275.3222375
2011,07,5,6.56114238,272.7207125
2011,07,6,10.21397862,276.035925
2011,07,7,12.69187375,277.1450875
2011,07,8,11.68897212,276.3993875
2011,07,9,12.15980362,276.83035
2011,07,10,12.44269775,277.2669125
2011,07,11,10.47467938,277.447875
2011,07,12,13.08896488,279.88155
2011,07,13,17.04970912,278.058575
2011,07,14,4.92462538,271.763025
2011,07,15,2.49343675,243.0794
2011,07,16,12.71780975,273.6944125
2011,07,17,15.6356185,274.8609875
2011,07,18,5.81146912,269.564
2011,07,19,11.15180662,271.627225
2011,07,20,7.476138,271.9493875
2011,07,21,7.94933138,273.322075
2011,07,22,5.82576925,272.3336625
2011,07,23,6.65714412,270.1154375
2011,07,24,8.60270638,270.8923625
2011,07,25,9.22382425,271.9466375
2011,07,26,11.877142,273.6719625
2011,07,27,14.54336,273.8889875
2011,07,28,10.35203463,274.1344875
2011,07,29,9.0660085,275.32005
2011,07,30,10.281316,276.1732875
2011,07,31,10.00007725,276.9514125
2012,07,1,17.60286875,277.9437625
2012,07,2,14.180027,276.4077625
2012,07,3,11.23496538,276.7688125
2012,07,4,13.501584,276.35345
2012,07,5,15.51845875,275.087125
2012,07,6,10.20832738,273.3046
2012,07,7,8.04180837,274.0793875
2012,07,8,7.16316612,275.43165
2012,07,9,6.66378338,275.3142625
2012,07,10,8.92762875,275.6126625
2012,07,11,7.28078662,272.3706
2012,07,12,8.2188695,272.524775
2012,07,13,13.25095112,274.8773625
2012,07,14,8.214089,269.2158375
2012,07,15,3.32021625,251.0261875
2012,07,16,5.34238062,264.3711375
2012,07,17,5.49554125,273.32015
2012,07,18,6.79139825,275.928325
2012,07,19,9.65602313,277.02545
2012,07,20,11.79885112,276.4635875
2012,07,21,5.40195025,253.4892875
2012,07,22,5.94894188,271.4789375
2012,07,23,7.59015125,270.9261875
2012,07,24,15.41952875,276.51125
2012,07,25,12.606965,277.6157375
2012,07,26,7.99290688,278.725525
2012,07,27,14.5998225,280.144775
2012,07,28,12.488935,277.403525
2012,07,29,7.21889825,273.7456375
2012,07,30,8.87390025,275.9688
2012,07,31,7.14178625,275.7582125
2013,07,1,5.06126325,271.3486875
2013,07,2,10.56893638,273.7401375
2013,07,3,14.85354162,275.514
2013,07,4,8.233817,276.439275
2013,07,5,7.16523412,278.8390125
2013,07,6,7.65571325,278.3214625
2013,07,7,11.352369,277.4420375
2013,07,8,13.88262875,275.707275
2013,07,9,15.61359875,275.8634875
2013,07,10,16.13469,276.5302
2013,07,11,13.82091,276.6895875
2013,07,12,8.49153088,276.49945
2013,07,13,4.6599105,271.4453625
2013,07,14,8.164312,275.859225
2013,07,15,9.26623325,276.271175
2013,07,16,7.350355,275.8104625
2013,07,17,12.816671,274.665425
2013,07,18,16.64628375,274.5744625
2013,07,19,14.63530375,274.9413125
2013,07,20,11.61573275,274.370575
2013,07,21,10.54951575,275.393875
2013,07,22,13.2405325,276.50455
2013,07,23,14.20061375,277.03075
2013,07,24,13.33599125,276.9955
2013,07,25,11.78520312,277.82185
2013,07,26,11.99342762,278.9895625
2013,07,27,12.4317375,280.7386625
2013,07,28,12.68822125,279.5586125
2013,07,29,10.62053175,274.0899375
2013,07,30,7.53467162,275.4221125
2013,07,31,4.990831,275.1942875
2014,07,1,12.80357375,273.7189875
2014,07,2,12.70248162,273.1046625
2014,07,3,9.40329525,275.5532
2014,07,4,13.8820375,275.9098125
2014,07,5,12.0498745,275.3574
2014,07,6,10.995579,275.3022375
2014,07,7,13.82062375,273.369
2014,07,8,7.559976,268.4218375
2014,07,9,6.12840212,266.24555
2014,07,10,10.89049288,272.4164
2014,07,11,7.91782862,272.6956125
2014,07,12,10.70359238,272.9523875
2014,07,13,10.23558275,272.9198
2014,07,14,8.50106512,273.222025
2014,07,15,7.371514,275.5181375
2014,07,16,8.02358775,275.496775
2014,07,17,7.504405,276.4111375
2014,07,18,6.41076238,277.6800125
2014,07,19,16.49234875,281.168325
2014,07,20,18.26615,277.5696375
2014,07,21,12.99687025,274.258
2014,07,22,15.68009,277.6648625
2014,07,23,17.83859625,277.0063625
2014,07,24,13.21806088,275.4733875
2014,07,25,12.02264975,274.5652375
2014,07,26,10.53837625,273.8765
2014,07,27,6.83315688,275.2336125
2014,07,28,12.19592675,274.675525
2014,07,29,10.83152562,272.0615875
2014,07,30,12.5545375,276.9945125
2014,07,31,9.2321615,278.3434125
2015,07,1,6.11489912,278.5634625
2015,07,2,12.99047825,280.951625
2015,07,3,14.99049125,280.901375
2015,07,4,15.38663625,282.05415
2015,07,5,13.59867125,282.0874875
2015,07,6,15.7713675,280.0892375
2015,07,7,12.094611,279.7532
2015,07,8,7.008129,260.7917
2015,07,9,5.3696695,275.4805375
2015,07,10,5.94750087,278.5858625
2015,07,11,4.88605837,275.7257625
2015,07,12,5.79920812,277.4333
2015,07,13,16.13808625,280.688825
2015,07,14,5.6685815,279.408225
2015,07,15,6.55852875,277.7917125
2015,07,16,9.19446475,279.93215
2015,07,17,10.32394075,279.57355
2015,07,18,14.276505,279.1226375
2015,07,19,14.719985,278.328275
2015,07,20,11.75243062,279.38695
2015,07,21,14.75433188,279.9619
2015,07,22,15.10655375,278.304325
2015,07,23,16.34717125,278.4296
