####################################################################################################
# Month: 07Jul                                                                                     #
# Station: NOEMA                                                                                   #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,0.12840289,34.36262125
2009,07,2,0.09184966,25.8538675
2009,07,3,0.08577216,24.505545
2009,07,4,0.10642622,29.12469
2009,07,5,0.11665877,31.54105375
2009,07,6,0.06169653,18.52061875
2009,07,7,0.09582147,26.58435
2009,07,8,0.05237933,15.98580125
2009,07,9,0.05212263,15.92696625
2009,07,10,0.07200852,20.7965375
2009,07,11,0.07527074,21.70431125
2009,07,12,0.10311688,28.6757975
2009,07,13,0.10032039,28.3021275
2009,07,14,0.09824521,27.70905375
2009,07,15,0.14298925,38.25849
2009,07,16,0.0643387,19.30239125
2009,07,17,0.12911667,34.14744
2009,07,18,0.0595387,17.7751775
2009,07,19,0.0552519,16.8089225
2009,07,20,0.07599858,21.93349
2009,07,21,0.0925246,25.98348875
2009,07,22,0.11193372,30.7183775
2009,07,23,0.09491399,26.712645
2009,07,24,0.07359562,21.47805625
2009,07,25,0.0422995,13.59343
2009,07,26,0.05162036,16.02619125
2009,07,27,0.07791876,22.57983
2009,07,28,0.05284555,16.16179375
2009,07,29,0.05755849,17.50751625
2009,07,30,0.05615724,17.1163825
2009,07,31,0.05534776,16.9377825
2010,07,1,0.1478863,38.74471625
2010,07,2,0.14779562,38.70746125
2010,07,3,0.11256928,30.71941
2010,07,4,0.09538007,26.67502875
2010,07,5,0.08348422,24.0319125
2010,07,6,0.05945986,17.968185
2010,07,7,0.08198041,23.78812625
2010,07,8,0.05693672,17.45141375
2010,07,9,0.10642825,29.57409625
2010,07,10,0.12137361,32.9847325
2010,07,11,0.0991811,27.92377875
2010,07,12,0.09669476,27.039685
2010,07,13,0.15330409,40.34556625
2010,07,14,0.08051981,23.30390875
2010,07,15,0.0591594,17.939245
2010,07,16,0.06100696,18.42584125
2010,07,17,0.0627675,18.70080375
2010,07,18,0.05835906,17.76875
2010,07,19,0.07383116,21.7094075
2010,07,20,0.07189984,21.2019275
2010,07,21,0.1138601,30.86810375
2010,07,22,0.12461452,33.38527875
2010,07,23,0.10442488,28.595975
2010,07,24,0.0459618,14.42532875
2010,07,25,0.06278119,18.556645
2010,07,26,0.08067221,23.07098875
2010,07,27,0.07709828,22.26861
2010,07,28,0.07729225,22.3595125
2010,07,29,0.10958244,29.71560625
2010,07,30,0.05250882,16.17191
2010,07,31,0.07535538,22.0552225
2011,07,1,0.057612,17.36303
2011,07,2,0.07219433,20.98808375
2011,07,3,0.05923638,17.81766
2011,07,4,0.14939933,38.81485875
2011,07,5,0.06049025,18.11112875
2011,07,6,0.09633921,27.0994775
2011,07,7,0.10017421,27.91550125
2011,07,8,0.13172903,35.21468
2011,07,9,0.10949747,30.19843375
2011,07,10,0.10838064,29.6654875
2011,07,11,0.08315645,23.8620975
2011,07,12,0.09614733,26.978215
2011,07,13,0.1810319,46.329345
2011,07,14,0.05415922,16.54134625
2011,07,15,0.04260418,13.53128375
2011,07,16,0.10411863,28.5705875
2011,07,17,0.18083762,45.9863275
2011,07,18,0.06627113,19.5339775
2011,07,19,0.12644481,33.53725
2011,07,20,0.08165566,23.37498125
2011,07,21,0.09825366,27.52104125
2011,07,22,0.07109038,20.81765375
2011,07,23,0.08904228,25.079605
2011,07,24,0.07902911,22.622915
2011,07,25,0.09530824,26.378865
2011,07,26,0.12076117,32.34857875
2011,07,27,0.16702965,42.75269625
2011,07,28,0.11190758,30.57429125
2011,07,29,0.09955798,27.83175375
2011,07,30,0.11598742,31.48919625
2011,07,31,0.12029861,32.6598325
2012,07,1,0.15850054,41.14146875
2012,07,2,0.17112397,43.90554125
2012,07,3,0.08518256,24.30302375
2012,07,4,0.11774639,31.79498
2012,07,5,0.14447994,38.0206175
2012,07,6,0.10051042,27.7848
2012,07,7,0.07539945,21.9044675
2012,07,8,0.06627861,19.71501375
2012,07,9,0.06467124,19.2258225
2012,07,10,0.10601509,28.9071575
2012,07,11,0.06825839,20.07352625
2012,07,12,0.06663575,19.648075
2012,07,13,0.09590092,26.73793375
2012,07,14,0.07557972,21.85278875
2012,07,15,0.05314,16.20907875
2012,07,16,0.05369687,16.43563375
2012,07,17,0.0542794,16.69283375
2012,07,18,0.06005571,18.0301975
2012,07,19,0.07920971,22.71439
2012,07,20,0.08771304,24.76658125
2012,07,21,0.05716788,17.16004
2012,07,22,0.07479586,21.598595
2012,07,23,0.06810535,20.0358325
2012,07,24,0.14687322,38.38799125
2012,07,25,0.12222806,32.9779375
2012,07,26,0.06757951,20.20434625
2012,07,27,0.10191465,28.5515275
2012,07,28,0.1020489,28.41414625
2012,07,29,0.0634772,18.8452725
2012,07,30,0.06895387,20.29152
2012,07,31,0.06203016,18.63820625
2013,07,1,0.06597121,19.418705
2013,07,2,0.09869736,26.9883825
2013,07,3,0.18800259,47.96027625
2013,07,4,0.07312219,21.39605625
2013,07,5,0.07834278,22.888525
2013,07,6,0.08835253,25.10846875
2013,07,7,0.1378486,36.418705
2013,07,8,0.14130226,37.00464625
2013,07,9,0.16569285,42.3565775
2013,07,10,0.17780434,44.9725825
2013,07,11,0.137823,36.54818625
2013,07,12,0.09423784,26.509005
2013,07,13,0.05170432,15.9718075
2013,07,14,0.09114222,25.61750875
2013,07,15,0.08920084,25.269995
2013,07,16,0.07485751,21.77792625
2013,07,17,0.16851348,42.42966875
2013,07,18,0.26032961,62.13598375
2013,07,19,0.21225314,52.5787275
2013,07,20,0.14902975,38.301305
2013,07,21,0.11419493,30.9428375
2013,07,22,0.13521209,35.67403875
2013,07,23,0.13715611,36.459095
2013,07,24,0.11866183,32.2303775
2013,07,25,0.08694542,24.91200875
2013,07,26,0.08812722,25.22468125
2013,07,27,0.08762254,25.1884075
2013,07,28,0.08727308,24.92490375
2013,07,29,0.1105789,30.08375125
2013,07,30,0.06386574,19.123665
2013,07,31,0.05206918,16.18726
2014,07,1,0.11124173,30.03919
2014,07,2,0.14252094,37.25154875
2014,07,3,0.07364538,21.42863
2014,07,4,0.14926212,38.60891
2014,07,5,0.10830756,29.79421
2014,07,6,0.10764016,29.60249375
2014,07,7,0.16498221,42.00115875
2014,07,8,0.12158999,32.3868
2014,07,9,0.11356635,30.4234975
2014,07,10,0.08965394,25.1358975
2014,07,11,0.07846221,22.5240425
2014,07,12,0.14049055,37.09431375
2014,07,13,0.11618513,31.2980475
2014,07,14,0.09042044,25.34675375
2014,07,15,0.09178923,25.844165
2014,07,16,0.08197473,23.34986375
2014,07,17,0.08383624,23.9948125
2014,07,18,0.0600232,18.19750125
2014,07,19,0.12172324,33.24669
2014,07,20,0.19476832,49.45986875
2014,07,21,0.17503241,44.802775
2014,07,22,0.13540409,36.42608375
2014,07,23,0.16929631,43.955115
2014,07,24,0.16201197,41.815295
2014,07,25,0.14164458,36.475215
2014,07,26,0.15807068,40.43157125
2014,07,27,0.07150707,20.97768125
2014,07,28,0.1577933,40.04866125
2014,07,29,0.13281062,35.13655625
2014,07,30,0.10637411,29.5654625
2014,07,31,0.08159252,23.69844125
2015,07,1,0.06151934,18.67210875
2015,07,2,0.09522276,26.8446875
2015,07,3,0.10494322,29.1270625
2015,07,4,0.10502699,29.29524375
2015,07,5,0.0960746,27.0350325
2015,07,6,0.11777948,32.253855
2015,07,7,0.08862671,25.237815
2015,07,8,0.06087693,18.29963
2015,07,9,0.05296858,16.36063375
2015,07,10,0.06304435,19.0654325
2015,07,11,0.05156246,16.05901
2015,07,12,0.05578083,17.1167675
2015,07,13,0.10705647,29.82811875
2015,07,14,0.05542255,17.12844125
2015,07,15,0.06834512,20.35526125
2015,07,16,0.08108062,23.53485875
2015,07,17,0.08403138,24.16788125
2015,07,18,0.10254873,28.5924475
2015,07,19,0.13647238,36.22543625
2015,07,20,0.11141975,30.9483925
2015,07,21,0.17827475,44.8483975
2015,07,22,0.17961491,45.32531125
2015,07,23,0.17324714,44.5991275
2015,07,24,0.17525334,44.99341
2015,07,25,0.08557663,24.07202625
2015,07,26,0.11274551,30.62184875
2015,07,27,0.06045792,18.31999
2015,07,28,0.06802225,20.4174375
2015,07,29,0.1392673,36.61124625
2015,07,30,0.08242182,23.31569
2015,07,31,0.08447216,23.78190125
2016,07,1,0.10202495,28.25564625
2016,07,2,0.14606289,38.01147875
2016,07,3,0.05338121,16.50863125
2016,07,4,0.05528806,16.86936375
2016,07,5,0.10804958,29.55916125
